step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
0,"[ 0.13260021  0.18177509  0.          0.          0.          0.
 -1.        ]",[-0.10344466  0.02482975  1.00855022 -1.        ],[7.37396969e-08 1.66666790e-01 9.17743142e-01],2,6,[0.25 0.25 0.05]
1,"[ 0.13258206  0.18178833  0.          0.          0.          0.
 -1.        ]",[-0.10218963  0.02644074  1.00835326 -1.        ],[2.93389284e-08 1.66666716e-01 9.21384541e-01],2,6,[0.25 0.25 0.05]
2,"[ 0.13251425  0.18183777  0.          0.          0.          0.
 -1.        ]",[-0.10080709  0.0282083   1.00813446 -1.        ],[5.18148537e-09 1.66666675e-01 9.23176829e-01],2,6,[0.25 0.25 0.05]
3,"[ 0.13243321  0.1818968   0.          0.          0.          0.
 -1.        ]",[-0.09937516  0.0300942   1.0079263  -1.        ],[-7.78776985e-09  1.66666654e-01  9.24039351e-01],2,6,[0.25 0.25 0.05]
4,"[ 0.13238196  0.1819341   0.          0.          0.          0.
 -1.        ]",[-0.09790753  0.03208888  1.00773926 -1.        ],[-1.44111596e-08  1.66666643e-01  9.24429096e-01],2,6,[0.25 0.25 0.05]
5,"[ 0.13236761  0.18194454  0.          0.          0.          0.
 -1.        ]",[-0.0964068   0.03418069  1.00757545 -1.        ],[-1.98369674e-08  1.66666634e-01  9.24610589e-01],2,6,[0.25 0.25 0.05]
6,"[ 0.13238656  0.18193075  0.          0.          0.          0.
 -1.        ]",[-0.09487566  0.03635358  1.00743344 -1.        ],[-2.51303878e-08  1.66666625e-01  9.24698458e-01],2,6,[0.25 0.25 0.05]
7,"[ 0.1324322   0.18189754  0.          0.          0.          0.
 -1.        ]",[-0.09331764  0.03858979  1.00731046 -1.        ],[-3.03676443e-08  1.66666616e-01  9.24741717e-01],2,6,[0.25 0.25 0.05]
8,"[ 0.13249722  0.18185018  0.          0.          0.          0.
 -1.        ]",[-0.0917368   0.04087265  1.00720327 -1.        ],[-3.55787149e-08  1.66666607e-01  9.24763174e-01],2,6,[0.25 0.25 0.05]
9,"[ 0.13257506  0.18179344  0.          0.          0.          0.
 -1.        ]",[-0.09013723  0.04318758  1.00710868 -1.        ],[-4.07771618e-08  1.66666599e-01  9.24773855e-01],2,6,[0.25 0.25 0.05]
10,"[ 0.13266018  0.18173133  0.          0.          0.          0.
 -1.        ]",[-0.08852269  0.0455225   1.00702379 -1.        ],[-4.59694159e-08  1.66666590e-01  9.24779181e-01],2,6,[0.25 0.25 0.05]
11,"[ 0.13274812  0.1816671   0.          0.          0.          0.
 -1.        ]",[-0.08689648  0.04786796  1.00694611 -1.        ],[-5.11586050e-08  1.66666581e-01  9.24781838e-01],2,6,[0.25 0.25 0.05]
12,"[ 0.13283547  0.18160324  0.          0.          0.          0.
 -1.        ]",[-0.08526135  0.05021693  1.00687361 -1.        ],[-5.63462700e-08  1.66666573e-01  9.24783165e-01],2,6,[0.25 0.25 0.05]
13,"[ 0.1329198   0.18154153  0.          0.          0.          0.
 -1.        ]",[-0.08361951  0.05256459  1.00680467 -1.        ],[-6.15331757e-08  1.66666564e-01  9.24783828e-01],2,6,[0.25 0.25 0.05]
14,"[ 0.13299957  0.1814831   0.          0.          0.          0.
 -1.        ]",[-0.0819727   0.05490787  1.00673805 -1.        ],[-6.67197025e-08  1.66666555e-01  9.24784159e-01],5,6,[0.25 0.25 0.05]
15,"[ 0.13307397  0.18142855  0.          0.          0.          0.
 -1.        ]",[-0.08032223  0.05724512  1.00667284 -1.        ],[-7.19060401e-08  1.66666547e-01  9.24784324e-01],5,6,[0.25 0.25 0.05]
16,"[ 0.13314279  0.18137805  0.          0.          0.          0.
 -1.        ]",[-0.07866906  0.05957572  1.00660839 -1.        ],[-7.70922833e-08  1.66666538e-01  9.24784407e-01],5,6,[0.25 0.25 0.05]
17,"[ 0.1332062   0.18133149  0.          0.          0.          0.
 -1.        ]",[-0.07701389  0.06189972  1.00654426 -1.        ],[-8.22784793e-08  1.66666530e-01  9.24784448e-01],5,6,[0.25 0.25 0.05]
18,"[ 0.13326468  0.18128851  0.          0.          0.          0.
 -1.        ]",[-0.07535718  0.06421763  1.00648015 -1.        ],[-8.74646518e-08  1.66666521e-01  9.24784469e-01],5,6,[0.25 0.25 0.05]
19,"[ 0.13331886  0.18124867  0.          0.          0.          0.
 -1.        ]",[-0.07369925  0.06653017  1.0064159  -1.        ],[-9.26508125e-08  1.66666512e-01  9.24784479e-01],5,6,[0.25 0.25 0.05]
20,"[ 0.13336944  0.18121146  0.          0.          0.          0.
 -1.        ]",[-0.07204029  0.06883815  1.00635141 -1.        ],[-9.78369674e-08  1.66666504e-01  9.24784484e-01],5,6,[0.25 0.25 0.05]
21,"[ 0.1334171   0.18117637  0.          0.          0.          0.
 -1.        ]",[-0.07038039  0.07114235  1.00628665 -1.        ],[-1.03023119e-07  1.66666495e-01  9.24784487e-01],5,6,[0.25 0.25 0.05]
22,"[ 0.13346247  0.18114295  0.          0.          0.          0.
 -1.        ]",[-0.0687196   0.07344348  1.00622163 -1.        ],[-1.08209270e-07  1.66666486e-01  9.24784488e-01],5,6,[0.25 0.25 0.05]
23,"[ 0.13350608  0.18111081  0.          0.          0.          0.
 -1.        ]",[-0.06705793  0.07574215  1.00615637 -1.        ],[-1.13395419e-07  1.66666478e-01  9.24784489e-01],5,6,[0.25 0.25 0.05]
24,"[ 0.13354839  0.18107962  0.          0.          0.          0.
 -1.        ]",[-0.06539535  0.07803881  1.0060909  -1.        ],[-1.18581569e-07  1.66666469e-01  9.24784489e-01],5,6,[0.25 0.25 0.05]
25,"[ 0.13358972  0.18104913  0.          0.          0.          0.
 -1.        ]",[-0.06373183  0.08033384  1.00602526 -1.        ],[-1.23767718e-07  1.66666460e-01  9.24784489e-01],5,6,[0.25 0.25 0.05]
26,"[ 0.13363031  0.18101917  0.          0.          0.          0.
 -1.        ]",[-0.06206733  0.08262749  1.00595949 -1.        ],[-1.28953867e-07  1.66666452e-01  9.24784489e-01],5,6,[0.25 0.25 0.05]
27,"[ 0.13367032  0.18098963  0.          0.          0.          0.
 -1.        ]",[-0.06040181  0.08491994  1.00589363 -1.        ],[-1.34140016e-07  1.66666443e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
28,"[ 0.1337098   0.18096046  0.          0.          0.          0.
 -1.        ]",[-0.05873524  0.08721127  1.0058277  -1.        ],[-1.39326165e-07  1.66666434e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
29,"[ 0.13374879  0.18093165  0.          0.          0.          0.
 -1.        ]",[-0.05706758  0.08950155  1.00576173 -1.        ],[-1.44512314e-07  1.66666426e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
30,"[ 0.13378725  0.18090321  0.          0.          0.          0.
 -1.        ]",[-0.05539882  0.09179078  1.00569575 -1.        ],[-1.49698463e-07  1.66666417e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
31,"[ 0.1338251   0.18087521  0.          0.          0.          0.
 -1.        ]",[-0.05372893  0.09407898  1.00562975 -1.        ],[-1.54884612e-07  1.66666409e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
32,"[ 0.13386227  0.18084771  0.          0.          0.          0.
 -1.        ]",[-0.0520579   0.09636611  1.00556374 -1.        ],[-1.60070761e-07  1.66666400e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
33,"[ 0.13389865  0.18082077  0.          0.          0.          0.
 -1.        ]",[-0.05038575  0.09865215  1.00549774 -1.        ],[-1.65256910e-07  1.66666391e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
34,"[ 0.13393413  0.18079449  0.          0.          0.          0.
 -1.        ]",[-0.04871246  0.10093709  1.00543173 -1.        ],[-1.70443059e-07  1.66666383e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
35,"[ 0.1339686   0.18076895  0.          0.          0.          0.
 -1.        ]",[-0.04703806  0.10322089  1.00536572 -1.        ],[-1.75629208e-07  1.66666374e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
36,"[ 0.13400195  0.18074423  0.          0.          0.          0.
 -1.        ]",[-0.04536256  0.10550356  1.00529968 -1.        ],[-1.80815357e-07  1.66666365e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
37,"[ 0.13403407  0.18072041  0.          0.          0.          0.
 -1.        ]",[-0.04368598  0.10778508  1.00523362 -1.        ],[-1.86001506e-07  1.66666357e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
38,"[ 0.13406486  0.18069758  0.          0.          0.          0.
 -1.        ]",[-0.04200837  0.11006545  1.00516751 -1.        ],[-1.91187655e-07  1.66666348e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
39,"[ 0.1340942  0.1806758  0.         0.         0.         0.
 -1.       ]",[-0.04032973  0.11234467  1.00510135 -1.        ],[-1.96373804e-07  1.66666339e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
40,"[ 0.13412199  0.18065517  0.          0.          0.          0.
 -1.        ]",[-0.03865012  0.11462275  1.00503511 -1.        ],[-2.01559953e-07  1.66666331e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
41,"[ 0.13414812  0.18063577  0.          0.          0.          0.
 -1.        ]",[-0.03696956  0.11689971  1.00496878 -1.        ],[-2.06746102e-07  1.66666322e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
42,"[ 0.13417249  0.18061767  0.          0.          0.          0.
 -1.        ]",[-0.03528811  0.11917556  1.00490235 -1.        ],[-2.11932251e-07  1.66666313e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
43,"[ 0.13419495  0.18060098  0.          0.          0.          0.
 -1.        ]",[-0.03360579  0.12145032  1.00483579 -1.        ],[-2.17118400e-07  1.66666305e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
44,"[ 0.13421537  0.18058581  0.          0.          0.          0.
 -1.        ]",[-0.03192266  0.12372401  1.00476908 -1.        ],[-2.22304549e-07  1.66666296e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
45,"[ 0.1342336   0.18057226  0.          0.          0.          0.
 -1.        ]",[-0.03023876  0.12599667  1.00470222 -1.        ],[-2.27490698e-07  1.66666288e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
46,"[ 0.13424944  0.18056048  0.          0.          0.          0.
 -1.        ]",[-0.02855413  0.12826831  1.00463518 -1.        ],[-2.32676847e-07  1.66666279e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
47,"[ 0.13426269  0.18055063  0.          0.          0.          0.
 -1.        ]",[-0.02686883  0.13053897  1.00456795 -1.        ],[-2.37862996e-07  1.66666270e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
48,"[ 0.13427307  0.18054291  0.          0.          0.          0.
 -1.        ]",[-0.02518291  0.13280866  1.0045005  -1.        ],[-2.43049145e-07  1.66666262e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
49,"[ 0.13428027  0.18053756  0.          0.          0.          0.
 -1.        ]",[-0.02349643  0.13507744  1.00443284 -1.        ],[-2.48235294e-07  1.66666253e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
50,"[ 0.1342839   0.18053486  0.          0.          0.          0.
 -1.        ]",[-0.02180944  0.13734533  1.00436493 -1.        ],[-2.53421442e-07  1.66666244e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
51,"[ 0.13428347  0.18053518  0.          0.          0.          0.
 -1.        ]",[-0.020122    0.13961238  1.00429677 -1.        ],[-2.58607591e-07  1.66666236e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
52,"[ 0.13427836  0.18053898  0.          0.          0.          0.
 -1.        ]",[-0.01843419  0.14187862  1.00422834 -1.        ],[-2.63793740e-07  1.66666227e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
53,"[ 0.13426776  0.18054686  0.          0.          0.          0.
 -1.        ]",[-0.01674609  0.14414411  1.00415963 -1.        ],[-2.68979889e-07  1.66666218e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
54,"[ 0.1342506   0.18055962  0.          0.          0.          0.
 -1.        ]",[-0.01505777  0.1464089   1.00409063 -1.        ],[-2.74166038e-07  1.66666210e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
55,"[ 0.13422544  0.18057833  0.          0.          0.          0.
 -1.        ]",[-0.01336935  0.14867307  1.00402134 -1.        ],[-2.79352187e-07  1.66666201e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
56,"[ 0.13419021  0.1806045   0.          0.          0.          0.
 -1.        ]",[-0.01168093  0.1509367   1.00395174 -1.        ],[-2.84538336e-07  1.66666192e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
57,"[ 0.13414193  0.18064037  0.          0.          0.          0.
 -1.        ]",[-0.00999268  0.15319989  1.00388183 -1.        ],[-2.89724485e-07  1.66666184e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
58,"[ 0.13407591  0.18068938  0.          0.          0.          0.
 -1.        ]",[-0.00830476  0.15546278  1.00381161 -1.        ],[-2.94910634e-07  1.66666175e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
59,"[ 0.13398437  0.18075726  0.          0.          0.          0.
 -1.        ]",[-0.00661744  0.15772556  1.00374111 -1.        ],[-3.00096783e-07  1.66666167e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
60,"[ 0.13385297  0.18085459  0.          0.          0.          0.
 -1.        ]",[-0.00493107  0.1599885   1.00367035 -1.        ],[-3.05282932e-07  1.66666158e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
61,"[ 0.13365102  0.18100388  0.          0.          0.          0.
 -1.        ]",[-0.00324626  0.16225207  1.0035994  -1.        ],[-3.10469081e-07  1.66666149e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
62,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.00222494  0.16355973  1.00274001 -1.        ],[-3.15655230e-07  1.66666141e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
63,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.00161325  0.16418609  1.00132905 -1.        ],[-3.20841379e-07  1.66666132e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
64,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.00108135  0.16463519  0.99980374 -1.        ],[-3.26027528e-07  1.66666123e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
65,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-6.28180195e-04  1.64951357e-01  9.98207548e-01 -1.00000000e+00],[-3.31213677e-07  1.66666115e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
66,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-2.38040479e-04  1.65163315e-01  9.96555383e-01 -1.00000000e+00],[-3.36399826e-07  1.66666106e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
67,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[ 8.95563692e-05  1.65288095e-01  9.94847827e-01 -1.00000000e+00],[-3.41585975e-07  1.66666097e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
68,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[ 3.55624148e-04  1.65341729e-01  9.93087308e-01 -1.00000000e+00],[-3.46772124e-07  1.66666089e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
69,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[ 5.64349087e-04  1.65339836e-01  9.91278706e-01 -1.00000000e+00],[-3.51958273e-07  1.66666080e-01  9.24784489e-01],6,6,[0.25 0.25 0.05]
