step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
0,"[-0.16263223 -0.33789903  0.          0.          0.          0.
 -1.        ]",[-0.09111474 -0.00957707  1.01675871 -1.        ],[-0.16666632 -0.16666632  0.91774327],[1],[0],[0.25 0.25 0.05]
1,"[-0.16253449 -0.33794606  0.          0.          0.          0.
 -1.        ]",[-0.09271756 -0.01248413  1.01695253 -1.        ],[-0.16666653 -0.16666653  0.92138461],[1],[0],[0.25 0.25 0.05]
2,"[-0.16216986 -0.33812119  0.          0.          0.          0.
 -1.        ]",[-0.09448944 -0.0156621   1.0171614  -1.        ],[-0.16666664 -0.16666664  0.92317686],[1],[0],[0.25 0.25 0.05]
3,"[-0.16171858 -0.33833726  0.          0.          0.          0.
 -1.        ]",[-0.09633215 -0.01905989  1.0173499  -1.        ],[-0.1666667  -0.1666667   0.92403937],[1],[0],[0.25 0.25 0.05]
4,"[-0.16131029 -0.33853211  0.          0.          0.          0.
 -1.        ]",[-0.09822821 -0.02266404  1.01750849 -1.        ],[-0.16666673 -0.16666673  0.9244291 ],[1],[0],[0.25 0.25 0.05]
5,"[-0.16096771 -0.33869514  0.          0.          0.          0.
 -1.        ]",[-0.10017118 -0.0264536   1.01763739 -1.        ],[-0.16666674 -0.16666674  0.92461059],[1],[0],[0.25 0.25 0.05]
6,"[-0.16068783 -0.33882801  0.          0.          0.          0.
 -1.        ]",[-0.10215518 -0.03039943  1.01773968 -1.        ],[-0.16666675 -0.16666675  0.92469846],[1],[0],[0.25 0.25 0.05]
7,"[-0.16045893 -0.33893647  0.          0.          0.          0.
 -1.        ]",[-0.10417374 -0.03447107  1.01781928 -1.        ],[-0.16666676 -0.16666676  0.92474172],[1],[0],[0.25 0.25 0.05]
8,"[-0.16026833 -0.33902664  0.          0.          0.          0.
 -1.        ]",[-0.10622012 -0.03864063  1.0178803  -1.        ],[-0.16666677 -0.16666677  0.92476317],[1],[0],[0.25 0.25 0.05]
9,"[-0.16010529 -0.33910367  0.          0.          0.          0.
 -1.        ]",[-0.10828783 -0.04288388  1.01792677 -1.        ],[-0.16666678 -0.16666678  0.92477385],[1],[0],[0.25 0.25 0.05]
10,"[-0.15996123 -0.33917165  0.          0.          0.          0.
 -1.        ]",[-0.11037087 -0.04718067  1.01796238 -1.        ],[-0.16666678 -0.16666678  0.92477918],[1],[0],[0.25 0.25 0.05]
11,"[-0.15982981 -0.33923359  0.          0.          0.          0.
 -1.        ]",[-0.11246394 -0.05151486  1.0179905  -1.        ],[-0.16666679 -0.16666679  0.92478184],[1],[0],[0.25 0.25 0.05]
12,"[-0.15970681 -0.33929152  0.          0.          0.          0.
 -1.        ]",[-0.11456244 -0.05587403  1.01801405 -1.        ],[-0.1666668  -0.1666668   0.92478317],[1],[0],[0.25 0.25 0.05]
13,"[-0.15958992 -0.33934652  0.          0.          0.          0.
 -1.        ]",[-0.11666256 -0.06024897  1.01803554 -1.        ],[-0.16666681 -0.16666681  0.92478383],[1],[0],[0.25 0.25 0.05]
14,"[-0.15947854 -0.33939888  0.          0.          0.          0.
 -1.        ]",[-0.11876121 -0.06463327  1.01805703 -1.        ],[-0.16666681 -0.16666681  0.92478416],[1],[0],[0.25 0.25 0.05]
15,"[-0.15937351 -0.33944821  0.          0.          0.          0.
 -1.        ]",[-0.12085602 -0.06902268  1.01808019 -1.        ],[-0.16666682 -0.16666682  0.92478432],[1],[0],[0.25 0.25 0.05]
16,"[-0.15927679 -0.3394936   0.          0.          0.          0.
 -1.        ]",[-0.12294527 -0.07341469  1.01810625 -1.        ],[-0.16666683 -0.16666683  0.92478441],[1],[0],[0.25 0.25 0.05]
17,"[-0.15919115 -0.33953376  0.          0.          0.          0.
 -1.        ]",[-0.12502786 -0.07780803  1.01813607 -1.        ],[-0.16666684 -0.16666684  0.92478445],[1],[0],[0.25 0.25 0.05]
18,"[-0.15911984 -0.33956719  0.          0.          0.          0.
 -1.        ]",[-0.12710323 -0.0822023   1.01817018 -1.        ],[-0.16666684 -0.16666684  0.92478447],[1],[0],[0.25 0.25 0.05]
19,"[-0.15906635 -0.33959225  0.          0.          0.          0.
 -1.        ]",[-0.12917129 -0.08659766  1.0182088  -1.        ],[-0.16666685 -0.16666685  0.92478448],[0],[0],[0.25 0.25 0.05]
20,"[-0.15903413 -0.33960734  0.          0.          0.          0.
 -1.        ]",[-0.13123238 -0.09099455  1.0182519  -1.        ],[-0.16666686 -0.16666686  0.92478448],[0],[0],[0.25 0.25 0.05]
21,"[-0.15902649 -0.33961092  0.          0.          0.          0.
 -1.        ]",[-0.13328714 -0.09539353  1.01829922 -1.        ],[-0.16666687 -0.16666687  0.92478449],[0],[0],[0.25 0.25 0.05]
22,"[-0.15904646 -0.33960157  0.          0.          0.          0.
 -1.        ]",[-0.13533648 -0.09979514  1.0183504  -1.        ],[-0.16666688 -0.16666688  0.92478449],[0],[0],[0.25 0.25 0.05]
