step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
0,"[-0.22493016 -0.00560545  0.          0.          0.          0.
 -1.        ]",[-0.08692375  0.00200297  1.01405191 -1.        ],[-1.66666586e-01  2.43077453e-07  9.17743166e-01],1,1,[0.25 0.25 0.05]
1,"[-0.22492906 -0.00564972  0.          0.          0.          0.
 -1.        ]",[-0.0891012   0.00198093  1.01438735 -1.        ],[-1.66666634e-01  9.69669257e-08  9.21384552e-01],1,1,[0.25 0.25 0.05]
2,"[-0.22492666 -0.00574435  0.          0.          0.          0.
 -1.        ]",[-0.09149107  0.00195693  1.0147591  -1.        ],[-1.66666661e-01  1.74717658e-08  9.23176835e-01],1,1,[0.25 0.25 0.05]
3,"[-0.2249238  -0.00585509  0.          0.          0.          0.
 -1.        ]",[-0.09397324  0.00193241  1.01510331 -1.        ],[-1.66666675e-01 -2.52063102e-08  9.24039353e-01],1,1,[0.25 0.25 0.05]
4,"[-0.22492054 -0.00597907  0.          0.          0.          0.
 -1.        ]",[-0.09652816  0.00191606  1.01540236 -1.        ],[-1.66666682e-01 -4.54815808e-08  9.24429097e-01],1,1,[0.25 0.25 0.05]
5,"[-0.22491609 -0.00614431  0.          0.          0.          0.
 -1.        ]",[-0.09915082  0.00190847  1.01565371 -1.        ],[-1.66666685e-01 -5.64033836e-08  9.24610590e-01],1,1,[0.25 0.25 0.05]
6,"[-0.22491016 -0.00635754  0.          0.          0.          0.
 -1.        ]",[-0.10183546  0.00190865  1.0158604  -1.        ],[-1.66666689e-01 -6.67018600e-08  9.24698458e-01],1,1,[0.25 0.25 0.05]
7,"[-0.22490256 -0.00662121  0.          0.          0.          0.
 -1.        ]",[-0.1045744   0.00191534  1.0160278  -1.        ],[-1.66666692e-01 -7.68897654e-08  9.24741717e-01],1,1,[0.25 0.25 0.05]
8,"[-0.22489303 -0.00693721  0.          0.          0.          0.
 -1.        ]",[-0.10735888  0.00192607  1.01616219 -1.        ],[-1.66666696e-01 -8.70267276e-08  9.24763174e-01],1,1,[0.25 0.25 0.05]
9,"[-0.22488144 -0.0073032   0.          0.          0.          0.
 -1.        ]",[-0.11017992  0.0019381   1.01627    -1.        ],[-1.66666699e-01 -9.71391330e-08  9.24773855e-01],1,1,[0.25 0.25 0.05]
10,"[-0.22486768 -0.00771538  0.          0.          0.          0.
 -1.        ]",[-0.11302904  0.00194916  1.01635727 -1.        ],[-1.66666702e-01 -1.07239492e-07  9.24779181e-01],1,1,[0.25 0.25 0.05]
11,"[-0.22485158 -0.00817097  0.          0.          0.          0.
 -1.        ]",[-0.11589863  0.00195739  1.01642944 -1.        ],[-1.66666706e-01 -1.17333889e-07  9.24781838e-01],1,1,[0.25 0.25 0.05]
12,"[-0.22483295 -0.00866857  0.          0.          0.          0.
 -1.        ]",[-0.11878215  0.00196135  1.01649115 -1.        ],[-1.66666709e-01 -1.27425321e-07  9.24783165e-01],1,1,[0.25 0.25 0.05]
13,"[-0.22481149 -0.00920827  0.          0.          0.          0.
 -1.        ]",[-0.12167421  0.00195988  1.01654623 -1.        ],[-1.66666713e-01 -1.37515275e-07  9.24783828e-01],1,1,[0.25 0.25 0.05]
14,"[-0.22478684 -0.00979176  0.          0.          0.          0.
 -1.        ]",[-0.12457054  0.00195198  1.01659767 -1.        ],[-1.66666716e-01 -1.47604493e-07  9.24784159e-01],1,1,[0.25 0.25 0.05]
15,"[-0.2247585  -0.01042193  0.          0.          0.          0.
 -1.        ]",[-0.1274679   0.00193668  1.01664776 -1.        ],[-1.66666719e-01 -1.57693343e-07  9.24784324e-01],1,1,[0.25 0.25 0.05]
16,"[-0.22472589 -0.01110296  0.          0.          0.          0.
 -1.        ]",[-0.13036392  0.0019132   1.01669814 -1.        ],[-1.66666723e-01 -1.67782009e-07  9.24784407e-01],1,1,[0.25 0.25 0.05]
17,"[-0.22468819 -0.01184134  0.          0.          0.          0.
 -1.        ]",[-0.13325695  0.00188084  1.01674994 -1.        ],[-1.66666726e-01 -1.77870583e-07  9.24784448e-01],1,1,[0.25 0.25 0.05]
18,"[-0.2246443  -0.01264661  0.          0.          0.          0.
 -1.        ]",[-0.13614596  0.00183891  1.01680383 -1.        ],[-1.66666729e-01 -1.87959112e-07  9.24784469e-01],1,1,[0.25 0.25 0.05]
19,"[-0.22459271 -0.01353201  0.          0.          0.          0.
 -1.        ]",[-0.13903031  0.00178668  1.01686018 -1.        ],[-1.66666733e-01 -1.98047618e-07  9.24784479e-01],1,1,[0.25 0.25 0.05]
20,"[-0.22453127 -0.01451583  0.          0.          0.          0.
 -1.        ]",[-0.14190971  0.00172326  1.01691912 -1.        ],[-1.66666736e-01 -2.08136112e-07  9.24784484e-01],1,1,[0.25 0.25 0.05]
21,"[-0.2244569  -0.01562376  0.          0.          0.          0.
 -1.        ]",[-0.14478403  0.00164758  1.01698064 -1.        ],[-1.66666739e-01 -2.18224600e-07  9.24784487e-01],1,1,[0.25 0.25 0.05]
22,"[-0.22436496 -0.01689277  0.          0.          0.          0.
 -1.        ]",[-0.14765322  0.00155825  1.01704462 -1.        ],[-1.66666743e-01 -2.28313086e-07  9.24784488e-01],1,1,[0.25 0.25 0.05]
23,"[-0.22424816 -0.01837831  0.          0.          0.          0.
 -1.        ]",[-0.15051722  0.00145343  1.01711091 -1.        ],[-1.66666746e-01 -2.38401570e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
24,"[-0.22409427 -0.02016824  0.          0.          0.          0.
 -1.        ]",[-0.15337585  0.00133055  1.01717936 -1.        ],[-1.66666749e-01 -2.48490054e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
25,"[-0.22388091 -0.02241286  0.          0.          0.          0.
 -1.        ]",[-0.15622864  0.00118587  1.01724986 -1.        ],[-1.66666753e-01 -2.58578537e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
26,"[-0.22356184 -0.02539892  0.          0.          0.          0.
 -1.        ]",[-1.59074612e-01  1.01350313e-03  1.01732237e+00 -1.00000000e+00],[-1.66666756e-01 -2.68667020e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
27,"[-0.22302154 -0.02977231  0.          0.          0.          0.
 -1.        ]",[-1.61911630e-01  8.03368596e-04  1.01739694e+00 -1.00000000e+00],[-1.66666760e-01 -2.78755503e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
28,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-1.63348156e-01  7.24401439e-04  1.01656474e+00 -1.00000000e+00],[-1.66666763e-01 -2.88843986e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
29,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-1.63517743e-01  7.38866114e-04  1.01490637e+00 -1.00000000e+00],[-1.66666766e-01 -2.98932468e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
30,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-1.63448915e-01  7.70358726e-04  1.01306947e+00 -1.00000000e+00],[-1.66666770e-01 -3.09020951e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
31,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-1.63346149e-01  8.16547075e-04  1.01118543e+00 -1.00000000e+00],[-1.66666773e-01 -3.19109434e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
32,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-1.63251770e-01  8.77406373e-04  1.00928117e+00 -1.00000000e+00],[-1.66666776e-01 -3.29197917e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
