step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
0,"[ 0.09360233  0.20460597  0.          0.          0.          0.
 -1.        ]",[-0.07881133 -0.00569644  1.03332084 -1.        ],[7.37396969e-08 1.66666790e-01 9.17743142e-01],5,6,[0.25 0.25 0.05]
1,"[ 0.0935624   0.20462423  0.          0.          0.          0.
 -1.        ]",[-0.07790364 -0.00405707  1.03319132 -1.        ],[2.93389284e-08 1.66666716e-01 9.21384541e-01],5,6,[0.25 0.25 0.05]
2,"[ 0.09340559  0.20469586  0.          0.          0.          0.
 -1.        ]",[-0.0769046  -0.00231925  1.03304779 -1.        ],[5.18148537e-09 1.66666675e-01 9.23176829e-01],5,6,[0.25 0.25 0.05]
3,"[ 0.09319888  0.20479006  0.          0.          0.          0.
 -1.        ]",[-7.58810741e-02 -4.89011428e-04  1.03290572e+00 -1.00000000e+00],[-7.78776985e-09  1.66666654e-01  9.24039351e-01],5,6,[0.25 0.25 0.05]
4,"[ 0.09300531  0.20487804  0.          0.          0.          0.
 -1.        ]",[-0.07484226  0.00144854  1.03277325 -1.        ],[-1.44111596e-08  1.66666643e-01  9.24429096e-01],5,6,[0.25 0.25 0.05]
5,"[ 0.09284149  0.20495233  0.          0.          0.          0.
 -1.        ]",[-0.07378836  0.00350118  1.03265336 -1.        ],[-1.98369674e-08  1.66666634e-01  9.24610589e-01],5,6,[0.25 0.25 0.05]
6,"[ 0.09271211  0.20501089  0.          0.          0.          0.
 -1.        ]",[-0.07271985  0.00566751  1.03254614 -1.        ],[-2.51303878e-08  1.66666625e-01  9.24698458e-01],5,6,[0.25 0.25 0.05]
7,"[ 0.09261817  0.20505334  0.          0.          0.          0.
 -1.        ]",[-0.07163833  0.00793971  1.0324502  -1.        ],[-3.03676443e-08  1.66666616e-01  9.24741717e-01],5,6,[0.25 0.25 0.05]
8,"[ 0.09255892  0.2050801   0.          0.          0.          0.
 -1.        ]",[-0.07054623  0.01030646  1.03236332 -1.        ],[-3.55787149e-08  1.66666607e-01  9.24763174e-01],5,6,[0.25 0.25 0.05]
9,"[ 0.09253286  0.20509186  0.          0.          0.          0.
 -1.        ]",[-0.06944627  0.01275442  1.032283   -1.        ],[-4.07771618e-08  1.66666599e-01  9.24773855e-01],5,6,[0.25 0.25 0.05]
10,"[ 0.09253785  0.20508961  0.          0.          0.          0.
 -1.        ]",[-0.06834109  0.01526939  1.03220678 -1.        ],[-4.59694159e-08  1.66666590e-01  9.24779181e-01],5,6,[0.25 0.25 0.05]
11,"[ 0.09257115  0.20507457  0.          0.          0.          0.
 -1.        ]",[-0.06723294  0.01783736  1.03213254 -1.        ],[-5.11586050e-08  1.66666581e-01  9.24781838e-01],5,6,[0.25 0.25 0.05]
12,"[ 0.09262956  0.2050482   0.          0.          0.          0.
 -1.        ]",[-0.06612351  0.02044518  1.03205862 -1.        ],[-5.63462700e-08  1.66666573e-01  9.24783165e-01],5,6,[0.25 0.25 0.05]
13,"[ 0.09270948  0.20501208  0.          0.          0.          0.
 -1.        ]",[-0.06501388  0.02308115  1.03198388 -1.        ],[-6.15331757e-08  1.66666564e-01  9.24783828e-01],5,6,[0.25 0.25 0.05]
14,"[ 0.09280712  0.2049679   0.          0.          0.          0.
 -1.        ]",[-0.06390456  0.0257353   1.03190768 -1.        ],[-6.67197025e-08  1.66666555e-01  9.24784159e-01],5,6,[0.25 0.25 0.05]
15,"[ 0.09291866  0.20491736  0.          0.          0.          0.
 -1.        ]",[-0.06279556  0.02839951  1.03182979 -1.        ],[-7.19060401e-08  1.66666547e-01  9.24784324e-01],5,6,[0.25 0.25 0.05]
16,"[ 0.0930404   0.20486211  0.          0.          0.          0.
 -1.        ]",[-0.06168653  0.03106743  1.03175035 -1.        ],[-7.70922833e-08  1.66666538e-01  9.24784407e-01],5,6,[0.25 0.25 0.05]
17,"[ 0.09316889  0.20480371  0.          0.          0.          0.
 -1.        ]",[-0.06057686  0.0337344   1.03166971 -1.        ],[-8.22784793e-08  1.66666530e-01  9.24784448e-01],5,6,[0.25 0.25 0.05]
18,"[ 0.09330105  0.20474353  0.          0.          0.          0.
 -1.        ]",[-0.0594658   0.03639718  1.03158841 -1.        ],[-8.74646518e-08  1.66666521e-01  9.24784469e-01],5,6,[0.25 0.25 0.05]
19,"[ 0.0934342  0.2046828  0.         0.         0.         0.
 -1.       ]",[-0.05835258  0.03905373  1.031507   -1.        ],[-9.26508125e-08  1.66666512e-01  9.24784479e-01],5,6,[0.25 0.25 0.05]
20,"[ 0.09356616  0.20462251  0.          0.          0.          0.
 -1.        ]",[-0.0572365   0.04170299  1.03142606 -1.        ],[-9.78369674e-08  1.66666504e-01  9.24784484e-01],5,6,[0.25 0.25 0.05]
21,"[ 0.0936952   0.20456346  0.          0.          0.          0.
 -1.        ]",[-0.05611693  0.0443446   1.03134608 -1.        ],[-1.03023119e-07  1.66666495e-01  9.24784487e-01],5,6,[0.25 0.25 0.05]
22,"[ 0.09382004  0.20450623  0.          0.          0.          0.
 -1.        ]",[-0.05499339  0.04697871  1.0312675  -1.        ],[-1.08209270e-07  1.66666486e-01  9.24784488e-01],5,6,[0.25 0.25 0.05]
23,"[ 0.09393983  0.20445123  0.          0.          0.          0.
 -1.        ]",[-0.05386555  0.04960584  1.03119063 -1.        ],[-1.13395419e-07  1.66666478e-01  9.24784489e-01],5,6,[0.25 0.25 0.05]
24,"[ 0.09405408  0.2043987   0.          0.          0.          0.
 -1.        ]",[-0.05273322  0.05222668  1.03111568 -1.        ],[-1.18581569e-07  1.66666469e-01  9.24784489e-01],5,6,[0.25 0.25 0.05]
25,"[ 0.0941626   0.20434873  0.          0.          0.          0.
 -1.        ]",[-0.05159635  0.054842    1.03104276 -1.        ],[-1.23767718e-07  1.66666460e-01  9.24784489e-01],5,6,[0.25 0.25 0.05]
