step,action,eef_pos
0,[ 5.99522602e-04  4.99808913e-01 -1.38090815e-02  1.00000000e+00],[-0.00159158 -0.34758379  0.79815946]
1,[ 0.0011407   0.4999645  -0.00584796  1.        ],[-0.00232464 -0.34393125  0.79434759]
2,[ 0.00167494  0.49998738 -0.0031325   1.        ],[-0.002533   -0.34015384  0.79412969]
3,[ 0.00183505  0.49998768 -0.00299179  1.        ],[-0.0025672  -0.33595862  0.79456768]
4,[ 0.0018712   0.49998541 -0.00332932  1.        ],[-0.00248481 -0.33126826  0.79505454]
5,[ 0.0018236   0.49998291 -0.00370953  1.        ],[-0.00233726 -0.326115    0.79546259]
6,[ 0.00172838  0.49998069 -0.00403954  1.        ],[-0.00217547 -0.32055883  0.79576691]
7,[ 0.00162206  0.49997888 -0.0042999   1.        ],[-0.00203797 -0.31467098  0.7959688 ]
8,[ 0.001533    0.49997749 -0.00448984  1.        ],[-0.00194962 -0.30852367  0.79607809]
9,[ 0.00148022  0.49997651 -0.00461472  1.        ],[-0.00192322 -0.30218359  0.79610785]
10,[ 0.00147438  0.4999759  -0.00468239  1.        ],[-0.00196219 -0.29570862  0.79607227]
11,[ 0.00151933  0.49997558 -0.00470179  1.        ],[-0.00206339 -0.28914666  0.79598531]
12,[ 0.0016141   0.49997547 -0.00468204  1.        ],[-0.00221968 -0.28253567  0.79585979]
13,[ 0.0017545   0.49997547 -0.00463175  1.        ],[-0.00242188 -0.2759044   0.79570687]
14,[ 0.00193461  0.49997548 -0.00455867  1.        ],[-0.00266025 -0.26927358  0.79553584]
15,[ 0.00214777  0.49997541 -0.00446941  1.        ],[-0.0029254  -0.26265721  0.79535409]
16,[ 0.00238735  0.49997521 -0.00436935  1.        ],[-0.00320895 -0.25606387  0.7951672 ]
17,[ 0.00264724  0.49997482 -0.0042627   1.        ],[-0.00350376 -0.249498    0.7949792 ]
18,[ 0.00292209  0.49997422 -0.00415259  1.        ],[-0.00380404 -0.24296099  0.7947928 ]
19,[ 0.00320749  0.49997338 -0.0040412   1.        ],[-0.0041053  -0.23645217  0.79460968]
20,[ 0.00349992  0.49997231 -0.00392992  1.        ],[-0.0044042  -0.22996952  0.79443074]
21,[ 0.00379671  0.49997099 -0.00381958  1.        ],[-0.00469839 -0.22351029  0.79425631]
22,[ 0.00409592  0.49996945 -0.00371052  1.        ],[-0.00498628 -0.21707148  0.79408635]
23,[ 0.00439623  0.49996769 -0.0036028   1.        ],[-0.00526688 -0.21065007  0.79392061]
24,[ 0.0046968   0.49996572 -0.00349624  1.        ],[-0.00553963 -0.20424328  0.79375871]
25,[ 0.00499711  0.49996353 -0.0033906   1.        ],[-0.00580423 -0.19784866  0.79360024]
26,[ 0.00529688  0.49996115 -0.00328554  1.        ],[-0.00606055 -0.19146409  0.79344482]
27,[ 0.00559599  0.49995857 -0.00318076  1.        ],[-0.00630852 -0.18508781  0.79329214]
28,[ 0.00589433  0.49995579 -0.00307599  1.        ],[-0.00654807 -0.17871839  0.79314193]
29,[ 0.00619182  0.49995283 -0.00297099  1.        ],[-0.00677911 -0.17235465  0.79299403]
30,[ 0.00648834  0.49994969 -0.00286561  1.        ],[-0.00700145 -0.16599561  0.79284833]
31,[ 0.00678368  0.49994636 -0.00275973  1.        ],[-0.00721489 -0.15964047  0.79270479]
32,[ 0.0070776   0.49994286 -0.00265332  1.        ],[-0.0074191  -0.1532885   0.79256345]
33,[ 0.00736973  0.4999392  -0.00254639  1.        ],[-0.00761376 -0.14693904  0.79242436]
34,[ 0.00765967  0.49993538 -0.00243898  1.        ],[-0.00779846 -0.14059145  0.79228762]
35,[ 0.00794693  0.49993141 -0.00233118  1.        ],[-0.0079728  -0.1342451   0.79215335]
36,[ 0.008231    0.4999273  -0.00222309  1.        ],[-0.00813637 -0.12789934  0.79202167]
37,[ 0.00851133  0.49992308 -0.00211483  1.        ],[-0.00828878 -0.12155347  0.79189269]
38,[ 0.00878738  0.49991875 -0.00200654  1.        ],[-0.00842969 -0.1152068   0.79176654]
39,[ 0.00905861  0.49991433 -0.00189834  1.        ],[-0.00855881 -0.10885857  0.79164332]
40,[ 0.00932451  0.49990984 -0.00179034  1.        ],[-0.0086759  -0.10250804  0.79152311]
41,[ 0.00958464  0.49990529 -0.00168265  1.        ],[-0.00878081 -0.09615445  0.79140597]
42,[ 0.0098386   0.49990071 -0.00157534  1.        ],[-0.00887349 -0.08979702  0.79129194]
43,[ 0.01008607  0.4998961  -0.00146849  1.        ],[-0.00895396 -0.08343501  0.79118104]
44,[ 0.01032683  0.49989149 -0.00136212  1.        ],[-0.00902233 -0.0770677   0.79107325]
45,[ 0.01056072  0.49988688 -0.00125625  1.        ],[-0.00907879 -0.07069442  0.79096855]
46,[ 0.0107877   0.49988229 -0.00115086  1.        ],[-0.00912362 -0.06431451  0.79086689]
47,[ 0.01100781  0.49987772 -0.00104591  1.        ],[-0.00915717 -0.0579274   0.79076819]
48,[ 1.12211742e-02  4.99873183e-01 -9.41338984e-04  1.00000000e+00],[-0.00917986 -0.05153258  0.79067238]
