step,action,eef_pos
0,[ 1.83491684e-04 -2.49944424e-01 -5.26794090e-03  1.00000000e+00],[-0.00118798  0.34913239  0.79376092]
1,[ 4.24798601e-04 -2.49996022e-01 -1.34483077e-03  1.00000000e+00],[-0.00194122  0.34770086  0.79008429]
2,[ 6.95573564e-04 -2.49999031e-01 -3.02012426e-05  1.00000000e+00],[-0.00222758  0.34636143  0.78972384]
3,[ 7.99716842e-04 -2.49998701e-01  9.91437755e-05  1.00000000e+00],[-0.00231889  0.34478982  0.78999666]
4,[ 8.34379085e-04 -2.49998608e-01  1.20171317e-06  1.00000000e+00],[-0.00228842  0.34286773  0.79034655]
5,[ 8.25700340e-04 -2.49998605e-01 -1.25041575e-04  1.00000000e+00],[-0.0021732   0.34062576  0.79066708]
6,[ 7.86673709e-04 -2.49998646e-01 -2.41476968e-04  1.00000000e+00],[-0.00201034  0.33811461  0.79093372]
7,[ 7.30376880e-04 -2.49998703e-01 -3.39228139e-04  1.00000000e+00],[-0.00183243  0.33537772  0.79114149]
8,[ 6.68399815e-04 -2.49998760e-01 -4.16370823e-04  1.00000000e+00],[-0.00166398  0.33246076  0.7912928 ]
9,[ 6.09550039e-04 -2.49998808e-01 -4.73577656e-04  1.00000000e+00],[-0.00152119  0.32940671  0.79139316]
10,[ 5.59747747e-04 -2.49998848e-01 -5.12637646e-04  1.00000000e+00],[-0.00141327  0.32625333  0.79144951]
11,[ 5.22462411e-04 -2.49998880e-01 -5.35856881e-04  1.00000000e+00],[-0.00134395  0.32303226  0.79146922]
12,[ 4.99213791e-04 -2.49998906e-01 -5.45745769e-04  1.00000000e+00],[-0.00131298  0.31976883  0.79145958]
13,[ 4.90085973e-04 -2.49998926e-01 -5.44804042e-04  1.00000000e+00],[-0.00131748  0.31648257  0.79142727]
14,[ 4.94190268e-04 -2.49998938e-01 -5.35371352e-04  1.00000000e+00],[-0.00135303  0.31318777  0.7913782 ]
15,[ 5.10044495e-04 -2.49998940e-01 -5.19534826e-04  1.00000000e+00],[-0.00141447  0.30989441  0.79131737]
16,[ 5.35866959e-04 -2.49998928e-01 -4.99081779e-04  1.00000000e+00],[-0.00149653  0.30660887  0.79124884]
17,[ 5.69793179e-04 -2.49998898e-01 -4.75486459e-04  1.00000000e+00],[-0.00159421  0.30333482  0.7911758 ]
18,[ 6.10025978e-04 -2.49998851e-01 -4.49921243e-04  1.00000000e+00],[-0.00170302  0.30007386  0.79110067]
19,[ 6.54931298e-04 -2.49998784e-01 -4.23283454e-04  1.00000000e+00],[-0.00181912  0.29682614  0.79102518]
20,[ 7.03091857e-04 -2.49998697e-01 -3.96231127e-04  1.00000000e+00],[-0.00193935  0.29359087  0.79095052]
21,[ 7.53329016e-04 -2.49998592e-01 -3.69222283e-04  1.00000000e+00],[-0.00206123  0.2903667   0.79087744]
22,[ 8.04702292e-04 -2.49998470e-01 -3.42553452e-04  1.00000000e+00],[-0.00218288  0.28715202  0.79080637]
23,[ 8.56493655e-04 -2.49998333e-01 -3.16395611e-04  1.00000000e+00],[-0.00230297  0.28394517  0.79073748]
24,[ 9.08182532e-04 -2.49998181e-01 -2.90825980e-04  1.00000000e+00],[-0.00242061  0.28074457  0.79067075]
25,[ 9.59416265e-04 -2.49998018e-01 -2.65854890e-04  1.00000000e+00],[-0.00253527  0.27754882  0.79060609]
26,[ 1.00997945e-03 -2.49997843e-01 -2.41447624e-04  1.00000000e+00],[-0.00264671  0.27435675  0.7905433 ]
27,[ 1.05976440e-03 -2.49997659e-01 -2.17541584e-04  1.00000000e+00],[-0.00275489  0.2711674   0.79048218]
28,[ 1.10874418e-03 -2.49997466e-01 -1.94059324e-04  1.00000000e+00],[-0.00285992  0.26798003  0.7904225 ]
29,[ 1.15694918e-03 -2.49997264e-01 -1.70918025e-04  1.00000000e+00],[-0.00296198  0.2647941   0.79036405]
30,[ 1.20444750e-03 -2.49997055e-01 -1.48036051e-04  1.00000000e+00],[-0.00306134  0.26160925  0.79030663]
31,[ 1.25132918e-03 -2.49996837e-01 -1.25337298e-04  1.00000000e+00],[-0.00315824  0.25842524  0.79025007]
32,[ 1.29769396e-03 -2.49996611e-01 -1.02753600e-04  1.00000000e+00],[-0.00325296  0.25524193  0.79019423]
33,[ 1.34364220e-03 -2.49996376e-01 -8.02259505e-05  1.00000000e+00],[-0.00334574  0.25205929  0.79013897]
34,[ 1.38926856e-03 -2.49996133e-01 -5.77048373e-05  1.00000000e+00],[-0.00343679  0.24887731  0.7900842 ]
35,[ 1.43465777e-03 -2.49995881e-01 -3.51499285e-05  1.00000000e+00],[-0.0035263   0.24569603  0.79002986]
36,[ 1.47988226e-03 -2.49995620e-01 -1.25293407e-05  1.00000000e+00],[-0.00361441  0.24251552  0.78997587]
37,[ 1.52500108e-03 -2.49995348e-01  1.01812441e-05  1.00000000e+00],[-0.00370124  0.23933584  0.78992221]
38,[ 1.57005981e-03 -2.49995068e-01  3.29995698e-05  1.00000000e+00],[-0.00378687  0.23615706  0.78986884]
39,[ 1.61509107e-03 -2.49994777e-01  5.59377079e-05  1.00000000e+00],[-0.00387134  0.23297923  0.78981577]
40,[ 1.66011577e-03 -2.49994475e-01  7.90033740e-05  1.00000000e+00],[-0.00395468  0.22980242  0.78976297]
41,[ 1.70514397e-03 -2.49994164e-01  1.02200016e-04  1.00000000e+00],[-0.00403689  0.22662666  0.78971046]
42,[ 1.75017662e-03 -2.49993842e-01  1.25528265e-04  1.00000000e+00],[-0.00411797  0.22345197  0.78965825]
43,[ 1.79520672e-03 -2.49993510e-01  1.48986262e-04  1.00000000e+00],[-0.00419787  0.22027838  0.78960634]
44,[ 1.84022072e-03 -2.49993168e-01  1.72570237e-04  1.00000000e+00],[-0.00427655  0.21710588  0.78955475]
45,[ 1.88519966e-03 -2.49992815e-01  1.96274956e-04  1.00000000e+00],[-0.00435398  0.21393448  0.78950351]
46,[ 1.93012026e-03 -2.49992452e-01  2.20094104e-04  1.00000000e+00],[-0.00443008  0.21076415  0.78945263]
47,[ 1.97495584e-03 -2.49992080e-01  2.44020567e-04  1.00000000e+00],[-0.0045048   0.20759489  0.78940213]
48,[ 2.01967710e-03 -2.49991698e-01  2.68046678e-04  1.00000000e+00],[-0.00457807  0.20442667  0.78935204]
49,[ 2.06425277e-03 -2.49991307e-01  2.92164405e-04  1.00000000e+00],[-0.00464982  0.20125944  0.78930238]
50,[ 2.10865017e-03 -2.49990907e-01  3.16365502e-04  1.00000000e+00],[-0.00472     0.19809318  0.78925316]
51,[ 2.15283563e-03 -2.49990498e-01  3.40641617e-04  1.00000000e+00],[-0.00478853  0.19492785  0.78920441]
52,[ 2.19677483e-03 -2.49990082e-01  3.64984394e-04  1.00000000e+00],[-0.00485534  0.19176341  0.78915615]
53,[ 2.24043309e-03 -2.49989657e-01  3.89385535e-04  1.00000000e+00],[-0.00492038  0.18859981  0.78910839]
54,[ 2.28377560e-03 -2.49989226e-01  4.13836863e-04  1.00000000e+00],[-0.00498357  0.18543701  0.78906116]
55,[ 2.32676754e-03 -2.49988788e-01  4.38330356e-04  1.00000000e+00],[-0.00504487  0.18227496  0.78901448]
56,[ 2.36937429e-03 -2.49988343e-01  4.62858195e-04  1.00000000e+00],[-0.00510421  0.1791136   0.78896836]
57,[ 2.41156146e-03 -2.49987893e-01  4.87412775e-04  1.00000000e+00],[-0.00516153  0.1759529   0.78892282]
58,[ 2.45329508e-03 -2.49987438e-01  5.11986748e-04  1.00000000e+00],[-0.00521679  0.17279279  0.78887788]
59,[ 2.49454159e-03 -2.49986978e-01  5.36573034e-04  1.00000000e+00],[-0.00526992  0.16963323  0.78883354]
60,[ 2.53526799e-03 -2.49986515e-01  5.61164846e-04  1.00000000e+00],[-0.00532089  0.16647416  0.78878982]
61,[ 2.57544185e-03 -2.49986048e-01  5.85755702e-04  1.00000000e+00],[-0.00536965  0.16331552  0.78874674]
62,[ 2.61503143e-03 -2.49985578e-01  6.10339451e-04  1.00000000e+00],[-0.00541616  0.16015727  0.78870431]
63,[ 2.65400573e-03 -2.49985106e-01  6.34910282e-04  1.00000000e+00],[-0.00546038  0.15699933  0.78866253]
64,[ 2.69233453e-03 -2.49984632e-01  6.59462752e-04  1.00000000e+00],[-0.00550228  0.15384166  0.78862142]
65,[ 2.72998851e-03 -2.49984158e-01  6.83991790e-04  1.00000000e+00],[-0.00554181  0.1506842   0.78858098]
66,[ 2.76693930e-03 -2.49983684e-01  7.08492725e-04  1.00000000e+00],[-0.00557896  0.14752689  0.78854123]
67,[ 2.80315954e-03 -2.49983210e-01  7.32961290e-04  1.00000000e+00],[-0.0056137   0.14436967  0.78850217]
68,[ 2.83862292e-03 -2.49982737e-01  7.57393655e-04  1.00000000e+00],[-0.00564601  0.14121249  0.7884638 ]
69,[ 2.87330428e-03 -2.49982265e-01  7.81786400e-04  1.00000000e+00],[-0.00567587  0.13805528  0.78842613]
70,[ 2.90717969e-03 -2.49981796e-01  8.06136569e-04  1.00000000e+00],[-0.00570327  0.13489798  0.78838916]
71,[ 2.94022644e-03 -2.49981330e-01  8.30441664e-04  1.00000000e+00],[-0.00572819  0.13174054  0.7883529 ]
72,[ 2.97242314e-03 -2.49980868e-01  8.54699642e-04  1.00000000e+00],[-0.00575062  0.12858291  0.78831734]
73,[ 3.00374970e-03 -2.49980409e-01  8.78908927e-04  1.00000000e+00],[-0.00577058  0.12542501  0.7882825 ]
74,[ 3.03418744e-03 -2.49979956e-01  9.03068412e-04  1.00000000e+00],[-0.00578805  0.12226681  0.78824836]
75,[ 3.06371901e-03 -2.49979507e-01  9.27177456e-04  1.00000000e+00],[-0.00580303  0.11910824  0.78821492]
76,[ 3.09232853e-03 -2.49979064e-01  9.51235881e-04  1.00000000e+00],[-0.00581555  0.11594926  0.78818219]
77,[ 3.12000147e-03 -2.49978628e-01  9.75243965e-04  1.00000000e+00],[-0.0058256   0.1127898   0.78815016]
78,[ 3.14672472e-03 -2.49978198e-01  9.99202437e-04  1.00000000e+00],[-0.0058332   0.10962982  0.78811882]
79,[ 0.00317249 -0.24997778  0.00102311  1.        ],[-0.00583836  0.10646927  0.78808818]
80,[ 0.00319728 -0.24997736  0.00104698  1.        ],[-0.00584112  0.1033081   0.78805822]
81,[ 0.00322109 -0.24997695  0.00107079  1.        ],[-0.00584148  0.10014626  0.78802895]
82,[ 0.00324391 -0.24997656  0.00109457  1.        ],[-0.00583947  0.09698372  0.78800035]
83,[ 0.00326573 -0.24997617  0.00111831  1.        ],[-0.00583513  0.09382043  0.78797242]
84,[ 0.00328656 -0.24997579  0.00114201  1.        ],[-0.00582848  0.09065635  0.78794515]
85,[ 0.00330638 -0.24997542  0.00116567  1.        ],[-0.00581956  0.08749144  0.78791854]
86,[ 0.0033252  -0.24997506  0.00118931  1.        ],[-0.00580839  0.08432567  0.78789258]
87,[ 0.003343   -0.24997471  0.00121292  1.        ],[-0.00579502  0.08115899  0.78786725]
88,[ 0.0033598  -0.24997436  0.00123651  1.        ],[-0.00577948  0.07799139  0.78784255]
89,[ 0.00337558 -0.24997403  0.00126009  1.        ],[-0.00576181  0.07482283  0.78781848]
90,[ 0.00339036 -0.24997371  0.00128365  1.        ],[-0.00574206  0.07165327  0.78779502]
91,[ 0.00340413 -0.2499734   0.00130721  1.        ],[-0.00572025  0.0684827   0.78777216]
92,[ 0.00341689 -0.24997311  0.00133076  1.        ],[-0.00569645  0.06531109  0.7877499 ]
