step,action,eef_pos
0,[-2.49833103e-01  3.16532341e-06 -9.13348118e-03  1.00000000e+00],[ 2.45989167e-01 -1.45756691e-05  7.97210300e-01]
1,[-2.49973588e-01  7.34599171e-06 -3.63391910e-03  1.00000000e+00],[ 2.44049802e-01 -2.36918241e-05  7.93972250e-01]
2,[-2.49991920e-01  1.19881934e-05 -2.00998052e-03  1.00000000e+00],[ 2.43439575e-01 -3.65366059e-05  7.94955209e-01]
3,[-2.49987395e-01  1.85102521e-05 -2.51041862e-03  1.00000000e+00],[ 2.43385328e-01 -5.52867229e-05  7.96994192e-01]
4,[-2.49974883e-01  2.80111533e-05 -3.54362439e-03  1.00000000e+00],[ 2.43563478e-01 -7.72966724e-05  7.99300389e-01]
5,[-2.49955625e-01  3.91453965e-05 -4.71000090e-03  1.00000000e+00],[ 2.43874724e-01 -1.00650309e-04  8.01689296e-01]
6,[-2.49929999e-01  5.09350457e-05 -5.91547914e-03  1.00000000e+00],[ 2.44274203e-01 -1.24501412e-04  8.04106722e-01]
7,[-2.49898236e-01  6.29462005e-05 -7.13216466e-03  1.00000000e+00],[ 2.44729995e-01 -1.48271557e-04  8.06519187e-01]
8,[-2.49860741e-01  7.48837576e-05 -8.34292711e-03  1.00000000e+00],[ 2.45224006e-01 -1.71478717e-04  8.08927166e-01]
9,[-2.49817594e-01  8.65030776e-05 -9.54787921e-03  1.00000000e+00],[ 2.45738233e-01 -1.93787279e-04  8.11325225e-01]
10,[-2.49768993e-01  9.76363133e-05 -1.07443395e-02  1.00000000e+00],[ 2.46261992e-01 -2.14911321e-04  8.13712132e-01]
11,[-2.49715081e-01  1.08141665e-04 -1.19317560e-02  1.00000000e+00],[ 2.46786661e-01 -2.34621507e-04  8.16088203e-01]
12,[-2.49655970e-01  1.17907070e-04 -1.31104078e-02  1.00000000e+00],[ 2.47288241e-01 -2.52923393e-04  8.18434296e-01]
13,[-2.49592292e-01  1.26943941e-04 -1.42713631e-02  1.00000000e+00],[ 2.47751584e-01 -2.69766894e-04  8.20740218e-01]
14,[-2.49524564e-01  1.35235063e-04 -1.54101760e-02  1.00000000e+00],[ 2.48153492e-01 -2.85088539e-04  8.23001933e-01]
15,[-2.49453150e-01  1.42759682e-04 -1.65259028e-02  1.00000000e+00],[ 2.48485493e-01 -3.01258333e-04  8.25221858e-01]
16,[-2.49378217e-01  1.50711038e-04 -1.76205010e-02  1.00000000e+00],[ 2.48744188e-01 -3.20341942e-04  8.27384315e-01]
17,[-2.49300578e-01  1.60125036e-04 -1.86867966e-02  1.00000000e+00],[ 2.48913075e-01 -3.42561416e-04  8.29475473e-01]
18,[-2.49221042e-01  1.71119013e-04 -1.97191032e-02  1.00000000e+00],[ 2.48974643e-01 -3.66975484e-04  8.31483690e-01]
19,[-2.49140398e-01  1.83232594e-04 -2.07130024e-02  1.00000000e+00],[ 2.48910319e-01 -3.92591980e-04  8.33397276e-01]
20,[-2.49059477e-01  1.95984628e-04 -2.16642201e-02  1.00000000e+00],[ 2.48700245e-01 -4.19203509e-04  8.35203903e-01]
21,[-2.48979169e-01  2.09289935e-04 -2.25683273e-02  1.00000000e+00],[ 2.48323299e-01 -4.46757161e-04  8.36890530e-01]
22,[-2.48900425e-01  2.23144387e-04 -2.34206848e-02  1.00000000e+00],[ 2.47757332e-01 -4.75169433e-04  8.38443537e-01]
23,[-2.48824247e-01  2.37532767e-04 -2.42164722e-02  1.00000000e+00],[ 2.46979611e-01 -5.04228895e-04  8.39849002e-01]
24,[-2.48751674e-01  2.52380136e-04 -2.49507677e-02  1.00000000e+00],[ 2.45967511e-01 -5.32819814e-04  8.41093127e-01]
25,[-2.48683759e-01  2.67161924e-04 -2.56186757e-02  1.00000000e+00],[ 2.44699459e-01 -5.59430093e-04  8.42162808e-01]
