step,action,eef_pos
0,[ 9.99591302e-01 -5.44083232e-05 -2.85871668e-02  1.00000000e+00],[-2.45979112e-01  2.39607597e-05  7.93488909e-01]
1,[ 9.99975258e-01 -4.83088224e-05 -7.03421207e-03  1.00000000e+00],[-2.39131026e-01  4.93914233e-05  7.89365793e-01]
2,[ 9.99999154e-01 -1.00977813e-04  1.29659825e-03  1.00000000e+00],[-2.37089474e-01  1.36525383e-04  7.88863739e-01]
3,[ 9.99997240e-01 -2.80287327e-04  2.33274894e-03  1.00000000e+00],[-2.31582128e-01  1.07340543e-04  7.88246773e-01]
4,[ 9.99993348e-01 -2.22889976e-04  3.64053146e-03  1.00000000e+00],[-2.23753917e-01  5.87112853e-05  7.87103087e-01]
5,[ 9.99981297e-01 -1.23925492e-04  6.11469122e-03  1.00000000e+00],[-2.14911952e-01  2.34371472e-05  7.86049438e-01]
6,[ 9.99963897e-01 -5.04101926e-05  8.49713350e-03  1.00000000e+00],[-2.05211551e-01 -3.62204522e-06  7.85259308e-01]
7,[9.99945776e-01 7.95640798e-06 1.04136976e-02 1.00000000e+00],[-1.94685580e-01 -2.22672548e-05  7.84774807e-01]
8,[9.99930971e-01 5.00706988e-05 1.17494978e-02 1.00000000e+00],[-1.83378298e-01 -3.09748121e-05  7.84593383e-01]
9,[9.99922187e-01 7.14673577e-05 1.24745434e-02 1.00000000e+00],[-1.71361562e-01 -2.78920644e-05  7.84690095e-01]
10,[9.99920605e-01 6.61898296e-05 1.26007773e-02 1.00000000e+00],[-1.58731749e-01 -1.16338547e-05  7.85025229e-01]
11,[9.99925938e-01 2.84611928e-05 1.21703354e-02 1.00000000e+00],[-1.45602384e-01  1.82786264e-05  7.85549164e-01]
12,[ 9.99936715e-01 -4.62016166e-05  1.12500687e-02  1.00000000e+00],[-1.32095285e-01  5.82509576e-05  7.86207055e-01]
13,[ 9.99950722e-01 -1.52443878e-04  9.92620931e-03  1.00000000e+00],[-1.18331494e-01  1.06673958e-04  7.86943536e-01]
14,[ 9.99965530e-01 -2.89604020e-04  8.29784745e-03  1.00000000e+00],[-1.04423131e-01  1.63338359e-04  7.87706957e-01]
15,[ 9.99978965e-01 -4.60847245e-04  6.46965458e-03  1.00000000e+00],[-9.04640005e-02  2.26297312e-04  7.88461947e-01]
16,[ 9.99989575e-01 -6.64666316e-04  4.51747337e-03  1.00000000e+00],[-7.65298823e-02  2.93039622e-04  7.89178113e-01]
17,[ 9.99996430e-01 -8.97432644e-04  2.51702505e-03  1.00000000e+00],[-6.26796846e-02  3.60672404e-04  7.89819630e-01]
18,[ 9.99999168e-01 -1.15348749e-03  5.76851280e-04  1.00000000e+00],[-4.89525945e-02  4.25758276e-04  7.90367079e-01]
19,[ 0.99999823 -0.00142416 -0.00122788  1.        ],[-3.53716787e-02  4.84352858e-04  7.90810765e-01]
20,[ 0.99999452 -0.00169726 -0.00284107  1.        ],[-2.19466822e-02  5.32271820e-04  7.91148113e-01]
21,[ 0.99998917 -0.00195724 -0.00422179  1.        ],[-8.67696243e-03  5.65476321e-04  7.91382018e-01]
22,[ 0.99998334 -0.002186   -0.00534255  1.        ],[4.44527031e-03 5.80485752e-04 7.91519278e-01]
23,[ 0.99997807 -0.00236393 -0.00618699  1.        ],[1.74318151e-02 5.74731905e-04 7.91569072e-01]
24,[ 0.99997419 -0.00247118 -0.00674654  1.        ],[3.02958549e-02 5.46813181e-04 7.91541650e-01]
25,[ 0.99997229 -0.00248879 -0.00701674  1.        ],[4.30499919e-02 4.98939356e-04 7.91447314e-01]
26,[ 0.99997264 -0.00241085 -0.00699335  1.        ],[5.57048890e-02 4.39134293e-04 7.91295688e-01]
27,[ 0.99997521 -0.00226008 -0.0066685   1.        ],[6.82684668e-02 3.73892424e-04 7.91095256e-01]
28,[ 0.99997972 -0.00205735 -0.00602666  1.        ],[8.07454256e-02 3.08644764e-04 7.90853133e-01]
29,[ 0.99998563 -0.00182353 -0.00504046  1.        ],[9.31369937e-02 2.47859208e-04 7.90574988e-01]
30,[ 0.99999203 -0.00158009 -0.00366552  1.        ],[1.05440789e-01 1.94968539e-04 7.90265101e-01]
31,[ 0.99999741 -0.00134871 -0.00183385  1.        ],[1.17650695e-01 1.52414265e-04 7.89926481e-01]
32,[ 9.99999183e-01 -1.15160514e-03  5.55491041e-04  1.00000000e+00],[1.29756661e-01 1.21617841e-04 7.89561073e-01]
33,[ 0.99999283 -0.00101142  0.0036503   1.        ],[1.41744366e-01 1.01827283e-04 7.89170011e-01]
34,[ 9.99970168e-01 -9.40590723e-04  7.66670703e-03  1.00000000e+00],[1.53594649e-01 9.04001786e-05 7.88753967e-01]
