step,action,eef_pos
0,[-4.99893641e-01  1.01920242e-06 -1.03124997e-02  1.00000000e+00],[ 2.45559930e-01 -1.89981289e-05  7.87266859e-01]
1,[-4.99992395e-01  1.91680549e-05  2.75758732e-03  1.00000000e+00],[ 2.41578708e-01 -3.46958495e-05  7.81338200e-01]
2,[-4.99922397e-01  3.52847509e-05  8.80881882e-03  1.00000000e+00],[ 2.39078778e-01 -4.19643495e-05  7.82248307e-01]
3,[-4.99937208e-01  4.28960336e-05  7.92379450e-03  1.00000000e+00],[ 2.37840780e-01 -5.81148216e-05  7.85639380e-01]
4,[-4.99980023e-01  5.95609285e-05  4.46912808e-03  1.00000000e+00],[ 2.37125625e-01 -8.09342048e-05  7.89615004e-01]
5,[-4.99999837e-01  8.30732098e-05  3.95170806e-04  1.00000000e+00],[ 2.36705609e-01 -1.06117019e-04  7.93729298e-01]
6,[-4.99985311e-01  1.09012409e-04 -3.83105156e-03  1.00000000e+00],[ 2.36495490e-01 -1.31135556e-04  7.97876580e-01]
7,[-4.99934462e-01  1.34758050e-04 -8.09416270e-03  1.00000000e+00],[ 2.36435407e-01 -1.54630595e-04  8.02019463e-01]
8,[-4.99847408e-01  1.58894071e-04 -1.23508639e-02  1.00000000e+00],[ 2.36460307e-01 -1.75968206e-04  8.06121349e-01]
9,[-4.99725627e-01  1.80766695e-04 -1.65609637e-02  1.00000000e+00],[ 2.36514047e-01 -1.98512373e-04  8.10155734e-01]
10,[-4.99571422e-01  2.03840175e-04 -2.06966869e-02  1.00000000e+00],[ 2.36539555e-01 -2.31438487e-04  8.14096639e-01]
11,[-4.99387849e-01  2.37550199e-04 -2.47329713e-02  1.00000000e+00],[ 2.36465779e-01 -2.74352549e-04  8.17927477e-01]
12,[-4.99178006e-01  2.81521876e-04 -2.86572723e-02  1.00000000e+00],[ 2.36249564e-01 -3.21308332e-04  8.21621017e-01]
13,[-4.98945994e-01  3.29697992e-04 -3.24466711e-02  1.00000000e+00],[ 2.35827050e-01 -3.65978379e-04  8.25136840e-01]
14,[-4.98697285e-01  3.75673656e-04 -3.60676643e-02  1.00000000e+00],[ 2.35123363e-01 -4.06036075e-04  8.28435273e-01]
15,[-4.98437913e-01  4.17180019e-04 -3.94901559e-02  1.00000000e+00],[ 2.34057440e-01 -4.40418158e-04  8.31474687e-01]
16,[-4.98174516e-01  4.53262535e-04 -4.26842567e-02  1.00000000e+00],[ 2.32543935e-01 -4.68304333e-04  8.34211343e-01]
17,[-4.97914269e-01  4.83221097e-04 -4.56195938e-02  1.00000000e+00],[ 2.30495815e-01 -4.89196261e-04  8.36600440e-01]
18,[-4.97664726e-01  5.06676054e-04 -4.82655514e-02  1.00000000e+00],[ 2.27828916e-01 -5.03919855e-04  8.38598376e-01]
19,[-4.97433557e-01  5.24594971e-04 -5.05922989e-02  1.00000000e+00],[ 2.24468595e-01 -5.13422332e-04  8.40166153e-01]
20,[-4.97228154e-01  5.38050444e-04 -5.25725492e-02  1.00000000e+00],[ 2.20357997e-01 -5.17980698e-04  8.41273726e-01]
21,[-4.97055124e-01  5.47380850e-04 -5.41839799e-02  1.00000000e+00],[ 2.15466807e-01 -5.17468818e-04  8.41904795e-01]
22,[-4.96919700e-01  5.52435633e-04 -5.54121477e-02  1.00000000e+00],[ 2.09798739e-01 -5.11647342e-04  8.42061184e-01]
23,[-4.96825154e-01  5.52848993e-04 -5.62535377e-02  1.00000000e+00],[ 2.03395767e-01 -5.00363206e-04  8.41765803e-01]
24,[-4.96772321e-01  5.48233154e-04 -5.67182579e-02  1.00000000e+00],[ 1.96337311e-01 -4.83674643e-04  8.41063016e-01]
25,[-4.96759386e-01  5.38314662e-04 -5.68315302e-02  1.00000000e+00],[ 1.88733850e-01 -4.61913284e-04  8.40015815e-01]
26,[-4.96782037e-01  5.23028306e-04 -5.66333294e-02  1.00000000e+00],[ 1.80716146e-01 -4.35688200e-04  8.38700410e-01]
27,[-4.96833953e-01  5.02569250e-04 -5.61762489e-02  1.00000000e+00],[ 1.72422242e-01 -4.05838163e-04  8.37199122e-01]
28,[-4.96907550e-01  4.77399215e-04 -5.55216979e-02  1.00000000e+00],[ 1.63984849e-01 -3.73345431e-04  8.35592923e-01]
29,[-4.96994851e-01  4.48206638e-04 -5.47349688e-02  1.00000000e+00],[ 1.55521278e-01 -3.39230817e-04  8.33954935e-01]
30,[-4.97088295e-01  4.15829397e-04 -5.38799930e-02  1.00000000e+00],[ 1.47127032e-01 -3.04451633e-04  8.32345795e-01]
31,[-4.97181360e-01  3.81156821e-04 -5.30146236e-02  1.00000000e+00],[ 1.38873097e-01 -2.69820513e-04  8.30811219e-01]
32,[-4.97268931e-01  3.45031216e-04 -5.21870790e-02  1.00000000e+00],[ 1.30806264e-01 -2.35955489e-04  8.29381613e-01]
33,[-4.97347425e-01  3.08166819e-04 -5.14338805e-02  1.00000000e+00],[ 1.22951909e-01 -2.03134320e-04  8.28073513e-01]
34,[-4.97414682e-01  2.70924993e-04 -5.07795343e-02  1.00000000e+00],[ 1.15317362e-01 -1.70375299e-04  8.26891685e-01]
35,[-4.97469774e-01  2.32008031e-04 -5.02371361e-02  1.00000000e+00],[ 1.07895151e-01 -1.37425059e-04  8.25831390e-01]
36,[-4.97512792e-01  1.91035628e-04 -4.98094893e-02  1.00000000e+00],[ 1.00667042e-01 -1.04368034e-04  8.24881189e-01]
37,[-4.97544566e-01  1.48082774e-04 -4.94912382e-02  1.00000000e+00],[ 9.36083688e-02 -7.13457810e-05  8.24025849e-01]
38,[-4.97566381e-01  1.03313147e-04 -4.92715554e-02  1.00000000e+00],[ 8.66916078e-02 -3.82832338e-05  8.23248676e-01]
39,[-4.97579738e-01  5.65768822e-05 -4.91365608e-02  1.00000000e+00],[ 7.98890630e-02 -5.01981711e-06  8.22533198e-01]
40,[-4.97586185e-01  7.57161097e-06 -4.90712544e-02  1.00000000e+00],[7.31747322e-02 2.86194939e-05 8.21864269e-01]
41,[-4.97587202e-01 -4.40649978e-05 -4.90609286e-02  1.00000000e+00],[6.65254828e-02 6.28029813e-05 8.21228695e-01]
42,[-4.97584119e-01 -9.87274890e-05 -4.90921060e-02  1.00000000e+00],[5.99216762e-02 9.76801551e-05 8.20615510e-01]
43,[-4.97578084e-01 -1.56825121e-04 -4.91530861e-02  1.00000000e+00],[5.33473740e-02 1.33374326e-04 8.20016001e-01]
44,[-4.97570042e-01 -2.18769221e-04 -4.92341921e-02  1.00000000e+00],[4.67902405e-02 1.69978678e-04 8.19423563e-01]
45,[-4.97560737e-01 -2.84964614e-04 -4.93278007e-02  1.00000000e+00],[4.02412399e-02 2.07555061e-04 8.18833461e-01]
46,[-4.97550725e-01 -3.55804610e-04 -4.94282250e-02  1.00000000e+00],[3.36942091e-02 2.46134792e-04 8.18242535e-01]
47,[-4.97540394e-01 -4.31669020e-04 -4.95315071e-02  1.00000000e+00],[2.71453684e-02 2.85720832e-04 8.17648896e-01]
48,[-4.97529987e-01 -5.12924617e-04 -4.96351614e-02  1.00000000e+00],[2.05928249e-02 3.26290787e-04 8.17051635e-01]
49,[-4.97519629e-01 -5.99927478e-04 -4.97379029e-02  1.00000000e+00],[1.40361024e-02 3.67794661e-04 8.16450551e-01]
50,[-4.97509352e-01 -6.93016151e-04 -4.98393828e-02  1.00000000e+00],[7.47571949e-03 4.09952999e-04 8.15845921e-01]
51,[-4.97499120e-01 -7.92118405e-04 -4.99399432e-02  1.00000000e+00],[9.12828637e-04 4.51648543e-04 8.15238311e-01]
52,[-4.97488851e-01 -8.95490739e-04 -5.00403992e-02  1.00000000e+00],[-5.65107539e-03  4.91790369e-04  8.14628425e-01]
53,[-0.49747843 -0.00100125 -0.05014186  1.        ],[-1.22143739e-02  5.29481223e-04  8.14016998e-01]
54,[-0.49746774 -0.00110772 -0.0502456   1.        ],[-1.87754799e-02  5.64010183e-04  8.13404719e-01]
55,[-0.49745664 -0.00121341 -0.05035293  1.        ],[-2.53329384e-02  5.94848400e-04  8.12792187e-01]
56,[-0.497445   -0.00131708 -0.05046516  1.        ],[-3.18854830e-02  6.21640460e-04  8.12179886e-01]
57,[-0.49743271 -0.00141772 -0.05058352  1.        ],[-3.84320581e-02  6.44193300e-04  8.11568177e-01]
58,[-0.49741963 -0.00151457 -0.05070917  1.        ],[-4.49718163e-02  6.62464578e-04  8.10957304e-01]
59,[-0.49740566 -0.00160716 -0.05084317  1.        ],[-5.15041001e-02  6.76551705e-04  8.10347404e-01]
60,[-0.4973907  -0.0016953  -0.05098649  1.        ],[-5.80284144e-02  6.86682070e-04  8.09738523e-01]
61,[-0.49737464 -0.00177911 -0.05114007  1.        ],[-6.45443938e-02  6.93204250e-04  8.09130629e-01]
62,[-0.49735738 -0.00185904 -0.05130478  1.        ],[-7.10517707e-02  6.96579548e-04  8.08523634e-01]
63,[-0.49733883 -0.00193596 -0.0514815   1.        ],[-7.75503414e-02  6.97374790e-04  8.07917401e-01]
64,[-0.49731887 -0.00201112 -0.05167109  1.        ],[-8.40399347e-02  6.95984097e-04  8.07311761e-01]
65,[-0.49729738 -0.00208551 -0.05187449  1.        ],[-9.05204014e-02  6.92341808e-04  8.06706516e-01]
66,[-0.49727426 -0.0021588  -0.05209268  1.        ],[-9.69915290e-02  6.86245144e-04  8.06101655e-01]
67,[-0.4972493  -0.00223017 -0.05232741  1.        ],[-1.03450632e-01  6.78237826e-04  8.05504988e-01]
68,[-0.49721958 -0.00230116 -0.05260605  1.        ],[-1.09894896e-01  6.68979720e-04  8.04921306e-01]
69,[-0.49718269 -0.00237397 -0.05295036  1.        ],[-1.16324059e-01  6.58881526e-04  8.04341016e-01]
70,[-0.49714128 -0.00245038 -0.05333429  1.        ],[-1.22737369e-01  6.48179221e-04  8.03761099e-01]
71,[-0.49709591 -0.00253183 -0.05375173  1.        ],[-1.29134816e-01  6.36956731e-04  8.03180378e-01]
72,[-0.49704645 -0.00261942 -0.05420304  1.        ],[-1.35516690e-01  6.31530284e-04  8.02598026e-01]
73,[-0.49699241 -0.00274159 -0.05469027  1.        ],[-1.41883390e-01  6.39514561e-04  8.02013266e-01]
74,[-0.49693312 -0.00293938 -0.05521621  1.        ],[-1.48235196e-01  6.50578037e-04  8.01425322e-01]
75,[-0.49686821 -0.00317646 -0.05578431  1.        ],[-1.54572236e-01  6.57609318e-04  8.00833411e-01]
76,[-0.4967972  -0.00342352 -0.05639877  1.        ],[-1.60894548e-01  6.58163308e-04  8.00236735e-01]
77,[-0.49671939 -0.00366894 -0.0570648   1.        ],[-1.67202079e-01  6.49562227e-04  7.99634459e-01]
78,[-0.49663393 -0.00389617 -0.05778888  1.        ],[-1.73494676e-01  6.31704764e-04  7.99025693e-01]
79,[-0.4965397  -0.00409993 -0.05857913  1.        ],[-1.79772088e-01  6.05009472e-04  7.98409471e-01]
80,[-0.49643519 -0.00427676 -0.05944584  1.        ],[-1.86033975e-01  5.70984250e-04  7.97784716e-01]
81,[-0.49631837 -0.00443032 -0.06040234  1.        ],[-1.92279917e-01  5.31496314e-04  7.97150209e-01]
82,[-0.49618648 -0.00456897 -0.06146625  1.        ],[-1.98509409e-01  4.88300352e-04  7.96504533e-01]
83,[-0.49603569 -0.00470405 -0.06266155  1.        ],[-2.04721861e-01  4.42944597e-04  7.95846005e-01]
84,[-0.4958605  -0.00485088 -0.06402213  1.        ],[-2.10916571e-01  3.96699201e-04  7.95172575e-01]
85,[-0.49565267 -0.00503091 -0.06559815  1.        ],[-2.17092685e-01  3.50486468e-04  7.94481659e-01]
86,[-0.49539898 -0.00527635 -0.06746856  1.        ],[-2.23249107e-01  3.04795108e-04  7.93769866e-01]
