step,action,eef_pos
0,[ 9.99574221e-01  1.08347276e-04 -2.91781582e-02  1.00000000e+00],[-2.46135416e-01 -3.08019266e-05  7.93753284e-01]
1,[ 9.99971384e-01  6.20819321e-05 -7.56482382e-03  1.00000000e+00],[-2.39310615e-01 -7.50525525e-05  7.89600653e-01]
2,[9.99999655e-01 1.53384219e-04 8.16142696e-04 1.00000000e+00],[-2.36403612e-01 -5.01700543e-05  7.88693425e-01]
3,[9.99996387e-01 1.03144532e-04 2.68618521e-03 1.00000000e+00],[-2.30707196e-01 -2.51150167e-05  7.87991002e-01]
4,[9.99991266e-01 5.22455199e-05 4.17921899e-03 1.00000000e+00],[-2.22772923e-01  1.62992593e-05  7.86855284e-01]
5,[ 9.99977878e-01 -3.44751104e-05  6.65149489e-03  1.00000000e+00],[-2.13840945e-01  7.51758214e-05  7.85831154e-01]
6,[ 9.99959600e-01 -1.62065866e-04  8.98730060e-03  1.00000000e+00],[-2.04054296e-01  1.49067023e-04  7.85075672e-01]
7,[ 9.99941142e-01 -3.28282873e-04  1.08446014e-02  1.00000000e+00],[-1.93446566e-01  2.36415767e-04  7.84625903e-01]
8,[ 9.99926432e-01 -5.33093256e-04  1.21180374e-02  1.00000000e+00],[-1.82064744e-01  3.35736156e-04  7.84476905e-01]
9,[ 9.99918005e-01 -7.76986855e-04  1.27819790e-02  1.00000000e+00],[-1.69983223e-01  4.43843605e-04  7.84602189e-01]
10,[ 0.99991686 -0.00105672  0.01285138  1.        ],[-1.57300228e-01  5.56218187e-04  7.84960978e-01]
11,[ 0.99992255 -0.00136552  0.01237081  1.        ],[-1.44130260e-01  6.68256392e-04  7.85503045e-01]
12,[ 0.99993348 -0.00169541  0.01140906  1.        ],[-1.30595206e-01  7.74169404e-04  7.86173409e-01]
13,[ 0.99994739 -0.00203399  0.0100537   1.        ],[-0.1168153   0.00085692  0.78691702]
14,[ 0.99996195 -0.00233603  0.00840441  1.        ],[-0.10290123  0.0009231   0.78768287]
15,[ 0.99997502 -0.00261569  0.00656577  1.        ],[-0.08894443  0.00098801  0.78843805]
16,[ 0.99998513 -0.00291492  0.00460821  1.        ],[-0.07501922  0.00105007  0.78915058]
17,[ 0.99999137 -0.00323075  0.00261341  1.        ],[-0.06118224  0.00110338  0.78978629]
18,[ 9.99993478e-01 -3.54573585e-03  6.86752728e-04  1.00000000e+00],[-0.04747083  0.00114247  0.79032689]
19,[ 0.99999202 -0.00384058 -0.00109888  1.        ],[-0.03390658  0.00116743  0.79076347]
20,[ 0.99998793 -0.00411199 -0.00268913  1.        ],[-0.0204981   0.00117995  0.79109407]
21,[ 0.99998231 -0.00436205 -0.00404456  1.        ],[-0.00724399  0.00118312  0.79132197]
22,[ 0.99997622 -0.0045991  -0.00513883  1.        ],[0.00586391 0.00118074 0.79145419]
23,[ 0.99997057 -0.00483624 -0.0059563   1.        ],[0.01883749 0.00117538 0.79149999]
24,[ 0.99996602 -0.00508448 -0.00648869  1.        ],[0.03168981 0.00116855 0.79146958]
25,[ 0.99996302 -0.00535248 -0.00673137  1.        ],[0.04443322 0.00116152 0.79137314]
26,[ 0.99996173 -0.00565009 -0.00667954  1.        ],[0.0570781  0.00115534 0.79122018]
27,[ 0.99996207 -0.0059884  -0.00632447  1.        ],[0.06963205 0.0011507  0.79101903]
28,[ 0.99996369 -0.00637951 -0.00564952  1.        ],[0.08209943 0.00114787 0.79077669]
29,[ 0.99996593 -0.00683638 -0.00462576  1.        ],[0.09448115 0.00114666 0.79049873]
30,[ 0.99996768 -0.00737289 -0.00320677  1.        ],[0.10677446 0.00114587 0.79018931]
31,[ 0.99996712 -0.00800017 -0.00132173  1.        ],[0.11897291 0.0011426  0.78985138]
32,[ 0.99996134 -0.00871998  0.00113424  1.        ],[0.13106606 0.00113087 0.78948681]
33,[ 0.99994549 -0.0095079   0.00431466  1.        ],[0.14303912 0.00111345 0.78909672]
34,[ 0.99991017 -0.01040893  0.00844418  1.        ],[0.15487237 0.00109511 0.78868178]
