step,action,eef_pos
0,[-1.73067620e-03  9.02761006e-05  9.99998498e-01  1.00000000e+00],[-1.14982590e-03 -1.20577457e-04  7.86483181e-01]
1,[2.28358384e-03 2.39469933e-04 9.99997364e-01 1.00000000e+00],[-5.69845023e-03 -1.46961187e-04  7.84702157e-01]
2,[1.12766911e-02 2.90822212e-04 9.99936374e-01 1.00000000e+00],[-9.76020950e-03 -1.38095793e-04  7.91178142e-01]
3,[1.95627781e-02 2.76790919e-04 9.99808592e-01 1.00000000e+00],[-1.32975868e-02 -1.61144207e-04  8.01665543e-01]
4,[2.72203989e-02 3.29865085e-04 9.99629402e-01 1.00000000e+00],[-1.63308215e-02 -2.06247048e-04  8.13134274e-01]
5,[3.42260958e-02 4.32252058e-04 9.99414022e-01 1.00000000e+00],[-1.88136124e-02 -2.88793515e-04  8.24967832e-01]
6,[4.04235073e-02 6.20510643e-04 9.99182443e-01 1.00000000e+00],[-2.07724724e-02 -4.09788158e-04  8.37035619e-01]
7,[4.58107889e-02 9.03730592e-04 9.98949726e-01 1.00000000e+00],[-2.22683462e-02 -5.60342195e-04  8.49293012e-01]
8,[0.05046427 0.00126984 0.99872506 1.        ],[-2.33738531e-02 -7.30297109e-04  8.61708057e-01]
9,[0.05449341 0.0017026  0.99851268 1.        ],[-0.02416085 -0.00091626  0.87425094]
10,[0.05801601 0.00220015 0.99831323 1.        ],[-0.02469488 -0.00111637  0.88689377]
11,[0.06114661 0.00276422 0.99812497 1.        ],[-0.02503267 -0.00132383  0.89961154]
12,[0.06399067 0.00338409 0.99794476 1.        ],[-0.02522127 -0.0015276   0.9123829 ]
13,[0.06664156 0.00403634 0.99776882 1.        ],[-0.0252982  -0.00171593  0.92519038]
14,[0.06917941 0.0046923  0.9975932  1.        ],[-0.02529224 -0.00187763  0.93802026]
15,[0.07167128 0.0053207  0.99741412 1.        ],[-0.02522449 -0.00200346  0.95086221]
16,[0.07417213 0.00589112 0.99722805 1.        ],[-0.02510969 -0.00208737  0.96370876]
17,[0.07672642 0.00637828 0.99703178 1.        ],[-0.02495747 -0.00212747  0.97655467]
18,[0.07937001 0.0067658  0.99682226 1.        ],[-0.02477353 -0.00212607  0.98939638]
19,[0.08213212 0.00704859 0.99659652 1.        ],[-0.02456061 -0.00208903  1.00223149]
20,[0.08503712 0.00723292 0.99635153 1.        ],[-0.02431929 -0.0020244   1.01505835]
21,[0.08810618 0.00733417 0.99608409 1.        ],[-0.02404857 -0.00194081  1.0278758 ]
22,[0.09135877 0.007373   0.99579075 1.        ],[-0.02375946 -0.0018456   1.04067627]
23,[0.09486329 0.00736883 0.99546304 1.        ],[-0.02346827 -0.00174084  1.05344703]
24,[0.09872206 0.00732306 0.9950881  1.        ],[-0.02315434 -0.00165689  1.06619283]
25,[0.10290462 0.0073637  0.99466397 1.        ],[-0.02280934 -0.00158276  1.07891334]
26,[0.10742842 0.00745453 0.99418487 1.        ],[-0.02242616 -0.00151396  1.09160825]
27,[0.11232121 0.00758266 0.99364302 1.        ],[-0.02199755 -0.0014492   1.10427731]
28,[0.11761727 0.00774862 0.99302877 1.        ],[-0.02151602 -0.00138678  1.11692007]
29,[0.1233592  0.00795092 0.99233023 1.        ],[-0.02097389 -0.00132485  1.12953565]
30,[0.12960074 0.00818644 0.99153247 1.        ],[-0.02036312 -0.00126171  1.14212275]
31,[0.13641069 0.00845208 0.99061632 1.        ],[-0.01967517 -0.00119599  1.15467952]
32,[0.14387841 0.00874593 0.98955673 1.        ],[-1.89007899e-02 -1.12667559e-03  1.16720356e+00]
33,[0.15212192 0.00906798 0.98832014 1.        ],[-1.80297091e-02 -1.05300918e-03  1.17969182e+00]
34,[0.16130086 0.00942063 0.98686032 1.        ],[-1.70502209e-02 -9.74435681e-04  1.19214043e+00]
