step,action,eef_pos
0,[-4.99766621e-01 -1.05810556e-05 -1.52749464e-02  1.00000000e+00],[2.45026097e-01 1.02729108e-05 7.92628840e-01]
1,[-4.99992950e-01 -1.03759843e-05 -2.65521625e-03  1.00000000e+00],[2.41064612e-01 2.20286765e-05 7.87330029e-01]
2,[-4.99992609e-01 -2.24291777e-05  2.71851375e-03  1.00000000e+00],[2.38752374e-01 3.62701776e-05 7.88541719e-01]
3,[-4.99997773e-01 -3.71046955e-05  1.49183394e-03  1.00000000e+00],[2.37536822e-01 4.81379991e-05 7.91877374e-01]
4,[-4.99996291e-01 -4.93682116e-05 -1.92535241e-03  1.00000000e+00],[2.36761568e-01 5.61333697e-05 7.95693984e-01]
5,[-4.99965791e-01 -5.76560814e-05 -5.84844333e-03  1.00000000e+00],[2.36231948e-01 6.04333205e-05 7.99614907e-01]
6,[-4.99902269e-01 -6.21323921e-05 -9.88522867e-03  1.00000000e+00],[2.35853715e-01 6.26708528e-05 8.03537007e-01]
7,[-4.99806032e-01 -6.44705788e-05 -1.39257512e-02  1.00000000e+00],[2.35548898e-01 6.39511457e-05 8.07409038e-01]
8,[-4.99678922e-01 -6.58121966e-05 -1.79156605e-02  1.00000000e+00],[2.35250116e-01 6.47743500e-05 8.11197968e-01]
9,[-4.99523591e-01 -6.66796665e-05 -2.18214988e-02  1.00000000e+00],[2.34885259e-01 6.54194815e-05 8.14873958e-01]
10,[-4.99343403e-01 -6.73701374e-05 -2.56156410e-02  1.00000000e+00],[2.34379746e-01 6.60829211e-05 8.18417734e-01]
11,[-4.99141718e-01 -6.80968662e-05 -2.92837942e-02  1.00000000e+00],[2.33677601e-01 6.68318572e-05 8.21790703e-01]
12,[-4.98923471e-01 -6.89384459e-05 -3.27927693e-02  1.00000000e+00],[2.32700229e-01 6.77106742e-05 8.24949032e-01]
13,[-4.98694570e-01 -6.99542771e-05 -3.61070728e-02  1.00000000e+00],[2.31361775e-01 6.87577067e-05 8.27848866e-01]
