step,action,eef_pos
0,[ 4.99768220e-01  1.31307717e-04 -1.52219930e-02  1.00000000e+00],[-2.49060985e-01 -1.23618319e-04  7.94685044e-01]
1,[ 4.99977954e-01  1.23845454e-04 -4.69365191e-03  1.00000000e+00],[-2.46434142e-01 -2.47607801e-04  7.91023833e-01]
2,[ 4.99998874e-01  2.49385792e-04 -1.03118438e-03  1.00000000e+00],[-2.43733792e-01 -3.25426886e-04  7.89397971e-01]
3,[4.99999520e-01 3.29556715e-04 6.09668611e-04 1.00000000e+00],[-2.42498818e-01 -2.79006851e-04  7.88869454e-01]
4,[4.99998602e-01 2.83255574e-04 1.14776204e-03 1.00000000e+00],[-2.39601430e-01 -2.56293605e-04  7.88280989e-01]
5,[4.99996850e-01 2.61735336e-04 1.75551012e-03 1.00000000e+00],[-2.35789987e-01 -2.08766455e-04  7.87632127e-01]
6,[4.99994014e-01 2.14870584e-04 2.43710776e-03 1.00000000e+00],[-2.31422811e-01 -1.30529420e-04  7.87087388e-01]
7,[4.99990831e-01 1.35563816e-04 3.02494914e-03 1.00000000e+00],[-2.26571848e-01 -2.86459456e-05  7.86681660e-01]
8,[4.99987879e-01 3.00534445e-05 3.48138416e-03 1.00000000e+00],[-2.21280480e-01  8.82644543e-05  7.86413616e-01]
9,[ 4.99985514e-01 -9.36405187e-05  3.80482536e-03  1.00000000e+00],[-2.15594827e-01  2.15211494e-04  7.86271220e-01]
10,[ 4.99983913e-01 -2.31107132e-04  4.00419005e-03  1.00000000e+00],[-2.09566393e-01  3.48260235e-04  7.86238332e-01]
11,[ 4.99983108e-01 -3.78888093e-04  4.09248877e-03  1.00000000e+00],[-2.03250136e-01  4.83365821e-04  7.86296983e-01]
12,[ 4.99983030e-01 -5.33203828e-04  4.08482065e-03  1.00000000e+00],[-1.96701912e-01  6.16504490e-04  7.86428604e-01]
13,[ 4.99983544e-01 -6.90039805e-04  3.99738414e-03  1.00000000e+00],[-1.89976076e-01  7.41940833e-04  7.86614941e-01]
14,[ 4.99984491e-01 -8.43134276e-04  3.84674798e-03  1.00000000e+00],[-0.18312343  0.0008495   0.78683879]
15,[ 4.99985721e-01 -9.80634204e-04  3.64921429e-03  1.00000000e+00],[-0.17618965  0.00093804  0.78708455]
16,[ 0.49998709 -0.00110047  0.00342028  1.        ],[-0.16921414  0.00100694  0.78733863]
17,[ 0.49998848 -0.00120096  0.00317416  1.        ],[-0.16222944  0.00106249  0.78758974]
18,[ 0.49998979 -0.00128868  0.00292338  1.        ],[-0.15526104  0.00111562  0.78782892]
19,[ 0.49999093 -0.0013764   0.00267857  1.        ],[-0.14832758  0.00116734  0.78804957]
20,[ 0.49999186 -0.00146528  0.00244824  1.        ],[-0.14144146  0.001217    0.78824723]
21,[ 0.49999257 -0.00155449  0.00223883  1.        ],[-0.13460968  0.00126469  0.78841942]
22,[ 0.49999307 -0.0016441   0.00205475  1.        ],[-0.12783481  0.00130916  0.78856526]
23,[ 0.49999339 -0.00173243  0.00189861  1.        ],[-0.12111496  0.00134863  0.7886876 ]
24,[ 0.49999357 -0.00181698  0.00176816  1.        ],[-0.11444239  0.00138311  0.78879878]
25,[ 0.49999368 -0.00189754  0.00164801  1.        ],[-0.10781129  0.00141306  0.78889732]
26,[ 0.49999373 -0.00197456  0.00154084  1.        ],[-0.10121583  0.00143922  0.78897987]
