step,action,eef_pos
0,[-1.14215396e-04 -4.99969518e-01 -5.51977537e-03  1.00000000e+00],[-4.27566151e-04  3.48238490e-01  7.86349884e-01]
1,[ 3.06170624e-04 -4.99993074e-01  2.61376698e-03  1.00000000e+00],[-0.00108824  0.34464394  0.78237709]
2,[ 7.83261088e-04 -4.99969283e-01  5.48658356e-03  1.00000000e+00],[-0.00109451  0.34096129  0.78232359]
3,[ 7.91968050e-04 -4.99968519e-01  5.55452371e-03  1.00000000e+00],[-0.00090724  0.33686343  0.782994  ]
4,[ 6.60385679e-04 -4.99973556e-01  5.09972170e-03  1.00000000e+00],[-6.22754128e-04  3.32247767e-01  7.83709520e-01]
5,[ 4.56379214e-04 -4.99978540e-01  4.60991619e-03  1.00000000e+00],[-2.96917292e-04  3.27154618e-01  7.84332598e-01]
6,[ 2.19231219e-04 -4.99982441e-01  4.18457109e-03  1.00000000e+00],[1.55810991e-05 3.21645592e-01 7.84835530e-01]
7,[-1.15988542e-05 -4.99985219e-01  3.84452533e-03  1.00000000e+00],[2.74594897e-04 3.15792712e-01 7.85219487e-01]
8,[-2.06211176e-04 -4.99987069e-01  3.58999795e-03  1.00000000e+00],[4.55616245e-04 3.09669422e-01 7.85495156e-01]
9,[-3.45328659e-04 -4.99988223e-01  3.41439070e-03  1.00000000e+00],[5.47626733e-04 3.03343918e-01 7.85677024e-01]
10,[-4.19085980e-04 -4.99988880e-01  3.30827293e-03  1.00000000e+00],[5.50046162e-04 2.96875774e-01 7.85781021e-01]
11,[-4.25146749e-04 -4.99989185e-01  3.26097189e-03  1.00000000e+00],[4.69388808e-04 2.90314612e-01 7.85823003e-01]
12,[-3.66521931e-04 -4.99989227e-01  3.26160521e-03  1.00000000e+00],[3.16375958e-04 2.83700035e-01 7.85817735e-01]
13,[-2.49620491e-04 -4.99989049e-01  3.29980487e-03  1.00000000e+00],[1.03677527e-04 2.77062306e-01 7.85778261e-01]
14,[-8.26673638e-05 -4.99988662e-01  3.36620726e-03  1.00000000e+00],[-1.55714490e-04  2.70423429e-01  7.85715575e-01]
15,[ 1.25487502e-04 -4.99988063e-01  3.45274112e-03  1.00000000e+00],[-4.49562060e-04  2.63798426e-01  7.85638547e-01]
16,[ 3.66203766e-04 -4.99987244e-01  3.55274725e-03  1.00000000e+00],[-7.67017472e-04  2.57196655e-01  7.85554022e-01]
17,[ 6.31588048e-04 -4.99986198e-01  3.66096779e-03  1.00000000e+00],[-0.00109893  0.25062307  0.78546703]
18,[ 9.14795929e-04 -4.99984924e-01  3.77344315e-03  1.00000000e+00],[-0.00143791  0.24407938  0.78538106]
19,[ 0.00121016 -0.49998342  0.00388735  1.        ],[-0.00177824  0.23756502  0.78529834]
20,[ 0.00151317 -0.4999817   0.00400082  1.        ],[-0.00211571  0.23107795  0.78522017]
21,[ 0.00182044 -0.49997977  0.00411273  1.        ],[-0.00244738  0.22461532  0.7851471 ]
22,[ 0.00212949 -0.49997763  0.00422255  1.        ],[-0.0027713   0.21817393  0.78507921]
23,[ 0.00243866 -0.4999753   0.00433014  1.        ],[-0.00308633  0.2117506   0.78501627]
24,[ 0.00274692 -0.49997278  0.00443565  1.        ],[-0.00339189  0.20534232  0.78495787]
25,[ 0.00305369 -0.49997007  0.00453939  1.        ],[-0.00368775  0.19894644  0.78490353]
26,[ 0.00335872 -0.49996717  0.00464174  1.        ],[-0.00397396  0.1925607   0.78485276]
27,[ 0.00366196 -0.49996409  0.00474313  1.        ],[-0.00425064  0.18618321  0.78480514]
28,[ 0.00396348 -0.49996083  0.00484392  1.        ],[-0.00451795  0.17981244  0.78476028]
29,[ 0.00426336 -0.49995737  0.00494446  1.        ],[-0.00477602  0.17344715  0.78471791]
30,[ 0.00456166 -0.49995374  0.00504502  1.        ],[-0.0050249   0.16708637  0.78467782]
31,[ 0.00485838 -0.49994991  0.00514581  1.        ],[-0.00526459  0.16072927  0.78463988]
32,[ 0.00515343 -0.49994591  0.00524694  1.        ],[-0.00549496  0.15437517  0.78460406]
33,[ 0.00544665 -0.49994172  0.00534851  1.        ],[-0.00571582  0.14802346  0.78457033]
34,[ 0.00573778 -0.49993737  0.00545053  1.        ],[-0.00592691  0.14167356  0.78453876]
35,[ 0.00602648 -0.49993284  0.00555298  1.        ],[-0.00612795  0.13532491  0.78450941]
36,[ 0.00631234 -0.49992816  0.0056558   1.        ],[-0.0063186   0.12897693  0.78448238]
37,[ 0.00659492 -0.49992334  0.00575891  1.        ],[-0.00649852  0.122629    0.78445778]
38,[ 0.00687375 -0.49991838  0.00586223  1.        ],[-0.00666742  0.11628051  0.7844357 ]
39,[ 0.00714834 -0.4999133   0.00596565  1.        ],[-0.006825    0.10993078  0.78441627]
40,[ 0.00741823 -0.49990813  0.00606907  1.        ],[-0.00697103  0.10357912  0.78439955]
