step,action,eef_pos
0,[-5.78326811e-04 -9.99962909e-01 -8.59337926e-03  1.00000000e+00],[-1.94698864e-04  3.45665528e-01  7.84051324e-01]
1,[ 2.79864002e-04 -9.99963403e-01  8.55074430e-03  1.00000000e+00],[-0.00090598  0.33765598  0.77942273]
2,[ 0.00131733 -0.99988086  0.0153798   1.        ],[-7.15028283e-04  3.29142964e-01  7.79713653e-01]
3,[ 0.00105272 -0.99988476  0.01514433  1.        ],[-3.18871882e-04  3.19850699e-01  7.80953146e-01]
4,[ 4.75990796e-04 -9.99908696e-01  1.35045430e-02  1.00000000e+00],[1.12658018e-04 3.09705086e-01 7.82172801e-01]
5,[-1.70758253e-04 -9.99929607e-01  1.18638581e-02  1.00000000e+00],[4.66988204e-04 2.98777365e-01 7.83177870e-01]
6,[-7.19757335e-04 -9.99944459e-01  1.05147796e-02  1.00000000e+00],[6.59461700e-04 2.87185540e-01 7.83940645e-01]
7,[-0.00103491 -0.99995425  0.00950913  1.        ],[6.38757350e-04 2.75065395e-01 7.84474826e-01]
8,[-0.00102186 -0.99996041  0.008839    1.        ],[3.86037093e-04 2.62552429e-01 7.84807666e-01]
9,[-6.30187932e-04 -9.99963877e-01  8.47624784e-03  1.00000000e+00],[-9.17170644e-05  2.49770083e-01  7.84971583e-01]
10,[ 1.52914996e-04 -9.99964845e-01  8.38361277e-03  1.00000000e+00],[-7.70343455e-04  2.36823920e-01  7.85000020e-01]
11,[ 0.00131268 -0.99996284  0.00852009  1.        ],[-0.00161607  0.22379959  0.78492485]
12,[ 0.00281631 -0.99995692  0.00884443  1.        ],[-0.00259123  0.21076307  0.78477474]
13,[ 0.00462065 -0.99994591  0.00931763  1.        ],[-0.0036582   0.19776223  0.78457423]
14,[ 0.00667798 -0.99992865  0.00990463  1.        ],[-0.00478179  0.18482912  0.78434349]
15,[ 0.00893992 -0.99990412  0.01057528  1.        ],[-0.00593041  0.1719825   0.78409848]
16,[ 0.01135987 -0.99987157  0.01130453  1.        ],[-0.00707664  0.15923038  0.78385139]
17,[ 0.01389438 -0.99983059  0.01207227  1.        ],[-0.00819712  0.1465724   0.78361129]
18,[ 0.01650379 -0.99978106  0.01286279  1.        ],[-0.00927237  0.13400183  0.78338472]
19,[ 0.01915241 -0.9997232   0.0136641   1.        ],[-0.01028644  0.12150726  0.78317625]
20,[ 0.02180861 -0.99965748  0.01446725  1.        ],[-0.01122664  0.10907401  0.782989  ]
21,[ 0.02444481 -0.99958462  0.0152657   1.        ],[-0.01208324  0.09668531  0.782825  ]
22,[ 0.02703752 -0.99950549  0.01605482  1.        ],[-0.01284934  0.08432323  0.78268545]
23,[ 0.02956761 -0.99942106  0.01683152  1.        ],[-0.01352078  0.07196945  0.78257091]
24,[ 0.03202068 -0.99933234  0.017594    1.        ],[-0.014096    0.05960596  0.78248143]
25,[ 0.03438743 -0.99924026  0.01834167  1.        ],[-0.014576    0.04721566  0.78241662]
26,[ 0.03666408 -0.99914558  0.01907503  1.        ],[-0.01496406  0.03478285  0.78237572]
27,[ 0.03885264 -0.99904885  0.01979567  1.        ],[-0.01526556  0.02229334  0.78235764]
28,[ 0.04096106 -0.99895029  0.02050625  1.        ],[-0.01548768  0.00973234  0.78236098]
29,[ 0.04300382 -0.99884972  0.02121087  1.        ],[-0.01563738 -0.00290716  0.78238476]
30,[ 0.04499598 -0.99874682  0.02191257  1.        ],[-0.0157577  -0.01562957  0.78242494]
31,[ 0.04706219 -0.99863573  0.02262378  1.        ],[-0.015881   -0.0284337   0.78248129]
32,[ 0.04931282 -0.99851048  0.02334669  1.        ],[-0.01600169 -0.04131611  0.78253969]
33,[ 0.05175384 -0.99836834  0.0241287   1.        ],[-0.01611808 -0.05427344  0.78259697]
34,[ 0.05440556 -0.9982062   0.02498845  1.        ],[-0.01622877 -0.06730241  0.78265424]
35,[ 0.0572932  -0.99802052  0.02593309  1.        ],[-0.01633244 -0.08039982  0.7827134 ]
36,[ 0.06044737 -0.99780701  0.02696817  1.        ],[-0.01642784 -0.09356224  0.78277633]
37,[ 0.06390543 -0.99756025  0.02810056  1.        ],[-0.01651379 -0.10678588  0.78284471]
38,[ 0.06771304 -0.99727335  0.02933951  1.        ],[-0.01658883 -0.12006582  0.78291993]
39,[ 0.07192506 -0.99693754  0.03069743  1.        ],[-0.01665143 -0.13339833  0.78300329]
40,[ 0.07660992 -0.99654137  0.03219049  1.        ],[-0.01669868 -0.14677625  0.78309593]
41,[ 0.08184606 -0.99607034  0.03383924  1.        ],[-0.01672653 -0.16019143  0.78319898]
42,[ 0.0877271  -0.99550571  0.03566993  1.        ],[-0.01672945 -0.17363491  0.7833136 ]
43,[ 0.09436583 -0.9948229   0.03771598  1.        ],[-0.01670013 -0.18709693  0.78344119]
44,[ 0.10189953 -0.99398938  0.04002002  1.        ],[-0.01662906 -0.20056695  0.7835835 ]
45,[ 0.11049772 -0.99296141  0.04263673  1.        ],[-0.01650411 -0.21403363  0.78374281]
46,[ 0.12037377 -0.99167908  0.04563722  1.        ],[-0.01631003 -0.22748474  0.78392216]
47,[ 0.13180302 -0.99005839  0.04911569  1.        ],[-0.01602777 -0.24090708  0.7841256 ]
48,[ 0.14515229 -0.98797801  0.05320027  1.        ],[-0.01563374 -0.25428623  0.78435857]
