step,action,eef_pos
0,[ 5.35349456e-05  3.76245621e-06 -2.49999994e-01  1.00000000e+00],[ 2.02907654e-04 -3.77735740e-06  1.29943711e+00]
1,[-9.95744286e-05  1.85369156e-06 -2.49999980e-01  1.00000000e+00],[ 1.36296884e-03 -4.95168676e-06  1.29896753e+00]
2,[-6.69474906e-04  2.43221263e-06 -2.49999104e-01  1.00000000e+00],[ 2.78325582e-03 -6.13489917e-06  1.29732483e+00]
3,[-1.37151476e-03  3.02311583e-06 -2.49996238e-01  1.00000000e+00],[ 4.13216394e-03 -6.78114991e-06  1.29532671e+00]
4,[-2.04423481e-03  3.35472235e-06 -2.49991642e-01  1.00000000e+00],[ 5.31212989e-03 -7.12319006e-06  1.29313596e+00]
5,[-2.63936302e-03  3.53919893e-06 -2.49986067e-01  1.00000000e+00],[ 6.32894648e-03 -7.33001607e-06  1.29079535e+00]
6,[-3.15919525e-03  3.65889520e-06 -2.49980038e-01  1.00000000e+00],[ 7.17635822e-03 -7.28415586e-06  1.28830435e+00]
7,[-3.60001582e-03  3.65409244e-06 -2.49974078e-01  1.00000000e+00],[ 7.85058510e-03 -6.76235008e-06  1.28565644e+00]
8,[-3.95919425e-03  3.41037734e-06 -2.49968648e-01  1.00000000e+00],[ 8.36031694e-03 -6.07452958e-06  1.28285923e+00]
9,[-4.24011251e-03  3.08082684e-06 -2.49964040e-01  1.00000000e+00],[ 8.72028517e-03 -5.33538896e-06  1.27992604e+00]
10,[-4.44909205e-03  2.72211702e-06 -2.49960408e-01  1.00000000e+00],[ 8.94867342e-03 -4.56956118e-06  1.27687324e+00]
11,[-4.59419491e-03  2.34598512e-06 -2.49957783e-01  1.00000000e+00],[ 9.06520117e-03 -3.77283289e-06  1.27371860e+00]
12,[-4.68434006e-03  1.94956867e-06 -2.49956110e-01  1.00000000e+00],[ 9.08970616e-03 -2.93078461e-06  1.27048000e+00]
13,[-4.72864641e-03  1.52465260e-06 -2.49955276e-01  1.00000000e+00],[ 9.04113611e-03 -2.02502176e-06  1.26717455e+00]
14,[-4.73595752e-03  1.06075353e-06 -2.49955137e-01  1.00000000e+00],[ 8.93687198e-03 -1.03570058e-06  1.26381802e+00]
15,[-4.71451185e-03  5.46368202e-07 -2.49955543e-01  1.00000000e+00],[8.79231287e-03 5.71788564e-08 1.26042438e+00]
16,[-4.67172723e-03 -3.03815417e-08 -2.49956346e-01  1.00000000e+00],[8.62066579e-03 1.27299096e-06 1.25700563e+00]
17,[-4.61407570e-03 -6.81348380e-07 -2.49957417e-01  1.00000000e+00],[8.43289636e-03 2.62999139e-06 1.25357174e+00]
18,[-4.54703155e-03 -1.41809567e-06 -2.49958646e-01  1.00000000e+00],[8.23779857e-03 4.14503283e-06 1.25013070e+00]
19,[-4.47507565e-03 -2.25173453e-06 -2.49959944e-01  1.00000000e+00],[8.04214885e-03 5.83344952e-06 1.24668862e+00]
20,[-4.40174212e-03 -3.19284571e-06 -2.49961246e-01  1.00000000e+00],[7.85091579e-03 7.70907952e-06 1.24325001e+00]
21,[-4.32969555e-03 -4.25147438e-06 -2.49962505e-01  1.00000000e+00],[7.66750167e-03 9.78439592e-06 1.23981793e+00]
22,[-4.26082839e-03 -5.43718589e-06 -2.49963688e-01  1.00000000e+00],[7.49399660e-03 1.20661318e-05 1.23639423e+00]
23,[-4.19636964e-03 -6.75660155e-06 -2.49964778e-01  1.00000000e+00],[7.33143054e-03 1.43858581e-05 1.23297984e+00]
24,[-4.13699791e-03 -8.11768790e-06 -2.49965768e-01  1.00000000e+00],[7.18001133e-03 1.65309951e-05 1.22957493e+00]
25,[-4.08295218e-03 -9.40043954e-06 -2.49966657e-01  1.00000000e+00],[7.03933727e-03 1.84988907e-05 1.22617915e+00]
26,[-4.03413408e-03 -1.06014249e-05 -2.49967449e-01  1.00000000e+00],[6.90858501e-03 2.02937058e-05 1.22279177e+00]
27,[-3.99020118e-03 -1.17210642e-05 -2.49968154e-01  1.00000000e+00],[6.78666974e-03 2.19770326e-05 1.21941185e+00]
28,[-3.95064921e-03 -1.27932476e-05 -2.49968782e-01  1.00000000e+00],[6.67237603e-03 2.38473765e-05 1.21603832e+00]
29,[-3.91488137e-03 -1.39919647e-05 -2.49969345e-01  1.00000000e+00],[6.56446155e-03 2.64838611e-05 1.21267010e+00]
30,[-3.88226537e-03 -1.56627282e-05 -2.49969854e-01  1.00000000e+00],[6.46173130e-03 2.99527176e-05 1.20930617e+00]
31,[-3.85217572e-03 -1.78563803e-05 -2.49970319e-01  1.00000000e+00],[6.36308644e-03 3.40715882e-05 1.20594557e+00]
32,[-3.82402315e-03 -2.04759975e-05 -2.49970751e-01  1.00000000e+00],[6.26755622e-03 3.86959873e-05 1.20258749e+00]
33,[-3.79727533e-03 -2.34444355e-05 -2.49971159e-01  1.00000000e+00],[6.17431439e-03 4.37451285e-05 1.19923121e+00]
34,[-3.77146925e-03 -2.67209274e-05 -2.49971549e-01  1.00000000e+00],[6.08268341e-03 4.91809443e-05 1.19587617e+00]
35,[-3.74621673e-03 -3.02896705e-05 -2.49971928e-01  1.00000000e+00],[5.99212949e-03 5.49873705e-05 1.19252191e+00]
36,[-3.72120462e-03 -3.41480033e-05 -2.49972301e-01  1.00000000e+00],[5.90225137e-03 6.11571688e-05 1.18916809e+00]
37,[-3.69619106e-03 -3.82987045e-05 -2.49972672e-01  1.00000000e+00],[5.81276513e-03 6.76849741e-05 1.18581448e+00]
38,[-3.67099909e-03 -4.27458314e-05 -2.49973042e-01  1.00000000e+00],[5.72348697e-03 7.45642473e-05 1.18246090e+00]
39,[-3.64550860e-03 -4.74928318e-05 -2.49973415e-01  1.00000000e+00],[5.63431544e-03 8.17863580e-05 1.17910727e+00]
40,[-3.61964757e-03 -5.25419272e-05 -2.49973789e-01  1.00000000e+00],[5.54521417e-03 8.93406874e-05 1.17575355e+00]
41,[-3.59338313e-03 -5.78941245e-05 -2.49974167e-01  1.00000000e+00],[5.45619599e-03 9.72151205e-05 1.17239973e+00]
42,[-3.56671305e-03 -6.35494839e-05 -2.49974548e-01  1.00000000e+00],[5.36730884e-03 1.05396609e-04 1.16904586e+00]
43,[-3.53965787e-03 -6.95074475e-05 -2.49974931e-01  1.00000000e+00],[5.27862376e-03 1.13871664e-04 1.16569196e+00]
44,[-3.51225409e-03 -7.57671383e-05 -2.49975315e-01  1.00000000e+00],[5.19022495e-03 1.22626724e-04 1.16233811e+00]
45,[-3.48454827e-03 -8.23275956e-05 -2.49975701e-01  1.00000000e+00],[5.10220204e-03 1.31648419e-04 1.15898436e+00]
46,[-3.45659234e-03 -8.91879456e-05 -2.49976087e-01  1.00000000e+00],[5.01464413e-03 1.40923722e-04 1.15563076e+00]
47,[-3.42843979e-03 -9.63475141e-05 -2.49976472e-01  1.00000000e+00],[4.92763568e-03 1.50440037e-04 1.15227738e+00]
48,[-3.40014293e-03 -1.03805894e-04 -2.49976855e-01  1.00000000e+00],[4.84125367e-03 1.60185230e-04 1.14892426e+00]
49,[-3.37175091e-03 -1.11562982e-04 -2.49977237e-01  1.00000000e+00],[4.75556612e-03 1.70147632e-04 1.14557145e+00]
50,[-3.34330852e-03 -1.19618993e-04 -2.49977615e-01  1.00000000e+00],[4.67063141e-03 1.80316012e-04 1.14221899e+00]
51,[-3.31485550e-03 -1.27974458e-04 -2.49977990e-01  1.00000000e+00],[4.58649840e-03 1.90679543e-04 1.13886689e+00]
52,[-3.28642638e-03 -1.36630219e-04 -2.49978361e-01  1.00000000e+00],[4.50320696e-03 2.01227763e-04 1.13551518e+00]
53,[-3.25805059e-03 -1.45587409e-04 -2.49978727e-01  1.00000000e+00],[4.42078892e-03 2.11950531e-04 1.13216388e+00]
54,[-3.22975291e-03 -1.54847440e-04 -2.49979089e-01  1.00000000e+00],[4.33926905e-03 2.22837981e-04 1.12881299e+00]
55,[-3.20155396e-03 -1.64411981e-04 -2.49979445e-01  1.00000000e+00],[4.25866629e-03 2.33880479e-04 1.12546252e+00]
56,[-3.17347088e-03 -1.74282941e-04 -2.49979797e-01  1.00000000e+00],[4.17899482e-03 2.45068579e-04 1.12211247e+00]
57,[-3.14551792e-03 -1.84462446e-04 -2.49980143e-01  1.00000000e+00],[4.10026507e-03 2.56392981e-04 1.11876283e+00]
58,[-3.11770715e-03 -1.94952819e-04 -2.49980483e-01  1.00000000e+00],[4.02248472e-03 2.67844494e-04 1.11541362e+00]
59,[-3.09004899e-03 -2.05756558e-04 -2.49980818e-01  1.00000000e+00],[3.94565944e-03 2.79413990e-04 1.11206481e+00]
60,[-3.06255276e-03 -2.16876317e-04 -2.49981147e-01  1.00000000e+00],[3.86979353e-03 2.91092369e-04 1.10871641e+00]
61,[-3.03522710e-03 -2.28314881e-04 -2.49981470e-01  1.00000000e+00],[3.79489047e-03 3.02870520e-04 1.10536840e+00]
62,[-3.00808037e-03 -2.40075142e-04 -2.49981787e-01  1.00000000e+00],[3.72095327e-03 3.14739283e-04 1.10202079e+00]
63,[-2.98112092e-03 -2.52160077e-04 -2.49982098e-01  1.00000000e+00],[3.64798478e-03 3.26685785e-04 1.09867356e+00]
64,[-2.95435732e-03 -2.64569782e-04 -2.49982403e-01  1.00000000e+00],[3.57598837e-03 3.38559365e-04 1.09532672e+00]
65,[-2.92779893e-03 -2.77191547e-04 -2.49982702e-01  1.00000000e+00],[3.50496874e-03 3.49928696e-04 1.09198024e+00]
66,[-2.90145670e-03 -2.89675325e-04 -2.49982995e-01  1.00000000e+00],[3.43493087e-03 3.60352530e-04 1.08863412e+00]
67,[-2.87534222e-03 -3.01647073e-04 -2.49983282e-01  1.00000000e+00],[3.36587939e-03 3.69534017e-04 1.08528835e+00]
68,[-2.84946736e-03 -3.12838043e-04 -2.49983565e-01  1.00000000e+00],[3.29781809e-03 3.77945850e-04 1.08194293e+00]
69,[-2.82384377e-03 -3.23626108e-04 -2.49983842e-01  1.00000000e+00],[3.23075053e-03 3.86048100e-04 1.07859785e+00]
70,[-2.79848343e-03 -3.34395739e-04 -2.49984113e-01  1.00000000e+00],[3.16467979e-03 3.94183806e-04 1.07525310e+00]
71,[-2.77339846e-03 -3.45446880e-04 -2.49984377e-01  1.00000000e+00],[3.09960845e-03 4.02497931e-04 1.07190867e+00]
72,[-2.74860110e-03 -3.56918066e-04 -2.49984635e-01  1.00000000e+00],[3.03553811e-03 4.11279432e-04 1.06856456e+00]
73,[-2.72410330e-03 -3.69083707e-04 -2.49984886e-01  1.00000000e+00],[2.97246795e-03 4.21461666e-04 1.06522077e+00]
74,[-2.69991536e-03 -3.82816854e-04 -2.49985127e-01  1.00000000e+00],[2.91039770e-03 4.32971161e-04 1.06187728e+00]
75,[-2.67604863e-03 -3.98107752e-04 -2.49985360e-01  1.00000000e+00],[2.84932651e-03 4.45783302e-04 1.05853409e+00]
76,[-2.65251447e-03 -4.14991632e-04 -2.49985583e-01  1.00000000e+00],[2.78925286e-03 4.59934333e-04 1.05519119e+00]
77,[-2.62932418e-03 -4.33562864e-04 -2.49985797e-01  1.00000000e+00],[2.73017458e-03 4.75459592e-04 1.05184857e+00]
78,[-2.60648901e-03 -4.53919763e-04 -2.49986000e-01  1.00000000e+00],[2.67208883e-03 4.92389885e-04 1.04850623e+00]
79,[-2.58402016e-03 -4.76161336e-04 -2.49986192e-01  1.00000000e+00],[2.61499209e-03 5.10753961e-04 1.04516416e+00]
80,[-2.56192872e-03 -5.00389752e-04 -2.49986372e-01  1.00000000e+00],[2.55888019e-03 5.30580543e-04 1.04182234e+00]
81,[-2.54022576e-03 -5.26712570e-04 -2.49986539e-01  1.00000000e+00],[2.50374829e-03 5.51899480e-04 1.03848078e+00]
82,[-2.51892222e-03 -5.55244259e-04 -2.49986693e-01  1.00000000e+00],[2.44959092e-03 5.74742269e-04 1.03513946e+00]
83,[-2.49802902e-03 -5.86107195e-04 -2.49986832e-01  1.00000000e+00],[2.38239629e-03 5.99096472e-04 1.03179132e+00]
84,[-2.46315021e-03 -6.19403499e-04 -2.49987098e-01  1.00000000e+00],[2.29794126e-03 6.24988869e-04 1.02843415e+00]
85,[-2.40928857e-03 -6.55272858e-04 -2.49987532e-01  1.00000000e+00],[2.19799771e-03 6.52477949e-04 1.02506839e+00]
86,[-2.33750397e-03 -6.93890530e-04 -2.49988109e-01  1.00000000e+00],[2.08272657e-03 6.81616984e-04 1.02169378e+00]
87,[-2.24718312e-03 -7.35438922e-04 -2.49988818e-01  1.00000000e+00],[1.95318138e-03 7.12458775e-04 1.01831067e+00]
88,[-2.13864333e-03 -7.80109425e-04 -2.49989635e-01  1.00000000e+00],[1.81291080e-03 7.45061621e-04 1.01492071e+00]
89,[-2.01497890e-03 -8.28106625e-04 -2.49990508e-01  1.00000000e+00],[1.66466218e-03 7.79476187e-04 1.01152529e+00]
90,[-1.87857204e-03 -8.79639236e-04 -2.49991394e-01  1.00000000e+00],[1.51063073e-03 8.15624941e-04 1.00812563e+00]
91,[-1.73132329e-03 -9.34782029e-04 -2.49992257e-01  1.00000000e+00],[1.35283499e-03 8.53032008e-04 1.00472288e+00]
92,[-1.57505042e-03 -9.93150260e-04 -2.49993066e-01  1.00000000e+00],[1.19307285e-03 8.91389123e-04 1.00131807e+00]
93,[-0.00141143 -0.00105453 -0.24999379  1.        ],[1.03288264e-03 9.30493007e-04 9.97912081e-01]
94,[-0.00124194 -0.00111883 -0.24999441  1.        ],[8.73529983e-04 9.70040119e-04 9.94505617e-01]
95,[-0.00106783 -0.00118581 -0.24999491  1.        ],[7.16015340e-04 1.00950470e-03 9.91099239e-01]
96,[-8.90110007e-04 -1.25495948e-03 -2.49995266e-01  1.00000000e+00],[5.61095883e-04 1.04852023e-03 9.87693362e-01]
97,[-7.09540428e-04 -1.32591865e-03 -2.49995477e-01  1.00000000e+00],[4.09315749e-04 1.08680086e-03 9.84288276e-01]
98,[-5.26676706e-04 -1.39841356e-03 -2.49995534e-01  1.00000000e+00],[2.61040194e-04 1.12409680e-03 9.80884168e-01]
99,[-3.41876733e-04 -1.47219682e-03 -2.49995431e-01  1.00000000e+00],[1.16490295e-04 1.16018554e-03 9.77481142e-01]
100,[-1.55333012e-04 -1.54703973e-03 -2.49995165e-01  1.00000000e+00],[-2.42239797e-05  1.19486805e-03  9.74079236e-01]
101,[ 3.28981553e-05 -1.62272902e-03 -2.49994731e-01  1.00000000e+00],[-1.61073985e-04  1.22796704e-03  9.70678443e-01]
102,[ 2.22868593e-04 -1.69906572e-03 -2.49994127e-01  1.00000000e+00],[-2.94086684e-04  1.25932545e-03  9.67278725e-01]
