step,action,eef_pos
0,[ 9.99503420e-01 -8.26437805e-06 -3.15105188e-02  1.00000000e+00],[-2.46752347e-01  2.57653234e-06  7.94706190e-01]
1,[ 9.99955125e-01 -5.18652147e-06 -9.47349140e-03  1.00000000e+00],[-2.39921726e-01  5.53062902e-07  7.90457684e-01]
2,[ 9.99999564e-01 -1.12887964e-06 -9.34197657e-04  1.00000000e+00],[-2.32988412e-01 -1.69474801e-06  7.88177143e-01]
3,[9.99992878e-01 3.50885425e-06 3.77409530e-03 1.00000000e+00],[-2.25604041e-01 -4.19306078e-06  7.86457553e-01]
4,[9.99972262e-01 8.81604048e-06 7.44810518e-03 1.00000000e+00],[-2.17484528e-01 -6.96699157e-06  7.85076521e-01]
5,[9.99944545e-01 1.49023225e-05 1.05312715e-02 1.00000000e+00],[-2.08525464e-01 -1.00140403e-05  7.84023415e-01]
6,[9.99915063e-01 2.18378052e-05 1.30332514e-02 1.00000000e+00],[-1.98691714e-01 -1.33189909e-05  7.83310257e-01]
7,[9.99888872e-01 2.96807594e-05 1.49077857e-02 1.00000000e+00],[-1.88000317e-01 -1.68453019e-05  7.82935311e-01]
8,[9.99869946e-01 3.84545636e-05 1.61273184e-02 1.00000000e+00],[-1.76508727e-01 -2.05319919e-05  7.82878653e-01]
9,[9.99860636e-01 4.81329670e-05 1.66945108e-02 1.00000000e+00],[-1.64305566e-01 -2.36787967e-05  7.83104394e-01]
10,[9.99861520e-01 5.71450628e-05 1.66414638e-02 1.00000000e+00],[-1.51502148e-01 -2.49848075e-05  7.83564378e-01]
11,[9.99871561e-01 6.22203360e-05 1.60268009e-02 1.00000000e+00],[-1.38223477e-01 -2.41065403e-05  7.84202583e-01]
12,[9.99888517e-01 6.20875714e-05 1.49315309e-02 1.00000000e+00],[-1.24598762e-01 -2.15689616e-05  7.84959944e-01]
13,[9.99909498e-01 5.75736276e-05 1.34533286e-02 1.00000000e+00],[-1.10752259e-01 -1.95729224e-05  7.85779094e-01]
14,[9.99931557e-01 5.42521420e-05 1.16994887e-02 1.00000000e+00],[-9.67955543e-02 -1.63762889e-05  7.86608379e-01]
15,[9.99952179e-01 4.72194801e-05 9.77941705e-03 1.00000000e+00],[-8.28180079e-02 -8.75291694e-06  7.87417252e-01]
16,[9.99969890e-01 2.62986172e-05 7.76000860e-03 1.00000000e+00],[-6.88916470e-02  5.15812827e-06  7.88172485e-01]
17,[ 9.99983579e-01 -1.61749096e-05  5.73074016e-03  1.00000000e+00],[-5.50690629e-02  1.74577970e-05  7.88842610e-01]
18,[ 9.99992802e-01 -5.72253088e-05  3.79383586e-03  1.00000000e+00],[-4.13836118e-02  2.00085231e-05  7.89411605e-01]
19,[ 9.99997959e-01 -6.86671503e-05  2.01930849e-03  1.00000000e+00],[-2.78531613e-02  1.92048418e-05  7.89872577e-01]
20,[ 9.99999892e-01 -6.91186656e-05  4.58598041e-04  1.00000000e+00],[-1.44830406e-02  2.17473322e-05  7.90225324e-01]
21,[ 9.99999634e-01 -8.22257797e-05 -8.51941133e-04  1.00000000e+00],[-1.26921660e-03  2.42222439e-05  7.90474636e-01]
22,[ 9.99998211e-01 -9.63993955e-05 -1.88895248e-03  1.00000000e+00],[1.17983549e-02 2.23830080e-05 7.90628669e-01]
23,[ 9.99996513e-01 -9.39663112e-05 -2.63922204e-03  1.00000000e+00],[2.47326631e-02 1.27210089e-05 7.90697440e-01]
24,[ 9.99995206e-01 -5.64704503e-05 -3.09603861e-03  1.00000000e+00],[ 3.75472086e-02 -5.91389192e-06  7.90691593e-01]
25,[ 9.99994701e-01  2.78361162e-05 -3.25526223e-03  1.00000000e+00],[ 5.02542633e-02 -3.00794099e-05  7.90621484e-01]
26,[ 9.99995148e-01  1.50587765e-04 -3.11136117e-03  1.00000000e+00],[ 6.28637327e-02 -5.67181941e-05  7.90496556e-01]
27,[ 9.99996434e-01  3.03083911e-04 -2.65343635e-03  1.00000000e+00],[ 7.53824602e-02 -8.31430374e-05  7.90324967e-01]
28,[ 9.99998155e-01  4.76142798e-04 -1.86101867e-03  1.00000000e+00],[ 8.78138414e-02 -1.07008957e-04  7.90113416e-01]
29,[ 9.99999538e-01  6.59790632e-04 -6.99296603e-04  1.00000000e+00],[ 1.00157620e-01 -1.26431653e-04  7.89867117e-01]
30,[9.99999251e-01 8.43763681e-04 8.86819533e-04 1.00000000e+00],[ 1.12409762e-01 -1.40052841e-04  7.89589884e-01]
31,[0.99999504 0.00101789 0.00298069 1.        ],[ 1.24562294e-01 -1.46754273e-04  7.89284296e-01]
32,[0.99998304 0.00116992 0.00570555 1.        ],[ 1.36603043e-01 -1.46183965e-04  7.88951923e-01]
33,[0.99995646 0.00128908 0.00924215 1.        ],[ 1.48515179e-01 -1.43758109e-04  7.88593631e-01]
34,[0.99990299 0.00141641 0.01385658 1.        ],[ 1.60276501e-01 -1.41958869e-04  7.88210001e-01]
