step,action,eef_pos
0,[-9.99314942e-01 -2.13460930e-05 -3.70087198e-02  1.00000000e+00],[2.44302200e-01 5.71441937e-05 7.96000018e-01]
1,[-9.99926332e-01 -1.15597268e-04 -1.21374653e-02  1.00000000e+00],[2.38250015e-01 8.90945557e-05 7.90212616e-01]
2,[-9.99999889e-01 -1.82477302e-04 -4.35464788e-04  1.00000000e+00],[2.33661751e-01 7.60592226e-05 7.92558564e-01]
3,[-9.99985996e-01 -1.57254853e-04 -5.28991145e-03  1.00000000e+00],[2.30801636e-01 7.71324695e-05 7.98636991e-01]
4,[-9.99838678e-01 -1.60398843e-04 -1.79608320e-02  1.00000000e+00],[2.28521919e-01 1.05019780e-04 8.05326628e-01]
5,[-9.99487439e-01 -2.19354530e-04 -3.20126873e-02  1.00000000e+00],[2.26432328e-01 1.51578408e-04 8.11872754e-01]
6,[-9.98947773e-01 -3.17818302e-04 -4.58611601e-02  1.00000000e+00],[2.24334844e-01 1.99101589e-04 8.18087712e-01]
7,[-9.98251305e-01 -4.19015014e-04 -5.91113966e-02  1.00000000e+00],[2.22045631e-01 2.40379567e-04 8.23902766e-01]
8,[-9.97430682e-01 -5.07921140e-04 -7.16364207e-02  1.00000000e+00],[2.19376043e-01 2.71566838e-04 8.29272086e-01]
9,[-9.96517879e-01 -5.76555224e-04 -8.33773602e-02  1.00000000e+00],[2.16125586e-01 2.93723935e-04 8.34121846e-01]
10,[-9.95549753e-01 -6.27334778e-04 -9.42353179e-02  1.00000000e+00],[2.12051414e-01 3.08975412e-04 8.38367287e-01]
11,[-9.94565507e-01 -6.65069467e-04 -1.04110569e-01  1.00000000e+00],[2.06882194e-01 3.18948691e-04 8.41910142e-01]
12,[-9.93607038e-01 -6.93635401e-04 -1.12891863e-01  1.00000000e+00],[2.00357834e-01 3.22504598e-04 8.44653874e-01]
13,[-9.92716393e-01 -7.10891599e-04 -1.20472639e-01  1.00000000e+00],[1.92266934e-01 3.14015503e-04 8.46518790e-01]
14,[-9.91932852e-01 -7.04285737e-04 -1.26762461e-01  1.00000000e+00],[1.82484821e-01 2.89024185e-04 8.47458430e-01]
15,[-9.91289494e-01 -6.62466344e-04 -1.31699278e-01  1.00000000e+00],[1.71007027e-01 2.43938923e-04 8.47475916e-01]
16,[-9.90809241e-01 -5.74092410e-04 -1.35265365e-01  1.00000000e+00],[1.57964223e-01 1.77244079e-04 8.46633893e-01]
17,[-9.90501378e-01 -4.30333089e-04 -1.37502128e-01  1.00000000e+00],[1.43608338e-01 9.22556655e-05 8.45052082e-01]
18,[-9.90360051e-01 -2.32124975e-04 -1.38516839e-01  1.00000000e+00],[ 1.28272155e-01 -6.17509048e-06  8.42892886e-01]
19,[-9.90365177e-01  1.61671815e-05 -1.38480382e-01  1.00000000e+00],[ 1.12314869e-01 -1.13389648e-04  8.40338675e-01]
20,[-9.90485830e-01  3.09981315e-04 -1.37614404e-01  1.00000000e+00],[ 9.60711078e-02 -2.25928472e-04  8.37567530e-01]
21,[-9.90685294e-01  6.46757298e-04 -1.36169855e-01  1.00000000e+00],[ 7.98165758e-02 -3.48834200e-04  8.34733926e-01]
22,[-0.99092633  0.00104806 -0.13440205  1.        ],[ 6.37541007e-02 -4.77247229e-04  8.31957525e-01]
23,[-0.99117553  0.00150766 -0.13254734  1.        ],[ 4.80155793e-02 -6.06053979e-04  8.29320128e-01]
24,[-0.99140594  0.00201615 -0.13080594  1.        ],[ 3.26728076e-02 -7.31388630e-04  8.26868450e-01]
25,[-0.99159801  0.00256566 -0.12933215  1.        ],[ 0.01775187 -0.00084859  0.82462058]
26,[-0.99173911  0.00314314 -0.12823285  1.        ],[ 0.00324652 -0.00095033  0.82257344]
27,[-0.99182238  0.00372191 -0.12757159  1.        ],[-0.01087373 -0.0010319   0.82070834]
28,[-0.99184581  0.00428011 -0.12737177  1.        ],[-0.02465485 -0.00109262  0.81899728]
29,[-0.99181075  0.00480894 -0.12762563  1.        ],[-0.0381487  -0.0011334   0.81740907]
30,[-0.99172023  0.00530569 -0.12830758  1.        ],[-0.05140629 -0.00115523  0.81591343]
31,[-0.99157757  0.00576807 -0.12938565  1.        ],[-0.06447381 -0.00115765  0.81448325]
32,[-0.99138555  0.00618608 -0.13082973  1.        ],[-0.07739053 -0.00114021  0.81309549]
33,[-0.99114569  0.00654721 -0.13261729  1.        ],[-0.09018804 -0.00110486  0.81173127]
34,[-0.99085771  0.00685027 -0.13473708  1.        ],[-0.10288943 -0.0010527   0.81037825]
35,[-0.99051666  0.00708801 -0.13720972  1.        ],[-0.11550729 -0.00098334  0.80903752]
36,[-0.99010385  0.00723916 -0.14014976  1.        ],[-0.12805223 -0.00089551  0.80768854]
37,[-0.98961724  0.00726712 -0.1435441   1.        ],[-1.40528527e-01 -7.89269948e-04  8.06318382e-01]
38,[-0.98904644  0.00713085 -0.14743236  1.        ],[-1.52937243e-01 -6.84744657e-04  8.04918001e-01]
