step,action,eef_pos
0,[-9.54543993e-07 -4.99958616e-01 -6.43293537e-03  1.00000000e+00],[-6.07929240e-04  3.48165560e-01  7.87587663e-01]
1,[ 4.35373367e-04 -4.99996826e-01  1.72761448e-03  1.00000000e+00],[-0.00130743  0.34452354  0.78356237]
2,[ 9.41197727e-04 -4.99977636e-01  4.63435566e-03  1.00000000e+00],[-0.00136417  0.34080319  0.78345859]
3,[ 9.87335884e-04 -4.99976610e-01  4.73441985e-03  1.00000000e+00],[-0.00123068  0.3366781   0.7840831 ]
4,[ 8.96077149e-04 -4.99980636e-01  4.30818133e-03  1.00000000e+00],[-0.00099765  0.33204724  0.78475819]
5,[ 7.31342104e-04 -4.99984699e-01  3.84258849e-03  1.00000000e+00],[-7.19508999e-04  3.26946454e-01  7.85345056e-01]
6,[ 5.31424293e-04 -4.99987897e-01  3.43810906e-03  1.00000000e+00],[-4.49533284e-04  3.21435256e-01  7.85815860e-01]
7,[ 3.34748921e-04 -4.99990180e-01  3.11575639e-03  1.00000000e+00],[-2.27007543e-04  3.15584213e-01  7.86171582e-01]
8,[ 1.70529717e-04 -4.99991700e-01  2.87593542e-03  1.00000000e+00],[-7.61605589e-05  3.09465588e-01  7.86422615e-01]
9,[ 5.77432994e-05 -4.99992640e-01  2.71229613e-03  1.00000000e+00],[-8.15989060e-06  3.03146640e-01  7.86583095e-01]
10,[ 6.24651376e-06 -4.99993158e-01  2.61568988e-03  1.00000000e+00],[-2.40282000e-05  2.96686214e-01  7.86668555e-01]
11,[ 1.85776970e-05 -4.99993365e-01  2.57574737e-03  1.00000000e+00],[-1.17856534e-04  2.90133377e-01  7.86694444e-01]
12,[ 9.20550035e-05 -4.99993325e-01  2.58189309e-03  1.00000000e+00],[-2.79596521e-04  2.83527329e-01  7.86675133e-01]
13,[ 2.20663443e-04 -4.99993066e-01  2.62405493e-03  1.00000000e+00],[-4.97252937e-04  2.76898048e-01  7.86623298e-01]
14,[ 3.96592053e-04 -4.99992590e-01  2.69314284e-03  1.00000000e+00],[-7.58467676e-04  2.70267362e-01  7.86549609e-01]
15,[ 6.11393909e-04 -4.99991890e-01  2.78132885e-03  1.00000000e+00],[-0.00105157  0.2636502   0.78646266]
16,[ 8.56801849e-04 -4.99990959e-01  2.88216261e-03  1.00000000e+00],[-0.00136621  0.25705589  0.78636905]
17,[ 0.00112526 -0.49998979  0.00299056  1.        ],[-0.00169365  0.25048942  0.78627364]
18,[ 0.0014102  -0.49998838  0.0031027   1.        ],[-0.00202685  0.24395254  0.78617975]
19,[ 0.00170619 -0.49998675  0.00321587  1.        ],[-0.00236036  0.23744475  0.78608953]
20,[ 0.00200894 -0.49998489  0.00332827  1.        ],[-0.00269017  0.2309641   0.78600416]
21,[ 0.00231518 -0.49998281  0.00343886  1.        ],[-0.00301349  0.2245078   0.78592415]
22,[ 0.00262257 -0.49998054  0.00354711  1.        ],[-0.00332849  0.21807272  0.78584955]
23,[ 0.0029295  -0.49997807  0.00365294  1.        ],[-0.00363408  0.2116557   0.78578009]
24,[ 0.00323499 -0.49997542  0.00375649  1.        ],[-0.00392972  0.20525377  0.78571535]
25,[ 0.00353847 -0.49997259  0.00385807  1.        ],[-0.00421519  0.19886428  0.78565485]
26,[ 0.00383969 -0.49996959  0.00395806  1.        ],[-0.00449052  0.19248494  0.78559811]
27,[ 0.00413857 -0.49996641  0.00405688  1.        ],[-0.00475581  0.18611384  0.78554469]
28,[ 0.00443512 -0.49996307  0.00415488  1.        ],[-0.0050112   0.17974938  0.78549423]
29,[ 0.0047294  -0.49995955  0.00425239  1.        ],[-0.00525678  0.17339027  0.78544645]
30,[ 0.00502141 -0.49995586  0.00434966  1.        ],[-0.00549257  0.16703546  0.78540116]
31,[ 0.00531108 -0.49995202  0.00444689  1.        ],[-0.00571852  0.16068404  0.78535822]
32,[ 0.0055983  -0.49994801  0.00454419  1.        ],[-0.00593452  0.15433526  0.78531759]
33,[ 0.00588285 -0.49994384  0.00464164  1.        ],[-0.00614037  0.14798841  0.78527926]
34,[ 0.00616443 -0.49993954  0.00473924  1.        ],[-0.00633582  0.14164285  0.78524326]
35,[ 0.00644268 -0.49993509  0.00483697  1.        ],[-0.00652059  0.13529793  0.78520965]
36,[ 0.0067172  -0.49993052  0.00493479  1.        ],[-0.00669441  0.128953    0.78517851]
37,[ 0.00698755 -0.49992584  0.00503262  1.        ],[-0.006857    0.12260739  0.78514993]
38,[ 0.00725329 -0.49992106  0.00513038  1.        ],[-0.00700811  0.11626044  0.78512397]
39,[ 0.00751398 -0.4999162   0.005228    1.        ],[-0.00714756  0.10991142  0.78510071]
40,[ 0.0077692  -0.49991127  0.0053254   1.        ],[-0.00727519  0.10355964  0.7850802 ]
41,[ 0.00801861 -0.49990629  0.00542253  1.        ],[-0.00739096  0.09720437  0.78506247]
42,[ 0.00826188 -0.49990127  0.00551934  1.        ],[-0.00749485  0.0908449   0.78504756]
43,[ 0.00849879 -0.49989622  0.00561582  1.        ],[-0.00758697  0.08448054  0.78503544]
44,[ 0.00872919 -0.49989116  0.00571196  1.        ],[-0.00766748  0.07811063  0.78502611]
45,[ 0.00895299 -0.4998861   0.00580779  1.        ],[-0.00773663  0.07173454  0.78501952]
46,[ 0.00917021 -0.49988104  0.00590336  1.        ],[-0.00779471  0.06535169  0.7850156 ]
47,[ 0.00938094 -0.499876    0.00599872  1.        ],[-0.00784212  0.05896156  0.7850143 ]
48,[ 0.00958537 -0.49987097  0.00609399  1.        ],[-0.00787928  0.05256368  0.78501553]
49,[ 0.00978375 -0.49986595  0.00618925  1.        ],[-0.00790667  0.04615766  0.78501919]
50,[ 0.00997642 -0.49986095  0.00628466  1.        ],[-0.0079248   0.03974315  0.78502518]
51,[ 0.01016377 -0.49985597  0.00638033  1.        ],[-0.00793422  0.03331988  0.78503342]
52,[ 0.01034626 -0.49985099  0.00647645  1.        ],[-0.00793547  0.02688765  0.78504379]
53,[ 0.01052439 -0.49984601  0.00657316  1.        ],[-0.00792912  0.02044629  0.78505619]
54,[ 0.01069871 -0.49984101  0.00667066  1.        ],[-0.00791573  0.01399573  0.78507053]
55,[ 0.01086981 -0.499836    0.00676911  1.        ],[-0.00789585  0.00753591  0.78508671]
56,[ 0.01103831 -0.49983095  0.00686872  1.        ],[-0.00786952  0.00106685  0.78510486]
57,[ 0.01120411 -0.49982587  0.00696938  1.        ],[-0.00787128 -0.00541107  0.78512094]
58,[ 0.01141714 -0.49981953  0.00707698  1.        ],[-0.00790284 -0.01189619  0.78514479]
59,[ 0.01168261 -0.49981197  0.00717735  1.        ],[-0.00795845 -0.01838674  0.78516565]
60,[ 0.01199487 -0.49980299  0.00728627  1.        ],[-0.0080417  -0.02488089  0.78517403]
61,[ 0.01236217 -0.4997921   0.00741876  1.        ],[-0.00815194 -0.03137721  0.78516902]
62,[ 0.01278681 -0.49977903  0.00757769  1.        ],[-0.00828249 -0.03787529  0.78515347]
63,[ 0.01326165 -0.49976385  0.00776011  1.        ],[-0.00842638 -0.04437537  0.78513056]
64,[ 0.01377853 -0.49974669  0.00796233  1.        ],[-0.00857755 -0.05087799  0.78510312]
65,[ 0.01433007 -0.49972765  0.00818096  1.        ],[-0.00873099 -0.05738386  0.78507353]
66,[ 0.0149101  -0.49970682  0.00841304  1.        ],[-0.00888277 -0.06389366  0.78504368]
67,[ 0.01551374 -0.49968429  0.0086562   1.        ],[-0.00902992 -0.07040798  0.78501505]
68,[ 0.0161374  -0.49966011  0.00890862  1.        ],[-0.00917032 -0.07692725  0.78498871]
69,[ 0.01677871 -0.49963427  0.00916903  1.        ],[-0.00930259 -0.0834517   0.7849654 ]
70,[ 0.01743637 -0.49960677  0.00943664  1.        ],[-0.00942587 -0.08998138  0.78494559]
71,[ 0.01811005 -0.49957754  0.0097111   1.        ],[-0.00953973 -0.09651618  0.78492955]
72,[ 0.01880018 -0.4995465   0.00999246  1.        ],[-0.00964406 -0.10305584  0.78491737]
73,[ 0.0195078  -0.49951351  0.01028104  1.        ],[-0.0097389  -0.10959996  0.78490906]
74,[ 0.02023449 -0.49947841  0.01057743  1.        ],[-0.00982443 -0.11614809  0.78490455]
75,[ 0.02098217 -0.49944101  0.01088242  1.        ],[-0.00990083 -0.12269971  0.78490375]
76,[ 0.02175309 -0.49940107  0.01119697  1.        ],[-0.0099683  -0.12925425  0.78490654]
77,[ 0.02254971 -0.49935834  0.01152214  1.        ],[-0.01002698 -0.13581115  0.78491282]
78,[ 0.02337468 -0.49931251  0.01185912  1.        ],[-0.01007693 -0.14236983  0.78492253]
79,[ 0.02423078 -0.49926326  0.01220919  1.        ],[-0.01011815 -0.14892972  0.78493561]
80,[ 0.02512098 -0.49921021  0.0125737   1.        ],[-0.01015051 -0.15549025  0.78495204]
