step,action,eef_pos
0,[ 0.00116036 -0.99959438 -0.02845567  1.        ],[-0.00156342  0.34513396  0.79821137]
1,[ 0.00224892 -0.99992771 -0.01181179  1.        ],[-0.00226682  0.33711197  0.79385561]
2,[ 0.00329899 -0.99997882 -0.00561121  1.        ],[-0.00227352  0.32851937  0.79392538]
3,[ 0.00335063 -0.99997765 -0.00578508  1.        ],[-0.00210357  0.31913701  0.79478529]
4,[ 0.00314361 -0.99996949 -0.00715122  1.        ],[-0.00187972  0.30891168  0.79560972]
5,[ 0.00285265 -0.99995969 -0.00851327  1.        ],[-0.00170318  0.29791942  0.79623317]
6,[ 0.00262857 -0.99995027 -0.00961981  1.        ],[-0.00165422  0.28627974  0.79663325]
7,[ 0.00259967 -0.99994228 -0.01042445  1.        ],[-0.0017827   0.27412822  0.79682383]
8,[ 0.00285612 -0.99993616 -0.01093268  1.        ],[-0.00210826  0.26159868  0.79683097]
9,[ 0.00344689 -0.99993169 -0.01116828  1.        ],[-0.00262664  0.248812    0.79668523]
10,[ 0.00438611 -0.99992807 -0.01116335  1.        ],[-0.00331764  0.23587075  0.79641783]
11,[ 0.00566233 -0.99992398 -0.01095352  1.        ],[-0.00415203  0.22285761  0.79605831]
12,[ 0.00724733 -0.99991782 -0.01057472  1.        ],[-0.00509675  0.20983586  0.79563301]
13,[ 0.00910317 -0.99990795 -0.01006097  1.        ],[-0.00611851  0.19685116  0.7951644 ]
14,[ 0.01118743 -0.99989283 -0.00944288  1.        ],[-0.00718594  0.18393383  0.79467083]
15,[ 0.01345675 -0.9998712  -0.00874683  1.        ],[-0.0082707   0.1711015   0.79416677]
16,[ 0.01586906 -0.99984212 -0.00799483  1.        ],[-0.0093479   0.15836149  0.7936633 ]
17,[ 0.01838472 -0.99980503 -0.00720469  1.        ],[-0.01039617  0.14571309  0.79316865]
18,[ 0.02096712 -0.99975974 -0.00639058  1.        ],[-0.0113974   0.13314948  0.79268883]
19,[ 0.02358288 -0.9997064  -0.00556358  1.        ],[-0.01233657  0.12065929  0.79222809]
20,[ 0.02620197 -0.99964547 -0.0047323   1.        ],[-0.01320151  0.10822791  0.79178939]
21,[ 0.02879775 -0.99957764 -0.00390337  1.        ],[-0.01398277  0.09583862  0.79137469]
22,[ 0.03134728 -0.9995038  -0.00308186  1.        ],[-0.01467358  0.08347341  0.7909852 ]
23,[ 0.0338317  -0.99942496 -0.00227151  1.        ],[-0.01526987  0.07111383  0.79062149]
24,[ 0.03623682 -0.99934214 -0.00147485  1.        ],[-0.01577023  0.05874167  0.79028357]
25,[ 3.85536860e-02 -9.99256290e-01 -6.93251069e-04  1.00000000e+00],[-0.01617585  0.04633959  0.78997099]
26,[ 4.07791470e-02 -9.99168182e-01  7.31240097e-05  1.00000000e+00],[-0.01649038  0.03389172  0.78968288]
27,[ 4.29162297e-02 -9.99078333e-01  8.25317860e-04  1.00000000e+00],[-0.01671852  0.02138404  0.78942256]
28,[ 0.04497121 -0.99898708  0.00155325  1.        ],[-0.01686499  0.00880268  0.78920114]
29,[ 0.04695157 -0.99889469  0.002224    1.        ],[-0.01695305 -0.00386096  0.78900448]
30,[ 0.04891873 -0.99879863  0.00287261  1.        ],[-0.01702246 -0.01661036  0.7888192 ]
31,[ 0.050992   -0.9986928   0.00353716  1.        ],[-0.01708876 -0.02944307  0.78863071]
32,[ 0.05323352 -0.99857298  0.0042655   1.        ],[-0.01715452 -0.04235483  0.78843733]
33,[ 0.05567353 -0.99843615  0.00507151  1.        ],[-0.01721943 -0.05534182  0.78824049]
34,[ 0.05833809 -0.99827909  0.0059611   1.        ],[-0.0172826  -0.06840086  0.78804218]
35,[ 0.06125633 -0.99809795  0.00693929  1.        ],[-0.01734292 -0.08152828  0.7878444 ]
36,[ 0.06446224 -0.99788798  0.0080122   1.        ],[-0.01739912 -0.09472     0.78764897]
37,[ 0.06799639 -0.99764326  0.00918792  1.        ],[-0.01744976 -0.10797124  0.78745749]
38,[ 0.07190726 -0.99735629  0.01047724  1.        ],[-0.01749328 -0.12127856  0.78727147]
39,[ 0.07625477 -0.99701742  0.01189391  1.        ],[-0.01752692 -0.13463513  0.7870923 ]
40,[ 0.08110692 -0.99661458  0.01345555  1.        ],[-0.01754688 -0.14803315  0.78692131]
41,[ 0.08654396 -0.99613231  0.0151846   1.        ],[-0.01754807 -0.16146404  0.78675984]
42,[ 0.09266134 -0.99555067  0.01710944  1.        ],[-0.01752384 -0.1749185   0.78660941]
43,[ 0.09957352 -0.99484368  0.01926593  1.        ],[-0.01746562 -0.18838652  0.78647182]
44,[ 0.10741943 -0.99397696  0.02169951  1.        ],[-0.01736261 -0.2018574   0.78634929]
45,[ 0.11637038 -0.99290444  0.02446833  1.        ],[-0.01720131 -0.21531976  0.7862447 ]
46,[ 0.12664205 -0.9915631   0.02764785  1.        ],[-0.0169651  -0.2287614   0.78616171]
47,[ 0.13851326 -0.98986464  0.0313381   1.        ],[-0.01663362 -0.24216923  0.78610512]
48,[ 0.15235648 -0.98768151  0.03567539  1.        ],[-0.01618196 -0.25552896  0.78608114]
