step,action,eef_pos
0,[ 6.38800934e-04  4.99798815e-01 -1.41681380e-02  1.00000000e+00],[-0.00169676 -0.34747476  0.79866032]
1,[ 0.00121626  0.49995998 -0.00620784  1.        ],[-0.00246719 -0.34377619  0.79484092]
2,[ 0.00177803  0.49998467 -0.00348871  1.        ],[-0.00272783 -0.33995164  0.79458722]
3,[ 0.00197677  0.49998504 -0.00332421  1.        ],[-0.00281872 -0.33571613  0.79498668]
4,[ 0.00205524  0.49998256 -0.00363599  1.        ],[-0.00278958 -0.33099571  0.79543779]
5,[ 0.00204808  0.49997987 -0.00399237  1.        ],[-0.00269117 -0.32581786  0.79581325]
6,[ 0.00199095  0.49997754 -0.00430071  1.        ],[-0.00257264 -0.32024177  0.7960888 ]
7,[ 0.00191909  0.49997569 -0.00454202  1.        ],[-0.00247151 -0.31433814  0.79626601]
8,[ 0.00186003  0.4999743  -0.00471574  1.        ],[-0.00241226 -0.30817869  0.79635468]
9,[ 0.00183243  0.49997334 -0.00482721  1.        ],[-0.00240785 -0.30182959  0.79636767]
10,[ 0.0018469   0.49997273 -0.00488419  1.        ],[-0.00246227 -0.29534819  0.79631882]
11,[ 0.0019076  0.4999724 -0.0048954  1.       ],[-0.00257317 -0.28878188  0.79622161]
12,[ 0.00201401  0.49997223 -0.00486963  1.        ],[-0.00273436 -0.2821681   0.79608834]
13,[ 0.00216256  0.49997214 -0.00481517  1.        ],[-0.00293763 -0.27553518  0.79592965]
14,[ 0.00234796  0.49997202 -0.0047394   1.        ],[-0.00317419 -0.26890343  0.79575434]
15,[ 0.00256422  0.49997181 -0.00464856  1.        ],[-0.00343552 -0.26228653  0.79556932]
16,[ 0.00280532  0.49997145 -0.00454771  1.        ],[-0.00371398 -0.25569279  0.79537978]
17,[ 0.00306572  0.49997088 -0.00444075  1.        ],[-0.00400307 -0.24912646  0.79518942]
18,[ 0.00334055  0.49997009 -0.00433056  1.        ],[-0.00429751 -0.24258883  0.7950007 ]
19,[ 0.00362582  0.49996905 -0.00421911  1.        ],[-0.0045932  -0.23607914  0.79481511]
20,[ 0.00391833  0.49996777 -0.00410764  1.        ],[-0.00488709 -0.22959536  0.79463341]
21,[ 0.00421566  0.49996625 -0.00399684  1.        ],[-0.00517702 -0.22313478  0.79445585]
22,[ 0.00451608  0.4999645  -0.00388698  1.        ],[-0.00546152 -0.21669443  0.79428234]
23,[ 0.00481839  0.49996251 -0.00377807  1.        ],[-0.00573967 -0.21027139  0.79411262]
24,[ 0.00512181  0.4999603  -0.00366991  1.        ],[-0.00601089 -0.20386295  0.79394632]
25,[ 0.00542588  0.49995787 -0.00356225  1.        ],[-0.00627487 -0.19746673  0.79378308]
26,[ 0.00573031  0.49995523 -0.00345477  1.        ],[-0.00653141 -0.19108072  0.79362254]
27,[ 0.00603495  0.49995237 -0.00334719  1.        ],[-0.00678036 -0.18470321  0.79346443]
28,[ 0.00633966  0.49994931 -0.00323925  1.        ],[-0.00702156 -0.17833284  0.79330854]
29,[ 0.0066443   0.49994605 -0.00313078  1.        ],[-0.00725483 -0.17196849  0.79315475]
30,[ 0.0069487   0.49994258 -0.00302163  1.        ],[-0.0074799  -0.16560923  0.79300301]
31,[ 0.00725257  0.49993892 -0.00291174  1.        ],[-0.00769644 -0.15925426  0.79285331]
32,[ 0.00755559  0.49993506 -0.0028011   1.        ],[-0.00790405 -0.15290291  0.79270574]
33,[ 0.00785734  0.49993102 -0.00268975  1.        ],[-0.00810229 -0.14655451  0.79256039]
34,[ 0.00815732  0.49992681 -0.00257778  1.        ],[-0.00829068 -0.14020842  0.7924174 ]
35,[ 0.00845497  0.49992243 -0.00246531  1.        ],[-0.00846872 -0.13386401  0.79227692]
36,[ 0.0087497   0.4999179  -0.00235246  1.        ],[-0.00863591 -0.1275206   0.79213909]
37,[ 0.00904088  0.49991324 -0.0022394   1.        ],[-0.00879179 -0.12117747  0.79200408]
38,[ 0.00932788  0.49990846 -0.00212628  1.        ],[-0.00893593 -0.11483388  0.79187203]
39,[ 0.0096101   0.49990358 -0.00201326  1.        ],[-0.00906795 -0.10848906  0.79174305]
40,[ 0.00988695  0.49989863 -0.00190048  1.        ],[-0.00918758 -0.10214221  0.79161727]
41,[ 0.0101579   0.49989361 -0.00178807  1.        ],[-0.0092946  -0.09579251  0.79149475]
42,[ 0.01042248  0.49988855 -0.00167614  1.        ],[-0.00938888 -0.08943915  0.79137556]
43,[ 0.01068031  0.49988347 -0.00156477  1.        ],[-0.00947042 -0.08308134  0.79125972]
44,[ 0.01093111  0.49987838 -0.00145402  1.        ],[-0.00953928 -0.07671829  0.79114725]
45,[ 0.01117466  0.4998733  -0.00134393  1.        ],[-0.00959563 -0.07034926  0.7910381 ]
46,[ 0.01141086  0.49986825 -0.00123448  1.        ],[-0.00963972 -0.06397359  0.79093225]
47,[ 0.01163974  0.49986323 -0.00112567  1.        ],[-0.00967191 -0.05759063  0.79082963]
48,[ 0.01186137  0.49985825 -0.00101743  1.        ],[-0.0096926  -0.05119983  0.79073014]
49,[ 1.20759722e-02  4.99853322e-01 -9.09680452e-04  1.00000000e+00],[-0.00970227 -0.0448007   0.7906337 ]
50,[ 1.22838296e-02  4.99848441e-01 -8.02316049e-04  1.00000000e+00],[-0.00970145 -0.03839283  0.7905402 ]
51,[ 1.24853177e-02  4.99843609e-01 -6.95209276e-04  1.00000000e+00],[-0.00969071 -0.03197588  0.79044951]
52,[ 1.26808862e-02  4.99838823e-01 -5.88212631e-04  1.00000000e+00],[-0.00967064 -0.02554959  0.79036152]
53,[ 1.28710510e-02  4.99834077e-01 -4.81161617e-04  1.00000000e+00],[-0.00964072 -0.01911379  0.79028088]
54,[ 1.30548165e-02  4.99829398e-01 -3.80345849e-04  1.00000000e+00],[-0.00959885 -0.01266856  0.79021972]
55,[ 1.32290084e-02  4.99824871e-01 -3.02820698e-04  1.00000000e+00],[-0.00954763 -0.00621372  0.79016639]
56,[ 1.33967393e-02  4.99820441e-01 -2.33467951e-04  1.00000000e+00],[-9.51770510e-03  2.51067007e-04  7.90114488e-01]
57,[ 1.36014459e-02  4.99814940e-01 -1.63611274e-04  1.00000000e+00],[-0.00950457  0.00672535  0.79006135]
58,[ 1.38386662e-02  4.99808447e-01 -8.93189309e-05  1.00000000e+00],[-0.00950812  0.01320788  0.79000009]
59,[ 1.41100879e-02  4.99800866e-01 -1.34447380e-07  1.00000000e+00],[-0.00953362  0.01969683  0.78992696]
60,[1.44256186e-02 4.99791846e-01 1.10519536e-04 1.00000000e+00],[-0.00958574  0.02619024  0.78983966]
61,[1.47950213e-02 4.99780998e-01 2.47471284e-04 1.00000000e+00],[-0.00966493  0.03268644  0.78973847]
