step,action,eef_pos
0,[ 3.83569905e-05 -2.77015985e-06 -2.49999997e-01  1.00000000e+00],[2.26568785e-04 1.26354146e-05 1.30271396e+00]
1,[-1.10475227e-04 -6.16104418e-06 -2.49999976e-01  1.00000000e+00],[1.39099149e-03 1.59655682e-05 1.30225550e+00]
2,[-6.78853788e-04 -7.79177050e-06 -2.49999078e-01  1.00000000e+00],[2.81673259e-03 1.60072493e-05 1.30062380e+00]
3,[-1.37904349e-03 -7.83698570e-06 -2.49996196e-01  1.00000000e+00],[4.16957198e-03 1.46921432e-05 1.29863507e+00]
4,[-2.04932381e-03 -7.22111507e-06 -2.49991600e-01  1.00000000e+00],[5.35238115e-03 1.26137229e-05 1.29645199e+00]
5,[-2.64194948e-03 -6.22616694e-06 -2.49986040e-01  1.00000000e+00],[6.37190540e-03 1.00066828e-05 1.29411879e+00]
6,[-3.15967017e-03 -4.96206632e-06 -2.49980032e-01  1.00000000e+00],[7.22044786e-03 7.00085448e-06 1.29163272e+00]
7,[-3.59810064e-03 -3.48867265e-06 -2.49974106e-01  1.00000000e+00],[7.89508748e-03 3.67745137e-06 1.28898828e+00]
8,[-3.95505254e-03 -1.84222321e-06 -2.49968713e-01  1.00000000e+00],[8.40477447e-03 1.07478752e-07 1.28619338e+00]
9,[-4.23401908e-03 -5.41438783e-08 -2.49964144e-01  1.00000000e+00],[ 8.76440840e-03 -3.64726823e-06  1.28326157e+00]
10,[-4.44136829e-03  1.84825498e-06 -2.49960545e-01  1.00000000e+00],[ 8.99228396e-03 -7.53079652e-06  1.28020941e+00]
11,[-4.58516877e-03  3.83995581e-06 -2.49957949e-01  1.00000000e+00],[ 9.10819214e-03 -1.14908092e-05  1.27705478e+00]
12,[-4.67432013e-03  5.89707816e-06 -2.49956298e-01  1.00000000e+00],[ 9.13201599e-03 -1.54780652e-05  1.27381572e+00]
13,[-4.71790669e-03  7.99648919e-06 -2.49955479e-01  1.00000000e+00],[ 9.08273194e-03 -1.94467509e-05  1.27050945e+00]
14,[-4.72473002e-03  1.01159705e-05 -2.49955350e-01  1.00000000e+00],[ 8.97773987e-03 -2.33553415e-05  1.26715183e+00]
15,[-4.70298480e-03  1.22346847e-05 -2.49955760e-01  1.00000000e+00],[ 8.83245236e-03 -2.71675182e-05  1.26375691e+00]
16,[-4.66004699e-03  1.43337214e-05 -2.49956564e-01  1.00000000e+00],[ 8.66008711e-03 -3.08528571e-05  1.26033676e+00]
17,[-4.60235099e-03  1.63965646e-05 -2.49957633e-01  1.00000000e+00],[ 8.47161906e-03 -3.43871432e-05  1.25690143e+00]
18,[-4.53533892e-03  1.84093911e-05 -2.49958857e-01  1.00000000e+00],[ 8.27585074e-03 -3.77522788e-05  1.25345893e+00]
19,[-4.46346540e-03  2.03611684e-05 -2.49960151e-01  1.00000000e+00],[ 8.07956639e-03 -4.09358338e-05  1.25001545e+00]
20,[-4.39024413e-03  2.22435580e-05 -2.49961448e-01  1.00000000e+00],[ 7.88774149e-03 -4.39303279e-05  1.24657549e+00]
21,[-4.31832457e-03  2.40506632e-05 -2.49962700e-01  1.00000000e+00],[ 7.70378396e-03 -4.67323515e-05  1.24314214e+00]
22,[-4.24958865e-03  2.57786656e-05 -2.49963878e-01  1.00000000e+00],[ 7.52978794e-03 -4.93416262e-05  1.23971729e+00]
23,[-4.18525864e-03  2.74254028e-05 -2.49964963e-01  1.00000000e+00],[ 7.36678564e-03 -5.17600892e-05  1.23630184e+00]
24,[-4.12600930e-03  2.89899313e-05 -2.49965948e-01  1.00000000e+00],[ 7.21498537e-03 -5.39910633e-05  1.23289599e+00]
25,[-4.07207803e-03  3.04721092e-05 -2.49966832e-01  1.00000000e+00],[ 7.07398409e-03 -5.60385490e-05  1.22949937e+00]
26,[-4.02336633e-03  3.18722248e-05 -2.49967621e-01  1.00000000e+00],[ 6.94295543e-03 -5.79066583e-05  1.22611125e+00]
27,[-3.97953257e-03  3.31906830e-05 -2.49968322e-01  1.00000000e+00],[ 6.82081006e-03 -5.95991927e-05  1.22273067e+00]
