step,action,eef_pos
0,[ 5.63660540e-04 -3.14501293e-05  4.99999681e-01  1.00000000e+00],[-1.73897907e-03  1.76980006e-05  7.99528417e-01]
1,[ 1.77275116e-03 -1.80417072e-05  4.99996857e-01  1.00000000e+00],[-4.44545915e-03  5.37458772e-05  7.97873014e-01]
2,[ 4.51639302e-03 -5.46034721e-05  4.99979599e-01  1.00000000e+00],[-6.79312806e-03  8.83250414e-05  8.01751656e-01]
3,[ 6.95595860e-03 -9.04421831e-05  4.99951604e-01  1.00000000e+00],[-8.81203979e-03  1.13071244e-04  8.07041181e-01]
4,[ 9.12145378e-03 -1.17041474e-04  4.99916778e-01  1.00000000e+00],[-1.04317133e-02  1.26573961e-04  8.12761910e-01]
5,[ 1.09266443e-02 -1.32579243e-04  4.99880577e-01  1.00000000e+00],[-1.16697505e-02  1.42999988e-04  8.18704674e-01]
6,[ 1.23767132e-02 -1.51663040e-04  4.99846770e-01  1.00000000e+00],[-1.25728929e-02  1.63839677e-04  8.24809318e-01]
7,[ 1.35087643e-02 -1.76035188e-04  4.99817449e-01  1.00000000e+00],[-1.31991249e-02  1.78191153e-04  8.31042352e-01]
8,[ 1.43735147e-02 -1.94045678e-04  4.99793322e-01  1.00000000e+00],[-1.36062211e-02  1.83679688e-04  8.37376156e-01]
9,[ 1.50235971e-02 -2.02813816e-04  4.99774199e-01  1.00000000e+00],[-1.38469208e-02  1.82888489e-04  8.43786225e-01]
10,[ 1.55085499e-02 -2.04835089e-04  4.99759385e-01  1.00000000e+00],[-1.39668894e-02  1.77999160e-04  8.50251293e-01]
11,[ 1.58725298e-02 -2.02285340e-04  4.99747958e-01  1.00000000e+00],[-1.40040660e-02  1.70472204e-04  8.56753560e-01]
12,[ 1.61533408e-02 -1.96635435e-04  4.99738963e-01  1.00000000e+00],[-1.39887885e-02  1.61140283e-04  8.63278665e-01]
13,[ 1.63822099e-02 -1.88710691e-04  4.99731516e-01  1.00000000e+00],[-1.39443712e-02  1.50344873e-04  8.69815448e-01]
14,[ 1.65840199e-02 -1.78804934e-04  4.99724863e-01  1.00000000e+00],[-1.38879288e-02  1.38073867e-04  8.76355595e-01]
15,[ 1.67778251e-02 -1.66805234e-04  4.99718397e-01  1.00000000e+00],[-1.38313163e-02  1.24084700e-04  8.82893228e-01]
16,[ 1.69775363e-02 -1.52310341e-04  4.99711657e-01  1.00000000e+00],[-1.37820845e-02  1.07921506e-04  8.89424487e-01]
17,[ 1.71926809e-02 -1.34628403e-04  4.99704306e-01  1.00000000e+00],[-1.37443819e-02  8.92722642e-05  8.95947138e-01]
18,[ 1.74291699e-02 -1.13205634e-04  4.99696119e-01  1.00000000e+00],[-1.37197971e-02  6.79614691e-05  9.02460194e-01]
19,[ 1.76900632e-02 -8.76283136e-05  4.99686956e-01  1.00000000e+00],[-1.37080903e-02  4.36515755e-05  9.08963585e-01]
20,[ 1.79762712e-02 -5.72430254e-05  4.99676746e-01  1.00000000e+00],[-1.37078009e-02  1.59260692e-05  9.15457871e-01]
21,[ 1.82871677e-02 -2.12464933e-05  4.99665467e-01  1.00000000e+00],[-1.37167325e-02 -1.56127643e-05  9.21944019e-01]
22,[1.86211031e-02 2.11950546e-05 4.99653134e-01 1.00000000e+00],[-1.37323317e-02 -5.12798733e-05  9.28423217e-01]
23,[1.89758291e-02 7.08603703e-05 4.99639783e-01 1.00000000e+00],[-1.37519695e-02 -9.12745490e-05  9.34896729e-01]
24,[1.93488338e-02 1.28422047e-04 4.99625466e-01 1.00000000e+00],[-1.37731362e-02 -1.35670373e-04  9.41365795e-01]
25,[1.97375924e-02 1.94422424e-04 4.99610238e-01 1.00000000e+00],[-1.37935638e-02 -1.84419863e-04  9.47831561e-01]
26,[2.01397413e-02 2.69268216e-04 4.99594154e-01 1.00000000e+00],[-1.38112932e-02 -2.37367299e-04  9.54295035e-01]
27,[2.05531903e-02 3.53236675e-04 4.99577263e-01 1.00000000e+00],[-1.38246980e-02 -2.94265589e-04  9.60757066e-01]
28,[2.09761851e-02 4.46488555e-04 4.99559606e-01 1.00000000e+00],[-1.38324803e-02 -3.54705189e-04  9.67218342e-01]
29,[2.14073316e-02 5.48946498e-04 4.99541214e-01 1.00000000e+00],[-1.38336386e-02 -4.15758034e-04  9.73679399e-01]
30,[2.18455843e-02 6.56550127e-04 4.99522111e-01 1.00000000e+00],[-1.38274298e-02 -4.73316315e-04  9.80140644e-01]
31,[2.22902200e-02 7.62999700e-04 4.99502316e-01 1.00000000e+00],[-1.38133365e-02 -5.25578439e-04  9.86602357e-01]
32,[2.27408184e-02 8.65256836e-04 4.99481838e-01 1.00000000e+00],[-1.37910292e-02 -5.71180328e-04  9.93064703e-01]
33,[2.31972312e-02 9.60755136e-04 4.99460675e-01 1.00000000e+00],[-1.37603261e-02 -6.09355277e-04  9.99527754e-01]
34,[0.02365954 0.00104773 0.49943881 1.        ],[-1.37211564e-02 -6.39878432e-04  1.00599151e+00]
35,[0.02412804 0.0011252  0.49941623 1.        ],[-1.36735275e-02 -6.62944467e-04  1.01245590e+00]
36,[0.02460316 0.00119285 0.49939289 1.        ],[-1.36174970e-02 -6.79035882e-04  1.01892082e+00]
37,[0.02508548 0.00125089 0.49936876 1.        ],[-1.35531501e-02 -6.89169948e-04  1.02538613e+00]
38,[0.02557569 0.00130051 0.49934376 1.        ],[-1.34805802e-02 -6.94784787e-04  1.03185167e+00]
39,[0.02607452 0.00134387 0.49931785 1.        ],[-1.34049184e-02 -6.96860016e-04  1.03831469e+00]
40,[0.02659252 0.00138242 0.49929042 1.        ],[-1.33552225e-02 -6.96130057e-04  1.04475947e+00]
41,[0.02718843 0.00141717 0.49925823 1.        ],[-1.33163168e-02 -6.96746733e-04  1.05119138e+00]
42,[0.02783737 0.00145653 0.49922235 1.        ],[-1.32825148e-02 -7.01362274e-04  1.05761189e+00]
43,[0.0285316  0.00150657 0.49918301 1.        ],[-1.32511935e-02 -7.08625190e-04  1.06402184e+00]
44,[0.02926921 0.00156521 0.49914012 1.        ],[-1.32198228e-02 -7.17926729e-04  1.07042235e+00]
45,[0.03004827 0.00163183 0.49909362 1.        ],[-1.31859030e-02 -7.28961984e-04  1.07681459e+00]
