step,action,eef_pos
0,[-9.99795258e-01  3.21617040e-06 -2.02346868e-02  1.00000000e+00],[ 2.44511685e-01 -1.98678561e-05  7.86124114e-01]
1,[-9.99969285e-01  4.01754833e-05  7.83756420e-03  1.00000000e+00],[ 2.38138231e-01 -3.18226707e-05  7.78184023e-01]
2,[-9.99707156e-01  6.51728334e-05  2.41991227e-02  1.00000000e+00],[ 2.33062092e-01 -1.82259004e-05  7.79166601e-01]
3,[-9.99748620e-01  3.77204486e-05  2.24208771e-02  1.00000000e+00],[ 2.29986541e-01 -9.08495150e-06  7.85310120e-01]
4,[-9.99952268e-01  1.89266096e-05  9.77039153e-03  1.00000000e+00],[ 2.27688310e-01 -9.88171770e-06  7.92428478e-01]
5,[-9.99987077e-01  2.06862713e-05 -5.08374666e-03  1.00000000e+00],[ 2.25699282e-01 -2.81239586e-05  7.99491092e-01]
6,[-9.99801019e-01  5.91095332e-05 -1.99479035e-02  1.00000000e+00],[ 2.23808131e-01 -6.29709363e-05  8.06250725e-01]
7,[-9.99412329e-01  1.32825771e-04 -3.42779569e-02  1.00000000e+00],[ 2.21847339e-01 -1.01415450e-04  8.12629791e-01]
8,[-9.98851877e-01  2.14685990e-04 -4.79049210e-02  1.00000000e+00],[ 2.19626711e-01 -1.37133048e-04  8.18587591e-01]
9,[-9.98152329e-01  2.91464834e-04 -6.07605362e-02  1.00000000e+00],[ 2.16964270e-01 -1.67782396e-04  8.24068087e-01]
10,[-9.97349186e-01  3.58352120e-04 -7.27631236e-02  1.00000000e+00],[ 2.13636993e-01 -1.91697509e-04  8.28993592e-01]
11,[-9.96481851e-01  4.12010024e-04 -8.38078214e-02  1.00000000e+00],[ 2.09384184e-01 -2.07333461e-04  8.33274006e-01]
12,[-9.95592388e-01  4.49339840e-04 -9.37848379e-02  1.00000000e+00],[ 2.03926052e-01 -2.14234420e-04  8.36808269e-01]
13,[-9.94725185e-01  4.69469360e-04 -1.02574778e-01  1.00000000e+00],[ 1.97005887e-01 -2.13357087e-04  8.39501549e-01]
14,[-9.93924012e-01  4.74402548e-04 -1.10067405e-01  1.00000000e+00],[ 1.88428527e-01 -2.04850475e-04  8.41280769e-01]
15,[-9.93228890e-01  4.64074295e-04 -1.16172962e-01  1.00000000e+00],[ 1.78100480e-01 -1.88071430e-04  8.42112201e-01]
16,[-9.92672278e-01  4.36096907e-04 -1.20836905e-01  1.00000000e+00],[ 1.66061067e-01 -1.62234555e-04  8.42017409e-01]
17,[-9.92274933e-01  3.86917439e-04 -1.24057681e-01  1.00000000e+00],[ 1.52489591e-01 -1.26975372e-04  8.41080315e-01]
18,[-9.92042757e-01  3.12964610e-04 -1.25901035e-01  1.00000000e+00],[ 1.37680837e-01 -8.27384800e-05  8.39440458e-01]
19,[-9.91966049e-01  2.11704462e-04 -1.26504204e-01  1.00000000e+00],[ 1.21995491e-01 -3.09585814e-05  8.37274443e-01]
20,[-9.92021417e-01  8.25590000e-05 -1.26069431e-01  1.00000000e+00],[1.05801815e-01 2.61021307e-05 8.34770807e-01]
21,[-9.92176097e-01 -7.27874594e-05 -1.24846255e-01  1.00000000e+00],[8.94268974e-02 9.12507753e-05 8.32105833e-01]
22,[-9.92393467e-01 -2.66792862e-04 -1.23106193e-01  1.00000000e+00],[7.31283684e-02 1.64231678e-04 8.29426205e-01]
23,[-9.92638253e-01 -5.04513568e-04 -1.21115827e-01  1.00000000e+00],[5.70868637e-02 2.38782217e-04 8.26840615e-01]
24,[-9.92880294e-01 -7.72036142e-04 -1.19113920e-01  1.00000000e+00],[4.14127557e-02 3.10561410e-04 8.24419142e-01]
25,[-0.99309644 -0.00105835 -0.11729592  1.        ],[2.61594918e-02 3.76576828e-04 8.22197767e-01]
26,[-0.99327085 -0.00135444 -0.11580664  1.        ],[1.13395159e-02 4.34853020e-04 8.20186126e-01]
27,[-0.99339391 -0.00165295 -0.11474236  1.        ],[-3.06427928e-03  4.84265249e-04  8.18374362e-01]
28,[-0.9934611  -0.00194827 -0.1141545   1.        ],[-1.70907088e-02  5.24360393e-04  8.16738873e-01]
29,[-0.99347199 -0.00223665 -0.11405437  1.        ],[-3.07904692e-02  5.55178425e-04  8.15249006e-01]
30,[-0.99342868 -0.002516   -0.11442516  1.        ],[-4.42172617e-02  5.77112001e-04  8.13872679e-01]
31,[-0.99333425 -0.00278578 -0.11523585  1.        ],[-5.74220259e-02  5.90826417e-04  8.12579837e-01]
32,[-0.99319164 -0.0030471  -0.11645208  1.        ],[-7.04496428e-02  5.97185783e-04  8.11344178e-01]
33,[-0.99300288 -0.00330273 -0.11804393  1.        ],[-8.33373816e-02  5.96639485e-04  8.10143728e-01]
34,[-0.99276858 -0.00355404 -0.11999128  1.        ],[-9.61145104e-02  5.88882241e-04  8.08960686e-01]
35,[-0.99248748 -0.00379801 -0.12228731  1.        ],[-1.08801333e-01  5.74241011e-04  8.07784869e-01]
36,[-0.99215258 -0.00403499 -0.12496792  1.        ],[-1.21408306e-01  5.53666910e-04  8.06616478e-01]
37,[-0.99174531 -0.00427008 -0.12815224  1.        ],[-1.33944001e-01  5.27339152e-04  8.05434938e-01]
38,[-0.99126165 -0.00450413 -0.13183345  1.        ],[-1.46411039e-01  4.94917828e-04  8.04227917e-01]
39,[-0.99068782 -0.00473322 -0.13607071  1.        ],[-1.58809076e-01  4.68091135e-04  8.02986132e-01]
