step,action,eef_pos
0,[ 4.29145481e-05 -2.49969373e-01 -3.91291623e-03  1.00000000e+00],[-7.04872618e-04  3.49368644e-01  7.89933175e-01]
1,[ 2.51967351e-04 -2.49999872e-01  2.38876446e-05  1.00000000e+00],[-0.00140721  0.34802083  0.78625532]
2,[ 5.03992174e-04 -2.49995895e-01  1.34115535e-03  1.00000000e+00],[-0.0016035   0.34675931  0.78596972]
3,[ 5.75331597e-04 -2.49995156e-01  1.44605336e-03  1.00000000e+00],[-0.00158708  0.34525001  0.7863301 ]
4,[ 5.70678715e-04 -2.49995866e-01  1.31960963e-03  1.00000000e+00],[-0.00144629  0.34337623  0.78676249]
5,[ 5.21459414e-04 -2.49996731e-01  1.16728513e-03  1.00000000e+00],[-0.00123283  0.34116611  0.78715554]
6,[ 4.45918376e-04 -2.49997485e-01  1.02885315e-03  1.00000000e+00],[-0.0009819   0.33867607  0.78748714]
7,[ 3.56443799e-04 -2.49998082e-01  9.12199377e-04  1.00000000e+00],[-7.28315324e-04  3.35952977e-01  7.87752085e-01]
8,[ 2.65437656e-04 -2.49998517e-01  8.19262429e-04  1.00000000e+00],[-4.97534229e-04  3.33044333e-01  7.87952925e-01]
9,[ 1.82100867e-04 -2.49998811e-01  7.49243033e-04  1.00000000e+00],[-3.05688630e-04  3.29994515e-01  7.88095698e-01]
10,[ 1.12385980e-04 -2.49998994e-01  7.00113934e-04  1.00000000e+00],[-1.61182553e-04  3.26842412e-01  7.88188033e-01]
11,[ 5.95345267e-05 -2.49999097e-01  6.69269645e-04  1.00000000e+00],[-6.64443512e-05  3.23620528e-01  7.88238165e-01]
12,[ 2.46593300e-05 -2.49999144e-01  6.53865507e-04  1.00000000e+00],[-1.96731217e-05  3.20354917e-01  7.88254236e-01]
13,[ 7.33680565e-06 -2.49999152e-01  6.51057538e-04  1.00000000e+00],[-1.63563232e-05  3.17065624e-01  7.88243822e-01]
14,[ 6.12993157e-06 -2.49999134e-01  6.58170689e-04  1.00000000e+00],[-5.04752916e-05  3.13767389e-01  7.88213649e-01]
15,[ 1.90108423e-05 -2.49999094e-01  6.72805040e-04  1.00000000e+00],[-1.15408844e-04  3.10470477e-01  7.88169453e-01]
16,[ 4.36841627e-05 -2.49999036e-01  6.92892242e-04  1.00000000e+00],[-2.04574826e-04  3.07181523e-01  7.88115947e-01]
17,[ 7.78224769e-05 -2.49998961e-01  7.16714244e-04  1.00000000e+00],[-3.11852761e-04  3.03904327e-01  7.88056864e-01]
18,[ 1.19226672e-04 -2.49998868e-01  7.42894353e-04  1.00000000e+00],[-4.31833775e-04  3.00640580e-01  7.87995055e-01]
19,[ 1.65925567e-04 -2.49998758e-01  7.70369837e-04  1.00000000e+00],[-5.59940719e-04  2.97390475e-01  7.87932602e-01]
20,[ 2.16228720e-04 -2.49998632e-01  7.98353840e-04  1.00000000e+00],[-6.92454425e-04  2.94153220e-01  7.87870951e-01]
21,[ 2.68744385e-04 -2.49998490e-01  8.26292478e-04  1.00000000e+00],[-0.00082648  0.29092744  0.78781103]
22,[ 3.22373015e-04 -2.49998334e-01  8.53821763e-04  1.00000000e+00],[-0.00095985  0.28771148  0.78775338]
23,[ 3.76284498e-04 -2.49998165e-01  8.80727023e-04  1.00000000e+00],[-0.00109106  0.28450361  0.78769824]
24,[ 4.29885657e-04 -2.49997985e-01  9.06906482e-04  1.00000000e+00],[-0.00121914  0.28130221  0.78764563]
25,[ 4.82783224e-04 -2.49997795e-01  9.32340012e-04  1.00000000e+00],[-0.00134352  0.27810583  0.78759543]
26,[ 5.34746213e-04 -2.49997596e-01  9.57063441e-04  1.00000000e+00],[-0.00146399  0.27491322  0.78754744]
27,[ 5.85670064e-04 -2.49997389e-01  9.81148071e-04  1.00000000e+00],[-0.00158055  0.2717234   0.78750143]
28,[ 6.35544215e-04 -2.49997173e-01  1.00468491e-03  1.00000000e+00],[-0.00169338  0.26853559  0.78745711]
29,[ 6.84424024e-04 -2.49996950e-01  1.02777299e-03  1.00000000e+00],[-0.00180277  0.26534921  0.78741424]
30,[ 7.32407411e-04 -2.49996720e-01  1.05051115e-03  1.00000000e+00],[-0.00190904  0.2621639   0.78737257]
31,[ 7.79616160e-04 -2.49996482e-01  1.07299255e-03  1.00000000e+00],[-0.00201254  0.25897938  0.7873319 ]
32,[ 8.26181511e-04 -2.49996235e-01  1.09530122e-03  1.00000000e+00],[-0.00211361  0.25579554  0.78729202]
33,[ 8.72233522e-04 -2.49995981e-01  1.11751053e-03  1.00000000e+00],[-0.00221257  0.25261231  0.78725281]
34,[ 9.17893766e-04 -2.49995717e-01  1.13968237e-03  1.00000000e+00],[-0.00230969  0.24942971  0.78721412]
35,[ 9.63270540e-04 -2.49995444e-01  1.16186767e-03  1.00000000e+00],[-0.00240521  0.24624777  0.78717586]
36,[ 0.00100846 -0.24999516  0.00118411  1.        ],[-0.0024993   0.24306657  0.78713797]
37,[ 0.00105353 -0.24999487  0.00120643  1.        ],[-0.00259211  0.23988616  0.78710038]
