step,action,eef_pos
0,[ 1.15564504e-04  2.49957107e-01 -4.62939320e-03  1.00000000e+00],[-0.00095752 -0.34927683  0.79197791]
1,[ 3.42322034e-04  2.49998766e-01 -7.07123026e-04  1.00000000e+00],[-0.00167075 -0.34789078  0.78831926]
2,[5.98497258e-04 2.49998559e-01 6.02074053e-04 1.00000000e+00],[-0.00190176 -0.3465912   0.78800386]
3,[6.82517059e-04 2.49998042e-01 7.16389804e-04 1.00000000e+00],[-0.00193168 -0.34505112  0.78832429]
4,[6.94791494e-04 2.49998308e-01 6.02724353e-04 1.00000000e+00],[-0.0018407  -0.34315334  0.78871754]
5,[6.63882275e-04 2.49998691e-01 4.62543475e-04 1.00000000e+00],[-0.00167349 -0.34092831  0.78907545]
6,[6.05518465e-04 2.49999043e-01 3.34529124e-04 1.00000000e+00],[-0.00146463 -0.33842816  0.78937512]
7,[5.31873548e-04 2.49999331e-01 2.26920804e-04 1.00000000e+00],[-0.0012477  -0.33569829  0.78961155]
8,[4.54900382e-04 2.49999546e-01 1.41623736e-04 1.00000000e+00],[-0.00104747 -0.33278534  0.78978733]
9,[3.83528898e-04 2.49999694e-01 7.78694124e-05 1.00000000e+00],[-0.00087994 -0.32973305  0.78990832]
10,[3.23635714e-04 2.49999788e-01 3.37206392e-05 1.00000000e+00],[-7.53794258e-04 -3.26579804e-01  7.89981875e-01]
11,[2.78530997e-04 2.49999845e-01 6.69743588e-06 1.00000000e+00],[-6.72005370e-04 -3.23357721e-01  7.90015883e-01]
12,[ 2.49497783e-04  2.49999875e-01 -5.89696330e-06  1.00000000e+00],[-6.33488438e-04 -3.20092551e-01  7.90018089e-01]
13,[ 2.36343530e-04  2.49999888e-01 -6.74866582e-06  1.00000000e+00],[-6.34506090e-04 -3.16804096e-01  7.89995666e-01]
14,[2.37890636e-04 2.49999887e-01 1.62502068e-06 1.00000000e+00],[-6.69810991e-04 -3.13506907e-01  7.89954950e-01]
15,[2.52375160e-04 2.49999872e-01 1.69740640e-05 1.00000000e+00],[-7.33504692e-04 -3.10211101e-01  7.89901320e-01]
16,[2.77753672e-04 2.49999843e-01 3.73667561e-05 1.00000000e+00],[-0.00081965 -0.3069232   0.78983917]
17,[3.11927962e-04 2.49999798e-01 6.12049681e-05 1.00000000e+00],[-0.00092269 -0.30364693  0.78977197]
18,[3.52899193e-04 2.49999736e-01 8.72134473e-05 1.00000000e+00],[-0.00103766 -0.30038392  0.78970235]
19,[3.98864889e-04 2.49999656e-01 1.14412137e-04 1.00000000e+00],[-0.00116037 -0.29713436  0.78963222]
20,[4.48271645e-04 2.49999558e-01 1.42078893e-04 1.00000000e+00],[-0.00128737 -0.29389743  0.7895629 ]
21,[4.99834749e-04 2.49999443e-01 1.69708158e-04 1.00000000e+00],[-0.00141598 -0.29067177  0.78949523]
22,[5.52534527e-04 2.49999312e-01 1.96969956e-04 1.00000000e+00],[-0.00154417 -0.28745574  0.78942968]
23,[6.05597037e-04 2.49999166e-01 2.23671568e-04 1.00000000e+00],[-0.00167053 -0.28424764  0.78936645]
24,[6.58465332e-04 2.49999008e-01 2.49723412e-04 1.00000000e+00],[-0.00179411 -0.28104589  0.78930557]
25,[7.10766212e-04 2.49998838e-01 2.75110003e-04 1.00000000e+00],[-0.00191439 -0.27784904  0.78924691]
26,[7.62276153e-04 2.49998658e-01 2.99866246e-04 1.00000000e+00],[-0.00203112 -0.2746559   0.78919029]
27,[8.12888672e-04 2.49998468e-01 3.24058663e-04 1.00000000e+00],[-0.00214428 -0.27146549  0.78913548]
28,[8.62584714e-04 2.49998270e-01 3.47771055e-04 1.00000000e+00],[-0.00225403 -0.26827705  0.78908224]
29,[9.11406949e-04 2.49998063e-01 3.71093976e-04 1.00000000e+00],[-0.00236058 -0.26509005  0.78903032]
30,[9.59438341e-04 2.49997848e-01 3.94117366e-04 1.00000000e+00],[-0.00246425 -0.2619041   0.78897952]
31,[1.00678492e-03 2.49997625e-01 4.16925693e-04 1.00000000e+00],[-0.00256532 -0.25871896  0.78892963]
32,[1.05356249e-03 2.49997394e-01 4.39595043e-04 1.00000000e+00],[-0.00266411 -0.25553451  0.7888805 ]
33,[1.09988678e-03 2.49997153e-01 4.62191647e-04 1.00000000e+00],[-0.00276089 -0.25235069  0.78883198]
34,[1.14586656e-03 2.49996904e-01 4.84771445e-04 1.00000000e+00],[-0.00285591 -0.24916751  0.78878396]
35,[1.19159920e-03 2.49996645e-01 5.07380335e-04 1.00000000e+00],[-0.00294938 -0.24598502  0.78873636]
36,[1.23716810e-03 2.49996377e-01 5.30054880e-04 1.00000000e+00],[-0.00304146 -0.24280327  0.78868912]
37,[1.28264160e-03 2.49996098e-01 5.52823254e-04 1.00000000e+00],[-0.0031323  -0.23962234  0.78864218]
38,[1.32807299e-03 2.49995810e-01 5.75706295e-04 1.00000000e+00],[-0.00322197 -0.2364423   0.78859552]
39,[1.37350118e-03 2.49995510e-01 5.98718583e-04 1.00000000e+00],[-0.00331055 -0.23326322  0.78854912]
40,[1.41895191e-03 2.49995200e-01 6.21869455e-04 1.00000000e+00],[-0.00339807 -0.23008514  0.78850297]
41,[1.46443918e-03 2.49994878e-01 6.45163948e-04 1.00000000e+00],[-0.00348452 -0.22690811  0.78845707]
42,[1.50996681e-03 2.49994546e-01 6.68603622e-04 1.00000000e+00],[-0.00356991 -0.22373215  0.78841144]
43,[1.55552996e-03 2.49994202e-01 6.92187264e-04 1.00000000e+00],[-0.00365421 -0.2205573   0.78836609]
44,[1.60111661e-03 2.49993848e-01 7.15911554e-04 1.00000000e+00],[-0.00373736 -0.21738356  0.78832102]
45,[1.64670885e-03 2.49993482e-01 7.39771547e-04 1.00000000e+00],[-0.00381933 -0.21421091  0.78827626]
46,[1.69228417e-03 2.49993106e-01 7.63761016e-04 1.00000000e+00],[-0.00390005 -0.21103936  0.78823184]
47,[1.73781637e-03 2.49992718e-01 7.87872884e-04 1.00000000e+00],[-0.00397946 -0.20786889  0.78818776]
48,[1.78327650e-03 2.49992321e-01 8.12099480e-04 1.00000000e+00],[-0.0040575  -0.20469946  0.78814406]
49,[1.82863350e-03 2.49991913e-01 8.36432701e-04 1.00000000e+00],[-0.0041341  -0.20153106  0.78810076]
50,[1.87385486e-03 2.49991495e-01 8.60864202e-04 1.00000000e+00],[-0.00420919 -0.19836364  0.78805788]
51,[1.91890702e-03 2.49991068e-01 8.85385542e-04 1.00000000e+00],[-0.0042827  -0.19519717  0.78801543]
52,[1.96375575e-03 2.49990631e-01 9.09988277e-04 1.00000000e+00],[-0.00435456 -0.19203161  0.78797345]
53,[2.00836647e-03 2.49990186e-01 9.34664003e-04 1.00000000e+00],[-0.00442472 -0.18886692  0.78793195]
54,[2.05270441e-03 2.49989732e-01 9.59404435e-04 1.00000000e+00],[-0.0044931  -0.18570306  0.78789095]
55,[2.09673483e-03 2.49989270e-01 9.84201446e-04 1.00000000e+00],[-0.00455965 -0.18253997  0.78785047]
56,[0.00214042 0.2499888  0.00100905 1.        ],[-0.0046243  -0.17937762  0.78781053]
57,[0.00218373 0.24998832 0.00103393 1.        ],[-0.00468699 -0.17621594  0.78777115]
58,[0.00222664 0.24998784 0.00105885 1.        ],[-0.00474768 -0.1730549   0.78773234]
59,[0.00226909 0.24998735 0.0010838  1.        ],[-0.00480631 -0.16989445  0.78769412]
60,[0.00231107 0.24998686 0.00110876 1.        ],[-0.00486282 -0.16673452  0.7876565 ]
61,[0.00235254 0.24998636 0.00113374 1.        ],[-0.00491718 -0.16357507  0.78761949]
62,[0.00239347 0.24998586 0.00115873 1.        ],[-0.00496934 -0.16041604  0.78758312]
63,[0.00243382 0.24998535 0.00118371 1.        ],[-0.00501925 -0.15725738  0.78754739]
64,[0.00247357 0.24998484 0.00120869 1.        ],[-0.00506688 -0.15409903  0.78751231]
65,[0.00251268 0.24998433 0.00123365 1.        ],[-0.0051122  -0.15094094  0.78747789]
66,[0.00255113 0.24998381 0.00125861 1.        ],[-0.00515516 -0.14778305  0.78744414]
