step,action,eef_pos
0,[-2.49910006e-01  1.97363847e-06 -6.70737191e-03  1.00000000e+00],[ 2.46273119e-01 -2.40964627e-05  7.91967859e-01]
1,[-2.49998034e-01  1.21386150e-05 -9.91310711e-04  1.00000000e+00],[ 2.44201953e-01 -5.44811853e-05  7.88300864e-01]
2,[-2.49998521e-01  2.75600200e-05  8.59529988e-04  1.00000000e+00],[ 2.43481773e-01 -8.57333753e-05  7.89186183e-01]
3,[-2.49999656e-01  4.34328389e-05  4.12282854e-04  1.00000000e+00],[ 2.43385530e-01 -1.19482056e-04  7.91250452e-01]
4,[-2.49999190e-01  6.05417373e-05 -6.33605935e-04  1.00000000e+00],[ 2.43554525e-01 -1.54664624e-04  7.93619968e-01]
5,[-2.49993264e-01  7.83401066e-05 -1.83357167e-03  1.00000000e+00],[ 2.43881096e-01 -1.90758894e-04  7.96091275e-01]
6,[-2.49980969e-01  9.65537934e-05 -3.08313646e-03  1.00000000e+00],[ 2.44320548e-01 -2.27332537e-04  7.98610653e-01]
7,[-2.49962054e-01  1.14954776e-04 -4.35413142e-03  1.00000000e+00],[ 2.44845265e-01 -2.64008204e-04  8.01158248e-01]
8,[-2.49936432e-01  1.33345256e-04 -5.63580774e-03  1.00000000e+00],[ 2.45434288e-01 -3.00486751e-04  8.03722792e-01]
9,[-2.49904108e-01  1.51569795e-04 -6.92197178e-03  1.00000000e+00],[ 2.46068307e-01 -3.36546076e-04  8.06288444e-01]
10,[-2.49865284e-01  1.69515326e-04 -8.20434732e-03  1.00000000e+00],[ 2.46731380e-01 -3.72038621e-04  8.08840357e-01]
11,[-2.49820301e-01  1.87108775e-04 -9.47535003e-03  1.00000000e+00],[ 2.47416275e-01 -4.06924097e-04  8.11385477e-01]
12,[-2.49769185e-01  2.04330066e-04 -1.07383563e-02  1.00000000e+00],[ 2.48114155e-01 -4.41212494e-04  8.13921942e-01]
13,[-2.49712100e-01  2.21186443e-04 -1.19924284e-02  1.00000000e+00],[ 2.48816656e-01 -4.74938954e-04  8.16445825e-01]
14,[-2.49649274e-01  2.37698889e-04 -1.32356868e-02  1.00000000e+00],[ 2.49517085e-01 -5.07961198e-04  8.18954007e-01]
15,[-2.49580949e-01  2.53800003e-04 -1.44667096e-02  1.00000000e+00],[ 2.50221368e-01 -5.39941810e-04  8.21458876e-01]
16,[-2.49506924e-01  2.69319203e-04 -1.56914677e-02  1.00000000e+00],[ 2.50914974e-01 -5.70863878e-04  8.23947156e-01]
17,[-2.49427707e-01  2.84258358e-04 -1.69037895e-02  1.00000000e+00],[ 2.51588922e-01 -6.00675342e-04  8.26409831e-01]
18,[-2.49343769e-01  2.98600401e-04 -1.80996114e-02  1.00000000e+00],[ 2.52237392e-01 -6.29285254e-04  8.28842424e-01]
19,[-2.49255482e-01  3.12308087e-04 -1.92771131e-02  1.00000000e+00],[ 2.52854693e-01 -6.56597268e-04  8.31241008e-01]
20,[-2.49163225e-01  3.25342280e-04 -2.04348149e-02  1.00000000e+00],[ 2.53430252e-01 -6.82491376e-04  8.33603000e-01]
21,[-2.49067315e-01  3.37656099e-04 -2.15721683e-02  1.00000000e+00],[ 2.53951087e-01 -7.06814605e-04  8.35937492e-01]
22,[-2.48967539e-01  3.49188437e-04 -2.26945523e-02  1.00000000e+00],[ 2.54427453e-01 -7.29547308e-04  8.38235988e-01]
23,[-2.48864499e-01  3.59929707e-04 -2.37977235e-02  1.00000000e+00],[ 2.54851683e-01 -7.51823646e-04  8.40487353e-01]
24,[-2.48758918e-01  3.70451051e-04 -2.48769684e-02  1.00000000e+00],[ 2.55214256e-01 -7.76386701e-04  8.42683997e-01]
25,[-2.48651393e-01  3.82114386e-04 -2.59294926e-02  1.00000000e+00],[ 2.55504788e-01 -8.03891793e-04  8.44818810e-01]
26,[-2.48542525e-01  3.95251045e-04 -2.69528713e-02  1.00000000e+00],[ 2.55711656e-01 -8.34122020e-04  8.46884125e-01]
27,[-2.48432956e-01  4.09765914e-04 -2.79445633e-02  1.00000000e+00],[ 0.25582177 -0.00086628  0.84887142]
28,[-2.48323390e-01  4.25281319e-04 -2.89017808e-02  1.00000000e+00],[ 0.25582041 -0.00090002  0.85077119]
29,[-2.48214597e-01  4.41654951e-04 -2.98214456e-02  1.00000000e+00],[ 0.25569118 -0.00093517  0.85257293]
30,[-2.48107414e-01  4.58822541e-04 -3.07001732e-02  1.00000000e+00],[ 0.25541599 -0.00097034  0.85426512]
31,[-2.48002748e-01  4.76136570e-04 -3.15342721e-02  1.00000000e+00],[ 0.25497519 -0.0010036   0.85583532]
32,[-2.47901573e-01  4.92687896e-04 -3.23197658e-02  1.00000000e+00],[ 0.25434782 -0.00103385  0.85727036]
33,[-2.47804919e-01  5.07969684e-04 -3.30524421e-02  1.00000000e+00],[ 0.2535121  -0.00106029  0.85855662]
34,[-2.47713856e-01  5.21632205e-04 -3.37279354e-02  1.00000000e+00],[ 0.25244612 -0.00108184  0.85968043]
35,[-2.47629467e-01  5.33180995e-04 -3.43418486e-02  1.00000000e+00],[ 0.25112876 -0.00109753  0.86062873]
36,[-2.47552822e-01  5.42167959e-04 -3.48899205e-02  1.00000000e+00],[ 0.24954087 -0.00110748  0.86138973]
37,[-2.47484922e-01  5.48671135e-04 -3.53682416e-02  1.00000000e+00],[ 0.24766665 -0.00111186  0.86195378]
38,[-2.47426657e-01  5.52788643e-04 -3.57735094e-02  1.00000000e+00],[ 0.24549507 -0.00111116  0.86231427]
39,[-2.47378744e-01  5.54753291e-04 -3.61033148e-02  1.00000000e+00],[ 0.24302133 -0.001106    0.86246859]
40,[-2.47341669e-01  5.54864110e-04 -3.63564429e-02  1.00000000e+00],[ 0.24024806 -0.00109681  0.86241883]
41,[-2.47315633e-01  5.53307045e-04 -3.65331583e-02  1.00000000e+00],[ 0.2371861  -0.00108381  0.86217245]
42,[-2.47300508e-01  5.50152375e-04 -3.66354511e-02  1.00000000e+00],[ 0.23385477 -0.00106711  0.86174236]
43,[-2.47295817e-01  5.45395720e-04 -3.66671703e-02  1.00000000e+00],[ 0.23028133 -0.00104678  0.86114673]
44,[-2.47300744e-01  5.38997040e-04 -3.66340242e-02  1.00000000e+00],[ 0.22649983 -0.0010229   0.8604082 ]
45,[-2.47314162e-01  5.30908504e-04 -3.65434465e-02  1.00000000e+00],[ 0.22254935 -0.00099558  0.85955286]
46,[-2.47334701e-01  5.21092172e-04 -3.64043162e-02  1.00000000e+00],[ 0.2184718  -0.00096499  0.85860875]
47,[-2.47360825e-01  5.09530167e-04 -3.62265474e-02  1.00000000e+00],[ 0.21430961 -0.00093125  0.85760435]
48,[-2.47390928e-01  4.96184733e-04 -3.60205843e-02  1.00000000e+00],[ 0.21010345 -0.00089422  0.85656709]
49,[-2.47423430e-01  4.80870598e-04 -3.57968558e-02  1.00000000e+00],[ 2.05890359e-01 -8.54036121e-04  8.55521936e-01]
50,[-2.47456862e-01  4.63570010e-04 -3.55652455e-02  1.00000000e+00],[ 2.01702205e-01 -8.11443650e-04  8.54490424e-01]
51,[-2.47489931e-01  4.44594096e-04 -3.53346310e-02  1.00000000e+00],[ 1.97564825e-01 -7.67456688e-04  8.53489961e-01]
52,[-2.47521574e-01  4.24434801e-04 -3.51125339e-02  1.00000000e+00],[ 1.93497632e-01 -7.22752806e-04  8.52533558e-01]
53,[-2.47550974e-01  4.03425291e-04 -3.49049058e-02  1.00000000e+00],[ 1.89513769e-01 -6.77627702e-04  8.51629935e-01]
54,[-2.47577562e-01  3.81706846e-04 -3.47160658e-02  1.00000000e+00],[ 1.85620475e-01 -6.31974347e-04  8.50783793e-01]
55,[-2.47601004e-01  3.59205987e-04 -3.45487165e-02  1.00000000e+00],[ 1.81819730e-01 -5.85884442e-04  8.49996295e-01]
56,[-2.47621178e-01  3.35967501e-04 -3.44040630e-02  1.00000000e+00],[ 1.78109150e-01 -5.39568273e-04  8.49265708e-01]
57,[-2.47638134e-01  3.12111246e-04 -3.42820267e-02  1.00000000e+00],[ 1.74483017e-01 -4.93205338e-04  8.48588139e-01]
58,[-2.47652057e-01  2.87746062e-04 -3.41815163e-02  1.00000000e+00],[ 1.70933285e-01 -4.46928907e-04  8.47958233e-01]
59,[-2.47663224e-01  2.62958189e-04 -3.41007074e-02  1.00000000e+00],[ 1.67450494e-01 -4.00835586e-04  8.47369790e-01]
60,[-2.47671971e-01  2.37814402e-04 -3.40373028e-02  1.00000000e+00],[ 1.64024546e-01 -3.54993648e-04  8.46816286e-01]
61,[-2.47678661e-01  2.12365069e-04 -3.39887616e-02  1.00000000e+00],[ 1.60645339e-01 -3.09444154e-04  8.46291279e-01]
62,[-2.47683657e-01  1.86643442e-04 -3.39524854e-02  1.00000000e+00],[ 1.57303254e-01 -2.64195604e-04  8.45788710e-01]
63,[-2.47687309e-01  1.60661369e-04 -3.39259636e-02  1.00000000e+00],[ 1.53989499e-01 -2.19214367e-04  8.45303104e-01]
64,[-2.47689938e-01  1.34402486e-04 -3.39068771e-02  1.00000000e+00],[ 1.50696331e-01 -1.74423552e-04  8.44829696e-01]
65,[-2.47691828e-01  1.07820524e-04 -3.38931668e-02  1.00000000e+00],[ 1.47417174e-01 -1.29734055e-04  8.44364484e-01]
66,[-2.47693220e-01  8.08577179e-05 -3.38830705e-02  1.00000000e+00],[ 1.44146649e-01 -8.50460517e-05  8.43904231e-01]
67,[-2.47694312e-01  5.34456486e-05 -3.38751361e-02  1.00000000e+00],[ 1.40880533e-01 -4.04027974e-05  8.43446424e-01]
68,[-2.47695263e-01  2.56026604e-05 -3.38682152e-02  1.00000000e+00],[1.37615674e-01 4.14027601e-06 8.42989212e-01]
69,[-2.47696190e-01 -2.64574078e-06 -3.38614425e-02  1.00000000e+00],[1.34349870e-01 4.85273125e-05 8.42531320e-01]
70,[-2.47697178e-01 -3.12737931e-05 -3.38542060e-02  1.00000000e+00],[1.31081728e-01 9.27036811e-05 8.42071959e-01]
