step,action,eef_pos
0,[-2.41447574e-04 -4.99978120e-01 -4.67132612e-03  1.00000000e+00],[-1.83685988e-04  3.48135580e-01  7.85303522e-01]
1,[ 1.31551686e-04 -4.99988669e-01  3.36350953e-03  1.00000000e+00],[-7.21278328e-04  3.44600255e-01  7.81469118e-01]
2,[ 5.19164470e-04 -4.99962025e-01  6.14039077e-03  1.00000000e+00],[-5.88850618e-04  3.40973951e-01  7.81513410e-01]
3,[ 4.26069604e-04 -4.99962110e-01  6.14056956e-03  1.00000000e+00],[-2.59480222e-04  3.36917157e-01  7.82266057e-01]
4,[ 1.88861026e-04 -4.99968277e-01  5.62910119e-03  1.00000000e+00],[1.52341718e-04 3.32330190e-01 7.83051526e-01]
5,[-1.11627638e-04 -4.99974064e-01  5.09145974e-03  1.00000000e+00],[5.86548796e-04 3.27259487e-01 7.83734626e-01]
6,[-4.33012375e-04 -4.99978418e-01  4.62533452e-03  1.00000000e+00],[0.00098642 0.32176956 0.7842879 ]
7,[-7.34168060e-04 -4.99981386e-01  4.25137606e-03  1.00000000e+00],[0.00131155 0.31593374 0.78471287]
8,[-9.84708753e-04 -4.99983273e-01  3.96957582e-03  1.00000000e+00],[0.00153853 0.30982606 0.78502087]
9,[-0.00116583 -0.49998441  0.00377295  1.        ],[0.00165849 0.30351493 0.78522725]
10,[-0.00126886 -0.49998506  0.00365149  1.        ],[0.00167357 0.29706003 0.78534905]
11,[-0.00129317 -0.49998541  0.0035938   1.        ],[0.00159327 0.29051107 0.78540334]
12,[-0.00124372 -0.49998558  0.00358817  1.        ],[0.00143132 0.28390779 0.78540612]
13,[-0.00112893 -0.4999856   0.00362336  1.        ],[0.00120317 0.27728066 0.78537164]
14,[-9.59010224e-04 -4.99985470e-01  3.68911928e-03  1.00000000e+00],[0.00092434 0.27065189 0.785312  ]
15,[-7.44629023e-04 -4.99985183e-01  3.77655935e-03  1.00000000e+00],[6.09190970e-04 2.64036756e-01 7.85237056e-01]
16,[-4.96038990e-04 -4.99984713e-01  3.87826822e-03  1.00000000e+00],[2.70325654e-04 2.57444813e-01 7.85154450e-01]
17,[-2.22503362e-04 -4.99984043e-01  3.98834171e-03  1.00000000e+00],[-8.17433305e-05  2.50881198e-01  7.85069857e-01]
18,[ 6.80172542e-05 -4.99983166e-01  4.10228954e-03  1.00000000e+00],[-4.38625704e-04  2.44347727e-01  7.84987237e-01]
19,[ 3.68984321e-04 -4.99982081e-01  4.21687794e-03  1.00000000e+00],[-0.00079393  0.23784389  0.78490915]
20,[ 6.75261937e-04 -4.99980795e-01  4.32993580e-03  1.00000000e+00],[-0.00114302  0.23136765  0.78483707]
21,[ 9.83006753e-04 -4.99979318e-01  4.44015146e-03  1.00000000e+00],[-0.00148278  0.2249161   0.78477162]
