step,action,eef_pos
0,[-7.50850727e-04 -3.43745900e-05  4.99999435e-01  1.00000000e+00],[-6.38122758e-04  1.05090772e-04  7.85883701e-01]
1,[ 6.32911725e-04 -1.04232581e-04  4.99999589e-01  1.00000000e+00],[-3.29369645e-03  2.48333213e-04  7.84426604e-01]
2,[ 3.25731752e-03 -2.45590368e-04  4.99989329e-01  1.00000000e+00],[-5.51014332e-03  4.03429418e-04  7.88430770e-01]
3,[ 5.49257085e-03 -4.02142835e-04  4.99969669e-01  1.00000000e+00],[-7.40185888e-03  5.79962684e-04  7.93812504e-01]
4,[ 7.45789692e-03 -5.84353469e-04  4.99944035e-01  1.00000000e+00],[-8.92114382e-03  7.46788693e-04  7.99606425e-01]
5,[ 9.09438675e-03 -7.61290854e-04  4.99916706e-01  1.00000000e+00],[-0.01008829  0.00090727  0.80560602]
6,[ 1.04110304e-02 -9.36296015e-04  4.99890722e-01  1.00000000e+00],[-0.01094834  0.00106619  0.81175247]
7,[ 0.01144328 -0.00111438  0.49986779  1.        ],[-0.01155576  0.00121733  0.81801406]
8,[ 0.01223793 -0.00128919  0.49984855  1.        ],[-0.01196426  0.00135772  0.82436527]
9,[ 0.01284297 -0.00145744  0.49983291  1.        ],[-0.01222259  0.00149413  0.83078368]
10,[ 0.01330332 -0.00162624  0.49982034  1.        ],[-0.01237275  0.00162566  0.83725002]
11,[ 0.01365881 -0.00179463  0.49981018  1.        ],[-0.01244931  0.00175111  0.84374833]
12,[ 0.01394323 -0.00196124  0.4998017   1.        ],[-0.01247978  0.00187009  0.85026579]
13,[ 0.0141843  -0.00212551  0.49979425  1.        ],[-0.01248511  0.00198273  0.8567925 ]
14,[ 0.01440395 -0.00228746  0.49978725  1.        ],[-0.01248058  0.00208948  0.86332116]
15,[ 0.01461883 -0.00244747  0.49978025  1.        ],[-0.01247662  0.00219096  0.86984667]
16,[ 0.01484096 -0.00260614  0.4997729   1.        ],[-0.0124798   0.00228778  0.8763657 ]
17,[ 0.01507845 -0.00276416  0.49976494  1.        ],[-0.01249358  0.00238051  0.88287639]
18,[ 0.01533624 -0.00292215  0.4997562   1.        ],[-0.01251918  0.00246956  0.88937798]
19,[ 0.01561676 -0.00308059  0.49974656  1.        ],[-0.01255615  0.00255513  0.89587048]
20,[ 0.01592056 -0.00323978  0.49973597  1.        ],[-0.01260299  0.00263725  0.90235451]
21,[ 0.01624686 -0.00339975  0.49972441  1.        ],[-0.01265753  0.00271571  0.90883101]
22,[ 0.016594   -0.0035603   0.49971188  1.        ],[-0.01271731  0.00279016  0.9153011 ]
23,[ 0.01695981 -0.00372096  0.49969843  1.        ],[-0.01277983  0.0028601   0.92176601]
24,[ 0.01734191 -0.00388109  0.4996841   1.        ],[-0.01284271  0.00292495  0.9282269 ]
25,[ 0.01773792 -0.00403984  0.49966894  1.        ],[-0.01290377  0.00298409  0.93468487]
26,[ 0.0181456  -0.0041963   0.49965301  1.        ],[-0.01296116  0.00303693  0.9411409 ]
27,[ 0.01856298 -0.00434949  0.49963637  1.        ],[-0.01301332  0.00308295  0.94759582]
28,[ 0.01898839 -0.00449848  0.49961906  1.        ],[-0.01305902  0.00312173  0.9540503 ]
29,[ 0.01942047 -0.00464242  0.49960113  1.        ],[-0.0130973   0.003153    0.96050489]
30,[ 0.01985822 -0.0047806   0.49958262  1.        ],[-0.01312748  0.00317663  0.96695999]
31,[ 0.02030093 -0.00491249  0.49956355  1.        ],[-0.01314908  0.00319265  0.97341588]
32,[ 0.02074818 -0.00503774  0.49954393  1.        ],[-0.01316181  0.00320123  0.97987274]
33,[ 0.02119981 -0.00515623  0.49952375  1.        ],[-0.01316554  0.00320264  0.98633064]
34,[ 0.02165588 -0.00526799  0.49950302  1.        ],[-0.01316022  0.00319727  0.99278961]
35,[ 0.02211661 -0.00537322  0.49948172  1.        ],[-0.01314589  0.00318555  0.9992496 ]
36,[ 0.02258241 -0.00547223  0.4994598   1.        ],[-0.01312266  0.00316795  1.00571052]
37,[ 0.02305378 -0.00556543  0.49943723  1.        ],[-0.01309065  0.00314496  1.01217226]
38,[ 0.02353133 -0.00565328  0.49941397  1.        ],[-0.01305     0.00311704  1.01863466]
39,[ 0.02401574 -0.00573625  0.49938997  1.        ],[-0.01300083  0.00308464  1.02509757]
40,[ 0.02450775 -0.00581482  0.49936515  1.        ],[-0.01294328  0.00304814  1.03156083]
41,[ 0.02500817 -0.00588942  0.49933947  1.        ],[-0.0128803   0.00300792  1.03802279]
42,[ 0.02552333 -0.00596043  0.49931256  1.        ],[-0.0128424   0.00296422  1.04446716]
43,[ 0.02611451 -0.00602762  0.49928118  1.        ],[-0.01281652  0.00291728  1.05089826]
44,[ 0.02676098 -0.0060913   0.49924618  1.        ],[-0.0127959   0.00286738  1.05731799]
45,[ 0.02745297 -0.00615181  0.49920786  1.        ],[-0.01277788  0.00281477  1.06372717]
46,[ 0.02818846 -0.00620949  0.49916616  1.        ],[-0.01275992  0.00275968  1.07012691]
47,[ 0.02896555 -0.00626458  0.49912098  1.        ],[-0.01273953  0.00270227  1.07651841]
48,[ 0.02978217 -0.00631731  0.49907225  1.        ],[-0.01271433  0.00264271  1.0829028 ]
49,[ 0.03063635 -0.00636786  0.4990199   1.        ],[-0.01268216  0.00258113  1.08928114]
50,[ 0.03152637 -0.00641638  0.49896384  1.        ],[-0.01264111  0.00251763  1.09565429]
51,[ 0.03245094 -0.00646301  0.49890396  1.        ],[-0.01258956  0.00245235  1.10202297]
52,[ 0.03340928 -0.00650788  0.49884012  1.        ],[-0.01252611  0.00238538  1.10838772]
53,[ 0.03440118 -0.00655111  0.49877213  1.        ],[-0.01244962  0.00231682  1.11474892]
54,[ 0.03542702 -0.00659283  0.49869977  1.        ],[-0.01235911  0.00224762  1.12110682]
55,[ 0.03648777 -0.00663563  0.49862271  1.        ],[-0.01225381  0.00218426  1.12746154]
56,[ 0.03758506 -0.0066996   0.49854035  1.        ],[-0.01213299  0.00212602  1.13381308]
57,[ 0.03872102 -0.00678493  0.49845225  1.        ],[-0.01199602  0.00207144  1.14016135]
58,[ 0.03989833 -0.00688953  0.49835796  1.        ],[-0.01184229  0.00201988  1.14650623]
59,[ 0.04112027 -0.00701368  0.49825689  1.        ],[-0.01167123  0.00197094  1.15284753]
60,[ 0.04239081 -0.0071586   0.49814834  1.        ],[-0.01148225  0.00192429  1.15918504]
61,[ 0.0437146  -0.00732603  0.49803149  1.        ],[-0.01127474  0.00187962  1.16551852]
62,[ 0.04509708 -0.00751816  0.49790534  1.        ],[-0.01104801  0.00183663  1.17184769]
63,[ 0.04654464 -0.00773762  0.49776875  1.        ],[-0.01080135  0.00179489  1.17817227]
64,[ 0.04806474 -0.00798707  0.49762032  1.        ],[-0.01053391  0.0017525   1.18449195]
65,[ 0.0496662  -0.00826283  0.49745854  1.        ],[-0.01024477  0.00170765  1.19080641]
66,[ 0.05135954 -0.00856085  0.49728152  1.        ],[-0.0099329   0.00165936  1.1971153 ]
67,[ 0.05315746 -0.00888032  0.49708694  1.        ],[-0.00959711  0.00160705  1.20341822]
68,[ 0.05507547 -0.00922248  0.49687185  1.        ],[-0.00923605  0.00155028  1.20971473]
69,[ 0.05713282 -0.00958979  0.49663254  1.        ],[-0.00884819  0.00148866  1.21600432]
70,[ 0.05935377 -0.00998593  0.49636419  1.        ],[-0.00843171  0.00142182  1.22228639]
71,[ 0.06176955 -0.01041605  0.49606051  1.        ],[-0.00798452  0.00134937  1.22856023]
72,[ 0.06442132 -0.01088711  0.49571299  1.        ],[-0.00750411  0.00127087  1.23482497]
73,[ 0.06736484 -0.01140868  0.49530982  1.        ],[-6.98742242e-03  1.18576495e-03  1.24107952e+00]
74,[ 0.07067826 -0.01199409  0.49483404  1.        ],[-6.43070430e-03  1.09337583e-03  1.24732246e+00]
75,[ 0.07447572 -0.01266268  0.49426008  1.        ],[-5.82914699e-03  9.92817170e-04  1.25355193e+00]
76,[ 0.0789331  -0.01344384  0.49354719  1.        ],[-5.17639465e-03  8.82903904e-04  1.25976534e+00]
77,[ 0.08434103 -0.0143855   0.49262526  1.        ],[-4.46361259e-03  7.61978841e-04  1.26595890e+00]
