step,action,eef_pos
0,[-2.49860845e-01  1.92898269e-06 -8.34013727e-03  1.00000000e+00],[ 2.44691314e-01 -1.38501865e-06  7.93462822e-01]
1,[-2.49993875e-01  6.99923711e-07 -1.74994845e-03  1.00000000e+00],[ 2.41576212e-01 -1.26437844e-05  7.87818226e-01]
2,[-2.49997538e-01  6.43016259e-06  1.10956979e-03  1.00000000e+00],[ 2.40058461e-01 -3.00939361e-05  7.87772100e-01]
3,[-2.49997416e-01  1.53520587e-05  1.13653618e-03  1.00000000e+00],[ 2.39376420e-01 -4.54162967e-05  7.89337304e-01]
4,[-2.49999770e-01  2.32010846e-05  3.38540651e-04  1.00000000e+00],[ 2.39034639e-01 -5.76500361e-05  7.91310759e-01]
5,[-2.49999100e-01  2.94712399e-05 -6.70072063e-04  1.00000000e+00],[ 2.38877146e-01 -6.79317340e-05  7.93397932e-01]
6,[-2.49993959e-01  3.47378136e-05 -1.73757865e-03  1.00000000e+00],[ 2.38840790e-01 -7.71408725e-05  7.95532615e-01]
7,[-2.49983987e-01  3.94483914e-05 -2.82927526e-03  1.00000000e+00],[ 2.38881545e-01 -8.53900376e-05  7.97685509e-01]
8,[-2.49969110e-01  4.36606207e-05 -3.92966335e-03  1.00000000e+00],[ 2.38977638e-01 -8.92569080e-05  7.99850269e-01]
9,[-2.49949286e-01  4.56251956e-05 -5.03513342e-03  1.00000000e+00],[ 2.39087778e-01 -8.76198186e-05  8.02001790e-01]
10,[-2.49924759e-01  4.47738893e-05 -6.13293693e-03  1.00000000e+00],[ 2.39176901e-01 -8.07688605e-05  8.04118634e-01]
11,[-2.49895935e-01  4.12607584e-05 -7.21250162e-03  1.00000000e+00],[ 2.39210302e-01 -7.07106002e-05  8.06185474e-01]
12,[-2.49863283e-01  3.61153121e-05 -8.26670200e-03  1.00000000e+00],[ 2.39157448e-01 -5.86812251e-05  8.08199593e-01]
13,[-2.49827142e-01  2.99702331e-05 -9.29506902e-03  1.00000000e+00],[ 2.39007825e-01 -4.48544852e-05  8.10142642e-01]
14,[-2.49788183e-01  2.29119449e-05 -1.02889845e-02  1.00000000e+00],[ 2.38734032e-01 -2.92895541e-05  8.11994082e-01]
15,[-2.49747234e-01  1.49672105e-05 -1.12391625e-02  1.00000000e+00],[ 2.38308065e-01 -1.20911193e-05  8.13736697e-01]
16,[-2.49705155e-01  6.18301240e-06 -1.21381888e-02  1.00000000e+00],[2.37702656e-01 6.18246765e-06 8.15354464e-01]
17,[-2.49662845e-01 -3.16490477e-06 -1.29793583e-02  1.00000000e+00],[2.36891433e-01 2.39802216e-05 8.16832024e-01]
18,[-2.49621239e-01 -1.22942657e-05 -1.37563380e-02  1.00000000e+00],[2.35849422e-01 4.03252479e-05 8.18154860e-01]
19,[-2.49581282e-01 -2.07151158e-05 -1.44631766e-02  1.00000000e+00],[2.34553881e-01 5.45681596e-05 8.19309768e-01]
20,[-2.49543898e-01 -2.81024501e-05 -1.50944487e-02  1.00000000e+00],[2.32985375e-01 6.62400867e-05 8.20285507e-01]
21,[-2.49509956e-01 -3.42195892e-05 -1.56454750e-02  1.00000000e+00],[2.31129029e-01 7.50183289e-05 8.21073552e-01]
22,[-2.49480225e-01 -3.88993149e-05 -1.61125942e-02  1.00000000e+00],[2.28975819e-01 8.07078322e-05 8.21668877e-01]
23,[-2.49455334e-01 -4.20334356e-05 -1.64934636e-02  1.00000000e+00],[2.26523742e-01 8.32575727e-05 8.22070685e-01]
24,[-2.49435729e-01 -4.35810674e-05 -1.67873580e-02  1.00000000e+00],[2.23778688e-01 8.30480902e-05 8.22282973e-01]
25,[-2.49421638e-01 -4.37208156e-05 -1.69954290e-02  1.00000000e+00],[2.20754844e-01 8.06590958e-05 8.22314821e-01]
26,[-2.49413058e-01 -4.27344126e-05 -1.71208825e-02  1.00000000e+00],[2.17474481e-01 7.64810065e-05 8.22180332e-01]
27,[-2.49409748e-01 -4.08045986e-05 -1.71690412e-02  1.00000000e+00],[2.13967088e-01 7.07655110e-05 8.21898159e-01]
28,[-2.49411247e-01 -3.80408758e-05 -1.71472501e-02  1.00000000e+00],[2.10267864e-01 6.37028714e-05 8.21490605e-01]
