step,action,eef_pos
0,[ 3.81954955e-04  9.99863432e-01 -1.65218422e-02  1.00000000e+00],[-0.00103366 -0.34552878  0.78957444]
1,[1.48615318e-03 9.99998708e-01 6.11853812e-04 1.00000000e+00],[-0.00186547 -0.33741673  0.78490606]
2,[0.00271366 0.99996886 0.00741003 1.        ],[-0.00188283 -0.32877442  0.78501642]
3,[0.00277378 0.9999692  0.0073418  1.        ],[-0.00170997 -0.31937339  0.78603355]
4,[0.00255453 0.99997918 0.00592549 1.        ],[-0.00148581 -0.30913893  0.78703581]
5,[0.00225414 0.99998735 0.004497   1.        ],[-0.00131047 -0.29813864  0.78783914]
6,[0.00202189 0.9999924  0.00333392 1.        ],[-0.00126257 -0.286488    0.78841801]
7,[0.00198364 0.99999494 0.00248548 1.        ],[-0.00139124 -0.27432071  0.78878609]
8,[0.0022284  0.99999563 0.00194435 1.        ],[-0.00171614 -0.2617703   0.78896964]
9,[0.00280518 0.99999465 0.00168421 1.        ],[-0.00223362 -0.24895826  0.78899931]
10,[0.00372915 0.99999165 0.0016707  1.        ],[-0.00292457 -0.23598821  0.78890621]
11,[0.00499077 0.9999858  0.00186654 1.        ],[-0.00376117 -0.22294407  0.78871958]
12,[0.00656447 0.99997596 0.00223475 1.        ],[-0.00471197 -0.20989038  0.78846534]
13,[0.00841555 0.99996083 0.00274089 1.        ],[-0.00574539 -0.19687402  0.7881654 ]
14,[0.01050524 0.99993919 0.0033545  1.        ],[-0.00683172 -0.18392657  0.78783755]
15,[0.01279409 0.99990995 0.00404973 1.        ],[-0.00794411 -0.17106689  0.78749571]
16,[0.01524391 0.99987226 0.00480546 1.        ],[-0.00905888 -0.15830361  0.78715053]
17,[0.01781869 0.99982552 0.00560487 1.        ],[-0.01015544 -0.14563737  0.78680993]
18,[0.02048493 0.99976945 0.00643481 1.        ],[-0.01121595 -0.13306276  0.78647981]
19,[0.02321153 0.99970403 0.00728507 1.        ],[-0.01222506 -0.12056977  0.78616454]
20,[0.02596966 0.99962953 0.00814766 1.        ],[-0.01316965 -0.10814508  0.7858674 ]
21,[0.02873256 0.99954647 0.00901621 1.        ],[-0.01403865 -0.095773    0.78559092]
22,[0.03147568 0.99945563 0.00988547 1.        ],[-0.01482306 -0.08343628  0.7853371 ]
23,[0.03417698 0.99935797 0.01075109 1.        ],[-0.01551607 -0.07111674  0.78510743]
24,[0.03681758 0.99925457 0.01160943 1.        ],[-0.01611317 -0.05879592  0.78490302]
25,[0.03938254 0.99914655 0.01245764 1.        ],[-0.01661234 -0.04645568  0.78472454]
26,[0.0418617  0.99903497 0.01329371 1.        ],[-0.01701404 -0.03407878  0.78457225]
27,[0.04425049 0.99892073 0.01411661 1.        ],[-0.0173212  -0.02164934  0.78444596]
28,[0.04655057 0.99880441 0.01492643 1.        ],[-0.01753914 -0.00915082  0.78434499]
29,[0.04877087 0.9986862  0.01572481 1.        ],[-0.01767342  0.00342786  0.78427423]
30,[0.05092183 0.99856637 0.01649745 1.        ],[-0.01776732  0.01609247  0.78423818]
31,[0.05312723 0.99843911 0.01722879 1.        ],[-0.01784939  0.02884539  0.78421064]
32,[0.05548416 0.99829738 0.01799603 1.        ],[-0.01791794  0.04168457  0.78418518]
33,[0.05800743 0.99813865 0.01882488 1.        ],[-0.0179727   0.05460612  0.78416191]
34,[0.06071905 0.99796001 0.01972342 1.        ],[-0.01801343  0.06760661  0.78414244]
35,[0.06364541 0.99775795 0.02069605 1.        ],[-0.01803987  0.0806824   0.78412852]
36,[0.06681807 0.99752814 0.02174742 1.        ],[-0.01805182  0.09382958  0.78412175]
37,[0.07027527 0.99726512 0.02288387 1.        ],[-0.01804902  0.10704361  0.78412343]
38,[0.07406343 0.99696194 0.02411428 1.        ],[-0.01803101  0.12031911  0.78413455]
39,[0.07823849 0.99660975 0.02545081 1.        ],[-0.01799697  0.13365034  0.78415591]
40,[0.08286831 0.99619713 0.02690952 1.        ],[-0.01794551  0.14703186  0.78418822]
41,[0.08803601 0.99570918 0.02851109 1.        ],[-0.01787336  0.16045478  0.78423216]
42,[0.09383653 0.99512699 0.0302816  1.        ],[-0.01777565  0.17390924  0.78428849]
43,[0.10038329 0.99442589 0.03225423 1.        ],[-0.01764558  0.18738463  0.78435819]
44,[0.1078138  0.99357331 0.03447122 1.        ],[-0.01747407  0.20086965  0.78444261]
45,[0.11629732 0.99252552 0.03698678 1.        ],[-0.01724935  0.21435223  0.78454365]
46,[0.12604666 0.99122274 0.03987137 1.        ],[-0.01695648  0.22781958  0.78466396]
47,[0.13733637 0.98958117 0.04321841 1.        ],[-0.01657675  0.241258    0.78480724]
48,[0.15053253 0.9874798  0.04715517 1.        ],[-0.0160869   0.25465269  0.78497851]
