step,action,eef_pos
0,[ 1.40340602e-04  4.99937883e-01 -7.87994605e-03  1.00000000e+00],[-0.00085288 -0.34807025  0.78964913]
1,[6.10884828e-04 4.99999564e-01 2.51312246e-04 1.00000000e+00],[-0.00158119 -0.34443851  0.78566062]
2,[0.00113844 0.49998894 0.00312431 1.        ],[-0.00169042 -0.34071315  0.78552817]
3,[0.00122365 0.49998802 0.00323704 1.        ],[-0.00161009 -0.33657739  0.78610957]
4,[0.00117253 0.4999906  0.00283315 1.        ],[-0.00142247 -0.33193517  0.78674213]
5,[0.00104295 0.49999321 0.00238866 1.        ],[-0.00118127 -0.32682248  0.78728952]
6,[8.72650395e-04 4.99995229e-01 2.00234021e-03 1.00000000e+00],[-0.00093981 -0.32129939  0.7877244 ]
7,[6.99986324e-04 4.99996637e-01 1.69491231e-03 1.00000000e+00],[-7.37839518e-04 -3.15437047e-01  7.88047727e-01]
8,[5.54399468e-04 4.99997541e-01 1.46690296e-03 1.00000000e+00],[-6.00336707e-04 -3.09308154e-01  7.88269675e-01]
9,[4.55276025e-04 4.99998071e-01 1.31222240e-03 1.00000000e+00],[-5.39411715e-04 -3.02980210e-01  7.88404032e-01]
10,[4.13036958e-04 4.99998336e-01 1.22206080e-03 1.00000000e+00],[-5.57141866e-04 -2.96512133e-01  7.88465910e-01]
11,[4.30881388e-04 4.99998407e-01 1.18643184e-03 1.00000000e+00],[-6.48697370e-04 -2.89952935e-01  7.88470300e-01]
12,[5.06830385e-04 4.99998315e-01 1.19516169e-03 1.00000000e+00],[-0.00080507 -0.28334166  0.78843111]
13,[6.35571901e-04 4.99998062e-01 1.23857883e-03 1.00000000e+00],[-0.00101523 -0.2767081   0.78836056]
14,[8.09964055e-04 4.99997633e-01 1.30797479e-03 1.00000000e+00],[-0.00126765 -0.27007385  0.7882689 ]
15,[0.00102217 0.49999701 0.00139587 1.        ],[-0.00155139 -0.26345364  0.78816439]
16,[0.00126446 0.49999616 0.00149612 1.        ],[-0.00185667 -0.25685659  0.78805332]
17,[0.00152973 0.49999509 0.00160389 1.        ],[-0.0021752  -0.25028754  0.7879403 ]
18,[0.00181178 0.49999377 0.00171557 1.        ],[-0.00250028 -0.24374813  0.78782852]
19,[0.00210547 0.49999222 0.00182859 1.        ],[-0.00282667 -0.23723779  0.78771998]
20,[0.0024067  0.49999044 0.00194127 1.        ],[-0.00315051 -0.23075454  0.78761581]
21,[0.00271237 0.49998843 0.00205262 1.        ],[-0.00346906 -0.2242956   0.78751649]
22,[0.00302019 0.4999862  0.00216216 1.        ],[-0.00378049 -0.21785784  0.78742207]
23,[0.00332862 0.49998377 0.0022698  1.        ],[-0.00408366 -0.21143816  0.78733232]
24,[0.00363665 0.49998113 0.00237567 1.        ],[-0.00437797 -0.20503364  0.78724686]
25,[0.0039437  0.4999783  0.00248005 1.        ],[-0.0046631  -0.19864169  0.78716525]
26,[0.00424947 0.49997527 0.0025833  1.        ],[-0.00493898 -0.19226009  0.78708707]
27,[0.00455381 0.49997205 0.00268577 1.        ],[-0.00520559 -0.18588697  0.78701194]
28,[0.00485668 0.49996864 0.00278779 1.        ],[-0.00546295 -0.1795208   0.78693955]
29,[0.00515803 0.49996504 0.00288963 1.        ],[-0.00571107 -0.17316033  0.78686968]
30,[0.00545781 0.49996126 0.00299151 1.        ],[-0.00594985 -0.16680455  0.78680218]
31,[0.00575589 0.4999573  0.00309357 1.        ],[-0.00617914 -0.16045258  0.78673697]
32,[0.00605205 0.49995316 0.00319591 1.        ],[-0.00639874 -0.15410369  0.78667404]
33,[0.006346   0.49994885 0.00329855 1.        ],[-0.00660836 -0.14775718  0.78661341]
34,[0.00663739 0.49994437 0.00340148 1.        ],[-0.00680765 -0.14141241  0.78655515]
35,[0.00692578 0.49993975 0.00350463 1.        ],[-0.00699627 -0.13506873  0.78649936]
36,[0.00721069 0.49993498 0.00360793 1.        ],[-0.00717386 -0.12872548  0.78644613]
37,[0.00749162 0.4999301  0.00371128 1.        ],[-0.00734006 -0.12238197  0.78639559]
38,[0.00776803 0.4999251  0.00381457 1.        ],[-0.00749455 -0.11603749  0.78634783]
39,[0.00803943 0.49992001 0.0039177  1.        ],[-0.00763707 -0.1096913   0.78630293]
40,[0.00830533 0.49991485 0.00402056 1.        ],[-0.00776743 -0.10334265  0.78626098]
41,[0.0085653  0.49990963 0.00412308 1.        ],[-0.0078855  -0.09699079  0.78622203]
42,[0.00881896 0.49990436 0.00422519 1.        ],[-0.00799122 -0.09063494  0.78618611]
43,[0.00906602 0.49989908 0.00432684 1.        ],[-0.00808466 -0.08427438  0.78615323]
44,[0.00930626 0.49989377 0.00442802 1.        ],[-0.00816594 -0.07790838  0.78612338]
45,[0.00953956 0.49988848 0.00452872 1.        ],[-0.00823527 -0.07153627  0.78609652]
46,[0.00976588 0.49988319 0.00462898 1.        ],[-0.00829294 -0.06515742  0.7860726 ]
47,[0.00998527 0.49987792 0.00472885 1.        ],[-0.00833933 -0.05877127  0.78605156]
48,[0.01019789 0.49987267 0.00482842 1.        ],[-0.00837486 -0.0523773   0.7860333 ]
49,[0.01040397 0.49986746 0.00492778 1.        ],[-0.00840001 -0.04597508  0.78601773]
50,[0.01060383 0.49986227 0.00502705 1.        ],[-0.00841532 -0.03956423  0.78600474]
51,[0.01079785 0.49985711 0.00512639 1.        ],[-0.00842132 -0.03314446  0.78599424]
52,[0.0109865  0.49985196 0.00522593 1.        ],[-0.00841861 -0.02671553  0.7859861 ]
53,[0.01117028 0.49984684 0.00532586 1.        ],[-0.00840778 -0.02027728  0.78598022]
54,[0.01134976 0.49984171 0.00542635 1.        ],[-0.0083894  -0.01382961  0.78597648]
55,[0.01152553 0.49983658 0.00552759 1.        ],[-0.00836408 -0.00737247  0.78597479]
56,[0.01169825 0.49983143 0.00562978 1.        ],[-0.00833484 -0.00090587  0.78597511]
57,[0.01187204 0.49982616 0.00573301 1.        ],[-0.00833423  0.00556983  0.78598401]
58,[0.01209422 0.49981973 0.0058278  1.        ],[-0.00835825  0.01205324  0.78599797]
59,[0.01236157 0.49981212 0.00591887 1.        ],[-0.0084062   0.01854256  0.78600312]
60,[0.01267567 0.49980297 0.00602687 1.        ],[-0.00848141  0.0250359   0.78599471]
61,[0.01304433 0.49979186 0.0061601  1.        ],[-0.00858353  0.03153173  0.78597267]
62,[0.0134703  0.49977856 0.00632018 1.        ],[-0.00870593  0.03802951  0.78594004]
63,[0.01394652 0.49976314 0.00650387 1.        ],[-0.00884165  0.04452931  0.78590007]
64,[0.01446481 0.49974571 0.00670743 1.        ],[-0.00898459  0.05103162  0.78585558]
65,[0.01501777 0.4997264  0.0069274  1.        ],[-0.00912973  0.05753707  0.78580898]
66,[0.01559915 0.4997053  0.00716082 1.        ],[-0.00927308  0.06404634  0.78576218]
67,[0.016204   0.49968249 0.00740527 1.        ],[-0.00941165  0.07056001  0.78571666]
68,[0.01682868 0.49965802 0.00765891 1.        ],[-0.00954332  0.07707852  0.7856735 ]
69,[0.01747077 0.4996319  0.00792044 1.        ],[-0.00966667  0.08360214  0.78563345]
70,[0.01812893 0.49960412 0.00818905 1.        ],[-0.00978085  0.09013093  0.78559699]
71,[0.01880279 0.49957463 0.00846438 1.        ],[-0.00988543  0.09666482  0.78556438]
72,[0.01949276 0.49954332 0.00874646 1.        ],[-0.0099803   0.10320356  0.78553572]
73,[0.02019988 0.49951008 0.0090356  1.        ],[-0.01006551  0.1097468   0.78551101]
74,[0.02092571 0.49947475 0.00933239 1.        ],[-0.01014125  0.11629408  0.78549019]
75,[0.02167217 0.49943712 0.00963762 1.        ],[-0.01020772  0.12284489  0.78547314]
76,[0.02244151 0.49939697 0.00995223 1.        ],[-0.01026513  0.1293987   0.78545976]
77,[0.02323619 0.49935404 0.01027731 1.        ],[-0.01031364  0.13595492  0.78544993]
78,[0.02405886 0.49930803 0.01061404 1.        ],[-0.01035332  0.14251299  0.78544359]
79,[0.02491232 0.49925862 0.0109637  1.        ],[-0.01038417  0.14907232  0.78544068]
80,[0.0257995  0.49920544 0.01132765 1.        ],[-0.01040609  0.15563236  0.78544117]
81,[0.02672347 0.49914807 0.01170735 1.        ],[-0.01041888  0.16219253  0.78544511]
82,[0.02768748 0.49908605 0.01210434 1.        ],[-0.01042223  0.16875229  0.78545253]
83,[0.02869493 0.49901888 0.01252027 1.        ],[-0.01041574  0.17531106  0.78546357]
84,[0.02974941 0.49894598 0.01295695 1.        ],[-0.01039891  0.18186828  0.78547834]
85,[0.03085479 0.4988667  0.01341629 1.        ],[-0.01037111  0.18842338  0.78549705]
86,[0.0320152  0.49878032 0.01390043 1.        ],[-0.01033164  0.19497576  0.7855199 ]
87,[0.0332351  0.498686   0.01441169 1.        ],[-0.01027968  0.20152483  0.78554718]
88,[0.0345194  0.49858282 0.01495267 1.        ],[-0.01021431  0.20806996  0.78557918]
89,[0.03587346 0.49846969 0.01552627 1.        ],[-0.01013448  0.2146105   0.78561626]
90,[0.03730325 0.49834537 0.01613578 1.        ],[-0.01003905  0.22114578  0.78565883]
91,[0.03881548 0.49820842 0.01678491 1.        ],[-0.00992675  0.22767511  0.78570734]
92,[0.0404177  0.49805715 0.01747797 1.        ],[-0.00979621  0.23419779  0.7857623 ]
93,[0.04211864 0.4978896  0.01821993 1.        ],[-0.0096459   0.24071307  0.78582428]
94,[0.04392836 0.49770339 0.01901662 1.        ],[-0.00947416  0.2472202   0.78589394]
95,[0.04585874 0.49749569 0.01987496 1.        ],[-0.00927919  0.2537184   0.78597201]
96,[0.04792398 0.49726303 0.02080326 1.        ],[-0.00905903  0.26020686  0.78605929]
97,[0.05014131 0.49700111 0.02181163 1.        ],[-0.00881151  0.26668476  0.78615673]
98,[0.05253202 0.49670454 0.0229126  1.        ],[-0.00853429  0.27315121  0.78626538]
99,[0.05512298 0.49636639 0.02412194 1.        ],[-0.00822474  0.2796053   0.78638644]
100,[0.05794877 0.49597755 0.02545992 1.        ],[-0.00787994  0.28604603  0.78652134]
101,[0.06105508 0.49552578 0.02695324 1.        ],[-0.00749658  0.2924723   0.78667173]
102,[0.06450396 0.49499405 0.02863796 1.        ],[-0.00707083  0.2988829   0.7868396 ]
