step,action,eef_pos
0,[ 1.39209768e-04 -8.11109963e-06 -4.99999981e-01  1.00000000e+00],[2.77440857e-04 1.45582854e-05 1.29684209e+00]
1,[-2.73695518e-04 -1.43617544e-05 -4.99999925e-01  1.00000000e+00],[1.71394405e-03 3.11142653e-05 1.29366519e+00]
2,[-1.70146177e-03 -3.08876670e-05 -4.99997104e-01  1.00000000e+00],[3.40441613e-03 4.94573864e-05 1.28905970e+00]
3,[-3.41075118e-03 -4.95494183e-05 -4.99988364e-01  1.00000000e+00],[5.00108477e-03 6.73242171e-05 1.28404669e+00]
4,[-5.06108900e-03 -6.81319894e-05 -4.99974380e-01  1.00000000e+00],[6.40618529e-03 8.35526304e-05 1.27880338e+00]
5,[-6.55236369e-03 -8.54591613e-05 -4.99957057e-01  1.00000000e+00],[7.57855644e-03 9.77289472e-05 1.27334621e+00]
6,[-7.83871344e-03 -1.01083791e-04 -4.99938541e-01  1.00000000e+00],[8.50734609e-03 1.09827369e-04 1.26767896e+00]
7,[-8.90346626e-03 -1.14941165e-04 -4.99920709e-01  1.00000000e+00],[9.19517273e-03 1.19982931e-04 1.26180765e+00]
8,[-9.74276977e-03 -1.27128235e-04 -4.99905053e-01  1.00000000e+00],[9.65560473e-03 1.28381420e-04 1.25574501e+00]
9,[-1.03635358e-02 -1.37794108e-04 -4.99892567e-01  1.00000000e+00],[9.91017182e-03 1.35208748e-04 1.24950950e+00]
10,[-1.07809168e-02 -1.47088697e-04 -4.99883737e-01  1.00000000e+00],[9.98504350e-03 1.40629962e-04 1.24312309e+00]
11,[-1.10153508e-02 -1.55140872e-04 -4.99878623e-01  1.00000000e+00],[9.90843405e-03 1.44782613e-04 1.23660922e+00]
12,[-1.10902276e-02 -1.62051048e-04 -4.99876965e-01  1.00000000e+00],[9.70867297e-03 1.47776812e-04 1.22999136e+00]
13,[-1.10301140e-02 -1.67890616e-04 -4.99878294e-01  1.00000000e+00],[9.41281463e-03 1.49698272e-04 1.22329184e+00]
14,[-1.08594172e-02 -1.72704558e-04 -4.99882029e-01  1.00000000e+00],[9.04567186e-03 1.50612528e-04 1.21653110e+00]
15,[-1.06013815e-02 -1.76515454e-04 -4.99887567e-01  1.00000000e+00],[8.62921204e-03 1.50569418e-04 1.20972715e+00]
16,[-1.02773770e-02 -1.79327923e-04 -4.99894332e-01  1.00000000e+00],[8.18224278e-03 1.49784237e-04 1.20289535e+00]
17,[-9.90642798e-03 -1.81347193e-04 -4.99901820e-01  1.00000000e+00],[7.72032338e-03 1.49298383e-04 1.19604830e+00]
18,[-9.50493790e-03 -1.83809898e-04 -4.99909614e-01  1.00000000e+00],[7.25585011e-03 1.49372715e-04 1.18919595e+00]
19,[-9.08657928e-03 -1.87061060e-04 -4.99917392e-01  1.00000000e+00],[6.79827009e-03 1.49708994e-04 1.18234580e+00]
20,[-8.66231943e-03 -1.90758400e-04 -4.99924922e-01  1.00000000e+00],[6.35438537e-03 1.49469906e-04 1.17550315e+00]
21,[-8.24055752e-03 -1.93837057e-04 -4.99932051e-01  1.00000000e+00],[5.92870549e-03 1.48516173e-04 1.16867146e+00]
22,[-7.82733738e-03 -1.96077574e-04 -4.99938691e-01  1.00000000e+00],[5.52382394e-03 1.47113848e-04 1.16185263e+00]
23,[-7.42661704e-03 -1.97790195e-04 -4.99944803e-01  1.00000000e+00],[5.14080071e-03 1.45578017e-04 1.15504738e+00]
24,[-7.04058011e-03 -1.99376274e-04 -4.99950388e-01  1.00000000e+00],[4.77951758e-03 1.44177655e-04 1.14825551e+00]
25,[-6.66994894e-03 -2.01203904e-04 -4.99955469e-01  1.00000000e+00],[4.43900278e-03 1.43121370e-04 1.14147619e+00]
26,[-6.31429466e-03 -2.03584127e-04 -4.99960087e-01  1.00000000e+00],[4.11771997e-03 1.42565951e-04 1.13470817e+00]
27,[-5.97233585e-03 -2.06777475e-04 -4.99964287e-01  1.00000000e+00],[3.81381280e-03 1.42628900e-04 1.12794997e+00]
28,[-5.64221029e-03 -2.11007275e-04 -4.99968120e-01  1.00000000e+00],[3.52530134e-03 1.42398514e-04 1.12120007e+00]
29,[-5.32170984e-03 -2.14961361e-04 -4.99971632e-01  1.00000000e+00],[3.25023170e-03 1.39923072e-04 1.11445694e+00]
30,[-5.00847403e-03 -2.15615727e-04 -4.99974868e-01  1.00000000e+00],[2.98678158e-03 1.34426248e-04 1.10771919e+00]
31,[-4.70014000e-03 -2.11539468e-04 -4.99977863e-01  1.00000000e+00],[2.73332915e-03 1.25748042e-04 1.10098556e+00]
32,[-4.39445374e-03 -2.02168829e-04 -4.99980648e-01  1.00000000e+00],[2.48849147e-03 1.13879841e-04 1.09425500e+00]
33,[-4.08934627e-03 -1.87139120e-04 -4.99983242e-01  1.00000000e+00],[2.25113823e-03 9.88629828e-05 1.08752659e+00]
34,[-3.78297894e-03 -1.66136658e-04 -4.99985661e-01  1.00000000e+00],[2.02038703e-03 8.09092433e-05 1.08079964e+00]
35,[-3.47376322e-03 -1.39111739e-04 -4.99987913e-01  1.00000000e+00],[1.79558572e-03 6.06994647e-05 1.07407358e+00]
36,[-3.16036045e-03 -1.06835438e-04 -4.99990001e-01  1.00000000e+00],[1.57628553e-03 3.88489135e-05 1.06734799e+00]
37,[-2.84166478e-03 -7.00352742e-05 -4.99991920e-01  1.00000000e+00],[1.36220970e-03 1.57133139e-05 1.06062258e+00]
38,[-2.51677528e-03 -2.90314185e-05 -4.99993665e-01  1.00000000e+00],[ 1.15322097e-03 -8.55195336e-06  1.05389713e+00]
39,[-2.18496117e-03  1.62030404e-05 -4.99995226e-01  1.00000000e+00],[ 9.49289954e-04 -3.39198520e-05  1.04717150e+00]
40,[-1.84562337e-03  6.59474709e-05 -4.99996589e-01  1.00000000e+00],[ 7.50466049e-04 -6.04378861e-05  1.04044562e+00]
41,[-1.49825470e-03  1.20660151e-04 -4.99997741e-01  1.00000000e+00],[ 5.56852119e-04 -8.81919693e-05  1.03371943e+00]
42,[-1.14240097e-03  1.80928810e-04 -4.99998662e-01  1.00000000e+00],[ 3.54804355e-04 -1.17261832e-04  1.02698615e+00]
43,[-7.48575210e-04  2.47401982e-04 -4.99999378e-01  1.00000000e+00],[ 1.29435522e-04 -1.47725926e-04  1.02023882e+00]
44,[-2.81089593e-04  3.20810082e-04 -4.99999818e-01  1.00000000e+00],[-1.10307378e-04 -1.79715224e-04  1.01348113e+00]
45,[ 2.46793389e-04  4.02081259e-04 -4.99999777e-01  1.00000000e+00],[-3.58486409e-04 -2.13346920e-04  1.00671511e+00]
46,[ 8.27089886e-04  4.92228088e-04 -4.99999074e-01  1.00000000e+00],[-6.12299973e-04 -2.48709506e-04  9.99941795e-01]
47,[ 1.45825404e-03  5.92326730e-04 -4.99997523e-01  1.00000000e+00],[-8.68994943e-04 -2.85869050e-04  9.93162410e-01]
48,[ 2.13864891e-03  7.03540956e-04 -4.99994931e-01  1.00000000e+00],[-1.12581520e-03 -3.24870771e-04  9.86378215e-01]
49,[ 2.86639523e-03  8.27141109e-04 -4.99991100e-01  1.00000000e+00],[-1.38013425e-03 -3.65738785e-04  9.79590406e-01]
50,[ 3.63967553e-03  9.64522473e-04 -4.99985822e-01  1.00000000e+00],[-1.62955314e-03 -4.08474914e-04  9.72800049e-01]
51,[ 0.00445701  0.00111723 -0.49997889  1.        ],[-1.87195387e-03 -4.53056856e-04  9.66008053e-01]
52,[ 0.00531749  0.00128696 -0.49997007  1.        ],[-2.10551668e-03 -4.99435785e-04  9.59215154e-01]
53,[ 0.00622091  0.00147562 -0.49995912  1.        ],[-2.32871033e-03 -5.47533495e-04  9.52421930e-01]
54,[ 0.00716793  0.00168535 -0.49994578  1.        ],[-2.54026367e-03 -5.97239199e-04  9.45628809e-01]
55,[ 0.00816014  0.00191852 -0.49992973  1.        ],[-2.73912517e-03 -6.48193709e-04  9.38836090e-01]
56,[ 0.00920017  0.00217715 -0.49991061  1.        ],[-2.92441618e-03 -6.99234018e-04  9.32043967e-01]
57,[ 0.01029175  0.00246078 -0.49988801  1.        ],[-3.09538206e-03 -7.49366451e-04  9.25252550e-01]
58,[ 0.0114398   0.00276948 -0.49986144  1.        ],[-3.25134279e-03 -7.97836349e-04  9.18461889e-01]
59,[ 0.0126506   0.00310429 -0.4998303   1.        ],[-3.39164562e-03 -8.43976912e-04  9.11671991e-01]
60,[ 0.01393191  0.00346682 -0.49979384  1.        ],[-3.51562022e-03 -8.87179764e-04  9.04882840e-01]
61,[ 0.01529328  0.00385932 -0.49975116  1.        ],[-0.00362254 -0.00092688  0.8980944 ]
62,[ 0.01674634  0.00428481 -0.49970111  1.        ],[-0.00371156 -0.00096255  0.89130666]
63,[ 0.01830536  0.0047473  -0.49964225  1.        ],[-0.00378173 -0.00099369  0.88451957]
64,[ 0.01998793  0.00525206 -0.49957272  1.        ],[-0.00383189 -0.00101981  0.87773314]
65,[ 0.02181605  0.00580605 -0.49949009  1.        ],[-0.00386064 -0.00104039  0.87094737]
66,[ 0.0238176   0.00641853 -0.49939115  1.        ],[-0.00386633 -0.00105494  0.8641623 ]
67,[ 0.02602868  0.00710198 -0.49927154  1.        ],[-0.00384689 -0.00106286  0.85737799]
68,[ 0.02849716  0.00787347 -0.49912516  1.        ],[-0.00379984 -0.00106352  0.85059455]
69,[ 0.03128835  0.00875713 -0.49894324  1.        ],[-0.00372204 -0.0010561   0.8438121 ]
70,[ 0.03449461  0.00978758 -0.49871267  1.        ],[-0.00360953 -0.00103956  0.83703085]
71,[ 0.03825229  0.01101678 -0.49841287  1.        ],[-0.00345716 -0.00101273  0.8302511 ]
72,[ 0.042774    0.01253013 -0.49800942  1.        ],[-0.00325798 -0.0009736   0.82347328]
73,[0. 0. 0. 1.],[-0.00334998 -0.00098798  0.81974712]
