step,action,eef_pos
0,[-2.49895495e-01  7.92880554e-07 -7.22784588e-03  1.00000000e+00],[2.45524568e-01 9.43725357e-07 7.92013098e-01]
1,[-2.49997937e-01 -4.76120474e-07 -1.01563134e-03  1.00000000e+00],[ 2.42882420e-01 -2.57366477e-05  7.87240901e-01]
2,[-2.49996083e-01  1.30539473e-05  1.39944935e-03  1.00000000e+00],[ 2.41725645e-01 -5.21168210e-05  7.87626924e-01]
3,[-2.49997087e-01  2.64965913e-05  1.20649002e-03  1.00000000e+00],[ 2.41312299e-01 -6.65516298e-05  7.89423352e-01]
4,[-2.49999826e-01  3.38641957e-05  2.93422174e-04  1.00000000e+00],[ 2.41211443e-01 -7.28193143e-05  7.91586272e-01]
5,[-2.49998694e-01  3.70608904e-05 -8.07322021e-04  1.00000000e+00],[ 2.41290691e-01 -7.47811779e-05  7.93869332e-01]
6,[-2.49992244e-01  3.80522465e-05 -1.96890172e-03  1.00000000e+00],[ 2.41489231e-01 -7.47052327e-05  7.96191761e-01]
7,[-2.49980161e-01  3.79964095e-05 -3.14923958e-03  1.00000000e+00],[ 2.41771611e-01 -7.38459958e-05  7.98528372e-01]
8,[-2.49962412e-01  3.75351541e-05 -4.33488284e-03  1.00000000e+00],[ 2.42111548e-01 -7.28973731e-05  8.00872332e-01]
9,[-2.49939006e-01  3.70239167e-05 -5.52195936e-03  1.00000000e+00],[ 2.42486870e-01 -7.23333093e-05  8.03215030e-01]
10,[-2.49910043e-01  3.67051824e-05 -6.70590199e-03  1.00000000e+00],[ 2.42887042e-01 -7.21057921e-05  8.05558004e-01]
11,[-2.49875546e-01  3.65549764e-05 -7.88733418e-03  1.00000000e+00],[ 2.43280643e-01 -6.55615965e-05  8.07879085e-01]
12,[-2.49835945e-01  3.32055264e-05 -9.05536852e-03  1.00000000e+00],[ 2.43645578e-01 -5.03368772e-05  8.10164028e-01]
13,[-2.49791698e-01  2.54711773e-05 -1.02032856e-02  1.00000000e+00],[ 2.43956471e-01 -2.65157182e-05  8.12403194e-01]
14,[-2.49743266e-01  1.34062867e-05 -1.13270036e-02  1.00000000e+00],[2.44192314e-01 4.50557251e-06 8.14598427e-01]
15,[-2.49690880e-01 -2.27644245e-06 -1.24283660e-02  1.00000000e+00],[2.44349515e-01 3.77990310e-05 8.16733922e-01]
16,[-2.49635232e-01 -1.90876487e-05 -1.35000209e-02  1.00000000e+00],[2.44407468e-01 7.01825671e-05 8.18792569e-01]
17,[-2.49577136e-01 -3.54281949e-05 -1.45345032e-02  1.00000000e+00],[2.44344357e-01 1.00273466e-04 8.20760221e-01]
18,[-2.49517413e-01 -5.06124435e-05 -1.55260413e-02  1.00000000e+00],[2.44137738e-01 1.27467427e-04 8.22623143e-01]
19,[-2.49456931e-01 -6.43497361e-05 -1.64692322e-02  1.00000000e+00],[2.43764350e-01 1.51415042e-04 8.24367283e-01]
20,[-2.49396614e-01 -7.64785850e-05 -1.73586529e-02  1.00000000e+00],[2.43200276e-01 1.71411842e-04 8.25978244e-01]
21,[-2.49337442e-01 -8.66572716e-05 -1.81888045e-02  1.00000000e+00],[2.42421365e-01 1.86237893e-04 8.27441527e-01]
22,[-2.49280425e-01 -9.42799487e-05 -1.89541730e-02  1.00000000e+00],[2.41403946e-01 1.95765368e-04 8.28742959e-01]
23,[-2.49226589e-01 -9.92868193e-05 -1.96493650e-02  1.00000000e+00],[2.40125796e-01 2.00093533e-04 8.29869283e-01]
24,[-2.49176936e-01 -1.01726320e-04 -2.02692977e-02  1.00000000e+00],[2.38567363e-01 1.99319390e-04 8.30808889e-01]
25,[-2.49132408e-01 -1.01637816e-04 -2.08094471e-02  1.00000000e+00],[2.36713169e-01 1.93742206e-04 8.31552664e-01]
26,[-2.49093840e-01 -9.91548886e-05 -2.12661449e-02  1.00000000e+00],[2.34553281e-01 1.84484343e-04 8.32094890e-01]
27,[-2.49061911e-01 -9.48255325e-05 -2.16369059e-02  1.00000000e+00],[2.32084695e-01 1.72579199e-04 8.32434097e-01]
28,[-2.49037090e-01 -8.91515993e-05 -2.19207624e-02  1.00000000e+00],[2.29312423e-01 1.58586127e-04 8.32573766e-01]
29,[-2.49019602e-01 -8.23910511e-05 -2.21185633e-02  1.00000000e+00],[2.26250111e-01 1.42768215e-04 8.32522750e-01]
30,[-2.49009396e-01 -7.46469686e-05 -2.22332007e-02  1.00000000e+00],[2.22920004e-01 1.25247577e-04 8.32295335e-01]
31,[-2.49006135e-01 -6.59464914e-05 -2.22697239e-02  1.00000000e+00],[2.19352178e-01 1.06096586e-04 8.31910803e-01]
32,[-2.49009215e-01 -5.62882819e-05 -2.22352780e-02  1.00000000e+00],[2.15583058e-01 8.53858479e-05 8.31392549e-01]
33,[-2.49017807e-01 -4.56687507e-05 -2.21388679e-02  1.00000000e+00],[2.11653406e-01 6.32057179e-05 8.30766845e-01]
34,[-2.49030914e-01 -3.40952271e-05 -2.19909668e-02  1.00000000e+00],[2.07605981e-01 3.96716374e-05 8.30061364e-01]
35,[-2.49047443e-01 -2.15908888e-05 -2.18029939e-02  1.00000000e+00],[2.03483143e-01 1.49196761e-05 8.29303635e-01]
36,[-2.49066284e-01 -8.19432508e-06 -2.15867128e-02  1.00000000e+00],[ 1.99324666e-01 -1.09031877e-05  8.28519589e-01]
37,[-2.49086377e-01  6.04426093e-06 -2.13536127e-02  1.00000000e+00],[ 1.95165949e-01 -3.76506093e-05  8.27732352e-01]
38,[-2.49106773e-01  2.10685965e-05 -2.11143381e-02  1.00000000e+00],[ 1.91036758e-01 -6.51876755e-05  8.26961371e-01]
39,[-2.49126672e-01  3.68223019e-05 -2.08782218e-02  1.00000000e+00],[ 1.86960531e-01 -9.33992764e-05  8.26221924e-01]
40,[-2.49145444e-01  5.32542475e-05 -2.06529575e-02  1.00000000e+00],[ 1.82954232e-01 -1.22195203e-04  8.25525006e-01]
41,[-2.49162638e-01  7.03226272e-05 -2.04444337e-02  1.00000000e+00],[ 1.79028678e-01 -1.51511914e-04  8.24877547e-01]
42,[-2.49177963e-01  8.79974512e-05 -2.02567254e-02  1.00000000e+00],[ 1.75189050e-01 -1.81311625e-04  8.24282779e-01]
43,[-2.49191279e-01  1.06261616e-04 -2.00921674e-02  1.00000000e+00],[ 1.71435666e-01 -2.11579086e-04  8.23740777e-01]
44,[-2.49202569e-01  1.25110559e-04 -1.99515349e-02  1.00000000e+00],[ 1.67764947e-01 -2.42316940e-04  8.23249133e-01]
45,[-2.49211916e-01  1.44550828e-04 -1.98343114e-02  1.00000000e+00],[ 1.64170460e-01 -2.73540571e-04  8.22803658e-01]
46,[-2.49219471e-01  1.64598017e-04 -1.97389990e-02  1.00000000e+00],[ 1.60643893e-01 -3.05272917e-04  8.22399038e-01]
47,[-2.49225431e-01  1.85274335e-04 -1.96634219e-02  1.00000000e+00],[ 1.57175908e-01 -3.37467694e-04  8.22029385e-01]
48,[-2.49230017e-01  2.06562023e-04 -1.96050011e-02  1.00000000e+00],[ 1.53756850e-01 -3.69987335e-04  8.21688693e-01]
49,[-2.49233456e-01  2.28388007e-04 -1.95609867e-02  1.00000000e+00],[ 1.50377310e-01 -4.02781322e-04  8.21371177e-01]
50,[-2.49235971e-01  2.50732475e-04 -1.95286432e-02  1.00000000e+00],[ 1.47028527e-01 -4.35821818e-04  8.21071516e-01]
51,[-2.49237768e-01  2.73590560e-04 -1.95053873e-02  1.00000000e+00],[ 1.43702669e-01 -4.69082503e-04  8.20785006e-01]
52,[-2.49239032e-01  2.96959300e-04 -1.94888827e-02  1.00000000e+00],[ 1.40392989e-01 -5.02535610e-04  8.20507643e-01]
53,[-2.49239924e-01  3.20835519e-04 -1.94770981e-02  1.00000000e+00],[ 1.37093892e-01 -5.36151277e-04  8.20236140e-01]
54,[-2.49240576e-01  3.45215092e-04 -1.94683333e-02  1.00000000e+00],[ 1.33800918e-01 -5.69897429e-04  8.19967909e-01]
55,[-2.49241096e-01  3.70092548e-04 -1.94612212e-02  1.00000000e+00],[ 1.30510677e-01 -6.03740134e-04  8.19701007e-01]
56,[-2.49241565e-01  3.95461008e-04 -1.94547116e-02  1.00000000e+00],[ 1.27220737e-01 -6.37642857e-04  8.19434058e-01]
57,[-2.49242043e-01  4.21311432e-04 -1.94480421e-02  1.00000000e+00],[ 1.23929491e-01 -6.71572210e-04  8.19166172e-01]
58,[-2.49242570e-01  4.47636220e-04 -1.94407016e-02  1.00000000e+00],[ 1.20636017e-01 -7.05502363e-04  8.18896852e-01]
