step,action,eef_pos
0,[-9.99539229e-01  1.33973574e-05 -3.03534154e-02  1.00000000e+00],[ 2.44354966e-01 -5.60251161e-05  7.92229875e-01]
1,[-9.99989821e-01  1.13328579e-04 -4.51062913e-03  1.00000000e+00],[ 2.38231744e-01 -8.77370560e-05  7.85799783e-01]
2,[-9.99962981e-01  1.79697058e-04  8.60259918e-03  1.00000000e+00],[ 2.33414192e-01 -6.88237297e-05  7.87679501e-01]
3,[-9.99988469e-01  1.42368464e-04  4.80017356e-03  1.00000000e+00],[ 2.30517379e-01 -6.10623113e-05  7.93796736e-01]
4,[-9.99968778e-01  1.27072209e-04 -7.90110380e-03  1.00000000e+00],[ 2.28291902e-01 -8.06411506e-05  8.00670001e-01]
5,[-9.99751243e-01  1.68560434e-04 -2.23030042e-02  1.00000000e+00],[ 2.26307020e-01 -1.24960690e-04  8.07436155e-01]
6,[-9.99330603e-01  2.62177622e-04 -3.65824621e-02  1.00000000e+00],[ 2.24362356e-01 -1.72502197e-04  8.13886683e-01]
7,[-9.98734509e-01  3.63190491e-04 -5.02916270e-02  1.00000000e+00],[ 2.22283949e-01 -2.15002299e-04  8.19949443e-01]
8,[-9.97995269e-01  4.54326846e-04 -6.32869329e-02  1.00000000e+00],[ 2.19882285e-01 -2.47857297e-04  8.25583039e-01]
9,[-9.97144804e-01  5.25981981e-04 -7.55113439e-02  1.00000000e+00],[ 2.16968792e-01 -2.71436327e-04  8.30720611e-01]
10,[-9.96219286e-01  5.79075322e-04 -8.68723109e-02  1.00000000e+00],[ 2.13310708e-01 -2.88114316e-04  8.35281032e-01]
11,[-9.95257823e-01  6.18910857e-04 -9.72701492e-02  1.00000000e+00],[ 2.08639938e-01 -3.00177455e-04  8.39168606e-01]
12,[-9.94302371e-01  6.50765733e-04 -1.06594427e-01  1.00000000e+00],[ 2.02685174e-01 -3.05640523e-04  8.42283390e-01]
13,[-9.93396091e-01  6.70713595e-04 -1.14733414e-01  1.00000000e+00],[ 1.95210493e-01 -2.98792136e-04  8.44536726e-01]
14,[-9.92580477e-01  6.66146116e-04 -1.21587632e-01  1.00000000e+00],[ 1.86053607e-01 -2.74800194e-04  8.45867165e-01]
15,[-9.91892124e-01  6.25088622e-04 -1.27081166e-01  1.00000000e+00],[ 1.75163560e-01 -2.29539884e-04  8.46257803e-01]
16,[-9.91358822e-01  5.35220820e-04 -1.31176975e-01  1.00000000e+00],[ 1.62624825e-01 -1.64041064e-04  8.45749934e-01]
17,[-9.90995597e-01  3.93975259e-04 -1.33893881e-01  1.00000000e+00],[ 1.48654242e-01 -8.20571841e-05  8.44445489e-01]
18,[-9.90802328e-01  2.03942265e-04 -1.35317054e-01  1.00000000e+00],[1.33568234e-01 1.29181173e-05 8.42496403e-01]
19,[-9.90763778e-01 -3.33677338e-05 -1.35599172e-01  1.00000000e+00],[1.17729923e-01 1.17685118e-04 8.40083685e-01]
20,[-9.90852219e-01 -3.17103812e-04 -1.34951027e-01  1.00000000e+00],[1.01493588e-01 2.29072933e-04 8.37392279e-01]
21,[-9.91032162e-01 -6.45868521e-04 -1.33621989e-01  1.00000000e+00],[8.51626358e-02 3.43792971e-04 8.34588942e-01]
22,[-0.99126586 -0.00101679 -0.13187477  1.        ],[6.89684102e-02 4.59117382e-04 8.31807856e-01]
23,[-0.99151816 -0.00142717 -0.12996036  1.        ],[5.30676557e-02 5.80971183e-04 8.29144926e-01]
24,[-0.99175969 -0.00190117 -0.128098    1.        ],[3.75516602e-02 7.07082867e-04 8.26658852e-01]
25,[-0.99196842 -0.00243923 -0.12646223  1.        ],[0.02246008 0.00083386 0.82437666]
26,[-0.99212961 -0.00303639 -0.12517834  1.        ],[0.00779617 0.00095881 0.82230164]
27,[-0.99223455 -0.00369036 -0.12432613  1.        ],[-0.00646386  0.00108003  0.82041941]
28,[-0.9922796  -0.00440056 -0.12394283  1.        ],[-0.02036278  0.00119599  0.81870383]
29,[-0.99226507 -0.00516787 -0.12402956  1.        ],[-0.03395231  0.00130517  0.81712361]
30,[-0.99219341 -0.00599394 -0.12456445  1.        ],[-0.04728528  0.00140571  0.81564724]
31,[-0.99206783 -0.00687942 -0.1255153   1.        ],[-0.06041076  0.00149203  0.81424585]
32,[-0.9918913  -0.00780597 -0.12684922  1.        ],[-0.07337148  0.00155757  0.81289452]
33,[-0.99166585 -0.00874485 -0.12853935  1.        ],[-0.0862023   0.00160102  0.81157263]
34,[-0.99139185 -0.00969025 -0.13056916  1.        ],[-0.0989299   0.00162191  0.81026397]
35,[-0.99106724 -0.01064022 -0.13293802  1.        ],[-0.11156918  0.00161852  0.80896972]
36,[-0.99067458 -0.01158285 -0.13575605  1.        ],[-0.12413247  0.00159066  0.80767286]
37,[-0.9902086  -0.0125138  -0.13903358  1.        ],[-0.13662598  0.00153716  0.8063576 ]
38,[-0.98966228 -0.01341816 -0.1427884   1.        ],[-0.14905202  0.00145575  0.80501414]
39,[-0.98901905 -0.01426249 -0.14709827  1.        ],[-0.16140989  0.00134403  0.8036339 ]
