step,action,eef_pos
0,[ 4.99798198e-01 -1.15557631e-05 -1.42042485e-02  1.00000000e+00],[-2.48280344e-01  2.59499617e-06  7.93961602e-01]
1,[ 4.99984198e-01 -2.60386967e-06 -3.97514809e-03  1.00000000e+00],[-2.45639624e-01  4.89858334e-06  7.90414600e-01]
2,[ 4.99999825e-01 -4.94167677e-06 -4.18247041e-04  1.00000000e+00],[-2.44102135e-01  2.66993062e-05  7.89242272e-01]
3,[ 4.99999411e-01 -2.70179714e-05  7.66771746e-04  1.00000000e+00],[-2.43367125e-01  6.14455585e-05  7.89128644e-01]
4,[ 4.99999216e-01 -6.22715410e-05  8.83068728e-04  1.00000000e+00],[-2.40385097e-01  1.61274158e-05  7.88551033e-01]
5,[ 4.99997817e-01 -1.64435517e-05  1.47737001e-03  1.00000000e+00],[-2.36559283e-01 -2.54423665e-05  7.87902508e-01]
6,[4.99995353e-01 2.61449437e-05 2.15541293e-03 1.00000000e+00],[-2.32188218e-01 -6.26292721e-05  7.87356298e-01]
7,[4.99992481e-01 6.49417882e-05 2.74131823e-03 1.00000000e+00],[-2.27338248e-01 -9.56852063e-05  7.86947475e-01]
8,[4.99989767e-01 1.00225834e-04 3.19737890e-03 1.00000000e+00],[-2.22051110e-01 -1.24255814e-04  7.86675000e-01]
9,[4.99987580e-01 1.31609401e-04 3.52177708e-03 1.00000000e+00],[-2.16371756e-01 -1.47884400e-04  7.86527226e-01]
10,[4.99986113e-01 1.58543362e-04 3.72307855e-03 1.00000000e+00],[-2.10350705e-01 -1.66281970e-04  7.86488396e-01]
11,[4.99985421e-01 1.80598313e-04 3.81394234e-03 1.00000000e+00],[-2.04042097e-01 -1.79160954e-04  7.86540869e-01]
12,[4.99985451e-01 1.97289791e-04 3.80915211e-03 1.00000000e+00],[-1.97501137e-01 -1.86382246e-04  7.86666348e-01]
13,[4.99986084e-01 2.08241994e-04 3.72463778e-03 1.00000000e+00],[-1.90781706e-01 -1.88609589e-04  7.86846784e-01]
14,[4.99987161e-01 2.13943482e-04 3.57675382e-03 1.00000000e+00],[-1.83934303e-01 -1.87709356e-04  7.87065106e-01]
15,[4.99988518e-01 2.16282792e-04 3.38164864e-03 1.00000000e+00],[-1.77004428e-01 -1.84165267e-04  7.87305803e-01]
16,[4.99990001e-01 2.15643647e-04 3.15470215e-03 1.00000000e+00],[-1.70031439e-01 -1.78243702e-04  7.87555335e-01]
17,[4.99991487e-01 2.12175388e-04 2.91004780e-03 1.00000000e+00],[-1.63047893e-01 -1.70186973e-04  7.87802396e-01]
18,[4.99992881e-01 2.06010674e-04 2.66019111e-03 1.00000000e+00],[-1.56079371e-01 -1.60217793e-04  7.88038012e-01]
19,[4.99994125e-01 1.97271669e-04 2.41574038e-03 1.00000000e+00],[-1.49144695e-01 -1.48537592e-04  7.88255515e-01]
20,[4.99995190e-01 1.86068066e-04 2.18525802e-03 1.00000000e+00],[-1.42256494e-01 -1.35325359e-04  7.88450393e-01]
21,[4.99996069e-01 1.72494652e-04 1.97523093e-03 1.00000000e+00],[-1.35422013e-01 -1.20737126e-04  7.88620057e-01]
22,[4.99996771e-01 1.56628763e-04 1.79015980e-03 1.00000000e+00],[-1.28644039e-01 -1.04906675e-04  7.88763548e-01]
23,[4.99997315e-01 1.38528672e-04 1.63272794e-03 1.00000000e+00],[-1.21921831e-01 -8.79475719e-05  7.88881239e-01]
24,[4.99997724e-01 1.18233408e-04 1.50401989e-03 1.00000000e+00],[-1.15247529e-01 -6.99445877e-05  7.88986639e-01]
25,[4.99998066e-01 9.57491998e-05 1.38722011e-03 1.00000000e+00],[-1.08614785e-01 -5.09609850e-05  7.89081728e-01]
26,[4.99998356e-01 7.10523096e-05 1.28030010e-03 1.00000000e+00],[-1.02017883e-01 -3.10618849e-05  7.89161261e-01]
27,[4.99998579e-01 4.41196288e-05 1.19132680e-03 1.00000000e+00],[-9.54508942e-02 -1.03099865e-05  7.89226059e-01]
