step,action,eef_pos
0,[ 9.99574850e-01 -7.96038037e-06 -2.91568028e-02  1.00000000e+00],[-2.46090228e-01  2.97680536e-05  7.93758260e-01]
1,[ 9.99971303e-01 -6.00035995e-05 -7.57554190e-03  1.00000000e+00],[-2.39252531e-01  4.45534740e-05  7.89617702e-01]
2,[ 9.99999691e-01 -9.10643430e-05  7.81391120e-04  1.00000000e+00],[-2.36164558e-01  7.12350633e-05  7.88633499e-01]
3,[ 9.99996039e-01 -1.46524011e-04  2.81076662e-03  1.00000000e+00],[-2.30601009e-01  8.62384254e-05  7.87978325e-01]
4,[ 9.99991136e-01 -1.79437120e-04  4.20651936e-03  1.00000000e+00],[-2.22675026e-01  1.01271119e-04  7.86857792e-01]
5,[ 9.99977882e-01 -2.14246308e-04  6.64756718e-03  1.00000000e+00],[-2.13735860e-01  1.18302174e-04  7.85839569e-01]
6,[ 9.99959726e-01 -2.55096532e-04  8.97119275e-03  1.00000000e+00],[-2.03939643e-01  1.37453981e-04  7.85087888e-01]
7,[ 9.99941412e-01 -3.02784589e-04  1.08204356e-02  1.00000000e+00],[-1.93322438e-01  1.59030096e-04  7.84641294e-01]
8,[ 9.99926889e-01 -3.58697092e-04  1.20867209e-02  1.00000000e+00],[-1.81931948e-01  1.83354348e-04  7.84495037e-01]
9,[ 9.99918703e-01 -4.24463721e-04  1.27439404e-02  1.00000000e+00],[-1.69842890e-01  2.10636472e-04  7.84622570e-01]
10,[ 9.99917859e-01 -5.01661873e-04  1.28071442e-02  1.00000000e+00],[-1.57153671e-01  2.40848324e-04  7.84983033e-01]
11,[ 9.99923917e-01 -5.91496569e-04  1.23211099e-02  1.00000000e+00],[-1.43978872e-01  2.73278037e-04  7.85526153e-01]
12,[ 9.99935291e-01 -6.93591391e-04  1.13548147e-02  1.00000000e+00],[-1.30440367e-01  3.05342206e-04  7.86196947e-01]
13,[ 9.99949717e-01 -8.02561662e-04  9.99594592e-03  1.00000000e+00],[-1.16658306e-01  3.34074817e-04  7.86940398e-01]
14,[ 9.99964771e-01 -9.11101813e-04  8.34426617e-03  1.00000000e+00],[-1.02743154e-01  3.60986529e-04  7.87705599e-01]
15,[ 0.99997832 -0.00102335  0.00650431  1.        ],[-8.87860290e-02  3.90940569e-04  7.88459804e-01]
16,[ 0.999989   -0.00115393  0.00454617  1.        ],[-7.48610569e-02  4.15866462e-04  7.89171102e-01]
17,[ 0.99999593 -0.00128013  0.00255154  1.        ],[-6.10246954e-02  4.29612687e-04  7.89805415e-01]
18,[ 9.99998850e-01 -1.38128000e-03  6.25626379e-04  1.00000000e+00],[-4.73141843e-02  4.35501025e-04  7.90344521e-01]
19,[ 0.99999826 -0.00146478 -0.00115878  1.        ],[-3.37509965e-02  4.40095920e-04  7.90779573e-01]
20,[ 0.99999502 -0.00155099 -0.00274737  1.        ],[-2.03436344e-02  4.40274233e-04  7.91108632e-01]
21,[ 0.99999027 -0.00162856 -0.00410078  1.        ],[-7.09060456e-03  4.32973538e-04  7.91335042e-01]
22,[ 0.9999851  -0.0016841  -0.00519281  1.        ],[6.01633849e-03 4.19312305e-04 7.91465860e-01]
23,[ 0.99998048 -0.00171857 -0.00600791  1.        ],[1.89891158e-02 4.00882369e-04 7.91510360e-01]
24,[ 0.99997712 -0.0017353  -0.0065379   1.        ],[3.18407882e-02 3.79803324e-04 7.91478756e-01]
25,[ 0.99997551 -0.0017409  -0.00677817  1.        ],[4.45836975e-02 3.58265221e-04 7.91381239e-01]
26,[ 0.99997587 -0.00174405 -0.00672393  1.        ],[5.72282005e-02 3.38065129e-04 7.91227290e-01]
27,[ 0.9999782  -0.00175367 -0.00636641  1.        ],[6.97818706e-02 3.20610088e-04 7.91025250e-01]
28,[ 0.99998224 -0.00177898 -0.00568884  1.        ],[8.22490413e-02 3.06892712e-04 7.90782091e-01]
29,[ 0.99998746 -0.00182943 -0.00466216  1.        ],[9.46305621e-02 2.97497898e-04 7.90503349e-01]
30,[ 0.99999292 -0.00191476 -0.00323967  1.        ],[1.06923663e-01 2.92635782e-04 7.90193182e-01]
31,[ 0.999997   -0.00204531 -0.0013502   1.        ],[1.19121813e-01 2.92139363e-04 7.89854496e-01]
32,[ 0.99999689 -0.00223214  0.00111175  1.        ],[1.31214512e-01 2.92953715e-04 7.89489151e-01]
33,[ 0.99998771 -0.00246621  0.00430055  1.        ],[1.43186911e-01 2.92705653e-04 7.89098221e-01]
34,[ 0.99996061 -0.00274025  0.00844226  1.        ],[1.55019217e-01 2.90825908e-04 7.88682349e-01]
