step,action,eef_pos
0,[ 4.35616412e-04 -4.99856631e-01 -1.19648799e-02  1.00000000e+00],[-0.00130285  0.34777984  0.79555949]
1,[ 9.33533315e-04 -4.99983259e-01 -3.98356779e-03  1.00000000e+00],[-0.0019843   0.34417203  0.79174064]
2,[ 0.00142924 -0.49999639 -0.00125374  1.        ],[-0.00210756  0.34044308  0.79158663]
3,[ 0.00152623 -0.49999635 -0.00114899  1.        ],[-0.00204988  0.33629038  0.79210033]
4,[ 0.00149344 -0.49999543 -0.00153019  1.        ],[-0.00188337  0.33163112  0.79265872]
5,[ 0.0013815  -0.49999429 -0.00195024  1.        ],[-0.00166121  0.32650264  0.79313247]
6,[ 0.00122778 -0.49999313 -0.00231516  1.        ],[-0.00143637  0.32096616  0.7934958 ]
7,[ 0.00107036 -0.49999207 -0.00260501  1.        ],[-0.0012483   0.31509357  0.79374995]
8,[ 9.38419227e-04 -4.99991172e-01 -2.81906816e-03  1.00000000e+00],[-0.00112176  0.30895775  0.79390506]
9,[ 8.51143344e-04 -4.99990496e-01 -2.96300409e-03  1.00000000e+00],[-0.00106879  0.30262596  0.79397475]
10,[ 8.18823319e-04 -4.99990057e-01 -3.04514085e-03  1.00000000e+00],[-0.00109153  0.29615668  0.79397393]
11,[ 8.44612756e-04 -4.99989831e-01 -3.07499018e-03  1.00000000e+00],[-0.00118528  0.28959837  0.79391734]
12,[ 9.26558912e-04 -4.99989764e-01 -3.06228444e-03  1.00000000e+00],[-0.00134124  0.28298954  0.79381865]
13,[ 0.00105943 -0.49998978 -0.0030163   1.        ],[-0.00154865  0.27635945  0.79368984]
14,[ 0.0012362  -0.4999898  -0.00294541  1.        ],[-0.00179623  0.26972925  0.79354096]
15,[ 0.00144918 -0.49998974 -0.0028568   1.        ],[-0.00207332  0.26311329  0.79338004]
16,[ 0.00169078 -0.49998954 -0.0027564   1.        ],[-0.00237039  0.25652046  0.79321324]
17,[ 0.00195405 -0.49998917 -0.00264886  1.        ],[-0.0026794   0.24995537  0.79304504]
18,[ 0.00223295 -0.49998857 -0.00253766  1.        ],[-0.00299383  0.24341954  0.79287849]
19,[ 0.00252246 -0.49998776 -0.00242528  1.        ],[-0.00330866  0.23691234  0.79271553]
20,[ 0.00281863 -0.4999867  -0.00231334  1.        ],[-0.00362018  0.23043175  0.79255722]
21,[ 0.00311844 -0.49998542 -0.0022028   1.        ],[-0.0039258   0.22397498  0.792404  ]
22,[ 0.00341972 -0.49998392 -0.0020941   1.        ],[-0.00422379  0.21753894  0.79225586]
23,[ 0.00372101 -0.4999822  -0.00198733  1.        ],[-0.00451313  0.21112053  0.79211255]
24,[ 0.00402138 -0.49998028 -0.00188236  1.        ],[-0.00479329  0.20471687  0.79197365]
25,[ 0.00432029 -0.49997817 -0.0017789   1.        ],[-0.00506402  0.19832539  0.79183873]
26,[ 0.00461749 -0.49997587 -0.0016766   1.        ],[-0.0053253   0.19194389  0.79170734]
27,[ 0.00491289 -0.49997338 -0.00157511  1.        ],[-0.00557718  0.18557053  0.79157907]
28,[ 0.00520646 -0.49997072 -0.00147411  1.        ],[-0.00581972  0.17920378  0.79145363]
