step,action,eef_pos
0,[-2.20263474e-04 -9.99938268e-01 -1.11090873e-02  1.00000000e+00],[-4.97561243e-04  3.45694228e-01  7.85721783e-01]
1,[ 7.15187345e-04 -9.99980836e-01  6.14944770e-03  1.00000000e+00],[-0.00129317  0.33760704  0.78097896]
2,[ 0.00188052 -0.99991218  0.01311831  1.        ],[-0.00120976  0.32902373  0.78116598]
3,[ 0.00178146 -0.9999138   0.01300876  1.        ],[-0.00092386  0.3196829   0.78231238]
4,[ 0.00137945 -0.99993317  0.01147873  1.        ],[-5.95794896e-04  3.09504818e-01  7.83447939e-01]
5,[ 9.03352389e-04 -9.99950245e-01  9.93432481e-03  1.00000000e+00],[-3.32923449e-04  2.98556453e-01  7.84377681e-01]
6,[ 5.13310590e-04 -9.99962295e-01  8.66864740e-03  1.00000000e+00],[-2.16956789e-04  2.86953243e-01  7.85073722e-01]
7,[ 3.40606301e-04 -9.99970035e-01  7.73389669e-03  1.00000000e+00],[-2.98101271e-04  2.74828875e-01  7.85549365e-01]
8,[ 4.77080505e-04 -9.99974519e-01  7.12278479e-03  1.00000000e+00],[-5.95435046e-04  2.62317166e-01  7.85831276e-01]
9,[ 9.72406130e-04 -9.99976353e-01  6.80795071e-03  1.00000000e+00],[-0.0011033   0.24954017  0.78595105]
10,[ 0.0018402  -0.9999755   0.00675325  1.        ],[-0.00179953  0.23660229  0.78594115]
11,[ 0.00306763 -0.99997136  0.00691905  1.        ],[-0.00265263  0.22358824  0.78583239]
12,[ 0.00462445 -0.99996291  0.00726559  1.        ],[-0.00362724  0.21056328  0.78565237]
13,[ 0.00647037 -0.99994899  0.00775542  1.        ],[-0.00468784  0.19757478  0.7854247 ]
14,[ 0.00856048 -0.99992845  0.00835497  1.        ],[-0.00580105  0.18465446  0.7851687 ]
15,[ 0.01084901 -0.99990033  0.0090354   1.        ],[-0.00693674  0.17182094  0.78489966]
16,[ 0.01329153 -0.9998639   0.00977278  1.        ],[-0.00806852  0.15908221  0.7846293 ]
17,[ 0.01584628 -0.9998188   0.01054785  1.        ],[-0.00917371  0.14643796  0.78436635]
18,[ 0.01847473 -0.99976495  0.01134547  1.        ],[-0.01023315  0.13388146  0.78411717]
19,[ 0.02114176 -0.99970261  0.01215397  1.        ],[-0.01123093  0.12140131  0.78388627]
20,[ 0.02381581 -0.9996323   0.0129645   1.        ],[-0.01215417  0.10898271  0.7836768 ]
21,[ 0.02646889 -0.99955479  0.01377042  1.        ],[-0.01299284  0.09660868  0.78349088]
22,[ 0.02907683 -0.99947103  0.01456685  1.        ],[-0.01373967  0.08426091  0.78332981]
23,[ 0.03161967 -0.99938209  0.01535038  1.        ],[-0.01439019  0.07192062  0.78319427]
24,[ 0.03408213 -0.99928904  0.0161189   1.        ],[-0.01494261  0.05956928  0.78308437]
25,[ 0.03645427 -0.99919289  0.0168715   1.        ],[-0.01539785  0.0471892   0.78299977]
26,[ 0.03873194 -0.99909448  0.01760847  1.        ],[-0.0157593   0.03476419  0.78293968]
27,[ 0.04091715 -0.99899437  0.01833127  1.        ],[-0.0160326   0.02227948  0.78290297]
28,[ 0.04301835 -0.99889279  0.01904261  1.        ],[-0.01622535  0.00972021  0.78288812]
29,[ 0.04505086 -0.99878951  0.01974665  1.        ],[-0.0163448  -0.00292104  0.78289415]
30,[ 0.04703049 -0.99868417  0.02044636  1.        ],[-0.01644176 -0.01564841  0.78292023]
31,[ 0.04910474 -0.9985698   0.02114433  1.        ],[-0.01653962 -0.02845969  0.78295951]
32,[ 0.05135851 -0.99844096  0.02186199  1.        ],[-0.01663465 -0.04135142  0.7829988 ]
33,[ 0.0538032  -0.99829476  0.02264471  1.        ],[-0.01672573 -0.05431997  0.78303652]
34,[ 0.05646111 -0.99812804  0.02350663  1.        ],[-0.016812   -0.06736193  0.78307397]
35,[ 0.05935971 -0.99793708  0.0244544   1.        ],[-0.01689252 -0.08047374  0.78311295]
36,[ 0.06253177 -0.99771731  0.02549409  1.        ],[-0.01696631 -0.09365136  0.78315523]
37,[ 0.06601662 -0.99746302  0.02663326  1.        ],[-0.01703228 -0.10689001  0.78320234]
38,[ 0.06986148 -0.99716697  0.02788204  1.        ],[-0.01708922 -0.12018586  0.78325566]
39,[ 0.07412456 -0.99681983  0.02925362  1.        ],[-0.01713516 -0.13353343  0.78331646]
40,[ 0.07887424 -0.99640975  0.03076476  1.        ],[-0.01716683 -0.146925    0.78338595]
41,[ 0.08418965 -0.99592167  0.03243665  1.        ],[-0.0171797  -0.16035199  0.78346533]
42,[ 0.09016482 -0.99533617  0.03429612  1.        ],[-0.01716771 -0.17380508  0.78355592]
43,[ 0.09691248 -0.99462791  0.03637712  1.        ],[-0.01712293 -0.18727424  0.78365928]
44,[ 0.10456944 -0.99376345  0.03872269  1.        ],[-0.0170352  -0.20074874  0.78377737]
45,[ 0.11330428 -0.99269793  0.04138787  1.        ],[-0.01689173 -0.21421713  0.78391273]
46,[ 0.12332892 -0.99137012  0.04444403  1.        ],[-0.01667661 -0.22766715  0.78406867]
47,[ 0.13491671 -0.98969433  0.04798554  1.        ],[-0.01637021 -0.24108564  0.78424952]
48,[ 0.14843178 -0.98754714  0.05214069  1.        ],[-0.0159484  -0.25445823  0.78446099]
