step,action,eef_pos
0,[ 1.37439701e-04  2.49957192e-01 -4.62419928e-03  1.00000000e+00],[-0.00104087 -0.34919074  0.79192226]
1,[ 3.72166248e-04  2.49998778e-01 -6.87311661e-04  1.00000000e+00],[-0.00176897 -0.34771785  0.78820619]
2,[6.33836105e-04 2.49998370e-01 6.42739417e-04 1.00000000e+00],[-0.00201729 -0.34635285  0.78785345]
3,[7.24226709e-04 2.49997763e-01 7.70632440e-04 1.00000000e+00],[-0.00207609 -0.34476599  0.78814245]
4,[7.47038737e-04 2.49997990e-01 6.68404439e-04 1.00000000e+00],[-0.00202239 -0.34283623  0.78850818]
5,[7.29747365e-04 2.49998355e-01 5.38297405e-04 1.00000000e+00],[-0.00189263 -0.34059167  0.78884272]
6,[6.85145906e-04 2.49998710e-01 4.18942808e-04 1.00000000e+00],[-0.00172208 -0.33808164  0.7891216 ]
7,[6.25679781e-04 2.49999013e-01 3.19147053e-04 1.00000000e+00],[-0.00154176 -0.33534829  0.7893401 ]
8,[5.62398433e-04 2.49999252e-01 2.40716695e-04 1.00000000e+00],[-0.00137478 -0.33243622  0.78950089]
9,[5.03629761e-04 2.49999426e-01 1.82839380e-04 1.00000000e+00],[-0.00123617 -0.32938756  0.78960979]
10,[4.54884172e-04 2.49999545e-01 1.43589638e-04 1.00000000e+00],[-0.00113416 -0.32623954  0.78967396]
11,[4.19286832e-04 2.49999619e-01 1.20533290e-04 1.00000000e+00],[-0.00107165 -0.32302341  0.78970106]
12,[3.98073940e-04 2.49999658e-01 1.11042810e-04 1.00000000e+00],[-0.0010478  -0.31976436  0.78969856]
13,[3.91105621e-04 2.49999669e-01 1.12516566e-04 1.00000000e+00],[-0.00105923 -0.31648182  0.78967335]
14,[3.97322709e-04 2.49999654e-01 1.22529413e-04 1.00000000e+00],[-0.00110121 -0.31319014  0.78963146]
15,[4.15119094e-04 2.49999617e-01 1.38925299e-04 1.00000000e+00],[-0.00116836 -0.30989934  0.78957802]
16,[4.42628945e-04 2.49999557e-01 1.59864256e-04 1.00000000e+00],[-0.00125529 -0.30661594  0.78951716]
17,[4.77936812e-04 2.49999476e-01 1.83834597e-04 1.00000000e+00],[-0.00135692 -0.3033437   0.78945213]
18,[5.19221355e-04 2.49999373e-01 2.09640284e-04 1.00000000e+00],[-0.00146879 -0.30008432  0.78938535]
19,[5.64845336e-04 2.49999250e-01 2.36372092e-04 1.00000000e+00],[-0.0015871  -0.29683806  0.78931857]
20,[6.13403930e-04 2.49999109e-01 2.63369799e-04 1.00000000e+00],[-0.00170876 -0.29360419  0.78925295]
21,[6.63741986e-04 2.49998950e-01 2.90180831e-04 1.00000000e+00],[-0.00183137 -0.29038141  0.78918922]
22,[7.14949521e-04 2.49998777e-01 3.16519500e-04 1.00000000e+00],[-0.00195317 -0.28716816  0.78912776]
23,[7.66342711e-04 2.49998591e-01 3.42229232e-04 1.00000000e+00],[-0.00207291 -0.28396278  0.78906871]
24,[8.17436220e-04 2.49998394e-01 3.67249069e-04 1.00000000e+00],[-0.0021898  -0.28076372  0.789012  ]
25,[8.67911656e-04 2.49998187e-01 3.91585452e-04 1.00000000e+00],[-0.00230341 -0.27756957  0.7889575 ]
26,[9.17585435e-04 2.49997971e-01 4.15289337e-04 1.00000000e+00],[-0.00241357 -0.27437915  0.78890498]
27,[9.66378209e-04 2.49997748e-01 4.38438224e-04 1.00000000e+00],[-0.00252029 -0.27119149  0.78885421]
28,[1.01428736e-03 2.49997517e-01 4.61122655e-04 1.00000000e+00],[-0.00262374 -0.26800585  0.78880492]
29,[1.06136331e-03 2.49997280e-01 4.83436439e-04 1.00000000e+00],[-0.00272416 -0.26482166  0.78875689]
30,[1.10768996e-03 2.49997035e-01 5.05470021e-04 1.00000000e+00],[-0.00282182 -0.26163856  0.7887099 ]
31,[1.15336917e-03 2.49996783e-01 5.27306260e-04 1.00000000e+00],[-0.002917   -0.25845629  0.78866377]
32,[1.19850887e-03 2.49996524e-01 5.49018115e-04 1.00000000e+00],[-0.00300999 -0.25527472  0.78861834]
33,[1.24321449e-03 2.49996257e-01 5.70667637e-04 1.00000000e+00],[-0.00310103 -0.25209379  0.78857348]
34,[1.28758308e-03 2.49995983e-01 5.92305983e-04 1.00000000e+00],[-0.00319035 -0.2489135   0.78852911]
35,[1.33169969e-03 2.49995699e-01 6.13973984e-04 1.00000000e+00],[-0.00327811 -0.24573389  0.78848513]
36,[1.37563541e-03 2.49995407e-01 6.35703136e-04 1.00000000e+00],[-0.00336447 -0.24255501  0.78844151]
37,[1.41944682e-03 2.49995106e-01 6.57516745e-04 1.00000000e+00],[-0.00344952 -0.23937692  0.7883982 ]
38,[1.46317623e-03 2.49994795e-01 6.79431139e-04 1.00000000e+00],[-0.00353334 -0.2361997   0.78835519]
39,[1.50685267e-03 2.49994475e-01 7.01456849e-04 1.00000000e+00],[-0.00361598 -0.23302339  0.78831246]
40,[1.55049314e-03 2.49994145e-01 7.23599669e-04 1.00000000e+00],[-0.00369744 -0.22984806  0.78827001]
41,[1.59410415e-03 2.49993805e-01 7.45861637e-04 1.00000000e+00],[-0.00377773 -0.22667373  0.78822785]
42,[1.63768321e-03 2.49993456e-01 7.68241854e-04 1.00000000e+00],[-0.00385683 -0.22350044  0.788186  ]
43,[1.68122034e-03 2.49993096e-01 7.90737191e-04 1.00000000e+00],[-0.00393469 -0.22032818  0.78814446]
44,[1.72469949e-03 2.49992728e-01 8.13342851e-04 1.00000000e+00],[-0.00401128 -0.21715698  0.78810325]
45,[1.76809970e-03 2.49992350e-01 8.36052854e-04 1.00000000e+00],[-0.00408655 -0.21398682  0.78806239]
46,[1.81139626e-03 2.49991962e-01 8.58860387e-04 1.00000000e+00],[-0.00416042 -0.21081769  0.78802191]
47,[1.85456160e-03 2.49991566e-01 8.81758099e-04 1.00000000e+00],[-0.00423286 -0.20764956  0.78798182]
48,[1.89756603e-03 2.49991161e-01 9.04738325e-04 1.00000000e+00],[-0.00430378 -0.2044824   0.78794214]
49,[1.94037838e-03 2.49990748e-01 9.27793248e-04 1.00000000e+00],[-0.00437314 -0.20131618  0.7879029 ]
50,[1.98296651e-03 2.49990327e-01 9.50915036e-04 1.00000000e+00],[-0.00444085 -0.19815087  0.78786411]
51,[2.02529770e-03 2.49989898e-01 9.74095914e-04 1.00000000e+00],[-0.00450688 -0.19498642  0.78782579]
52,[2.06733893e-03 2.49989463e-01 9.97328244e-04 1.00000000e+00],[-0.00457114 -0.19182279  0.78778796]
53,[0.00210906 0.24998902 0.0010206  1.        ],[-0.00463359 -0.18865993  0.78775063]
54,[0.00215042 0.24998857 0.00104392 1.        ],[-0.00469417 -0.1854978   0.78771383]
55,[0.00219139 0.24998812 0.00106726 1.        ],[-0.00475282 -0.18233635  0.78767756]
56,[0.00223195 0.24998766 0.00109063 1.        ],[-0.00480949 -0.17917553  0.78764185]
57,[0.00227205 0.24998719 0.00111401 1.        ],[-0.00486414 -0.17601528  0.78760671]
58,[0.00231166 0.24998672 0.0011374  1.        ],[-0.00491671 -0.17285556  0.78757215]
59,[0.00235076 0.24998625 0.0011608  1.        ],[-0.00496716 -0.16969631  0.78753817]
60,[0.00238932 0.24998578 0.0011842  1.        ],[-0.00501546 -0.16653748  0.7875048 ]
61,[0.0024273  0.2499853  0.00120759 1.        ],[-0.00506156 -0.16337902  0.78747204]
62,[0.00246468 0.24998482 0.00123096 1.        ],[-0.00510544 -0.16022087  0.7874399 ]
63,[0.00250142 0.24998434 0.00125433 1.        ],[-0.00514705 -0.15706297  0.78740839]
64,[0.00253751 0.24998386 0.00127767 1.        ],[-0.00518637 -0.15390527  0.78737752]
65,[0.00257292 0.24998337 0.00130099 1.        ],[-0.00522338 -0.15074772  0.78734729]
66,[0.00260761 0.24998289 0.00132428 1.        ],[-0.00525805 -0.14759025  0.78731771]
67,[0.00264157 0.24998241 0.00134754 1.        ],[-0.00529037 -0.14443282  0.78728878]
68,[0.00267478 0.24998193 0.00137077 1.        ],[-0.00532032 -0.14127536  0.78726051]
69,[0.0027072  0.24998146 0.00139397 1.        ],[-0.00534788 -0.13811783  0.7872329 ]
70,[0.00273882 0.24998098 0.00141712 1.        ],[-0.00537305 -0.13496015  0.78720595]
71,[0.00276963 0.24998051 0.00144024 1.        ],[-0.00539582 -0.13180229  0.78717966]
72,[0.00279959 0.24998004 0.00146332 1.        ],[-0.0054162  -0.12864419  0.78715403]
73,[0.0028287  0.24997958 0.00148635 1.        ],[-0.00543417 -0.12548579  0.78712906]
74,[0.00285693 0.24997912 0.00150935 1.        ],[-0.00544976 -0.12232703  0.78710475]
75,[0.00288428 0.24997867 0.00153231 1.        ],[-0.00546295 -0.11916788  0.7870811 ]
76,[0.00291072 0.24997822 0.00155522 1.        ],[-0.00547377 -0.11600828  0.78705811]
77,[0.00293626 0.24997778 0.0015781  1.        ],[-0.00548222 -0.11284817  0.78703576]
78,[0.00296086 0.24997734 0.00160094 1.        ],[-0.00548832 -0.10968752  0.78701407]
79,[0.00298454 0.24997691 0.00162374 1.        ],[-0.0054921  -0.10652627  0.78699301]
80,[0.00300726 0.24997649 0.00164651 1.        ],[-0.00549357 -0.10336439  0.78697259]
81,[0.00302904 0.24997608 0.00166925 1.        ],[-0.00549275 -0.10020183  0.7869528 ]
82,[0.00304986 0.24997567 0.00169196 1.        ],[-0.00548968 -0.09703854  0.78693364]
83,[0.00306972 0.24997527 0.00171465 1.        ],[-0.00548437 -0.09387449  0.7869151 ]
84,[0.00308861 0.24997488 0.00173731 1.        ],[-0.00547687 -0.09070965  0.78689717]
85,[0.00310653 0.2499745  0.00175995 1.        ],[-0.0054672  -0.08754397  0.78687984]
86,[0.00312348 0.24997413 0.00178258 1.        ],[-0.0054554  -0.08437742  0.78686311]
87,[0.00313945 0.24997377 0.0018052  1.        ],[-0.0054415  -0.08120997  0.78684697]
88,[0.00315445 0.24997342 0.00182782 1.        ],[-0.00542553 -0.07804159  0.78683142]
89,[0.00316847 0.24997307 0.00185043 1.        ],[-0.00540755 -0.07487225  0.78681643]
90,[0.00318152 0.24997274 0.00187304 1.        ],[-0.00538758 -0.07170193  0.78680202]
91,[0.0031936  0.24997241 0.00189567 1.        ],[-0.00536567 -0.0685306   0.78678817]
92,[0.00320471 0.2499721  0.0019183  1.        ],[-0.00534185 -0.06535823  0.78677486]
93,[0.00321484 0.24997179 0.00194096 1.        ],[-0.00531617 -0.06218481  0.7867621 ]
94,[0.00322402 0.2499715  0.00196364 1.        ],[-0.00528868 -0.05901031  0.78674988]
95,[0.00323223 0.24997121 0.00198635 1.        ],[-0.0052594  -0.05583472  0.78673819]
96,[0.00323949 0.24997094 0.00200909 1.        ],[-0.00522839 -0.05265802  0.78672702]
