step,action,eef_pos
0,[ 9.12891003e-04  9.99734883e-01 -2.30071885e-02  1.00000000e+00],[-0.00143654 -0.3451795   0.79426288]
1,[ 0.00206639  0.99997906 -0.00613193  1.        ],[-0.00222296 -0.33703727  0.78974815]
2,[3.23556270e-03 9.99994698e-01 3.66576160e-04 1.00000000e+00],[-0.00227584 -0.32836215  0.78980505]
3,[3.35487817e-03 9.99994331e-01 2.87384664e-04 1.00000000e+00],[-0.00215305 -0.31893072  0.79070277]
4,[ 0.00321863  0.99999427 -0.00105058  1.        ],[-0.00198228 -0.30867589  0.79157649]
5,[ 0.00300947  0.99999261 -0.0023934   1.        ],[-0.00186077 -0.29766733  0.79225345]
6,[ 0.002873    0.99998982 -0.0034793   1.        ],[-0.00186484 -0.28602082  0.7927103 ]
7,[ 0.00293201  0.99998662 -0.00426128  1.        ],[-0.0020417  -0.27386919  0.792961  ]
8,[ 0.00327258  0.99998338 -0.00474612  1.        ],[-0.00240936 -0.26134432  0.79303179]
9,[ 0.00394101  0.99997994 -0.00495911  1.        ],[-0.00296299 -0.24856563  0.79295315]
10,[ 0.00495003  0.99997558 -0.0049336   1.        ],[-0.00368248 -0.23563465  0.7927561 ]
11,[ 0.00628781  0.99996916 -0.00470604  1.        ],[-0.00453911 -0.22263326  0.7924698 ]
12,[ 0.0079264   0.99995928 -0.00431288  1.        ],[-0.00550059 -0.20962414  0.79212018]
13,[ 0.00982853  0.99994452 -0.00378836  1.        ],[-0.00653444 -0.19665246  0.79172924]
14,[ 0.01195263  0.99992356 -0.00316308  1.        ],[-0.00761008 -0.18374823  0.79131489]
15,[ 0.01425631  0.99989534 -0.00246324  1.        ],[-0.00869989 -0.17092881  0.79089121]
16,[ 0.01669838  0.99985911 -0.00171057  1.        ],[-0.00977961 -0.15820133  0.79046894]
17,[ 1.92399981e-02  9.99814468e-01 -9.22564227e-04  1.00000000e+00],[-0.01082832 -0.14556496  0.79005603]
18,[ 2.18452344e-02  9.99761358e-01 -1.13028137e-04  1.00000000e+00],[-0.0118283  -0.13301278  0.78965826]
19,[2.44812355e-02 9.99700039e-01 7.07311231e-04 1.00000000e+00],[-0.0127648  -0.12053333  0.78927972]
20,[0.02711835 0.99963106 0.0015302  1.        ],[-0.01362583 -0.10811195  0.78892327]
21,[0.02973023 0.9995552  0.00234932 1.        ],[-0.01440211 -0.09573184  0.78859078]
22,[0.03229413 0.99947341 0.00315992 1.        ],[-0.01508695 -0.08337496  0.78828342]
23,[0.03479134 0.99938676 0.00395854 1.        ],[-0.01567636 -0.07102279  0.78800171]
24,[0.03720779 0.99929629 0.00474293 1.        ],[-0.01616901 -0.05865709  0.78774569]
25,[0.03953466 0.999203   0.00551198 1.        ],[-0.01656615 -0.04626052  0.7875149 ]
26,[0.0417689  0.99910765 0.00626578 1.        ],[-0.01687151 -0.0338172   0.78730848]
27,[0.04391365 0.99901077 0.00700557 1.        ],[-0.01709098 -0.02131255  0.78712518]
28,[0.0459785  0.99891249 0.00773389 1.        ],[-0.01723059 -0.00873258  0.7869705 ]
29,[0.04797484 0.99881293 0.00843498 1.        ],[-0.01730521  0.0039296   0.78685188]
30,[0.04994041 0.99871088 0.00908503 1.        ],[-0.01736624  0.01667743  0.78674603]
31,[0.05202736 0.99859808 0.00974853 1.        ],[-0.01742483  0.0295089   0.78663806]
32,[0.05428598 0.99847049 0.01047393 1.        ],[-0.01748146  0.04241996  0.78652608]
33,[0.05674031 0.9983253  0.01127546 1.        ],[-0.01753571  0.05540679  0.78641136]
34,[0.05941558 0.99815928 0.01215925 1.        ],[-0.01758676  0.0684662   0.78629583]
35,[0.06234078 0.99796855 0.01313037 1.        ],[-0.01763363  0.08159455  0.78618145]
36,[0.0655498  0.99774833 0.01419476 1.        ],[-0.01767516  0.0947875   0.78606999]
37,[0.06908298 0.99749266 0.01536037 1.        ],[-0.01770996  0.1080397   0.78596296]
38,[0.07298829 0.99719401 0.01663789 1.        ],[-0.01773683  0.12134857  0.78586184]
39,[0.07732657 0.99684258 0.01804099 1.        ],[-0.01775317  0.13470722  0.78576793]
40,[0.08216591 0.99642617 0.01958702 1.        ],[-0.01775532  0.14810777  0.78568251]
41,[0.08758652 0.99592921 0.02129809 1.        ],[-0.01773831  0.16154155  0.78560685]
42,[0.0936838  0.99533161 0.02320216 1.        ],[-0.01769564  0.17499919  0.78554239]
43,[0.10057219 0.99460716 0.02533457 1.        ],[-0.01761889  0.18847062  0.78549084]
44,[0.10839061 0.99372127 0.02774013 1.        ],[-0.01749739  0.20194508  0.78545433]
45,[0.11731044 0.99262755 0.03047621 1.        ],[-0.01731779  0.2154111   0.78543561]
46,[0.1275475  0.99126259 0.03361726 1.        ],[-0.01706362  0.2288564   0.78543822]
47,[0.13938082 0.98953753 0.03726198 1.        ],[-0.01671465  0.2422678   0.78546681]
48,[0.15318329 0.98732411 0.04154495 1.        ],[-0.01624608  0.25563087  0.78552743]
