step,action,eef_pos
0,[ 8.38074360e-05 -7.11126988e-06 -4.99999993e-01  1.00000000e+00],[3.17026196e-04 1.43811541e-05 1.29980439e+00]
1,[-3.10929189e-04 -1.41045776e-05 -4.99999903e-01  1.00000000e+00],[1.77779050e-03 2.21463709e-05 1.29666628e+00]
2,[-1.75438905e-03 -2.18548532e-05 -4.99996922e-01  1.00000000e+00],[3.50301064e-03 2.02070303e-05 1.29210100e+00]
3,[-3.48826772e-03 -2.01219861e-05 -4.99987831e-01  1.00000000e+00],[5.13203266e-03 1.49276493e-05 1.28712499e+00]
4,[-5.16143755e-03 -1.50131799e-05 -4.99973359e-01  1.00000000e+00],[6.57008494e-03 8.79238224e-06 1.28191895e+00]
5,[-6.67742022e-03 -8.93602312e-06 -4.99955410e-01  1.00000000e+00],[7.77405263e-03 2.45427630e-06 1.27649689e+00]
6,[-7.98880769e-03 -2.52207469e-06 -4.99936175e-01  1.00000000e+00],[ 8.73207906e-03 -4.10138132e-06  1.27086177e+00]
7,[-9.07811793e-03  4.26391276e-06 -4.99917581e-01  1.00000000e+00],[ 9.44597929e-03 -1.11227055e-05  1.26501903e+00]
8,[-9.94077255e-03  1.17053280e-05 -4.99901171e-01  1.00000000e+00],[ 9.92869148e-03 -1.89050113e-05  1.25898097e+00]
9,[-1.05830170e-02  2.01508987e-05 -4.99887987e-01  1.00000000e+00],[ 1.02014341e-02 -2.77174544e-05  1.25276593e+00]
10,[-1.10195626e-02  2.99403223e-05 -4.99878554e-01  1.00000000e+00],[ 1.02903289e-02 -3.77808712e-05  1.24639591e+00]
11,[-1.12706031e-02  4.13799409e-05 -4.99872956e-01  1.00000000e+00],[ 1.02237386e-02 -4.92697319e-05  1.23989460e+00]
12,[-1.13594381e-02  5.47428387e-05 -4.99870944e-01  1.00000000e+00],[ 1.00302801e-02 -6.23226443e-05  1.23328579e+00]
13,[-1.13106640e-02  7.02782458e-05 -4.99872048e-01  1.00000000e+00],[ 9.73738887e-03 -7.70546490e-05  1.22659225e+00]
14,[-1.11488097e-02  8.82236117e-05 -4.99875681e-01  1.00000000e+00],[ 9.37031443e-03 -9.35664451e-05  1.21983486e+00]
15,[-1.08973111e-02  1.08814135e-04 -4.99881223e-01  1.00000000e+00],[ 8.95148375e-03 -1.11952083e-04  1.21303213e+00]
16,[-1.05777783e-02  1.32291399e-04 -4.99888081e-01  1.00000000e+00],[ 8.50016253e-03 -1.31917850e-04  1.20619984e+00]
17,[-1.02095064e-02  1.58445928e-04 -4.99895730e-01  1.00000000e+00],[ 8.03234728e-03 -1.51377384e-04  1.19935104e+00]
18,[-9.80918584e-03  1.84863633e-04 -4.99903736e-01  1.00000000e+00],[ 7.56083603e-03 -1.69773471e-04  1.19249606e+00]
19,[-9.39077739e-03  2.10863569e-04 -4.99911761e-01  1.00000000e+00],[ 7.09544051e-03 -1.86956760e-04  1.18564271e+00]
20,[-8.96553728e-03  2.36231675e-04 -4.99919557e-01  1.00000000e+00],[ 6.64327664e-03 -2.02696525e-04  1.17879659e+00]
21,[-8.54213531e-03  2.60633605e-04 -4.99926959e-01  1.00000000e+00],[ 6.20911146e-03 -2.16735629e-04  1.17196136e+00]
22,[-8.12685634e-03  2.83676550e-04 -4.99933869e-01  1.00000000e+00],[ 5.79574220e-03 -2.28820805e-04  1.16513911e+00]
23,[-7.72386747e-03  3.04944822e-04 -4.99940245e-01  1.00000000e+00],[ 5.40438193e-03 -2.38724732e-04  1.15833067e+00]
24,[-7.33552701e-03  3.24028120e-04 -4.99946082e-01  1.00000000e+00],[ 5.03501996e-03 -2.47056603e-04  1.15153592e+00]
25,[-6.96269755e-03  3.41643215e-04 -4.99951402e-01  1.00000000e+00],[ 4.68675222e-03 -2.54416051e-04  1.14475408e+00]
26,[-6.60505725e-03  3.58549482e-04 -4.99956243e-01  1.00000000e+00],[ 4.35807629e-03 -2.61551596e-04  1.13798392e+00]
27,[-6.26140040e-03  3.75780311e-04 -4.99960652e-01  1.00000000e+00],[ 4.04714301e-03 -2.68814607e-04  1.13122396e+00]
