step,action,eef_pos
0,[ 1.97795885e-04  1.46096391e-05 -9.99999980e-01  1.00000000e+00],[ 5.07641559e-04 -1.60761341e-05  1.29539659e+00]
1,[-1.00444149e-03  3.18089325e-05 -9.99999495e-01  1.00000000e+00],[ 2.49001780e-03 -3.82867658e-05  1.28689137e+00]
2,[-5.01112858e-03  7.70516204e-05 -9.99987441e-01  1.00000000e+00],[ 4.75694268e-03 -6.04254653e-05  1.27646335e+00]
3,[-9.77815749e-03  1.24207870e-04 -9.99952185e-01  1.00000000e+00],[ 6.79804474e-03 -8.04978475e-05  1.26541333e+00]
4,[-1.42977685e-02  1.69304503e-04 -9.99897767e-01  1.00000000e+00],[ 8.46915461e-03 -9.83590343e-05  1.25398352e+00]
5,[-1.82500963e-02  2.11952896e-04 -9.99833431e-01  1.00000000e+00],[ 9.72576678e-03 -1.14091830e-04  1.24221938e+00]
6,[-2.15017719e-02  2.52234765e-04 -9.99768778e-01  1.00000000e+00],[ 1.05565857e-02 -1.25535657e-04  1.23013302e+00]
7,[-2.39780924e-02  2.85140069e-04 -9.99712444e-01  1.00000000e+00],[ 1.09711893e-02 -1.32007340e-04  1.21773791e+00]
8,[-2.56408923e-02  3.08515867e-04 -9.99671171e-01  1.00000000e+00],[ 1.09987059e-02 -1.34466547e-04  1.20505766e+00]
9,[-2.64899236e-02  3.23857060e-04 -9.99649028e-01  1.00000000e+00],[ 1.06819128e-02 -1.33534187e-04  1.19212367e+00]
10,[-2.65543815e-02  3.31955317e-04 -9.99647315e-01  1.00000000e+00],[ 1.00717162e-02 -1.29495671e-04  1.17897178e+00]
11,[-2.58845026e-02  3.32806342e-04 -9.99664885e-01  1.00000000e+00],[ 9.22277814e-03 -1.24165028e-04  1.16563940e+00]
12,[-2.45448136e-02  3.30443542e-04 -9.99698676e-01  1.00000000e+00],[ 8.19007213e-03 -1.18824675e-04  1.15216328e+00]
13,[-2.26085270e-02  3.28013091e-04 -9.99744341e-01  1.00000000e+00],[ 7.02631391e-03 -1.10624631e-04  1.13857779e+00]
14,[-2.01529954e-02  3.17295485e-04 -9.99796857e-01  1.00000000e+00],[ 5.78009198e-03 -9.80699363e-05  1.12491376e+00]
15,[-1.72558783e-02  2.92777847e-04 -9.99851063e-01  1.00000000e+00],[ 4.49458504e-03 -8.10998067e-05  1.11119773e+00]
16,[-1.39918327e-02  2.52467117e-04 -9.99902078e-01  1.00000000e+00],[ 3.20678330e-03 -6.10607827e-05  1.09745158e+00]
17,[-1.04296385e-02  1.98592120e-04 -9.99945590e-01  1.00000000e+00],[ 1.94714007e-03 -3.91623097e-05  1.08369250e+00]
18,[-6.62971386e-03  1.33341669e-04 -9.99978014e-01  1.00000000e+00],[ 7.39594291e-04 -1.60932627e-05  1.06993327e+00]
19,[-2.64202862e-03  5.74894386e-05 -9.99996508e-01  1.00000000e+00],[-3.98099023e-04  7.85880912e-06  1.05618262e+00]
20,[ 1.49558444e-03 -2.95240931e-05 -9.99998881e-01  1.00000000e+00],[-1.45379453e-03  3.26544971e-05  1.04244583e+00]
21,[ 5.75874215e-03 -1.29350348e-04 -9.99983410e-01  1.00000000e+00],[-2.42019561e-03  5.83805166e-05  1.02872534e+00]
22,[ 1.01374707e-02 -2.44538405e-04 -9.99948585e-01  1.00000000e+00],[-3.29891937e-03  8.52220905e-05  1.01501914e+00]
23,[ 1.46590402e-02 -3.78691902e-04 -9.99892479e-01  1.00000000e+00],[-4.12002341e-03  1.13752334e-04  1.00131320e+00]
24,[ 1.94935292e-02 -5.38209184e-04 -9.99809838e-01  1.00000000e+00],[-4.87037853e-03  1.44481089e-04  9.87611970e-01]
25,[ 2.46386830e-02 -7.30913160e-04 -9.99696154e-01  1.00000000e+00],[-5.54660284e-03  1.77615067e-04  9.73913990e-01]
26,[ 3.01449581e-02 -9.65311366e-04 -9.99545071e-01  1.00000000e+00],[-6.14867196e-03  2.13111159e-04  9.60216885e-01]
27,[ 0.036099   -0.00125118 -0.99934744  1.        ],[-6.67609411e-03  2.50648942e-04  9.46518684e-01]
28,[ 0.04261485 -0.00159994 -0.99909029  1.        ],[-7.12716127e-03  2.89578659e-04  9.32817842e-01]
29,[ 0.04984173 -0.00202508 -0.99875508  1.        ],[-7.49845757e-03  3.28879471e-04  9.19113268e-01]
30,[ 0.0579787  -0.00254292 -0.99831458  1.        ],[-7.78430111e-03  3.67115595e-04  9.05404377e-01]
31,[ 0.06729913 -0.0031739  -0.9977278   1.        ],[-7.97603186e-03  4.02401298e-04  8.91691154e-01]
32,[0. 0. 0. 1.],[-8.74341074e-03  4.36729927e-04  8.82676849e-01]
