step,action,eef_pos
0,[ 4.07117687e-04 -2.18270671e-05  4.99999834e-01  1.00000000e+00],[-1.56570681e-03  1.05203977e-04  7.97357428e-01]
1,[ 1.58908198e-03 -1.06774616e-04  4.99997463e-01  1.00000000e+00],[-4.35313054e-03  1.43770626e-04  7.95581949e-01]
2,[ 4.40210630e-03 -1.45388146e-04  4.99980600e-01  1.00000000e+00],[-6.76099850e-03  1.95321961e-04  7.99405423e-01]
3,[ 6.88996204e-03 -1.99047655e-04  4.99952487e-01  1.00000000e+00],[-8.82564511e-03  2.62483494e-04  8.04670075e-01]
4,[ 9.09091368e-03 -2.70372846e-04  4.99917275e-01  1.00000000e+00],[-1.04782115e-02  3.37429450e-04  8.10376387e-01]
5,[ 1.09207606e-02 -3.51680841e-04  4.99880599e-01  1.00000000e+00],[-1.17388817e-02  3.97955442e-04  8.16310111e-01]
6,[ 1.23870858e-02 -4.19929967e-04  4.99846360e-01  1.00000000e+00],[-1.26567302e-02  4.52654763e-04  8.22409266e-01]
7,[ 1.35290215e-02 -4.83851352e-04  4.99816698e-01  1.00000000e+00],[-1.32916622e-02  5.11750027e-04  8.28639373e-01]
8,[ 1.43988679e-02 -5.54379197e-04  4.99792322e-01  1.00000000e+00],[-1.37031451e-02  5.72612417e-04  8.34972018e-01]
9,[ 1.50506400e-02 -6.28920100e-04  4.99773031e-01  1.00000000e+00],[-1.39453251e-02  6.36258507e-04  8.41382059e-01]
10,[ 1.55350212e-02 -7.08788738e-04  4.99758102e-01  1.00000000e+00],[-1.40650523e-02  7.07873989e-04  8.47847694e-01]
11,[ 1.58971504e-02 -8.00080872e-04  4.99746576e-01  1.00000000e+00],[-1.41011598e-02  7.84726612e-04  8.54350744e-01]
12,[ 1.61755767e-02 -9.00167479e-04  4.99737471e-01  1.00000000e+00],[-0.01408461  0.00086404  0.86087659]
13,[ 0.01640204 -0.00100621  0.49972989  1.        ],[-0.01403912  0.00094372  0.86741391]
14,[ 0.01660176 -0.00111599  0.49972306  1.        ],[-0.01398206  0.0010223   0.8739543 ]
15,[ 0.01679399 -0.00122789  0.49971637  1.        ],[-0.01392541  0.00109883  0.88049184]
16,[ 0.01699272 -0.00134086  0.49970936  1.        ],[-0.01387675  0.00117283  0.88702267]
17,[ 0.0172075  -0.00145434  0.4997017   1.        ],[-0.0138402   0.00124419  0.89354457]
18,[ 0.01744422 -0.00156817  0.49969315  1.        ],[-0.01381731  0.00131305  0.90005657]
19,[ 0.01770586 -0.00168257  0.49968357  1.        ],[-0.01380777  0.00137974  0.90655864]
20,[ 0.01799328 -0.00179798  0.4996729   1.        ],[-0.01381001  0.00144472  0.91305136]
21,[ 0.01830575 -0.00191504  0.49966112  1.        ],[-0.01382178  0.00150851  0.91953575]
22,[ 0.01864155 -0.00203454  0.49964823  1.        ],[-0.01384042  0.00157165  0.92601302]
23,[ 0.01899834 -0.00215736  0.49963428  1.        ],[-0.01386324  0.00163467  0.93248448]
24,[ 0.01937354 -0.00228442  0.4996193   1.        ],[-0.01388765  0.00169768  0.93895138]
25,[ 0.01976455 -0.00241609  0.49960337  1.        ],[-0.01391133  0.00175953  0.9454149 ]
26,[ 0.02016893 -0.00255101  0.49958654  1.        ],[-0.01393223  0.00181877  0.9518761 ]
27,[ 0.02058449 -0.00268719  0.49956887  1.        ],[-0.01394867  0.00187403  0.95833586]
28,[ 0.0210094  -0.00282266  0.49955044  1.        ],[-0.0139593   0.00192419  0.96479492]
29,[ 0.02144218 -0.00295566  0.49953128  1.        ],[-0.01396307  0.00196841  0.97125384]
30,[ 0.02188172 -0.00308472  0.49951144  1.        ],[-0.01395923  0.00200615  0.97771305]
31,[ 0.02232725 -0.00320876  0.49949094  1.        ],[-0.01394725  0.00203717  0.98417282]
32,[ 0.02277832 -0.00332707  0.4994698   1.        ],[-0.01392681  0.00206149  0.99063333]
33,[ 0.02323478 -0.00343928  0.49944801  1.        ],[-0.01389774  0.00207929  0.99709465]
34,[ 0.02369668 -0.00354535  0.49942557  1.        ],[-0.01385997  0.00209093  1.00355678]
35,[ 0.02416431 -0.00364546  0.49940244  1.        ],[-0.01381354  0.00209683  1.01001966]
36,[ 0.02463811 -0.00373994  0.49937859  1.        ],[-0.01375851  0.00209744  1.01648318]
37,[ 0.02511863 -0.00382925  0.49935397  1.        ],[-0.013695    0.00209322  1.02294721]
38,[ 0.02560656 -0.00391384  0.49932854  1.        ],[-0.0136231   0.0020846   1.02941158]
39,[ 0.02610264 -0.00399421  0.49930221  1.        ],[-0.01354441  0.00207197  1.03587537]
40,[ 0.0266105  -0.00407076  0.49927478  1.        ],[-0.01348472  0.00205562  1.04232498]
41,[ 0.02718141 -0.00414354  0.49924343  1.        ],[-0.01344119  0.00203581  1.04875972]
42,[ 0.02781439 -0.00421278  0.49920799  1.        ],[-0.01340384  0.00201284  1.05518287]
43,[ 0.02849358 -0.00427884  0.49916912  1.        ],[-0.01336968  0.00198695  1.06159522]
44,[ 0.0292164  -0.00434202  0.49912679  1.        ],[-0.01333621  0.00195836  1.06799783]
45,[ 0.029981   -0.00440257  0.49908091  1.        ],[-0.01330091  0.00192726  1.07439187]
46,[ 0.03078534 -0.0044607   0.49903143  1.        ],[-0.01326138  0.0018938   1.0807785 ]
47,[ 0.03162744 -0.00451658  0.49897826  1.        ],[-0.01321542  0.00185813  1.08715877]
48,[ 0.0325055  -0.00457037  0.49892134  1.        ],[-0.01316108  0.00182037  1.0935336 ]
49,[ 0.03341816 -0.00462222  0.49886056  1.        ],[-0.01309667  0.00178065  1.09990373]
50,[ 0.03436451 -0.00467226  0.4987958   1.        ],[-0.01302076  0.00173907  1.10626973]
51,[ 0.03534422 -0.00472062  0.49872688  1.        ],[-0.01293214  0.00169574  1.11263203]
52,[ 0.0363575  -0.00476742  0.49865359  1.        ],[-0.0128298   0.00165143  1.11899088]
53,[ 0.03740519 -0.00481472  0.49857564  1.        ],[-0.01271293  0.00160977  1.12534645]
54,[ 0.03848869 -0.0048736   0.4984926   1.        ],[-0.01258077  0.00157011  1.13169877]
55,[ 0.03960998 -0.00494341  0.49840406  1.        ],[-0.0124327   0.00153172  1.13804778]
56,[ 0.04077159 -0.00502311  0.49830959  1.        ],[-0.01226811  0.00149429  1.14439338]
57,[ 0.04197663 -0.00511287  0.49820861  1.        ],[-0.01208642  0.00145761  1.15073539]
58,[ 0.04322887 -0.00521336  0.49810048  1.        ],[-0.01188707  0.00142154  1.15707363]
59,[ 0.04453273 -0.00532553  0.49798441  1.        ],[-0.01166944  0.00138592  1.16340784]
60,[ 0.04589338 -0.00545052  0.49785951  1.        ],[-0.01143289  0.00135062  1.16973779]
61,[ 0.04731687 -0.00558977  0.49772469  1.        ],[-0.0111767   0.0013155   1.17606319]
62,[ 0.04881028 -0.00574496  0.49757869  1.        ],[-0.01090008  0.00128039  1.18238373]
63,[ 0.05038194 -0.00591818  0.49741998  1.        ],[-0.01060213  0.00124515  1.18869911]
64,[ 0.05204175 -0.00611196  0.49724672  1.        ],[-0.01028186  0.00120959  1.19500897]
65,[ 0.05380159 -0.00632938  0.49705666  1.        ],[-9.93813250e-03  1.17350907e-03  1.20131294e+00]
66,[ 0.0556759  -0.00657429  0.49684703  1.        ],[-9.56964841e-03  1.13668348e-03  1.20761058e+00]
67,[ 0.05768246 -0.00685153  0.49661433  1.        ],[-9.17492916e-03  1.09884877e-03  1.21390142e+00]
68,[ 0.05984361 -0.00716726  0.49635408  1.        ],[-8.75226325e-03  1.05969719e-03  1.22018488e+00]
69,[ 0.06218785 -0.00752951  0.49606046  1.        ],[-8.29965256e-03  1.01886129e-03  1.22646030e+00]
70,[ 0.06475245 -0.00794898  0.49572566  1.        ],[-7.81473282e-03  9.75513202e-04  1.23272687e+00]
71,[ 0.06758741 -0.00843694  0.49533904  1.        ],[-7.29466011e-03  9.28264312e-04  1.23898357e+00]
72,[ 0.07076194 -0.00900464  0.49488551  1.        ],[-6.73594227e-03  8.75438001e-04  1.24522911e+00]
73,[ 0.07437567 -0.00966625  0.49434282  1.        ],[-6.13417659e-03  8.15250677e-04  1.25146181e+00]
74,[ 0.07857912 -0.0104434   0.49367627  1.        ],[-5.48362032e-03  7.46137992e-04  1.25767933e+00]
75,[ 0.08361462 -0.01137716  0.49282771  1.        ],[-4.77643887e-03  6.66281244e-04  1.26387839e+00]
