step,action,eef_pos
0,[5.22192065e-04 1.60374095e-05 9.99999864e-01 1.00000000e+00],[-2.18499107e-03 -5.25201867e-05  7.96522007e-01]
1,[4.42769418e-03 1.06427586e-04 9.99990192e-01 1.00000000e+00],[-6.56032848e-03 -4.39793365e-05  7.94804912e-01]
2,[1.32468051e-02 8.88043490e-05 9.99912253e-01 1.00000000e+00],[-1.05243047e-02 -2.39347716e-05  8.01336000e-01]
3,[2.15319008e-02 4.89686628e-05 9.99768161e-01 1.00000000e+00],[-1.40230087e-02 -1.98079225e-05  8.11818031e-01]
4,[2.93130725e-02 4.14055984e-05 9.99570279e-01 1.00000000e+00],[-1.70317937e-02 -2.30145496e-05  8.23264804e-01]
5,[3.64670701e-02 4.92768529e-05 9.99334854e-01 1.00000000e+00],[-1.94925038e-02 -2.15008634e-05  8.35074664e-01]
6,[4.28084203e-02 4.72190748e-05 9.99083298e-01 1.00000000e+00],[-2.14270150e-02 -4.22138576e-05  8.47121447e-01]
7,[4.83247182e-02 9.52056443e-05 9.98831674e-01 1.00000000e+00],[-2.28940212e-02 -8.22548918e-05  8.59362387e-01]
8,[5.30881085e-02 1.90737861e-04 9.98589814e-01 1.00000000e+00],[-2.39649905e-02 -1.36654328e-04  8.71766290e-01]
9,[5.72066349e-02 3.26206441e-04 9.98362306e-01 1.00000000e+00],[-2.47113876e-02 -2.01444082e-04  8.84303482e-01]
10,[6.07983286e-02 4.95620224e-04 9.98149947e-01 1.00000000e+00],[-2.51988732e-02 -2.73752983e-04  8.96945894e-01]
11,[6.39790814e-02 6.95049507e-04 9.97950998e-01 1.00000000e+00],[-2.54847537e-02 -3.51849467e-04  9.09668151e-01]
12,[6.68566754e-02 9.23041512e-04 9.97762163e-01 1.00000000e+00],[-2.56170830e-02 -4.34937018e-04  9.22448252e-01]
13,[0.06952782 0.00118047 0.99757931 1.        ],[-2.56347096e-02 -5.22788988e-04  9.35267806e-01]
14,[0.07207693 0.00146992 0.99739799 1.        ],[-2.55678607e-02 -6.13430925e-04  9.48111960e-01]
15,[0.07457594 0.00178925 0.99721373 1.        ],[-2.54390373e-02 -7.01251717e-04  9.60969153e-01]
16,[0.07708483 0.00212492 0.99702227 1.        ],[-2.52641272e-02 -7.80188475e-04  9.73830731e-01]
17,[0.07965283 0.00245978 0.99681963 1.        ],[-2.50535737e-02 -8.45299058e-04  9.86690466e-01]
18,[0.08232001 0.00277745 0.99660208 1.        ],[-2.48135026e-02 -8.93496237e-04  9.99544061e-01]
19,[0.08511904 0.00306501 0.99636607 1.        ],[-2.45467417e-02 -9.23791835e-04  1.01238866e+00]
20,[0.08807713 0.00331469 0.99610814 1.        ],[-2.42536949e-02 -9.37060117e-04  1.02522242e+00]
21,[0.0912178  0.00352427 0.99582473 1.        ],[-2.39423013e-02 -9.35459741e-04  1.03803946e+00]
22,[0.09459724 0.00369605 0.99550877 1.        ],[-2.36343538e-02 -9.21725455e-04  1.05082485e+00]
23,[0.09833642 0.00383506 0.99514584 1.        ],[-2.33088582e-02 -8.98662756e-04  1.06358319e+00]
24,[0.10240466 0.00394817 0.99473499 1.        ],[-2.29566863e-02 -8.68730991e-04  1.07631465e+00]
25,[0.10681666 0.00404218 0.99427052 1.        ],[-2.25704623e-02 -8.36850920e-04  1.08901919e+00]
26,[0.1115991  0.00413779 0.9937447  1.        ],[-2.21426203e-02 -8.14075691e-04  1.10169683e+00]
27,[0.11678454 0.0042936  0.99314799 1.        ],[-2.16653262e-02 -7.98267202e-04  1.11434732e+00]
28,[0.12241296 0.00451035 0.992469   1.        ],[-2.11305331e-02 -7.88217334e-04  1.12697003e+00]
29,[0.12853471 0.00479464 0.99169342 1.        ],[-2.05299249e-02 -7.81818287e-04  1.13956388e+00]
30,[0.13521428 0.00514921 0.990803   1.        ],[-1.98547752e-02 -7.75284690e-04  1.15212728e+00]
31,[0.14253539 0.00556569 0.98977406 1.        ],[-1.90957407e-02 -7.65423500e-04  1.16465809e+00]
32,[0.15060862 0.00603692 0.98857503 1.        ],[-1.82425772e-02 -7.50501925e-04  1.17715350e+00]
33,[0.15958307 0.00656527 0.98716267 1.        ],[-1.72837492e-02 -7.29230697e-04  1.18960992e+00]
34,[0.16966533 0.00715847 0.98547574 1.        ],[-1.62058847e-02 -7.00504769e-04  1.20202270e+00]
