step,action,eef_pos
0,[-4.99913645e-01 -1.62925876e-07 -9.29232017e-03  1.00000000e+00],[ 2.45818477e-01 -2.48348802e-05  7.86316425e-01]
1,[-4.99986201e-01  2.50436359e-05  3.71453859e-03  1.00000000e+00],[ 2.41950832e-01 -2.49862257e-05  7.80455769e-01]
2,[-4.99905928e-01  2.53902658e-05  9.69856584e-03  1.00000000e+00],[ 2.39514104e-01 -4.61190483e-06  7.81436291e-01]
3,[-4.99923505e-01  4.70997589e-06  8.74581384e-03  1.00000000e+00],[2.38344465e-01 8.05167734e-06 7.84907195e-01]
4,[-4.99972813e-01 -8.24340204e-06  5.21407384e-03  1.00000000e+00],[2.37707396e-01 1.27053558e-05 7.88966554e-01]
5,[-4.99998877e-01 -1.30255635e-05  1.05949109e-03  1.00000000e+00],[2.37379926e-01 1.08731133e-05 7.93172623e-01]
6,[-4.99989407e-01 -1.11544222e-05 -3.25470514e-03  1.00000000e+00],[2.37272698e-01 4.75701903e-06 7.97413822e-01]
7,[-4.99942136e-01 -4.88070492e-06 -7.60658682e-03  1.00000000e+00],[ 2.37337305e-01 -2.67122007e-06  8.01661543e-01]
8,[-4.99856911e-01  2.73984322e-06 -1.19611264e-02  1.00000000e+00],[ 2.37524839e-01 -9.58672017e-06  8.05894571e-01]
9,[-4.99734479e-01  9.82681134e-06 -1.62926365e-02  1.00000000e+00],[ 2.37780290e-01 -2.86407943e-05  8.10083193e-01]
10,[-4.99576741e-01  2.93334417e-05 -2.05688836e-02  1.00000000e+00],[ 2.38056139e-01 -6.17419243e-05  8.14205063e-01]
11,[-4.99386216e-01  6.31752446e-05 -2.47669759e-02  1.00000000e+00],[ 2.38304131e-01 -9.83047714e-05  8.18237767e-01]
12,[-4.99166055e-01  1.00491480e-04 -2.88658933e-02  1.00000000e+00],[ 2.38462114e-01 -1.33267893e-04  8.22166832e-01]
13,[-4.98919331e-01  1.36120952e-04 -3.28554742e-02  1.00000000e+00],[ 2.38492526e-01 -1.64232300e-04  8.25971090e-01]
14,[-4.98649861e-01  1.67647219e-04 -3.67190446e-02  1.00000000e+00],[ 2.38342595e-01 -1.90220568e-04  8.29613526e-01]
15,[-4.98362992e-01  1.94123741e-04 -4.04263633e-02  1.00000000e+00],[ 2.37946324e-01 -2.10714388e-04  8.33057907e-01]
16,[-4.98064538e-01  2.15083830e-04 -4.39507700e-02  1.00000000e+00],[ 2.37230961e-01 -2.26238777e-04  8.36266141e-01]
17,[-4.97760855e-01  2.31128184e-04 -4.72660318e-02  1.00000000e+00],[ 2.36117636e-01 -2.38711373e-04  8.39197170e-01]
18,[-4.97458869e-01  2.44280562e-04 -5.03449511e-02  1.00000000e+00],[ 2.34522706e-01 -2.46920969e-04  8.41807319e-01]
19,[-4.97166004e-01  2.53364207e-04 -5.31591962e-02  1.00000000e+00],[ 2.32360878e-01 -2.49667197e-04  8.44051833e-01]
20,[-4.96890008e-01  2.57187390e-04 -5.56799210e-02  1.00000000e+00],[ 2.29550427e-01 -2.47016734e-04  8.45887546e-01]
21,[-4.96638653e-01  2.55818890e-04 -5.78790346e-02  1.00000000e+00],[ 2.26020461e-01 -2.38924386e-04  8.47276648e-01]
