step,action,eef_pos
0,[-9.99876602e-01 -1.69609424e-07 -1.57092845e-02  1.00000000e+00],[ 2.43571661e-01 -3.52918836e-06  7.81237913e-01]
1,[-9.99842463e-01  7.14917946e-06  1.77496137e-02  1.00000000e+00],[ 2.37363871e-01 -4.16460877e-05  7.71810370e-01]
2,[-9.99304239e-01  8.53922796e-05  3.72965157e-02  1.00000000e+00],[ 2.33743801e-01 -6.66892490e-05  7.74150885e-01]
3,[-9.99463700e-01  1.37786745e-04  3.27458770e-02  1.00000000e+00],[ 2.29072041e-01 -7.06676050e-05  7.79840124e-01]
4,[-9.99775188e-01  1.47476187e-04  2.12026397e-02  1.00000000e+00],[ 2.24527250e-01 -7.24252955e-05  7.85978862e-01]
5,[-9.99964086e-01  1.52620728e-04  8.47368288e-03  1.00000000e+00],[ 2.20037000e-01 -7.62301661e-05  7.91908270e-01]
6,[-9.99991746e-01  1.62177737e-04 -4.05979536e-03  1.00000000e+00],[ 2.15327387e-01 -8.29416809e-05  7.97393187e-01]
7,[-9.99873792e-01  1.78221217e-04 -1.58861347e-02  1.00000000e+00],[ 2.10163782e-01 -9.13056083e-05  8.02350859e-01]
8,[-9.99639978e-01  1.98348370e-04 -2.68304747e-02  1.00000000e+00],[ 2.04318887e-01 -1.01065647e-04  8.06706306e-01]
9,[-9.99324563e-01  2.22305052e-04 -3.67473645e-02  1.00000000e+00],[ 1.97554414e-01 -1.11883444e-04  8.10390678e-01]
10,[-9.98963715e-01  2.49729412e-04 -4.55130077e-02  1.00000000e+00],[ 1.89633719e-01 -1.23114731e-04  8.13333179e-01]
11,[-9.98594498e-01  2.79645731e-04 -5.29995394e-02  1.00000000e+00],[ 1.80365415e-01 -1.34067037e-04  8.15476875e-01]
12,[-9.98252328e-01  3.10974643e-04 -5.90947810e-02  1.00000000e+00],[ 1.69658643e-01 -1.43836387e-04  8.16804112e-01]
13,[-9.97966395e-01  3.42049147e-04 -6.37413373e-02  1.00000000e+00],[ 1.57543198e-01 -1.50878353e-04  8.17346116e-01]
14,[-9.97756306e-01  3.69383735e-04 -6.69493677e-02  1.00000000e+00],[ 1.44166937e-01 -1.54266056e-04  8.17184276e-01]
15,[-9.97630192e-01  3.90444912e-04 -6.88029674e-02  1.00000000e+00],[ 1.29770146e-01 -1.53692128e-04  8.16441761e-01]
16,[-9.97584827e-01  4.03720347e-04 -6.94575398e-02  1.00000000e+00],[ 1.14643281e-01 -1.49292083e-04  8.15266911e-01]
17,[-9.97607828e-01  4.08440133e-04 -6.91263746e-02  1.00000000e+00],[ 9.90812870e-02 -1.41568791e-04  8.13813525e-01]
18,[-9.97681180e-01  4.04606387e-04 -6.80595218e-02  1.00000000e+00],[ 8.33468108e-02 -1.31274367e-04  8.12223065e-01]
19,[-9.97785092e-01  3.92934932e-04 -6.65188384e-02  1.00000000e+00],[ 6.76489204e-02 -1.19318292e-04  8.10612378e-01]
20,[-9.97901171e-01  3.74841078e-04 -6.47542459e-02  1.00000000e+00],[ 5.21369531e-02 -1.06664169e-04  8.09068012e-01]
21,[-9.98014400e-01  3.52331535e-04 -6.29851809e-02  1.00000000e+00],[ 3.69048784e-02 -9.42422533e-05  8.07646124e-01]
22,[-9.98113855e-01  3.27859530e-04 -6.13891291e-02  1.00000000e+00],[ 2.20008941e-02 -8.28847725e-05  8.06376110e-01]
23,[-9.98192480e-01  3.04171634e-04 -6.00972647e-02  1.00000000e+00],[ 7.43927229e-03 -7.24719381e-05  8.05266529e-01]
24,[-9.98246252e-01  2.81017111e-04 -5.91974770e-02  1.00000000e+00],[-6.79034054e-03 -6.21789117e-05  8.04310561e-01]
25,[-9.98273352e-01  2.55218279e-04 -5.87388318e-02  1.00000000e+00],[-2.07157686e-02 -5.21494582e-05  8.03490788e-01]
26,[-9.98273459e-01  2.27051898e-04 -5.87371228e-02  1.00000000e+00],[-3.43746319e-02 -4.24959880e-05  8.02784152e-01]
27,[-9.98247025e-01  1.96737026e-04 -5.91847876e-02  1.00000000e+00],[-4.78074800e-02 -3.33190158e-05  8.02166105e-01]
28,[-9.98194619e-01  1.64491062e-04 -6.00622657e-02  1.00000000e+00],[-6.10531876e-02 -2.47259513e-05  8.01613254e-01]
29,[-9.98116471e-01  1.30615483e-04 -6.13473150e-02  1.00000000e+00],[-7.41462318e-02 -1.68391616e-05  8.01104737e-01]
30,[-9.98012131e-01  9.55662638e-05 -6.30220372e-02  1.00000000e+00],[-8.71153318e-02 -9.79697274e-06  8.00622741e-01]
31,[-9.97880173e-01  6.00191839e-05 -6.50780886e-02  1.00000000e+00],[-9.99830151e-02 -3.74738249e-06  8.00152431e-01]
32,[-9.97717869e-01  2.49227144e-05 -6.75207673e-02  1.00000000e+00],[-1.12765783e-01  1.16472124e-06  7.99681553e-01]
33,[-9.97520764e-01 -8.46606365e-06 -7.03727594e-02  1.00000000e+00],[-1.25473380e-01  4.83599889e-06  7.99203249e-01]
34,[-9.97280097e-01 -3.87294334e-05 -7.37048603e-02  1.00000000e+00],[-1.38107043e-01  7.24057253e-06  7.98720573e-01]
35,[-9.96976696e-01 -6.45141771e-05 -7.77011183e-02  1.00000000e+00],[-1.50668806e-01  8.24248068e-06  7.98214079e-01]
