step,action,eef_pos
0,[ 4.99780299e-01  2.09598822e-05 -1.48206744e-02  1.00000000e+00],[-2.48637358e-01 -8.11687595e-06  7.94475262e-01]
1,[ 4.99979864e-01  8.13872942e-06 -4.48731140e-03  1.00000000e+00],[-2.46005410e-01 -2.53900475e-05  7.90882828e-01]
2,[ 4.99999207e-01  2.55944862e-05 -8.89936145e-04  1.00000000e+00],[-2.43357134e-01 -2.67843556e-05  7.89272974e-01]
3,[4.99999456e-01 2.71449673e-05 7.36814488e-04 1.00000000e+00],[-2.42409853e-01  2.72342059e-06  7.88872438e-01]
4,[ 4.99998689e-01 -2.76539293e-06  1.14493913e-03  1.00000000e+00],[-2.39437547e-01  5.22073761e-06  7.88258316e-01]
5,[ 4.99996834e-01 -5.33337152e-06  1.77925950e-03  1.00000000e+00],[-2.35614124e-01  4.70733034e-06  7.87603305e-01]
6,[ 4.99993911e-01 -4.84672169e-06  2.46766442e-03  1.00000000e+00],[-2.31240356e-01  2.07805990e-06  7.87058686e-01]
7,[ 4.99990661e-01 -2.15902622e-06  3.05591432e-03  1.00000000e+00],[-2.26382128e-01 -3.23450219e-06  7.86655030e-01]
8,[4.99987675e-01 3.39477729e-06 3.51071919e-03 1.00000000e+00],[-2.21082467e-01 -1.17353422e-05  7.86389814e-01]
9,[4.99985318e-01 1.24553538e-05 3.83168593e-03 1.00000000e+00],[-2.15387940e-01 -2.37606571e-05  7.86250561e-01]
10,[4.99983773e-01 2.55269678e-05 4.02816368e-03 1.00000000e+00],[-2.09350560e-01 -3.94870017e-05  7.86220882e-01]
11,[4.99983078e-01 4.29798816e-05 4.11340567e-03 1.00000000e+00],[-2.03025724e-01 -5.89529141e-05  7.86282627e-01]
12,[4.99983163e-01 6.50635558e-05 4.10269004e-03 1.00000000e+00],[-1.96469638e-01 -8.20793530e-05  7.86417093e-01]
13,[4.99983892e-01 9.19174583e-05 4.01235748e-03 1.00000000e+00],[-1.89736913e-01 -1.08688293e-04  7.86605929e-01]
14,[4.99985092e-01 1.23579633e-04 3.85909109e-03 1.00000000e+00],[-1.82878523e-01 -1.38519335e-04  7.86831862e-01]
15,[4.99986584e-01 1.59993637e-04 3.65928599e-03 1.00000000e+00],[-1.75940205e-01 -1.71245388e-04  7.87079267e-01]
16,[4.99988205e-01 2.01015714e-04 3.42849099e-03 1.00000000e+00],[-1.68961347e-01 -2.06486811e-04  7.87334569e-01]
17,[4.99989821e-01 2.46422026e-04 3.18093402e-03 1.00000000e+00],[-1.61974370e-01 -2.43763670e-04  7.87586491e-01]
18,[4.99991332e-01 2.95842972e-04 2.92914782e-03 1.00000000e+00],[-1.55004594e-01 -2.82425089e-04  7.87826138e-01]
19,[4.99992676e-01 3.48663887e-04 2.68371051e-03 1.00000000e+00],[-1.48070503e-01 -3.22142509e-04  7.88046956e-01]
20,[4.99993818e-01 4.04624964e-04 2.45310835e-03 1.00000000e+00],[-1.41184351e-01 -3.62612732e-04  7.88244566e-01]
21,[4.99994751e-01 4.63475755e-04 2.24371942e-03 1.00000000e+00],[-1.34353008e-01 -4.03377495e-04  7.88416515e-01]
22,[4.99995481e-01 5.24743974e-04 2.05991696e-03 1.00000000e+00],[-1.27578902e-01 -4.43943418e-04  7.88561982e-01]
23,[4.99996028e-01 5.87876982e-04 1.90424633e-03 1.00000000e+00],[-1.20859446e-01 -4.83817096e-04  7.88685441e-01]
24,[4.99996433e-01 6.52287072e-04 1.77230143e-03 1.00000000e+00],[-1.14187024e-01 -5.22523731e-04  7.88798313e-01]
25,[4.99996763e-01 7.17379140e-04 1.64980998e-03 1.00000000e+00],[-1.07556147e-01 -5.59574261e-04  7.88897076e-01]
26,[4.99997009e-01 7.82493768e-04 1.54229979e-03 1.00000000e+00],[-1.00960875e-01 -5.94476619e-04  7.88979529e-01]
27,[4.99997169e-01 8.46922400e-04 1.45381686e-03 1.00000000e+00],[-9.43955101e-02 -6.26752159e-04  7.89047049e-01]
28,[4.99997258e-01 9.09925802e-04 1.38350566e-03 1.00000000e+00],[-8.78550231e-02 -6.55953979e-04  7.89101561e-01]
29,[4.99997290e-01 9.70757245e-04 1.32961440e-03 1.00000000e+00],[-8.13350187e-02 -6.81639332e-04  7.89144929e-01]
30,[0.49999728 0.00102862 0.00129033 1.        ],[-7.48317736e-02 -7.03216125e-04  7.89178792e-01]
31,[0.49999723 0.00108243 0.00126404 1.        ],[-6.83422538e-02 -7.20105771e-04  7.89204522e-01]
32,[0.49999716 0.00113102 0.0012494  1.        ],[-6.18640913e-02 -7.31844888e-04  7.89223222e-01]
33,[0.49999707 0.00117333 0.00124537 1.        ],[-5.53955257e-02 -7.38098560e-04  7.89235741e-01]
34,[0.49999697 0.00120842 0.00125125 1.        ],[-4.89353251e-02 -7.38671941e-04  7.89242705e-01]
35,[0.49999687 0.0012355  0.00126665 1.        ],[-4.24826972e-02 -7.33519835e-04  7.89244550e-01]
36,[0.49999676 0.00125395 0.00129144 1.        ],[-3.60371997e-02 -7.22751063e-04  7.89241564e-01]
37,[0.49999665 0.00126338 0.00132576 1.        ],[-2.95986560e-02 -7.06623571e-04  7.89233920e-01]
38,[0.49999653 0.00126363 0.00136995 1.        ],[-2.31670816e-02 -6.85531333e-04  7.89221713e-01]
39,[0.4999964  0.00125477 0.00142455 1.        ],[-1.67426221e-02 -6.59982671e-04  7.89204985e-01]
40,[0.49999625 0.00123711 0.00149022 1.        ],[-1.03255050e-02 -6.30573935e-04  7.89183750e-01]
41,[0.49999608 0.00121112 0.00156774 1.        ],[-3.91600274e-03 -5.97960013e-04  7.89158013e-01]
42,[0.49999586 0.00117747 0.00165799 1.        ],[ 2.48559185e-03 -5.62824897e-04  7.89127780e-01]
43,[0.4999956  0.00113694 0.00176194 1.        ],[ 8.87898144e-03 -5.25855028e-04  7.89093068e-01]
44,[0.49999527 0.00109043 0.00188064 1.        ],[ 1.52638719e-02 -4.87715717e-04  7.89053909e-01]
45,[0.49999486 0.00103885 0.0020152  1.        ],[ 2.16399740e-02 -4.49033349e-04  7.89010355e-01]
46,[4.99994338e-01 9.83158638e-04 2.16682904e-03 1.00000000e+00],[ 2.80070008e-02 -4.10381299e-04  7.88962471e-01]
47,[4.99993685e-01 9.24299679e-04 2.33682190e-03 1.00000000e+00],[ 3.43646620e-02 -3.72272271e-04  7.88910341e-01]
48,[4.99992871e-01 8.63186356e-04 2.52658784e-03 1.00000000e+00],[ 4.07126567e-02 -3.35153155e-04  7.88854063e-01]
49,[4.99991864e-01 8.00687936e-04 2.73766819e-03 1.00000000e+00],[ 4.70506638e-02 -2.99404690e-04  7.88793743e-01]
50,[4.99990624e-01 7.37620240e-04 2.97176353e-03 1.00000000e+00],[ 5.33783337e-02 -2.65343217e-04  7.88729495e-01]
51,[4.99989107e-01 6.74741094e-04 3.23076537e-03 1.00000000e+00],[ 5.96952780e-02 -2.33224235e-04  7.88661441e-01]
52,[4.99987257e-01 6.12749615e-04 3.51679334e-03 1.00000000e+00],[ 6.60010601e-02 -2.03247361e-04  7.88589702e-01]
53,[4.99985009e-01 5.52289234e-04 3.83223889e-03 1.00000000e+00],[ 7.22951853e-02 -1.75562120e-04  7.88514400e-01]
54,[4.99982285e-01 4.93953697e-04 4.17981681e-03 1.00000000e+00],[ 7.85770909e-02 -1.50273555e-04  7.88435657e-01]
55,[4.99978990e-01 4.38293929e-04 4.56262623e-03 1.00000000e+00],[ 8.48461354e-02 -1.27448057e-04  7.88353590e-01]
56,[4.99975008e-01 3.85827140e-04 4.98422348e-03 1.00000000e+00],[ 9.11015871e-02 -1.07118754e-04  7.88268314e-01]
57,[4.99970197e-01 3.37046693e-04 5.44870996e-03 1.00000000e+00],[ 9.73426119e-02 -8.92906210e-05  7.88179938e-01]
58,[4.99964382e-01 2.92433472e-04 5.96083901e-03 1.00000000e+00],[ 1.03568259e-01 -7.39448547e-05  7.88088567e-01]
59,[4.99957344e-01 2.52467620e-04 6.52614691e-03 1.00000000e+00],[ 1.09777444e-01 -6.10429045e-05  7.87994299e-01]
60,[4.99948812e-01 2.17642072e-04 7.15111505e-03 1.00000000e+00],[ 1.15968933e-01 -5.05297759e-05  7.87897230e-01]
61,[4.99938442e-01 1.88477030e-04 7.84337203e-03 1.00000000e+00],[ 1.22141316e-01 -4.23370400e-05  7.87797448e-01]
62,[4.99925801e-01 1.65537279e-04 8.61194791e-03 1.00000000e+00],[ 1.28292985e-01 -3.63849109e-05  7.87695041e-01]
63,[4.99910334e-01 1.49450655e-04 9.46759624e-03 1.00000000e+00],[ 1.34422103e-01 -3.25842365e-05  7.87590092e-01]
64,[4.99891325e-01 1.40931593e-04 1.04232058e-02 1.00000000e+00],[ 1.40526563e-01 -3.08379065e-05  7.87482687e-01]
65,[4.99867843e-01 1.40809298e-04 1.14943307e-02 1.00000000e+00],[ 1.46603951e-01 -3.10414776e-05  7.87372917e-01]
66,[4.99838665e-01 1.50061157e-04 1.26998800e-02 1.00000000e+00],[ 1.52651488e-01 -3.30836409e-05  7.87260887e-01]
67,[4.99802163e-01 1.69856477e-04 1.40630236e-02 1.00000000e+00],[ 1.58665970e-01 -3.68459584e-05  7.87146723e-01]
68,[4.99756153e-01 2.01611540e-04 1.56123925e-02 1.00000000e+00],[ 1.64643692e-01 -4.22021058e-05  7.87030590e-01]
69,[4.99697655e-01 2.47061919e-04 1.73836881e-02 1.00000000e+00],[ 1.70580356e-01 -4.90161174e-05  7.86912715e-01]
70,[4.99622554e-01 3.08356428e-04 1.94218611e-02 1.00000000e+00],[ 1.76470964e-01 -5.71402234e-05  7.86793426e-01]
71,[4.99525077e-01 3.88186435e-04 2.17841021e-02 1.00000000e+00],[ 1.82309683e-01 -6.62819331e-05  7.86673206e-01]
72,[4.99396990e-01 4.89006395e-04 2.45439934e-02 1.00000000e+00],[ 1.88089691e-01 -7.48748387e-05  7.86552780e-01]
