step,action,eef_pos
0,[ 9.99546993e-01 -8.39867730e-06 -3.00966565e-02  1.00000000e+00],[-2.46375922e-01 -7.78952000e-06  7.94122869e-01]
1,[ 9.99965507e-01  1.56922425e-05 -8.30565452e-03  1.00000000e+00],[-2.39536014e-01 -1.71057942e-05  7.89937713e-01]
2,[9.99999991e-01 3.49428715e-05 1.27235859e-04 1.00000000e+00],[-2.35125930e-01 -2.09646706e-05  7.88455110e-01]
3,[9.99994929e-01 4.32146850e-05 3.18449653e-03 1.00000000e+00],[-2.29508825e-01 -3.89603735e-05  7.87674532e-01]
4,[9.99988237e-01 8.12496313e-05 4.84962995e-03 1.00000000e+00],[-2.21579715e-01 -6.41773659e-05  7.86527032e-01]
5,[9.99972874e-01 1.36086483e-04 7.36434104e-03 1.00000000e+00],[-2.12639949e-01 -8.76906687e-05  7.85507346e-01]
6,[9.99952834e-01 1.89535152e-04 9.71045094e-03 1.00000000e+00],[-2.02834702e-01 -1.08079903e-04  7.84764250e-01]
7,[9.99933136e-01 2.38658114e-04 1.15613922e-02 1.00000000e+00],[-1.92200575e-01 -1.24609867e-04  7.84331744e-01]
8,[9.99917816e-01 2.81771742e-04 1.28172386e-02 1.00000000e+00],[-1.80788035e-01 -1.36579430e-04  7.84202813e-01]
9,[9.99909414e-01 3.17016831e-04 1.34559496e-02 1.00000000e+00],[-1.68674727e-01 -1.43271132e-04  7.84349213e-01]
10,[9.99908872e-01 3.42170346e-04 1.34956120e-02 1.00000000e+00],[-1.55961659e-01 -1.43998935e-04  7.84728671e-01]
11,[9.99915645e-01 3.54680756e-04 1.29837001e-02 1.00000000e+00],[-1.42765487e-01 -1.38542451e-04  7.85289772e-01]
12,[9.99928036e-01 3.52710424e-04 1.19916061e-02 1.00000000e+00],[-1.29209529e-01 -1.29140580e-04  7.85976721e-01]
13,[9.99943664e-01 3.40532859e-04 1.06090480e-02 1.00000000e+00],[-1.15414720e-01 -1.16789853e-04  7.86734038e-01]
14,[9.99960010e-01 3.19596272e-04 8.93732813e-03 1.00000000e+00],[-1.01491698e-01 -1.01821976e-04  7.87510681e-01]
15,[9.99974881e-01 2.89678017e-04 7.08197828e-03 1.00000000e+00],[-8.75309929e-02 -8.45624554e-05  7.88274853e-01]
16,[9.99986907e-01 2.50529137e-04 5.11101030e-03 1.00000000e+00],[-7.36064614e-02 -6.53504215e-05  7.88993588e-01]
17,[9.99995144e-01 2.01943138e-04 3.10997247e-03 1.00000000e+00],[-5.97736584e-02 -4.45554913e-05  7.89633599e-01]
18,[9.99999290e-01 1.43832306e-04 1.18280263e-03 1.00000000e+00],[-4.60689863e-02 -2.27395423e-05  7.90177202e-01]
19,[ 9.99999818e-01  7.68048637e-05 -5.98514291e-04  1.00000000e+00],[-3.25131432e-02 -1.47024583e-06  7.90615981e-01]
20,[ 9.99997623e-01  5.20415553e-06 -2.18035605e-03  1.00000000e+00],[-1.91139699e-02  1.75554946e-05  7.90948365e-01]
21,[ 9.99993789e-01 -6.52340180e-05 -3.52400371e-03  1.00000000e+00],[-5.86945119e-03  3.30819242e-05  7.91177994e-01]
22,[ 9.99989394e-01 -1.29290828e-04 -4.60383768e-03  1.00000000e+00],[7.22902514e-03 4.43645143e-05 7.91312148e-01]
23,[ 9.99985377e-01 -1.82739578e-04 -5.40479945e-03  1.00000000e+00],[2.01935950e-02 5.11467762e-05 7.91360247e-01]
24,[ 9.99982458e-01 -2.22560720e-04 -5.91899584e-03  1.00000000e+00],[3.30374054e-02 5.35797127e-05 7.91332593e-01]
25,[ 9.99981108e-01 -2.46949021e-04 -6.14192283e-03  1.00000000e+00],[4.57727789e-02 5.21179108e-05 7.91239405e-01]
26,[ 9.99981553e-01 -2.55191003e-04 -6.06864404e-03  1.00000000e+00],[5.84099744e-02 4.74139348e-05 7.91090156e-01]
27,[ 9.99983781e-01 -2.47471995e-04 -5.68995459e-03  1.00000000e+00],[7.09564104e-02 4.02253566e-05 7.90893146e-01]
28,[ 9.99987533e-01 -2.24665151e-04 -4.98836773e-03  1.00000000e+00],[8.34162233e-02 3.13407909e-05 7.90655289e-01]
29,[ 9.99992245e-01 -1.88136855e-04 -3.93366174e-03  1.00000000e+00],[9.57900336e-02 2.15245003e-05 7.90382054e-01]
30,[ 9.99996921e-01 -1.39578748e-04 -2.47748537e-03  1.00000000e+00],[1.08074808e-01 1.14736518e-05 7.90077524e-01]
31,[ 9.99999848e-01 -8.08429419e-05 -5.46230415e-04  1.00000000e+00],[1.20263720e-01 1.88631691e-06 7.89744536e-01]
32,[ 9.99998061e-01 -1.45395972e-05  1.96909904e-03  1.00000000e+00],[ 1.32345926e-01 -6.63583347e-06  7.89384887e-01]
33,[9.99986332e-01 5.64004506e-05 5.22807504e-03 1.00000000e+00],[ 1.44306179e-01 -1.36660891e-05  7.88999604e-01]
34,[9.99955201e-01 1.29293054e-04 9.46461227e-03 1.00000000e+00],[ 1.56124195e-01 -1.89143357e-05  7.88589313e-01]
