step,action,eef_pos
0,[ 2.43819501e-04 -2.49927983e-01 -5.99532338e-03  1.00000000e+00],[-0.00138686  0.34897013  0.79583013]
1,[ 4.96020101e-04 -2.49990812e-01 -2.08517918e-03  1.00000000e+00],[-0.00214961  0.34749903  0.79216662]
2,[ 7.70462844e-04 -2.49997607e-01 -7.76558669e-04  1.00000000e+00],[-0.00246154  0.34612211  0.7917775 ]
3,[ 8.84011688e-04 -2.49997622e-01 -6.38350339e-04  1.00000000e+00],[-0.00258542  0.34451897  0.79201506]
4,[ 9.30641801e-04 -2.49997216e-01 -7.25334023e-04  1.00000000e+00],[-0.00258895  0.34257284  0.7923323 ]
5,[ 9.34530506e-04 -2.49996836e-01 -8.41887455e-04  1.00000000e+00],[-0.00250408  0.34031621  0.79262404]
6,[ 9.06845520e-04 -2.49996549e-01 -9.50291346e-04  1.00000000e+00],[-0.00236885  0.3377954   0.79286466]
7,[ 8.61017808e-04 -2.49996349e-01 -1.04123155e-03  1.00000000e+00],[-0.00221506  0.3350526   0.79304925]
8,[ 8.08341984e-04 -2.49996217e-01 -1.11276190e-03  1.00000000e+00],[-0.00206675  0.33213259  0.79318009]
9,[ 7.57447111e-04 -2.49996136e-01 -1.16547772e-03  1.00000000e+00],[-0.00194001  0.3290776   0.79326249]
10,[ 7.14195480e-04 -2.49996095e-01 -1.20105627e-03  1.00000000e+00],[-0.00184419  0.32592477  0.7933031 ]
11,[ 6.82088766e-04 -2.49996084e-01 -1.22167719e-03  1.00000000e+00],[-0.00178335  0.32270522  0.79330901]
12,[ 6.62743350e-04 -2.49996097e-01 -1.22971917e-03  1.00000000e+00],[-0.00175766  0.31944393  0.79328716]
13,[ 6.56379433e-04 -2.49996125e-01 -1.22755264e-03  1.00000000e+00],[-0.00176472  0.31616009  0.79324397]
14,[ 6.62264272e-04 -2.49996159e-01 -1.21739591e-03  1.00000000e+00],[-0.00180058  0.31286782  0.79318507]
15,[ 6.79077051e-04 -2.49996192e-01 -1.20122618e-03  1.00000000e+00],[-0.00186054  0.30957691  0.79311519]
16,[ 7.05192728e-04 -2.49996217e-01 -1.18073432e-03  1.00000000e+00],[-0.00193975  0.30629369  0.79303819]
17,[ 7.38891935e-04 -2.49996229e-01 -1.15731241e-03  1.00000000e+00],[-0.00203356  0.30302174  0.7929571 ]
18,[ 7.78506928e-04 -2.49996225e-01 -1.13206480e-03  1.00000000e+00],[-0.00213779  0.29976265  0.79287416]
19,[ 8.22515354e-04 -2.49996201e-01 -1.10583421e-03  1.00000000e+00],[-0.00224886  0.29651658  0.79279102]
20,[ 8.69593290e-04 -2.49996158e-01 -1.07923620e-03  1.00000000e+00],[-0.00236381  0.29328274  0.79270877]
21,[ 9.18637685e-04 -2.49996096e-01 -1.05269683e-03  1.00000000e+00],[-0.00248032  0.29005983  0.7926281 ]
22,[ 9.68767122e-04 -2.49996016e-01 -1.02648972e-03  1.00000000e+00],[-0.00259661  0.28684624  0.79254939]
23,[ 0.00101931 -0.24999592 -0.00100077  1.        ],[-0.00271144  0.28364035  0.79247278]
24,[ 1.06977067e-03 -2.49995808e-01 -9.75606358e-04  1.00000000e+00],[-0.00282398  0.28044062  0.79239825]
25,[ 1.11982365e-03 -2.49995683e-01 -9.51003186e-04  1.00000000e+00],[-0.00293371  0.27724565  0.79232568]
26,[ 1.16926328e-03 -2.49995547e-01 -9.26924620e-04  1.00000000e+00],[-0.00304042  0.27405431  0.7922549 ]
27,[ 1.21798691e-03 -2.49995401e-01 -9.03309074e-04  1.00000000e+00],[-0.00314404  0.27086564  0.79218569]
28,[ 1.26596745e-03 -2.49995246e-01 -8.80081773e-04  1.00000000e+00],[-0.00324469  0.26767892  0.79211785]
29,[ 1.31323138e-03 -2.49995081e-01 -8.57163648e-04  1.00000000e+00],[-0.00334252  0.26449362  0.79205117]
30,[ 1.35984045e-03 -2.49994909e-01 -8.34477314e-04  1.00000000e+00],[-0.00343778  0.26130938  0.79198546]
31,[ 1.40587683e-03 -2.49994728e-01 -8.11951123e-04  1.00000000e+00],[-0.00353069  0.25812596  0.79192056]
32,[ 1.45143173e-03 -2.49994540e-01 -7.89521271e-04  1.00000000e+00],[-0.00362151  0.25494324  0.79185633]
33,[ 1.49659692e-03 -2.49994343e-01 -7.67132867e-04  1.00000000e+00],[-0.00371045  0.25176116  0.79179266]
34,[ 1.54145878e-03 -2.49994138e-01 -7.44740119e-04  1.00000000e+00],[-0.00379771  0.24857974  0.79172947]
35,[ 1.58609448e-03 -2.49993925e-01 -7.22305857e-04  1.00000000e+00],[-0.00388346  0.245399    0.79166669]
36,[ 1.63056970e-03 -2.49993703e-01 -6.99801129e-04  1.00000000e+00],[-0.00396782  0.242219    0.79160425]
37,[ 1.67493768e-03 -2.49993472e-01 -6.77203856e-04  1.00000000e+00],[-0.00405091  0.23903981  0.79154214]
38,[ 1.71923916e-03 -2.49993232e-01 -6.54498139e-04  1.00000000e+00],[-0.00413279  0.2358615   0.79148033]
39,[ 1.76350294e-03 -2.49992982e-01 -6.31673265e-04  1.00000000e+00],[-0.0042135   0.23268411  0.79141881]
40,[ 1.80774678e-03 -2.49992723e-01 -6.08722817e-04  1.00000000e+00],[-0.00429307  0.22950771  0.79135758]
41,[ 1.85197866e-03 -2.49992454e-01 -5.85643877e-04  1.00000000e+00],[-0.0043715   0.22633231  0.79129664]
42,[ 1.89619800e-03 -2.49992176e-01 -5.62436330e-04  1.00000000e+00],[-0.00444876  0.22315797  0.791236  ]
43,[ 1.94039693e-03 -2.49991888e-01 -5.39102271e-04  1.00000000e+00],[-0.00452483  0.21998468  0.79117568]
44,[ 1.98456154e-03 -2.49991591e-01 -5.15645509e-04  1.00000000e+00],[-0.00459967  0.21681245  0.79111569]
45,[ 2.02867297e-03 -2.49991285e-01 -4.92071154e-04  1.00000000e+00],[-0.00467322  0.21364127  0.79105604]
46,[ 2.07270836e-03 -2.49990969e-01 -4.68385286e-04  1.00000000e+00],[-0.00474544  0.21047114  0.79099677]
47,[ 2.11664176e-03 -2.49990644e-01 -4.44594681e-04  1.00000000e+00],[-0.00481627  0.20730203  0.79093788]
48,[ 2.16044481e-03 -2.49990311e-01 -4.20706602e-04  1.00000000e+00],[-0.00488563  0.20413392  0.7908794 ]
49,[ 2.20408735e-03 -2.49989969e-01 -3.96728624e-04  1.00000000e+00],[-0.00495348  0.20096677  0.79082135]
50,[ 2.24753795e-03 -2.49989619e-01 -3.72668506e-04  1.00000000e+00],[-0.00501974  0.19780055  0.79076374]
51,[ 2.29076427e-03 -2.49989262e-01 -3.48534082e-04  1.00000000e+00],[-0.00508436  0.19463522  0.7907066 ]
52,[ 2.33373339e-03 -2.49988897e-01 -3.24333185e-04  1.00000000e+00],[-0.00514727  0.19147074  0.79064995]
53,[ 2.37641209e-03 -2.49988525e-01 -3.00073579e-04  1.00000000e+00],[-0.0052084   0.18830707  0.79059381]
54,[ 2.41876701e-03 -2.49988147e-01 -2.75762911e-04  1.00000000e+00],[-0.00526771  0.18514416  0.79053819]
55,[ 2.46076486e-03 -2.49987763e-01 -2.51408674e-04  1.00000000e+00],[-0.00532514  0.18198196  0.7904831 ]
56,[ 2.50237251e-03 -2.49987373e-01 -2.27018169e-04  1.00000000e+00],[-0.00538062  0.17882043  0.79042858]
57,[ 2.54355710e-03 -2.49986978e-01 -2.02598483e-04  1.00000000e+00],[-0.00543411  0.17565952  0.79037462]
58,[ 2.58428615e-03 -2.49986579e-01 -1.78156466e-04  1.00000000e+00],[-0.00548556  0.17249917  0.79032125]
