step,action,eef_pos
0,[-4.02174373e-04 -9.99958796e-01 -9.06887984e-03  1.00000000e+00],[-3.97126753e-04  3.45897395e-01  7.84144001e-01]
1,[ 5.70648246e-04 -9.99964433e-01  8.41473234e-03  1.00000000e+00],[-0.00128307  0.33776853  0.77923438]
2,[ 0.00186533 -0.99987578  0.01565102  1.        ],[-0.00125181  0.32913877  0.77937841]
3,[ 0.00184301 -0.99987602  0.01563785  1.        ],[-0.00101012  0.31976382  0.78053023]
4,[ 0.00150802 -0.99989892  0.01413753  1.        ],[-7.19203365e-04  3.09555668e-01  7.81682786e-01]
5,[ 0.00109035 -0.9999199   0.01260932  1.        ],[-4.84281694e-04  2.98577655e-01  7.82634202e-01]
6,[ 7.46634312e-04 -9.99935239e-01  1.13561121e-02  1.00000000e+00],[-3.86388935e-04  2.86943657e-01  7.83355310e-01]
7,[ 6.06596575e-04 -9.99945406e-01  1.04315783e-02  1.00000000e+00],[-4.76125477e-04  2.74786813e-01  7.83859085e-01]
8,[ 7.62023672e-04 -9.99951410e-01  9.82833883e-03  1.00000000e+00],[-7.73812306e-04  2.62241064e-01  7.84171877e-01]
9,[ 0.00126384 -0.9999539   0.00951889  1.        ],[-0.00127571  0.24942889  0.78432475]
10,[ 0.00212811 -0.99995292  0.00946731  1.        ],[-0.00196203  0.23645524  0.78434942]
11,[ 0.00334541 -0.99994799  0.00963464  1.        ],[-0.00280398  0.22340543  0.78427579]
12,[ 0.00488974 -0.99993822  0.00998221  1.        ],[-0.00376898  0.21034537  0.78413049]
13,[ 0.00672565 -0.99992253  0.010474    1.        ],[-0.00482427  0.19732317  0.78393607]
14,[ 0.00881342 -0.99989979  0.01107814  1.        ],[-0.005939    0.18437143  0.78371094]
15,[ 0.01111253 -0.99986901  0.01176754  1.        ],[-0.00708522  0.17150984  0.78346957]
16,[ 0.01358367 -0.99982935  0.01252003  1.        ],[-0.00823824  0.15874763  0.78322304]
17,[ 0.01618962 -0.99978024  0.01331794  1.        ],[-0.00937645  0.14608585  0.78297971]
18,[ 0.0188956  -0.99972136  0.01414742  1.        ],[-0.01048107  0.13351931  0.78274581]
19,[ 0.0216691  -0.9996527   0.01499768  1.        ],[-0.01153579  0.12103804  0.78252604]
20,[ 0.02447973 -0.99957451  0.01586025  1.        ],[-0.01252656  0.10862858  0.78232397]
21,[ 0.02729907 -0.99948733  0.01672835  1.        ],[-0.01344139  0.09627496  0.7821424 ]
22,[ 0.03010075 -0.99939197  0.01759637  1.        ],[-0.01427042  0.08395946  0.78198358]
23,[ 0.03286086 -0.99928945  0.01845962  1.        ],[-0.01500605  0.07166333  0.78184923]
24,[ 0.03555859 -0.99918094  0.01931422  1.        ],[-0.01564309  0.05936738  0.78174064]
25,[ 0.03817722 -0.99906766  0.0201571   1.        ],[-0.01617899  0.04705269  0.78165865]
26,[ 0.04070497 -0.99895079  0.02098613  1.        ],[-0.01661389  0.03470121  0.7816036 ]
27,[ 0.04313602 -0.99883133  0.02180026  1.        ],[-0.01695058  0.02229622  0.78157538]
28,[ 0.0454711  -0.99870999  0.02259963  1.        ],[-0.01719445  0.0098203   0.78157328]
29,[ 0.0477187  -0.99858701  0.02338615  1.        ],[-0.017352   -0.00273817  0.78159665]
30,[ 0.04989123 -0.99846236  0.02416168  1.        ],[-0.0174607  -0.01538585  0.78164103]
31,[ 0.05209448 -0.99833071  0.02493921  1.        ],[-0.01756005 -0.02812508  0.78170755]
32,[ 0.05445648 -0.99818494  0.02571619  1.        ],[-0.01764475 -0.04095293  0.78178289]
33,[ 0.05698117 -0.99802254  0.02653597  1.        ],[-0.01771455 -0.05386617  0.78186216]
34,[ 0.0596902  -0.99784025  0.02742092  1.        ],[-0.01776951 -0.06686123  0.78194577]
35,[ 0.06261055 -0.99763448  0.02837895  1.        ],[-0.01780981 -0.07993399  0.78203507]
36,[ 0.06577472 -0.99740082  0.02941587  1.        ],[-0.01783569 -0.09308039  0.78213147]
37,[ 0.06922232 -0.99713372  0.03053865  1.        ],[-0.01784731 -0.10629562  0.78223612]
38,[ 0.07300102 -0.99682615  0.03175667  1.        ],[-0.01784446 -0.11957383  0.78234992]
39,[ 0.0771677  -0.99646911  0.03308246  1.        ],[-0.01782645 -0.1329088   0.78247361]
40,[ 0.08179077 -0.9960511   0.03453236  1.        ],[-0.01779191 -0.14629463  0.78260785]
41,[ 0.08695336 -0.9955571   0.03612721  1.        ],[-0.01773752 -0.15972202  0.78275335]
42,[ 0.09274992 -0.99496813  0.03789292  1.        ],[-0.01765824 -0.17318075  0.7829109 ]
43,[ 0.09929275 -0.9942595   0.03986223  1.        ],[-0.01754706 -0.18665996  0.78308154]
44,[ 0.10671741 -0.99339869  0.04207659  1.        ],[-0.01739469 -0.20014812  0.7832667 ]
45,[ 0.1151903  -0.99234219  0.04458895  1.        ],[-0.01718913 -0.21363308  0.78346838]
46,[ 0.12492003 -0.99103067  0.04746781  1.        ],[-0.01691527 -0.22710201  0.78368931]
47,[ 0.13617515 -0.98938128  0.05080375  1.        ],[-0.01655427 -0.24054126  0.78393325]
48,[ 0.14931298 -0.98727473  0.05471972  1.        ],[-0.01608285 -0.25393616  0.78420524]
