step,action,eef_pos
0,[ 3.58441673e-04  4.99884836e-01 -1.07248307e-02  1.00000000e+00],[-0.00121248 -0.34788006  0.79376912]
1,[ 8.68677167e-04  4.99991953e-01 -2.70036323e-03  1.00000000e+00],[-0.00192771 -0.34427207  0.78990853]
2,[1.38828699e-03 4.99998068e-01 6.58712690e-05 1.00000000e+00],[-0.00207173 -0.34054262  0.78975563]
3,[1.50006997e-03 4.99997718e-01 1.76941942e-04 1.00000000e+00],[-0.00203274 -0.33639046  0.79028035]
4,[ 1.48073671e-03  4.99997766e-01 -2.04216702e-04  1.00000000e+00],[-0.00188115 -0.33173011  0.79085198]
5,[ 1.37968158e-03  4.99997706e-01 -6.24865408e-04  1.00000000e+00],[-0.00167011 -0.32659837  0.79133978]
6,[ 1.23419056e-03  4.99997497e-01 -9.90077559e-04  1.00000000e+00],[-0.00145267 -0.32105657  0.79171782]
7,[ 0.00108237  0.49999719 -0.00127993  1.        ],[-0.0012686  -0.31517701  0.79198741]
8,[ 9.53572113e-04  4.99996859e-01 -1.49388668e-03  1.00000000e+00],[-0.00114311 -0.30903304  0.79215869]
9,[ 8.67260497e-04  4.99996566e-01 -1.63776294e-03  1.00000000e+00],[-0.00108881 -0.30269244  0.79224528]
10,[ 8.34084757e-04  4.99996346e-01 -1.71999876e-03  1.00000000e+00],[-0.0011084  -0.29621408  0.79226197]
11,[ 8.57603140e-04  4.99996201e-01 -1.75015714e-03  1.00000000e+00],[-0.0011978  -0.28964676  0.79222339]
12,[ 9.36287128e-04  4.99996103e-01 -1.73796739e-03  1.00000000e+00],[-0.00134878 -0.28302918  0.79214302]
13,[ 0.00106533  0.499996   -0.00169266  1.        ],[-0.00155108 -0.2763907   0.79203268]
14,[ 0.0012381   0.49999583 -0.00162252  1.        ],[-0.00179392 -0.26975254  0.79190222]
15,[ 0.00144727  0.49999555 -0.00153465  1.        ],[-0.00206698 -0.26312901  0.79175952]
16,[ 0.00168558  0.4999951  -0.00143486  1.        ],[-0.00236106 -0.25652893  0.79161058]
17,[ 0.00194635  0.49999445 -0.00132769  1.        ],[-0.00266833 -0.24995686  0.79145976]
18,[ 0.00222374  0.49999357 -0.00121654  1.        ],[-0.00298245 -0.24341425  0.79131003]
19,[ 0.00251292  0.49999247 -0.00110379  1.        ],[-0.00329846 -0.2369004   0.79116327]
20,[ 2.81002127e-03  4.99991122e-01 -9.91011067e-04  1.00000000e+00],[-0.00361271 -0.23041325  0.79102051]
21,[ 3.11212094e-03  4.99989542e-01 -8.79107743e-04  1.00000000e+00],[-0.00392257 -0.22394999  0.79088219]
22,[ 3.41709098e-03  4.99987733e-01 -7.68502012e-04  1.00000000e+00],[-0.00422632 -0.21750752  0.79074831]
23,[ 3.72347182e-03  4.99985701e-01 -6.59272787e-04  1.00000000e+00],[-0.00452284 -0.21108279  0.79061864]
24,[ 4.03032641e-03  4.99983452e-01 -5.51276089e-04  1.00000000e+00],[-0.00481153 -0.20467294  0.79049283]
25,[ 4.33710317e-03  4.99980992e-01 -4.44240139e-04  1.00000000e+00],[-0.00509207 -0.19827547  0.79037047]
26,[ 4.64351302e-03  4.99978323e-01 -3.37837298e-04  1.00000000e+00],[-0.00536433 -0.19188824  0.79025116]
27,[ 4.94942510e-03  4.99975449e-01 -2.31735641e-04  1.00000000e+00],[-0.00562828 -0.18550948  0.79013456]
28,[ 5.25478290e-03  4.99972371e-01 -1.25633502e-04  1.00000000e+00],[-0.00588389 -0.17913775  0.79002041]
29,[ 5.55954023e-03  4.99969090e-01 -1.92803017e-05  1.00000000e+00],[-0.00613109 -0.1727719   0.7899085 ]
30,[5.86361577e-03 4.99965609e-01 8.75129890e-05 1.00000000e+00],[-0.00636976 -0.16641097  0.78979872]
31,[6.16686372e-03 4.99961930e-01 1.94871132e-04 1.00000000e+00],[-0.00659969 -0.16005418  0.78969103]
32,[6.46905805e-03 4.99958058e-01 3.02857267e-04 1.00000000e+00],[-0.00682062 -0.15370086  0.78958544]
33,[6.76988791e-03 4.99953997e-01 4.11479067e-04 1.00000000e+00],[-0.00703221 -0.14735039  0.78948201]
34,[7.06896158e-03 4.99949756e-01 5.20697095e-04 1.00000000e+00],[-0.00723405 -0.14100216  0.78938084]
35,[7.36581699e-03 4.99945344e-01 6.30434122e-04 1.00000000e+00],[-0.00742574 -0.13465558  0.78928206]
36,[7.65993661e-03 4.99940773e-01 7.40584836e-04 1.00000000e+00],[-0.00760683 -0.12831003  0.78918579]
37,[7.95076539e-03 4.99936057e-01 8.51025262e-04 1.00000000e+00],[-0.00777691 -0.12196484  0.78909217]
38,[8.23773007e-03 4.99931210e-01 9.61621612e-04 1.00000000e+00],[-0.00793556 -0.11561932  0.78900134]
39,[0.00852026 0.49992625 0.00107224 1.        ],[-0.00808245 -0.10927274  0.78891342]
40,[0.0087978  0.49992119 0.00118275 1.        ],[-0.00821729 -0.10292435  0.78882852]
41,[0.00906984 0.49991606 0.00129302 1.        ],[-0.00833984 -0.09657338  0.78874672]
42,[0.00933593 0.49991086 0.00140297 1.        ],[-0.00844999 -0.09021905  0.78866808]
43,[0.00959567 0.49990563 0.0015125  1.        ],[-0.00854767 -0.08386058  0.78859266]
44,[0.00984875 0.49990036 0.00162156 1.        ],[-0.00863294 -0.07749723  0.78852045]
45,[0.01009495 0.49989509 0.00173011 1.        ],[-0.00870591 -0.07112828  0.78845147]
46,[0.01033413 0.49988981 0.00183815 1.        ],[-0.00876681 -0.06475305  0.78838567]
47,[0.01056627 0.49988455 0.00194569 1.        ],[-0.00881593 -0.05837091  0.78832301]
48,[0.01079142 0.49987932 0.00205278 1.        ],[-0.00885364 -0.05198131  0.78826342]
