step,action,eef_pos
0,[ 0.00116833  0.99959781 -0.02833474  1.        ],[-0.00159118 -0.34511826  0.79811595]
1,[ 0.00228892  0.99992923 -0.01167482  1.        ],[-0.00231281 -0.33708187  0.79374884]
2,[ 0.00336606  0.99997945 -0.00545606  1.        ],[-0.00234014 -0.32847276  0.79380788]
3,[ 0.00344906  0.9999783  -0.00561231  1.        ],[-0.00219127 -0.31907677  0.79465812]
4,[ 0.00327497  0.9999704  -0.0069618   1.        ],[-0.00198716 -0.30883919  0.79547388]
5,[ 0.00301604  0.99996094 -0.00830805  1.        ],[-0.00182784 -0.29783554  0.79609   ]
6,[ 0.00282132  0.99995184 -0.00940009  1.        ],[-0.00179287 -0.28618513  0.79648426]
7,[ 0.002818    0.99994409 -0.01019185  1.        ],[-0.0019318  -0.27402348  0.79667064]
8,[ 0.00309553  0.99993808 -0.01068906  1.        ],[-0.00226426 -0.26148439  0.79667517]
9,[ 0.00370264  0.99993357 -0.0109156   1.        ],[-0.00278631 -0.24868865  0.79652827]
10,[ 0.0046537   0.99992973 -0.01090351  1.        ],[-0.00347833 -0.23573881  0.79626093]
11,[ 0.00593792  0.99992525 -0.01068815  1.        ],[-0.00431181 -0.22271746  0.79590239]
12,[ 0.00752808  0.99991856 -0.0103051   1.        ],[-0.00525454 -0.20968787  0.79547865]
13,[ 0.00938748  0.99990803 -0.00978787  1.        ],[-0.00627408 -0.19669569  0.79501182]
14,[ 0.01147512  0.99989214 -0.0091665   1.        ],[-0.00733985 -0.18377137  0.79451992]
15,[ 0.01374914  0.99986963 -0.00846678  1.        ],[-0.00842427 -0.17093265  0.79401711]
16,[ 0.01616891  0.99983955 -0.00771014  1.        ],[-0.00950303 -0.15818713  0.79351424]
17,[ 0.01869615  0.99980131 -0.00691387  1.        ],[-0.01055518 -0.14553439  0.79301939]
18,[ 0.02129538  0.99975467 -0.0060917   1.        ],[-0.01156285 -0.13296796  0.79253846]
19,[ 0.02393405  0.99969973 -0.00525439  1.        ],[-0.01251103 -0.12047683  0.79207572]
20,[ 0.02658259  0.99963689 -0.00441035  1.        ],[-0.01338736 -0.10804672  0.7916342 ]
21,[ 0.0292144   0.99956681 -0.00356622  1.        ],[-0.01418199 -0.09566116  0.79121602]
22,[ 0.03180615  0.99949034 -0.00272718  1.        ],[-0.01488759 -0.08330231  0.79082257]
23,[ 0.03433811  0.99940847 -0.00189726  1.        ],[-0.01549937 -0.07095174  0.79045469]
24,[ 0.03679488  0.99932226 -0.00107941  1.        ],[-0.01601515 -0.0585911   0.79011266]
25,[ 3.91659596e-02  9.99232681e-01 -2.75511709e-04  1.00000000e+00],[-0.01643533 -0.04620279  0.78979631]
26,[4.14464646e-02 9.99140594e-01 5.13671484e-04 1.00000000e+00],[-0.01676281 -0.03377051  0.78950502]
27,[0.04363762 0.99904659 0.00128855 1.        ],[-0.01700171 -0.02127973  0.78924208]
28,[0.04574415 0.99895111 0.00203923 1.        ],[-0.01715614 -0.00871605  0.78901915]
29,[0.04777174 0.99885454 0.00273121 1.        ],[-0.01724813  0.00392976  0.78882235]
30,[0.0497779  0.99875453 0.00339867 1.        ],[-0.01731772  0.01666236  0.78863875]
31,[0.05188209 0.99864489 0.00407817 1.        ],[-0.01738104  0.02947961  0.78845338]
32,[0.05414737 0.99852133 0.00481821 1.        ],[-0.01744095  0.04237768  0.78826436]
33,[0.0566042  0.99838081 0.00563296 1.        ],[-0.01749738  0.05535288  0.78807307]
34,[0.05927848 0.99822014 0.00652816 1.        ],[-0.01754961  0.06840173  0.78788143]
35,[0.06219902 0.99803552 0.00750861 1.        ],[-0.01759675  0.08152062  0.78769138]
36,[0.06539956 0.99782227 0.00858013 1.        ],[-0.01763777  0.09470527  0.78750469]
37,[0.0689203  0.99757452 0.00975053 1.        ],[-0.01767134  0.10795009  0.78732282]
38,[0.07280879 0.99728492 0.01103041 1.        ],[-0.01769641  0.12125264  0.7871472 ]
39,[0.07712583 0.99694384 0.01243328 1.        ],[-0.01771052  0.13460595  0.7869791 ]
40,[0.08193926 0.99653932 0.01397644 1.        ],[-0.01771011  0.14800208  0.78681974]
41,[0.08732891 0.99605609 0.01568195 1.        ],[-0.01769034  0.16143229  0.78667034]
42,[0.09338968 0.99547446 0.01757773 1.        ],[-0.01764479  0.1748871   0.7865323 ]
43,[0.10023526 0.99476874 0.01969906 1.        ],[-0.01756515  0.18835638  0.78640728]
44,[0.10800359 0.99390504 0.0220907  1.        ],[-0.01744084  0.20182933  0.78629738]
45,[0.11686473 0.9928379  0.02480993 1.        ],[-0.01725863  0.21529445  0.78620529]
46,[0.12703281 0.99150518 0.02793113 1.        ],[-0.01700219  0.22873951  0.78613452]
47,[0.13878476 0.98981978 0.03155293 1.        ],[-0.01665146  0.24215136  0.78608968]
48,[0.15249072 0.98765593 0.03580987 1.        ],[-0.0161819   0.25551572  0.78607677]
