step,action,eef_pos
0,[ 7.01844386e-05  6.40844428e-06 -2.49999990e-01  1.00000000e+00],[ 1.83249317e-04 -1.84714605e-05  1.29664857e+00]
1,[-9.04222953e-05  9.11453249e-06 -2.49999983e-01  1.00000000e+00],[ 1.33459752e-03 -2.54210487e-05  1.29615980e+00]
2,[-6.59175651e-04  1.25557976e-05 -2.49999131e-01  1.00000000e+00],[ 2.74349206e-03 -2.70885240e-05  1.29450015e+00]
3,[-1.35948992e-03  1.34232484e-05 -2.49996303e-01  1.00000000e+00],[ 4.08182737e-03 -2.64116478e-05  1.29248746e+00]
4,[-2.03074355e-03  1.31400176e-05 -2.49991752e-01  1.00000000e+00],[ 5.25289243e-03 -2.43701746e-05  1.29028438e+00]
5,[-2.62480857e-03  1.21774896e-05 -2.49986220e-01  1.00000000e+00],[ 6.26204639e-03 -2.14010402e-05  1.28793285e+00]
6,[-3.14377294e-03  1.07440934e-05 -2.49980232e-01  1.00000000e+00],[ 7.10345301e-03 -1.75774573e-05  1.28543311e+00]
7,[-3.58409784e-03  8.86883133e-06 -2.49974307e-01  1.00000000e+00],[ 7.77293261e-03 -1.30854089e-05  1.28277826e+00]
8,[-3.94293258e-03  6.63776306e-06 -2.49968905e-01  1.00000000e+00],[ 8.27899317e-03 -8.17844404e-06  1.27997568e+00]
9,[-4.22358288e-03  4.17228708e-06 -2.49964320e-01  1.00000000e+00],[ 8.63620920e-03 -3.00677282e-06  1.27703851e+00]
10,[-4.43232497e-03  1.54315324e-06 -2.49960706e-01  1.00000000e+00],[8.86262550e-03 2.39564349e-06 1.27398295e+00]
11,[-4.57719637e-03 -1.23725533e-06 -2.49958095e-01  1.00000000e+00],[8.97783755e-03 8.06514553e-06 1.27082656e+00]
12,[-4.66710540e-03 -4.19264484e-06 -2.49956432e-01  1.00000000e+00],[9.00157157e-03 1.40707710e-05 1.26758707e+00]
13,[-4.71116877e-03 -7.36424483e-06 -2.49955606e-01  1.00000000e+00],[8.95267432e-03 2.04917112e-05 1.26428142e+00]
14,[-4.71823232e-03 -1.07995276e-05 -2.49955472e-01  1.00000000e+00],[8.84843548e-03 2.74055674e-05 1.26092523e+00]
15,[-4.69653852e-03 -1.45462216e-05 -2.49955881e-01  1.00000000e+00],[8.70417191e-03 3.48829146e-05 1.25753233e+00]
16,[-4.65350911e-03 -1.86494433e-05 -2.49956685e-01  1.00000000e+00],[8.53301739e-03 4.29851273e-05 1.25411461e+00]
17,[-4.59561893e-03 -2.31504585e-05 -2.49957756e-01  1.00000000e+00],[8.34587332e-03 5.17637494e-05 1.25068192e+00]
