step,action,eef_pos
0,[ 3.50358528e-04  2.52155600e-05 -9.99999938e-01  1.00000000e+00],[ 4.41929511e-04 -1.74201573e-07  1.29129850e+00]
1,[-8.81569234e-04  3.47500548e-07 -9.99999611e-01  1.00000000e+00],[2.39335027e-03 3.54802593e-06 1.28274744e+00]
2,[-4.85709683e-03 -7.20041096e-06 -9.99988204e-01  1.00000000e+00],[4.61865047e-03 1.19131527e-05 1.27226573e+00]
3,[-9.57654342e-03 -2.47013333e-05 -9.99954144e-01  1.00000000e+00],[6.61489268e-03 2.53447490e-05 1.26116242e+00]
4,[-1.40381332e-02 -5.37866568e-05 -9.99901459e-01  1.00000000e+00],[8.24095466e-03 4.14475973e-05 1.24968205e+00]
5,[-1.79246300e-02 -9.01513084e-05 -9.99839337e-01  1.00000000e+00],[9.45418754e-03 5.90179769e-05 1.23787105e+00]
6,[-2.11044714e-02 -1.31745134e-04 -9.99777267e-01  1.00000000e+00],[1.02447235e-02 7.78535125e-05 1.22574218e+00]
7,[-2.35044791e-02 -1.78619389e-04 -9.99723716e-01  1.00000000e+00],[1.06236990e-02 9.79172940e-05 1.21330978e+00]
8,[-2.50888480e-02 -2.31240749e-04 -9.99685199e-01  1.00000000e+00],[1.06214097e-02 1.16807731e-04 1.20059796e+00]
9,[-2.58594986e-02 -2.84386861e-04 -9.99665547e-01  1.00000000e+00],[1.02813033e-02 1.33290448e-04 1.18763829e+00]
10,[-2.58472791e-02 -3.35093257e-04 -9.99665847e-01  1.00000000e+00],[9.65455250e-03 1.46684964e-04 1.17446644e+00]
11,[-2.51036454e-02 -3.81408390e-04 -9.99684781e-01  1.00000000e+00],[8.79575487e-03 1.56927544e-04 1.16111946e+00]
12,[-2.36939471e-02 -4.22730394e-04 -9.99719170e-01  1.00000000e+00],[7.75956543e-03 1.66275525e-04 1.14763351e+00]
13,[-2.16918676e-02 -4.64823282e-04 -9.99764596e-01  1.00000000e+00],[6.59820045e-03 1.75323987e-04 1.13404232e+00]
14,[-1.91749276e-02 -5.09506309e-04 -9.99816014e-01  1.00000000e+00],[5.35961922e-03 1.82629875e-04 1.12037595e+00]
15,[-1.62206517e-02 -5.52721280e-04 -9.99868284e-01  1.00000000e+00],[4.08628012e-03 1.88375369e-04 1.10666022e+00]
16,[-1.29032288e-02 -5.94832077e-04 -9.99916573e-01  1.00000000e+00],[2.81440369e-03 1.94038669e-04 1.09291626e+00]
17,[-9.29062575e-03 -6.40540895e-04 -9.99956636e-01  1.00000000e+00],[1.57366641e-03 2.00886312e-04 1.07916065e+00]
18,[-5.44210545e-03 -6.94711716e-04 -9.99984950e-01  1.00000000e+00],[3.87260448e-04 2.09575937e-04 1.06540554e+00]
19,[-1.40614436e-03 -7.60971134e-04 -9.99998722e-01  1.00000000e+00],[-7.27745586e-04  2.21760685e-04  1.05165922e+00]
20,[ 2.78126067e-03 -8.47513588e-04 -9.99995773e-01  1.00000000e+00],[-1.75980946e-03  2.40774489e-04  1.03792660e+00]
21,[ 7.09792466e-03 -9.71127399e-04 -9.99974338e-01  1.00000000e+00],[-2.70212211e-03  2.67299761e-04  1.02420984e+00]
22,[ 0.01153641 -0.00114121 -0.9999328   1.        ],[-3.56787656e-03  3.01485734e-04  1.01050180e+00]
23,[ 0.01617858 -0.00136709 -0.99986818  1.        ],[-4.37375216e-03  3.41812495e-04  9.96794807e-01]
24,[ 0.02114545 -0.00165253 -0.99977504  1.        ],[-5.10560405e-03  3.87270057e-04  9.83092813e-01]
25,[ 0.0264319  -0.00200491 -0.99964861  1.        ],[-5.76212299e-03  4.36699413e-04  9.69393632e-01]
26,[ 0.03210335 -0.00243305 -0.99948159  1.        ],[-6.34311726e-03  4.88479948e-04  9.55695087e-01]
27,[ 0.03825368 -0.00294589 -0.99926372  1.        ],[-6.84770750e-03  5.40480869e-04  9.41995362e-01]
28,[ 0.04500615 -0.00355228 -0.99898039  1.        ],[-7.27373786e-03  5.90085034e-04  9.28293029e-01]
29,[ 0.05252348 -0.00426099 -0.9986106   1.        ],[-7.61725366e-03  6.34274335e-04  9.14587105e-01]
30,[ 0.06102524 -0.00508146 -0.99812329  1.        ],[-7.87188619e-03  6.69767458e-04  9.00877115e-01]
31,[ 0.07081695 -0.00602535 -0.99747113  1.        ],[-8.02803924e-03  6.93184610e-04  8.87163179e-01]
