step,action,eef_pos
0,[-8.14669407e-04  2.35930716e-05  4.99999336e-01  1.00000000e+00],[-4.32487644e-04 -4.25705843e-05  7.86482548e-01]
1,[4.29466229e-04 4.22731807e-05 4.99999814e-01 1.00000000e+00],[-3.17246430e-03 -6.12824431e-05  7.84804703e-01]
2,[3.13977758e-03 6.06510341e-05 4.99990138e-01 1.00000000e+00],[-5.46484991e-03 -8.21673331e-05  7.88713050e-01]
3,[5.45049611e-03 8.19515149e-05 4.99970284e-01 1.00000000e+00],[-7.41498727e-03 -1.07021200e-04  7.94054400e-01]
4,[7.47476988e-03 1.07884048e-04 4.99944113e-01 1.00000000e+00],[-8.97459208e-03 -1.32930024e-04  7.99825849e-01]
5,[9.15295908e-03 1.35571964e-04 4.99916198e-01 1.00000000e+00],[-1.01652059e-02 -1.50579712e-04  8.05812888e-01]
6,[1.04948745e-02 1.55463174e-04 4.99889821e-01 1.00000000e+00],[-1.10348325e-02 -1.60305146e-04  8.11953884e-01]
7,[1.15385240e-02 1.67622370e-04 4.99866817e-01 1.00000000e+00],[-1.16411738e-02 -1.65564953e-04  8.18215363e-01]
8,[1.23336264e-02 1.75413262e-04 4.99847828e-01 1.00000000e+00],[-1.20408835e-02 -1.71574708e-04  8.24570373e-01]
9,[1.29309080e-02 1.84256974e-04 4.99832730e-01 1.00000000e+00],[-1.22850976e-02 -1.80638541e-04  8.30995399e-01]
10,[1.33775335e-02 1.96701581e-04 4.99820971e-01 1.00000000e+00],[-1.24176944e-02 -1.91731299e-04  8.37470263e-01]
11,[1.37151437e-02 2.11764135e-04 4.99811815e-01 1.00000000e+00],[-1.24748325e-02 -2.06317128e-04  8.43978232e-01]
12,[1.39790875e-02 2.31195504e-04 4.99804493e-01 1.00000000e+00],[-1.24851871e-02 -2.24506920e-04  8.50505922e-01]
13,[1.41983149e-02 2.55312149e-04 4.99798302e-01 1.00000000e+00],[-1.24705874e-02 -2.45793174e-04  8.57043036e-01]
14,[1.43956751e-02 2.83736329e-04 4.99792641e-01 1.00000000e+00],[-1.24468768e-02 -2.69767032e-04  8.63581989e-01]
15,[1.45884730e-02 3.16182855e-04 4.99787031e-01 1.00000000e+00],[-1.24248628e-02 -2.96083923e-04  8.70117499e-01]
16,[1.47891653e-02 3.52425146e-04 4.99781108e-01 1.00000000e+00],[-1.24112685e-02 -3.24454021e-04  8.76646173e-01]
17,[1.50061195e-02 3.92288329e-04 4.99774612e-01 1.00000000e+00],[-1.24096312e-02 -3.54633179e-04  8.83166116e-01]
18,[1.52443760e-02 4.35642400e-04 4.99767365e-01 1.00000000e+00],[-1.24211089e-02 -3.86413041e-04  8.89676579e-01]
19,[1.55063728e-02 4.82393699e-04 4.99759262e-01 1.00000000e+00],[-1.24451782e-02 -4.19347192e-04  8.96177642e-01]
20,[1.57926048e-02 5.32140594e-04 4.99750248e-01 1.00000000e+00],[-1.24802097e-02 -4.52472101e-04  9.02669959e-01]
21,[1.61021951e-02 5.83787790e-04 4.99740311e-01 1.00000000e+00],[-1.25239272e-02 -4.85045446e-04  9.09154537e-01]
22,[1.64333727e-02 6.36456319e-04 4.99729466e-01 1.00000000e+00],[-1.25737639e-02 -5.16572525e-04  9.15632567e-01]
23,[1.67838663e-02 6.89537700e-04 4.99717747e-01 1.00000000e+00],[-1.26271234e-02 -5.46753266e-04  9.22105296e-01]
24,[1.71512096e-02 7.42645778e-04 4.99705198e-01 1.00000000e+00],[-1.26815577e-02 -5.75440648e-04  9.28573925e-01]
25,[1.75329664e-02 7.95579046e-04 4.99691867e-01 1.00000000e+00],[-1.27348759e-02 -6.02604029e-04  9.35039555e-01]
26,[1.79268843e-02 8.48285667e-04 4.99677803e-01 1.00000000e+00],[-1.27852014e-02 -6.28298148e-04  9.41503148e-01]
27,[1.83309911e-02 9.00832726e-04 4.99663050e-01 1.00000000e+00],[-1.28309889e-02 -6.52637916e-04  9.47965509e-01]
28,[1.87436458e-02 9.53380448e-04 4.99647643e-01 1.00000000e+00],[-1.28710155e-02 -6.75777896e-04  9.54427284e-01]
29,[0.01916356 0.00100616 0.49963161 1.        ],[-1.29043528e-02 -6.97896198e-04  9.60888968e-01]
30,[0.01958977 0.00105946 0.49961497 1.        ],[-1.29303299e-02 -7.19181627e-04  9.67350920e-01]
31,[0.02002164 0.0011136  0.49959773 1.        ],[-1.29484916e-02 -7.39823493e-04  9.73813381e-01]
32,[0.02045882 0.00116893 0.49957989 1.        ],[-1.29585559e-02 -7.60003682e-04  9.80276488e-01]
33,[0.02090121 0.00122583 0.49956144 1.        ],[-1.29603749e-02 -7.79890385e-04  9.86740300e-01]
34,[0.02134888 0.00128467 0.49954237 1.        ],[-1.29538989e-02 -7.99633464e-04  9.93204810e-01]
35,[0.02180212 0.00134583 0.49952263 1.        ],[-1.29391456e-02 -8.19361069e-04  9.99669962e-01]
36,[0.02226133 0.00140968 0.4995022  1.        ],[-1.29161753e-02 -8.39177403e-04  1.00613567e+00]
37,[0.022727   0.0014766  0.49948103 1.        ],[-1.28850704e-02 -8.59161501e-04  1.01260180e+00]
38,[0.02319974 0.00154693 0.49945909 1.        ],[-1.28459195e-02 -8.79367161e-04  1.01906824e+00]
39,[0.0236802  0.00162103 0.4994363  1.        ],[-1.27988066e-02 -8.99817356e-04  1.02553484e+00]
40,[0.0241691  0.0016992  0.49941262 1.        ],[-1.27438006e-02 -9.20127358e-04  1.03200145e+00]
41,[0.0246672  0.00178102 0.49938798 1.        ],[-1.26842433e-02 -9.39073391e-04  1.03846623e+00]
42,[0.02518162 0.00186431 0.499362   1.        ],[-1.26503529e-02 -9.55520368e-04  1.04491296e+00]
43,[0.02577337 0.00194674 0.4993315  1.        ],[-1.26284843e-02 -9.68793937e-04  1.05134628e+00]
44,[0.02642058 0.00202685 0.49929735 1.        ],[-1.26120972e-02 -9.78595560e-04  1.05776802e+00]
45,[0.0271139  0.00210382 0.49925986 1.        ],[-1.25984893e-02 -9.84887488e-04  1.06417902e+00]
46,[0.02785129 0.00217728 0.49921896 1.        ],[-1.25850963e-02 -9.87794030e-04  1.07058041e+00]
47,[0.02863081 0.00224721 0.49917455 1.        ],[-1.25693797e-02 -9.87526395e-04  1.07697342e+00]
48,[0.02945037 0.0023138  0.49912656 1.        ],[-1.25489387e-02 -9.84329998e-04  1.08335919e+00]
49,[0.03030796 0.00237733 0.49907492 1.        ],[-1.25215920e-02 -9.78451317e-04  1.08973878e+00]
50,[0.03120184 0.00243815 0.49901954 1.        ],[-1.24854186e-02 -9.70118883e-04  1.09611307e+00]
51,[0.03213073 0.00249656 0.4989603  1.        ],[-1.24387656e-02 -9.59535184e-04  1.10248279e+00]
52,[0.03309383 0.00255288 0.49889706 1.        ],[-1.23802347e-02 -9.46874985e-04  1.10884847e+00]
53,[0.03409095 0.00260737 0.49882964 1.        ],[-1.23086539e-02 -9.32287414e-04  1.11521052e+00]
54,[0.03512246 0.00266026 0.49875779 1.        ],[-1.22230421e-02 -9.15899709e-04  1.12156918e+00]
55,[0.03618935 0.00271175 0.49868124 1.        ],[-1.21225697e-02 -8.97821130e-04  1.12792457e+00]
56,[0.03729318 0.00276201 0.49859963 1.        ],[-1.20065203e-02 -8.78146882e-04  1.13427671e+00]
57,[0.03843613 0.00281119 0.49851255 1.        ],[-1.18742540e-02 -8.57113627e-04  1.14062557e+00]
58,[0.03962097 0.00285994 0.4984195  1.        ],[-1.17251773e-02 -8.36562943e-04  1.14697100e+00]
59,[0.04085108 0.00291463 0.49831987 1.        ],[-1.15587068e-02 -8.16435622e-04  1.15331284e+00]
60,[0.04213049 0.00297584 0.49821297 1.        ],[-1.13742470e-02 -7.96359582e-04  1.15965087e+00]
61,[0.04346396 0.0030431  0.49809801 1.        ],[-1.11711698e-02 -7.76182690e-04  1.16598486e+00]
62,[0.04485704 0.00311671 0.49797403 1.        ],[-1.09487953e-02 -7.55819827e-04  1.17231455e+00]
63,[0.04631624 0.00319731 0.49783992 1.        ],[-1.07063737e-02 -7.35204397e-04  1.17863965e+00]
64,[0.04784918 0.00328579 0.49769434 1.        ],[-1.04430693e-02 -7.14273272e-04  1.18495986e+00]
65,[0.0494649  0.00338324 0.4975357  1.        ],[-1.01579435e-02 -6.92961198e-04  1.19127484e+00]
66,[0.05117415 0.00349103 0.49736206 1.        ],[-9.84993593e-03 -6.71196999e-04  1.19758425e+00]
67,[0.05298991 0.00361085 0.49717103 1.        ],[-9.51784266e-03 -6.48900118e-04  1.20388768e+00]
68,[0.05492807 0.00374484 0.49695964 1.        ],[-9.16028901e-03 -6.25976258e-04  1.21018470e+00]
69,[0.05700832 0.00389571 0.49672414 1.        ],[-8.77569393e-03 -6.02312836e-04  1.21647479e+00]
70,[0.05925557 0.00406696 0.4964597  1.        ],[-8.36222252e-03 -5.77772807e-04  1.22275735e+00]
71,[0.06170191 0.00426318 0.49615995 1.        ],[-7.91772051e-03 -5.52186948e-04  1.22903167e+00]
72,[0.06438974 0.00449058 0.49581629 1.        ],[-7.43962167e-03 -5.25343302e-04  1.23529687e+00]
73,[0.06737664 0.00475775 0.49541675 1.        ],[-6.92481273e-03 -4.96971569e-04  1.24155184e+00]
74,[0.07074355 0.00507704 0.49494401 1.        ],[-6.36942910e-03 -4.66720097e-04  1.24779516e+00]
75,[0.07460914 0.00546699 0.49437191 1.        ],[-5.76853176e-03 -4.34118418e-04  1.25402492e+00]
76,[0.07915713 0.00595707 0.49365845 1.        ],[-5.11556545e-03 -3.98513855e-04  1.26023846e+00]
