step,action,eef_pos
0,[-7.05649965e-04 -2.71458729e-05  9.99999751e-01  1.00000000e+00],[-1.67455329e-03  3.55429846e-06  7.91809284e-01]
1,[ 3.36125058e-03 -7.13437298e-06  9.99994351e-01  1.00000000e+00],[-5.93356419e-03  3.95084332e-05  7.90348658e-01]
2,[ 1.18745720e-02 -7.90664292e-05  9.99929492e-01  1.00000000e+00],[-9.73751845e-03  7.54133767e-05  7.97091772e-01]
3,[ 1.97513821e-02 -1.52966942e-04  9.99804911e-01  1.00000000e+00],[-1.30873195e-02  1.05191028e-04  8.07692996e-01]
4,[ 2.71248471e-02 -2.18019477e-04  9.99632030e-01  1.00000000e+00],[-1.59773474e-02  1.28402242e-04  8.19226431e-01]
5,[ 3.39189671e-02 -2.72590395e-04  9.99424549e-01  1.00000000e+00],[-1.83525392e-02  1.46273970e-04  8.31104896e-01]
6,[ 3.99609386e-02 -3.18497896e-04  9.99201192e-01  1.00000000e+00],[-2.02325136e-02  1.63087889e-04  8.43205374e-01]
7,[ 4.52373382e-02 -3.64643866e-04  9.98976201e-01  1.00000000e+00],[-2.16721946e-02  1.83010957e-04  8.55486728e-01]
8,[ 4.98150164e-02 -4.20663159e-04  9.98758373e-01  1.00000000e+00],[-2.27386023e-02  2.04593962e-04  8.67919589e-01]
9,[ 5.37946657e-02 -4.84025518e-04  9.98551901e-01  1.00000000e+00],[-2.34987826e-02  2.26454434e-04  8.80476241e-01]
10,[ 5.72865147e-02 -5.52062016e-04  9.98357627e-01  1.00000000e+00],[-2.40143303e-02  2.46533136e-04  8.93130536e-01]
11,[ 6.03989104e-02 -6.20060298e-04  9.98174127e-01  1.00000000e+00],[-2.43389707e-02  2.60858317e-04  9.05858867e-01]
12,[ 6.32326409e-02 -6.77709853e-04  9.97998584e-01  1.00000000e+00],[-2.45177126e-02  2.69136213e-04  9.18640798e-01]
13,[ 6.58781192e-02 -7.23158308e-04  9.97827415e-01  1.00000000e+00],[-2.45868936e-02  2.72138498e-04  9.31459279e-01]
14,[ 6.84142082e-02 -7.57238395e-04  9.97656716e-01  1.00000000e+00],[-2.45747586e-02  2.70484475e-04  9.44300562e-01]
15,[ 7.09081073e-02 -7.80456990e-04  9.97482547e-01  1.00000000e+00],[-2.45023349e-02  2.64549625e-04  9.57153943e-01]
16,[ 7.34159378e-02 -7.92665634e-04  9.97301094e-01  1.00000000e+00],[-2.43844618e-02  2.54855188e-04  9.70011395e-01]
17,[ 7.59838301e-02 -7.94148071e-04  9.97108734e-01  1.00000000e+00],[-2.42308730e-02  2.44416866e-04  9.82867137e-01]
18,[ 7.86493705e-02 -7.93336363e-04  9.96902025e-01  1.00000000e+00],[-2.40472418e-02  2.35047159e-04  9.95717186e-01]
19,[ 8.14432497e-02 -7.96058220e-04  9.96677663e-01  1.00000000e+00],[-2.38361342e-02  2.27330631e-04  1.00855891e+00]
20,[ 8.43910054e-02 -8.04856204e-04  9.96432391e-01  1.00000000e+00],[-2.35978343e-02  2.21475966e-04  1.02139065e+00]
21,[ 8.75147729e-02 -8.21364308e-04  9.96162883e-01  1.00000000e+00],[-2.33331732e-02  2.17442597e-04  1.03421023e+00]
22,[ 9.08429120e-02 -8.46568040e-04  9.95864875e-01  1.00000000e+00],[-2.30703638e-02  2.14836044e-04  1.04700059e+00]
23,[ 9.45149581e-02 -8.80143022e-04  9.95523052e-01  1.00000000e+00],[-2.27932773e-02  2.12625898e-04  1.05976398e+00]
24,[ 9.85179645e-02 -9.19019690e-04  9.95134848e-01  1.00000000e+00],[-2.24901413e-02  2.09066084e-04  1.07250150e+00]
25,[ 1.02855194e-01 -9.56131505e-04  9.94695881e-01  1.00000000e+00],[-2.21536437e-02  2.00955320e-04  1.08521304e+00]
26,[ 1.07551433e-01 -9.75597193e-04  9.94199043e-01  1.00000000e+00],[-2.17764663e-02  1.89452202e-04  1.09789857e+00]
27,[ 1.12637748e-01 -9.79932608e-04  9.93635636e-01  1.00000000e+00],[-2.13510531e-02  1.75634354e-04  1.11055786e+00]
28,[ 1.18152234e-01 -9.71923555e-04  9.92995018e-01  1.00000000e+00],[-2.08696301e-02  1.60277717e-04  1.12319035e+00]
29,[ 1.24142587e-01 -9.53408871e-04  9.92263931e-01  1.00000000e+00],[-2.03241590e-02  1.43980097e-04  1.13579501e+00]
30,[ 1.30669512e-01 -9.25686963e-04  9.91425550e-01  1.00000000e+00],[-1.97062128e-02  1.27221986e-04  1.14837033e+00]
31,[ 1.37811366e-01 -8.89700919e-04  9.90458094e-01  1.00000000e+00],[-1.90067833e-02  1.10397707e-04  1.16091427e+00]
32,[ 1.45670887e-01 -8.46104867e-04  9.89332743e-01  1.00000000e+00],[-1.82160175e-02  9.38338721e-05  1.17342416e+00]
33,[ 1.54385460e-01 -7.95266334e-04  9.88010373e-01  1.00000000e+00],[-1.73228645e-02  7.78025688e-05  1.18589663e+00]
34,[ 1.64143579e-01 -7.37221730e-04  9.86436182e-01  1.00000000e+00],[-1.63145848e-02  6.25323104e-05  1.19832732e+00]
