step,action,eef_pos
0,[-4.99818135e-01 -2.90731069e-06 -1.34845005e-02  1.00000000e+00],[2.45707169e-01 4.86616019e-08 7.91537261e-01]
1,[-4.99997596e-01 -4.90827760e-08 -1.55056603e-03  1.00000000e+00],[ 2.42223196e-01 -2.08022276e-05  7.87100487e-01]
2,[-4.99991325e-01  2.11305226e-05  2.94527198e-03  1.00000000e+00],[ 2.40297713e-01 -4.58405450e-05  7.88832990e-01]
3,[-4.99998581e-01  4.67475308e-05  1.19009963e-03  1.00000000e+00],[ 2.39377781e-01 -6.47225130e-05  7.92441412e-01]
4,[-4.99993774e-01  6.61265279e-05 -2.49437300e-03  1.00000000e+00],[ 2.38891523e-01 -7.84126560e-05  7.96483762e-01]
5,[-4.99956028e-01  8.01872772e-05 -6.63050152e-03  1.00000000e+00],[ 2.38664065e-01 -8.95641780e-05  8.00626953e-01]
6,[-4.99881801e-01  9.16202067e-05 -1.08709042e-02  1.00000000e+00],[ 2.38619210e-01 -9.96179944e-05  8.04785221e-01]
7,[-4.99771242e-01  1.01891632e-04 -1.51226724e-02  1.00000000e+00],[ 2.38716396e-01 -1.05781047e-04  8.08940386e-01]
8,[-4.99624916e-01  1.08142160e-04 -1.93631493e-02  1.00000000e+00],[ 2.38897893e-01 -1.02417830e-04  8.13060965e-01]
9,[-4.99444680e-01  1.04627246e-04 -2.35584498e-02  1.00000000e+00],[ 2.39113490e-01 -8.91628807e-05  8.17121710e-01]
10,[-4.99233063e-01  9.10076269e-05 -2.76828484e-02  1.00000000e+00],[ 2.39315346e-01 -6.64850989e-05  8.21100158e-01]
11,[-4.98993124e-01  6.78000546e-05 -3.17152635e-02  1.00000000e+00],[ 2.39447710e-01 -3.92285922e-05  8.24975433e-01]
12,[-4.98728270e-01  3.99724170e-05 -3.56386127e-02  1.00000000e+00],[ 2.39457181e-01 -1.16463183e-05  8.28735312e-01]
13,[-4.98441558e-01  1.18600958e-05 -3.94463293e-02  1.00000000e+00],[2.39302933e-01 1.46146670e-05 8.32345439e-01]
14,[-4.98138056e-01 -1.48785575e-05 -4.31100512e-02  1.00000000e+00],[2.38921731e-01 3.88995197e-05 8.35768616e-01]
15,[-4.97823522e-01 -3.96077626e-05 -4.66019250e-02  1.00000000e+00],[2.38242838e-01 6.09806050e-05 8.38967196e-01]
16,[-4.97504152e-01 -6.21373255e-05 -4.98960385e-02  1.00000000e+00],[2.37189552e-01 8.08244721e-05 8.41901040e-01]
17,[-4.97186676e-01 -8.24829894e-05 -5.29660488e-02  1.00000000e+00],[2.35680215e-01 9.83558322e-05 8.44527396e-01]
18,[-4.96878322e-01 -1.00623578e-04 -5.57846092e-02  1.00000000e+00],[2.33630811e-01 1.11685458e-04 8.46802078e-01]
19,[-4.96586678e-01 -1.14677373e-04 -5.83237344e-02  1.00000000e+00],[2.30959558e-01 1.18588359e-04 8.48681796e-01]
20,[-4.96319427e-01 -1.22375583e-04 -6.05558510e-02  1.00000000e+00],[2.27593542e-01 1.18983301e-04 8.50127617e-01]
21,[-4.96083959e-01 -1.23589835e-04 -6.24555061e-02  1.00000000e+00],[2.23476954e-01 1.13306090e-04 8.51109344e-01]
22,[-4.95886853e-01 -1.18668923e-04 -6.40016798e-02  1.00000000e+00],[2.18579840e-01 1.02883881e-04 8.51610355e-01]
23,[-4.95733276e-01 -1.08845833e-04 -6.51805740e-02  1.00000000e+00],[2.12905659e-01 8.92080302e-05 8.51632078e-01]
24,[-4.95626371e-01 -9.55137431e-05 -6.59885711e-02  1.00000000e+00],[2.06495695e-01 7.32052266e-05 8.51197107e-01]
25,[-4.95566743e-01 -7.94707947e-05 -6.64349110e-02  1.00000000e+00],[1.99428426e-01 5.54507242e-05 8.50349586e-01]
26,[-4.95552226e-01 -6.11415038e-05 -6.65431246e-02  1.00000000e+00],[1.91813452e-01 3.64013642e-05 8.49152530e-01]
27,[-4.95578011e-01 -4.08310692e-05 -6.63508384e-02  1.00000000e+00],[1.83780992e-01 1.65217746e-05 8.47682516e-01]
28,[-4.95637113e-01 -1.88777398e-05 -6.59079033e-02  1.00000000e+00],[ 1.75469048e-01 -3.67729555e-06  8.46022612e-01]
29,[-4.95721142e-01  4.28447888e-06 -6.52728871e-02  1.00000000e+00],[ 1.67010825e-01 -2.36591050e-05  8.44254862e-01]
30,[-4.95821200e-01  2.81304108e-05 -6.45084227e-02  1.00000000e+00],[ 1.58524565e-01 -4.30117951e-05  8.42453674e-01]
31,[-4.95928766e-01  5.22142076e-05 -6.36761844e-02  1.00000000e+00],[ 1.50106978e-01 -6.33333120e-05  8.40681042e-01]
32,[-4.96036386e-01  7.85180687e-05 -6.28322985e-02  1.00000000e+00],[ 1.41830348e-01 -8.51185673e-05  8.38983966e-01]
33,[-4.96138121e-01  1.07777680e-04 -6.20238146e-02  1.00000000e+00],[ 1.33742693e-01 -1.07858387e-04  8.37393945e-01]
34,[-4.96229718e-01  1.39475066e-04 -6.12865980e-02  1.00000000e+00],[ 1.25870433e-01 -1.31250732e-04  8.35928351e-01]
35,[-4.96308537e-01  1.73306685e-04 -6.06449210e-02  1.00000000e+00],[ 1.18221693e-01 -1.55075290e-04  8.34592501e-01]
36,[-4.96373356e-01  2.09045919e-04 -6.01119641e-02  1.00000000e+00],[ 1.10789480e-01 -1.79144967e-04  8.33381902e-01]
37,[-4.96424157e-01  2.46492468e-04 -5.96908323e-02  1.00000000e+00],[ 1.03555709e-01 -2.03200723e-04  8.32285087e-01]
38,[-4.96461821e-01  2.85333820e-04 -5.93765863e-02  1.00000000e+00],[ 9.64955895e-02 -2.27221247e-04  8.31286579e-01]
39,[-4.96487788e-01  3.25581560e-04 -5.91588544e-02  1.00000000e+00],[ 8.95812643e-02 -2.51301893e-04  8.30369305e-01]
