step,action,eef_pos
0,[-9.99566329e-01 -9.14562324e-06 -2.94474865e-02  1.00000000e+00],[2.43270563e-01 2.43712382e-05 7.90202241e-01]
1,[-9.99999915e-01 -4.94074407e-05 -4.09999489e-04  1.00000000e+00],[2.36090104e-01 4.39914549e-05 7.81712235e-01]
2,[-9.99854679e-01 -9.04874667e-05  1.70473747e-02  1.00000000e+00],[2.30130291e-01 4.17245483e-05 7.81757989e-01]
3,[-9.99852690e-01 -8.68897518e-05  1.71636677e-02  1.00000000e+00],[2.26442849e-01 4.17123629e-05 7.87185157e-01]
4,[-9.99982544e-01 -8.75480340e-05  5.90793673e-03  1.00000000e+00],[2.23482288e-01 5.96692347e-05 7.93700488e-01]
5,[-9.99969453e-01 -1.26018256e-04 -7.81523399e-03  1.00000000e+00],[2.20655330e-01 8.98756720e-05 8.00118351e-01]
6,[-9.99768971e-01 -1.90914460e-04 -2.14934641e-02  1.00000000e+00],[2.17694175e-01 1.22701611e-04 8.06150582e-01]
7,[-9.99404257e-01 -2.62198076e-04 -3.45117849e-02  1.00000000e+00],[2.14372453e-01 1.53656721e-04 8.11710345e-01]
8,[-9.98908859e-01 -3.30530070e-04 -4.67009949e-02  1.00000000e+00],[2.10485450e-01 1.80355089e-04 8.16729985e-01]
9,[-9.98319419e-01 -3.91004726e-04 -5.79498497e-02  1.00000000e+00],[2.05795326e-01 2.00944912e-04 8.21132190e-01]
10,[-9.97675384e-01 -4.39841702e-04 -6.81442265e-02  1.00000000e+00],[2.00039194e-01 2.14069142e-04 8.24830769e-01]
11,[-9.97018285e-01 -4.74249470e-04 -7.71641990e-02  1.00000000e+00],[1.92961164e-01 2.20209579e-04 8.27738137e-01]
12,[-9.96390409e-01 -4.95336228e-04 -8.48876174e-02  1.00000000e+00],[1.84365638e-01 2.20503548e-04 8.29788108e-01]
13,[-9.95830765e-01 -5.05528518e-04 -9.12185911e-02  1.00000000e+00],[1.74153990e-01 2.15356833e-04 8.30951598e-01]
14,[-9.95371363e-01 -5.05382548e-04 -9.61020019e-02  1.00000000e+00],[1.62350403e-01 2.04914462e-04 8.31249367e-01]
15,[-9.95033645e-01 -4.94474559e-04 -9.95379358e-02  1.00000000e+00],[1.49107514e-01 1.89649144e-04 8.30757838e-01]
16,[-9.94825826e-01 -4.72724415e-04 -1.01594053e-01  1.00000000e+00],[1.34684776e-01 1.65307474e-04 8.29603104e-01]
17,[-9.94742365e-01 -4.27462582e-04 -1.02408226e-01  1.00000000e+00],[1.19404942e-01 1.27475303e-04 8.27944587e-01]
18,[-9.94765816e-01 -3.43276605e-04 -1.02180491e-01  1.00000000e+00],[1.03602575e-01 8.08686329e-05 8.25953178e-01]
19,[-9.94870625e-01 -2.27526135e-04 -1.01155261e-01  1.00000000e+00],[8.75799592e-02 3.09585363e-05 8.23790000e-01]
20,[-9.95027842e-01 -9.12512864e-05 -9.95971173e-02  1.00000000e+00],[ 7.15801290e-02 -1.56063391e-05  8.21590794e-01]
21,[-9.95209473e-01  4.82976872e-05 -9.77655471e-02  1.00000000e+00],[ 5.57780060e-02 -5.41585484e-05  8.19457926e-01]
22,[-9.95391569e-01  1.76300981e-04 -9.58936571e-02  1.00000000e+00],[ 4.02846185e-02 -8.13076735e-05  8.17459227e-01]
23,[-9.95555738e-01  2.78851567e-04 -9.41737510e-02  1.00000000e+00],[ 2.51579564e-02 -9.47288411e-05  8.15631516e-01]
24,[-9.95689326e-01  3.42786729e-04 -9.27504610e-02  1.00000000e+00],[ 1.04164745e-02 -9.30427906e-05  8.13987029e-01]
25,[-9.95784591e-01  3.55778479e-04 -9.17219771e-02  1.00000000e+00],[-3.94950833e-03 -7.58903251e-05  8.12519935e-01]
26,[-9.95837612e-01  3.07150128e-04 -9.11447000e-02  1.00000000e+00],[-1.79702569e-02 -4.55148300e-05  8.11211547e-01]
27,[-9.95847424e-01  1.95344897e-04 -9.10377446e-02  1.00000000e+00],[-3.16882993e-02 -5.33609832e-06  8.10035943e-01]
28,[-9.95814932e-01  2.43402730e-05 -9.13926774e-02  1.00000000e+00],[-4.51502319e-02  4.18564681e-05  8.08965077e-01]
29,[-9.95741766e-01 -2.03457557e-04 -9.21861879e-02  1.00000000e+00],[-5.84011509e-02  9.40801653e-05  8.07972074e-01]
30,[-9.95629430e-01 -4.88880710e-04 -9.33905721e-02  1.00000000e+00],[-7.14813494e-02  1.50077798e-04  8.07032981e-01]
31,[-9.95478686e-01 -8.36883139e-04 -9.49815043e-02  1.00000000e+00],[-8.44246432e-02  2.00124231e-04  8.06127442e-01]
32,[-0.99528915 -0.00120297 -0.09694358  1.        ],[-9.72578015e-02  2.37340659e-04  8.05238682e-01]
33,[-0.9950589  -0.00154619 -0.09927437  1.        ],[-1.10000481e-01  2.82349816e-04  8.04353641e-01]
34,[-0.99478325 -0.00200627 -0.10199151  1.        ],[-1.22661307e-01  3.34755665e-04  8.03475537e-01]
35,[-0.9944438  -0.00261425 -0.10523639  1.        ],[-1.35247824e-01  3.91726929e-04  8.02587636e-01]
36,[-0.99403164 -0.0033933  -0.1090394   1.        ],[-1.47762252e-01  4.56622255e-04  8.01674840e-01]
37,[-0.99353327 -0.0044374  -0.11345459  1.        ],[-1.60203767e-01  5.25223192e-04  8.00726792e-01]
