step,action,eef_pos
0,[ 4.99794669e-01  3.00275948e-05 -1.43278646e-02  1.00000000e+00],[-2.48323938e-01 -3.75511206e-05  7.94080443e-01]
1,[ 4.99983237e-01  3.76761569e-05 -4.09403012e-03  1.00000000e+00],[-2.45685961e-01 -5.18827190e-05  7.90528647e-01]
2,[ 4.99999713e-01  5.23342331e-05 -5.33247585e-04  1.00000000e+00],[-2.43941201e-01 -5.10253523e-05  7.89226970e-01]
3,[4.99999385e-01 5.16511777e-05 7.82510833e-04 1.00000000e+00],[-2.43243538e-01 -3.35478244e-05  7.89056774e-01]
4,[4.99999085e-01 3.40073011e-05 9.56144773e-04 1.00000000e+00],[-2.40253595e-01 -4.93319681e-05  7.88475935e-01]
5,[4.99997581e-01 5.03124607e-05 1.55435630e-03 1.00000000e+00],[-2.36418440e-01 -6.68177377e-05  7.87829687e-01]
6,[4.99995018e-01 6.86827086e-05 2.23088914e-03 1.00000000e+00],[-2.32039602e-01 -8.30482565e-05  7.87286385e-01]
7,[4.99992070e-01 8.61411999e-05 2.81467735e-03 1.00000000e+00],[-2.27183128e-01 -9.75618637e-05  7.86880317e-01]
8,[4.99989304e-01 1.02224671e-04 3.26878328e-03 1.00000000e+00],[-2.21890644e-01 -1.09179005e-04  7.86610289e-01]
9,[4.99987087e-01 1.15679540e-04 3.59153465e-03 1.00000000e+00],[-2.16207053e-01 -1.18632449e-04  7.86464630e-01]
10,[4.99985608e-01 1.27227842e-04 3.79152194e-03 1.00000000e+00],[-2.10182824e-01 -1.28162357e-04  7.86427584e-01]
11,[4.99984915e-01 1.39247364e-04 3.88140061e-03 1.00000000e+00],[-2.03872015e-01 -1.37769767e-04  7.86481533e-01]
12,[4.99984954e-01 1.51767036e-04 3.87593952e-03 1.00000000e+00],[-1.97329735e-01 -1.47342399e-04  7.86608207e-01]
13,[4.99985601e-01 1.64686298e-04 3.79104599e-03 1.00000000e+00],[-1.90609746e-01 -1.56776882e-04  7.86789593e-01]
14,[4.99986696e-01 1.77904270e-04 3.64304458e-03 1.00000000e+00],[-1.83762421e-01 -1.65982442e-04  7.87008661e-01]
15,[4.99988074e-01 1.91324185e-04 3.44804803e-03 1.00000000e+00],[-1.76833128e-01 -1.74658406e-04  7.87249944e-01]
16,[4.99989581e-01 2.04593733e-04 3.22139823e-03 1.00000000e+00],[-1.69861089e-01 -1.81424843e-04  7.87499945e-01]
17,[4.99991090e-01 2.16049563e-04 2.97718815e-03 1.00000000e+00],[-1.62878739e-01 -1.84086735e-04  7.87747397e-01]
18,[4.99992509e-01 2.22927411e-04 2.72788245e-03 1.00000000e+00],[-1.55911538e-01 -1.81208151e-04  7.87983366e-01]
19,[4.99993780e-01 2.23208605e-04 2.48404933e-03 1.00000000e+00],[-1.48978206e-01 -1.73372066e-04  7.88201218e-01]
20,[4.99994871e-01 2.17267867e-04 2.25421294e-03 1.00000000e+00],[-1.42091288e-01 -1.62066572e-04  7.88396470e-01]
21,[4.99995776e-01 2.06667692e-04 2.04482492e-03 1.00000000e+00],[-1.35257963e-01 -1.47047004e-04  7.88566556e-01]
22,[4.99996503e-01 1.90840929e-04 1.86035553e-03 1.00000000e+00],[-1.28480974e-01 -1.29216501e-04  7.88710536e-01]
23,[4.99997069e-01 1.70703090e-04 1.70346298e-03 1.00000000e+00],[-1.21759518e-01 -1.10655347e-04  7.88828903e-01]
24,[4.99997497e-01 1.48825770e-04 1.57506564e-03 1.00000000e+00],[-1.15085734e-01 -9.07422071e-05  7.88935144e-01]
25,[4.99997858e-01 1.24274670e-04 1.45835814e-03 1.00000000e+00],[-1.08453330e-01 -6.84122296e-05  7.89031022e-01]
26,[4.99998164e-01 9.54266187e-05 1.35160488e-03 1.00000000e+00],[-1.01856606e-01 -4.25539249e-05  7.89111384e-01]
27,[4.99998402e-01 6.04703565e-05 1.26274888e-03 1.00000000e+00],[-9.52896759e-02 -1.21159087e-05  7.89177058e-01]
28,[4.99998580e-01 1.75445070e-05 1.19166587e-03 1.00000000e+00],[-8.87474964e-02  2.25216826e-05  7.89229836e-01]
29,[ 4.99998707e-01 -3.32424956e-05  1.13677832e-03  1.00000000e+00],[-8.22257269e-02  5.52027403e-05  7.89271527e-01]
30,[ 4.99998791e-01 -8.30799701e-05  1.09635012e-03  1.00000000e+00],[-7.57207353e-02  8.31238974e-05  7.89303720e-01]
31,[ 4.99998841e-01 -1.27599652e-04  1.06882676e-03  1.00000000e+00],[-6.92295939e-02  1.05768849e-04  7.89327738e-01]
32,[ 4.99998864e-01 -1.65662286e-04  1.05294233e-03  1.00000000e+00],[-6.27500196e-02  1.30630401e-04  7.89344637e-01]
33,[ 4.99998859e-01 -2.08841078e-04  1.04774009e-03  1.00000000e+00],[-5.62802754e-02  1.60104520e-04  7.89355248e-01]
34,[ 4.99998824e-01 -2.61368682e-04  1.05254963e-03  1.00000000e+00],[-4.98191277e-02  1.91803670e-04  7.89360191e-01]
35,[ 4.99998759e-01 -3.19864838e-04  1.06698903e-03  1.00000000e+00],[-4.33657647e-02  2.23078416e-04  7.89359908e-01]
36,[ 4.99998665e-01 -3.80204248e-04  1.09094291e-03  1.00000000e+00],[-3.69197084e-02  2.51443423e-04  7.89354699e-01]
37,[ 4.99998543e-01 -4.38176053e-04  1.12452974e-03  1.00000000e+00],[-3.04807347e-02  2.74682805e-04  7.89344758e-01]
38,[ 4.99998396e-01 -4.89662728e-04  1.16806666e-03  1.00000000e+00],[-2.40488043e-02  2.90918148e-04  7.89330203e-01]
39,[ 4.99998225e-01 -5.30776108e-04  1.22203587e-03  1.00000000e+00],[-1.76240049e-02  2.98657401e-04  7.89311103e-01]
40,[ 4.99998032e-01 -5.57977275e-04  1.28705543e-03  1.00000000e+00],[-1.12065080e-02  2.96825753e-04  7.89287501e-01]
41,[ 4.99997817e-01 -5.68179675e-04  1.36385574e-03  1.00000000e+00],[-4.79653581e-03  2.84887384e-04  7.89259424e-01]
42,[ 4.99997575e-01 -5.59046067e-04  1.45326248e-03  1.00000000e+00],[1.60565000e-03 2.64960645e-04 7.89226899e-01]
43,[ 4.99997294e-01 -5.33343877e-04  1.55618752e-03  1.00000000e+00],[7.99976224e-03 2.40076280e-04 7.89189953e-01]
44,[ 4.99996953e-01 -4.96021862e-04  1.67363820e-03  1.00000000e+00],[1.43855039e-02 2.12544887e-04 7.89148616e-01]
45,[ 4.99996532e-01 -4.51040612e-04  1.80671927e-03  1.00000000e+00],[2.07625737e-02 1.84419909e-04 7.89102927e-01]
46,[ 4.99996010e-01 -4.02243300e-04  1.95663052e-03  1.00000000e+00],[2.71306675e-02 1.57445480e-04 7.89052942e-01]
47,[ 4.99995361e-01 -3.53220466e-04  2.12467281e-03  1.00000000e+00],[3.34894765e-02 1.33028432e-04 7.88998732e-01]
48,[ 4.99994559e-01 -3.07206740e-04  2.31226067e-03  1.00000000e+00],[3.98386818e-02 1.12249551e-04 7.88940378e-01]
49,[ 4.99993573e-01 -2.67052255e-04  2.52094066e-03  1.00000000e+00],[4.61779475e-02 9.58970999e-05 7.88877977e-01]
50,[ 4.99992369e-01 -2.35243525e-04  2.75241544e-03  1.00000000e+00],[5.25069123e-02 8.45107611e-05 7.88811634e-01]
51,[ 4.99990903e-01 -2.13954889e-04  3.00857320e-03  1.00000000e+00],[5.88251804e-02 7.84258815e-05 7.88741460e-01]
52,[ 4.99989124e-01 -2.05111153e-04  3.29152332e-03  1.00000000e+00],[6.51323121e-02 7.78143572e-05 7.88667573e-01]
53,[ 4.99986969e-01 -2.10454109e-04  3.60363857e-03  1.00000000e+00],[7.14278099e-02 8.26968393e-05 7.88590088e-01]
54,[ 4.99984362e-01 -2.31542921e-04  3.94761283e-03  1.00000000e+00],[7.77111067e-02 9.32189428e-05 7.88509119e-01]
55,[ 4.99981208e-01 -2.70520744e-04  4.32652693e-03  1.00000000e+00],[8.39815651e-02 1.09255859e-04 7.88424779e-01]
56,[ 4.99977387e-01 -3.29032488e-04  4.74389957e-03  1.00000000e+00],[9.02384625e-02 1.30484573e-04 7.88337183e-01]
57,[ 4.99972753e-01 -4.08350672e-04  5.20377629e-03  1.00000000e+00],[9.64809783e-02 1.56518081e-04 7.88246441e-01]
58,[ 4.99967125e-01 -5.09734194e-04  5.71083561e-03  1.00000000e+00],[1.02708179e-01 1.85313812e-04 7.88152666e-01]
59,[ 4.99960284e-01 -6.29020305e-04  6.27050258e-03  1.00000000e+00],[1.08919009e-01 2.14669292e-04 7.88055968e-01]
60,[ 4.99951959e-01 -7.60728516e-04  6.88911064e-03  1.00000000e+00],[1.15112262e-01 2.44063079e-04 7.87956450e-01]
61,[ 4.99941811e-01 -9.04584359e-04  7.57412216e-03  1.00000000e+00],[1.21286566e-01 2.72549792e-04 7.87854209e-01]
62,[ 0.49992941 -0.0010586   0.00833436  1.        ],[1.27440352e-01 2.98884809e-04 7.87749339e-01]
63,[ 0.49991423 -0.00121914  0.00918033  1.        ],[1.33571825e-01 3.22177174e-04 7.87641932e-01]
64,[ 0.49989557 -0.0013833   0.01012459  1.        ],[1.39678928e-01 3.41844658e-04 7.87532081e-01]
65,[ 0.49987254 -0.00154892  0.01118232  1.        ],[1.45759295e-01 3.57481942e-04 7.87419882e-01]
66,[ 0.49984397 -0.00171416  0.01237191  1.        ],[1.51810207e-01 3.68770762e-04 7.87305443e-01]
67,[ 0.49980831 -0.00187713  0.01371591  1.        ],[1.57828527e-01 3.75426935e-04 7.87188892e-01]
68,[ 0.49976348 -0.0020356   0.01524212  1.        ],[1.63810627e-01 3.77941311e-04 7.87070394e-01]
69,[ 0.49970662 -0.00219122  0.0169852   1.        ],[1.69752302e-01 3.77467886e-04 7.86950169e-01]
70,[ 0.49963377 -0.00235017  0.01898869  1.        ],[1.75648660e-01 3.75230077e-04 7.86828533e-01]
71,[ 0.4995394  -0.00252103  0.02130792  1.        ],[1.81493996e-01 3.72201552e-04 7.86705951e-01]
72,[ 0.49941563 -0.00271339  0.02401395  1.        ],[1.87281643e-01 3.68907866e-04 7.86583119e-01]
73,[ 0.49925103 -0.00293658  0.02719908  1.        ],[1.93003795e-01 3.64643638e-04 7.86461096e-01]
74,[ 0.49902881 -0.00319263  0.03098478  1.        ],[1.98651280e-01 3.58195082e-04 7.86341487e-01]
75,[ 0.49872366 -0.00347896  0.03553325  1.        ],[2.04213309e-01 3.48460621e-04 7.86226746e-01]
76,[ 0.49829644 -0.0037923   0.04106432  1.        ],[2.09677179e-01 3.34553587e-04 7.86120652e-01]
77,[ 0.49768501 -0.00412923  0.04788091  1.        ],[2.15027956e-01 3.17169732e-04 7.86029088e-01]
78,[ 0.49678753 -0.00450548  0.05640791  1.        ],[2.20248151e-01 3.03090269e-04 7.85961316e-01]
