step,action,eef_pos
0,[ 0.99921958  0.00111197 -0.03948414  1.        ],[-2.49907727e-01 -5.53513322e-04  7.97035817e-01]
1,[ 0.99990036  0.00110712 -0.01407283  1.        ],[-0.24353675 -0.00095301  0.79167073]
2,[ 0.99999241  0.00193097 -0.00338518  1.        ],[-0.23654226 -0.00124427  0.78916678]
3,[0.99999526 0.00255736 0.00171252 1.        ],[-0.22921845 -0.00140182  0.78737943]
4,[0.99998077 0.00292517 0.00546831 1.        ],[-0.22123484 -0.00144089  0.78593625]
5,[0.99995814 0.00305755 0.00862326 1.        ],[-0.2124585  -0.00137599  0.78480437]
6,[0.99993247 0.00297517 0.01123404 1.        ],[-0.20283616 -0.00122162  0.78399749]
7,[0.99990852 0.00269746 0.01325415 1.        ],[-0.19236728 -0.00099251  0.78352096]
8,[0.99989024 0.0022434  0.01464469 1.        ],[-1.81094546e-01 -7.03528037e-04  7.83362081e-01]
9,[0.99988014 0.00163176 0.01539598 1.        ],[-1.69094358e-01 -3.69555662e-04  7.83491368e-01]
10,[9.99879039e-01 8.81689178e-04 1.55283516e-02 1.00000000e+00],[-1.56468510e-01 -5.68574468e-06  7.83865811e-01]
11,[9.99886144e-01 1.39865628e-05 1.50897058e-02 1.00000000e+00],[-1.43335494e-01  3.66659053e-04  7.84433035e-01]
12,[ 9.99899424e-01 -9.32085157e-04  1.41517997e-02  1.00000000e+00],[-1.29821328e-01  7.15507440e-04  7.85135939e-01]
13,[ 0.99991624 -0.00188364  0.01280511  1.        ],[-0.11605026  0.00104657  0.78591732]
14,[ 0.99993372 -0.0028589   0.0111526   1.        ],[-0.10213641  0.00134776  0.78672436]
15,[ 0.99994941 -0.00382719  0.00930172  1.        ],[-0.08817437  0.00160981  0.78752191]
16,[ 0.99996182 -0.00476011  0.00732756  1.        ],[-0.07424049  0.00182845  0.78827813]
17,[ 0.99997    -0.005639    0.00531031  1.        ],[-0.06039337  0.00199859  0.7889576 ]
18,[ 0.99997363 -0.00643873  0.00335825  1.        ],[-0.04667173  0.00211796  0.7895413 ]
19,[ 0.99997332 -0.00713886  0.00154613  1.        ],[-0.03309805  0.00218641  0.79001993]
20,[ 9.99970175e-01 -7.72293207e-03 -7.04091808e-05  1.00000000e+00],[-0.0196815   0.00220606  0.7903913 ]
21,[ 0.99996549 -0.00817995 -0.00145093  1.        ],[-0.006421    0.00218138  0.79065861]
22,[ 0.99996052 -0.00850669 -0.00256836  1.        ],[0.00669152 0.00211902 0.79082888]
23,[ 0.99995628 -0.00870881 -0.00340654  1.        ],[0.01966794 0.00203912 0.79091143]
24,[ 0.99995299 -0.00885254 -0.00395685  1.        ],[0.03252151 0.00192996 0.79091659]
25,[ 0.99995175 -0.00887385 -0.0042144   1.        ],[0.0452647  0.00179155 0.79085463]
26,[ 0.999953   -0.00875015 -0.00417411  1.        ],[0.05790803 0.00163653 0.79073517]
27,[ 0.99995639 -0.00851912 -0.00382702  1.        ],[0.07045925 0.00147751 0.79056671]
28,[ 0.99996116 -0.00822906 -0.00315634  1.        ],[0.08292289 0.00132532 0.79035639]
29,[ 0.99996627 -0.00793211 -0.00213301  1.        ],[0.09529998 0.00118834 0.7901099 ]
30,[ 9.99970246e-01 -7.68131536e-03 -7.10356424e-04  1.00000000e+00],[0.10758788 0.00107218 0.78983152]
31,[ 0.99997096 -0.00752852  0.00118299  1.        ],[0.11978011 0.00097966 0.78952428]
32,[ 0.99996503 -0.0075229   0.0036531   1.        ],[0.13186617 0.0009109  0.78919007]
33,[ 0.99994677 -0.00771034  0.00685565  1.        ],[0.14383108 0.00086365 0.78882999]
34,[ 0.9999062  -0.0081339   0.01101924  1.        ],[0.15565481 0.00083372 0.78844464]
