step,action,eef_pos
0,[-3.55938625e-05 -4.99953038e-01 -6.85262061e-03  1.00000000e+00],[-5.24351444e-04  3.48108918e-01  7.88381919e-01]
1,[ 3.75550200e-04 -4.99998516e-01  1.15889939e-03  1.00000000e+00],[-0.00110852  0.34459269  0.78457175]
2,[ 7.97935800e-04 -4.99984095e-01  3.90738141e-03  1.00000000e+00],[-0.0010559   0.34096398  0.78456818]
3,[ 7.64054537e-04 -4.99983967e-01  3.93048585e-03  1.00000000e+00],[-0.0008075   0.33689788  0.78525738]
4,[ 5.87773722e-04 -4.99987737e-01  3.45211381e-03  1.00000000e+00],[-4.64289889e-04  3.32300085e-01  7.85981699e-01]
5,[ 3.40232795e-04 -4.99991213e-01  2.94462138e-03  1.00000000e+00],[-8.51389256e-05  3.27216746e-01  7.86608297e-01]
6,[ 6.28586473e-05 -4.99993725e-01  2.50411759e-03  1.00000000e+00],[2.72997108e-04 3.21712737e-01 7.87110216e-01]
7,[-2.03207818e-04 -4.99995332e-01  2.15103612e-03  1.00000000e+00],[5.68900553e-04 3.15862257e-01 7.87488894e-01]
8,[-4.27187676e-04 -4.99996262e-01  1.88559091e-03  1.00000000e+00],[7.77933418e-04 3.09740123e-01 7.87755295e-01]
9,[-5.89571823e-04 -4.99996758e-01  1.70119263e-03  1.00000000e+00],[0.00088963 0.30341534 0.78792429]
10,[-6.80746987e-04 -4.99997014e-01  1.58834470e-03  1.00000000e+00],[0.00090439 0.29694794 0.78801228]
11,[-6.98964887e-04 -4.99997151e-01  1.53621750e-03  1.00000000e+00],[0.00082997 0.29038779 0.78803566]
12,[-6.48020143e-04 -4.99997228e-01  1.53369934e-03  1.00000000e+00],[6.78387805e-04 2.83774612e-01 7.88009754e-01]
13,[-5.35193474e-04 -4.99997248e-01  1.57014451e-03  1.00000000e+00],[4.63572718e-04 2.77138725e-01 7.87948132e-01]
14,[-3.69591361e-04 -4.99997187e-01  1.63588695e-03  1.00000000e+00],[1.99678166e-04 2.70502155e-01 7.87862295e-01]
15,[-1.60899498e-04 -4.99997007e-01  1.72254999e-03  1.00000000e+00],[-1.00047524e-04  2.63879922e-01  7.87761553e-01]
16,[ 8.14873186e-05 -4.99996669e-01  1.82318372e-03  1.00000000e+00],[-4.23913176e-04  2.57281370e-01  7.87653122e-01]
17,[ 3.49022651e-04 -4.99996145e-01  1.93226732e-03  1.00000000e+00],[-7.62092351e-04  2.50711430e-01  7.87542329e-01]
18,[ 6.34319010e-04 -4.99995413e-01  2.04561468e-03  1.00000000e+00],[-0.00110668  0.24417176  0.78743289]
19,[ 9.31272896e-04 -4.99994466e-01  2.16021852e-03  1.00000000e+00],[-0.00145161  0.23766175  0.78732721]
20,[ 0.00123506 -0.4999933   0.00227406  1.        ],[-0.00179242  0.23117929  0.78722665]
21,[ 0.00154203 -0.49999193  0.00238593  1.        ],[-0.00212601  0.22472147  0.78713185]
22,[ 0.00184957 -0.49999035  0.0024952   1.        ],[-0.00245042  0.21828501  0.7870429 ]
