step,action,eef_pos
0,[ 5.08500063e-04 -9.99854828e-01 -1.70312898e-02  1.00000000e+00],[-0.00114619  0.34544541  0.78994301]
1,[ 1.64813655e-03 -9.99998638e-01  8.19527292e-05  1.00000000e+00],[-0.00199198  0.3372626   0.78526923]
2,[ 0.00289835 -0.99997211  0.00688331  1.        ],[-0.0020459   0.32856546  0.78534656]
3,[ 0.00301495 -0.99997194  0.00685756  1.        ],[-0.00191955  0.31912696  0.78632452]
4,[ 0.00286869 -0.9999808   0.00549284  1.        ],[-0.0017483   0.30886854  0.7872883 ]
5,[ 0.00265346 -0.99998801  0.00411564  1.        ],[-0.00162817  0.29785536  0.78805567]
6,[ 0.00251315 -0.99999234  0.00300116  1.        ],[-0.00163421  0.28620127  0.78860181]
7,[ 0.00256868 -0.99999429  0.0021977   1.        ],[-0.00181294  0.27403841  0.78894074]
8,[ 0.00290515 -0.99999434  0.00169741  1.        ],[-0.00218225  0.26149885  0.78909891]
9,[ 0.00356866 -0.99999255  0.00147356  1.        ],[-0.00273756  0.24870268  0.78910695]
10,[ 0.00457244 -0.99998843  0.00149162  1.        ],[-0.00345942  0.23575231  0.78899585]
11,[ 0.00590583 -0.99998109  0.00171426  1.        ],[-0.00431997  0.22273054  0.78879461]
12,[ 0.00754253 -0.99996934  0.00210457  1.        ],[-0.00528793  0.20970097  0.78852892]
13,[ 0.00944732 -0.99995192  0.0026282   1.        ],[-0.00633188  0.19670966  0.78822048]
14,[ 0.01158096 -0.99992764  0.00325473  1.        ],[-0.00742227  0.18378745  0.78788686]
15,[ 0.01390346 -0.99989551  0.00395836  1.        ],[-0.00853233  0.17095253  0.78754184]
16,[ 0.01637595 -0.99985477  0.00471789  1.        ],[-0.00963846  0.15821288  0.78719593]
17,[ 0.0189617  -0.99980499  0.00551643  1.        ],[-0.01072009  0.14556849  0.78685696]
18,[ 0.0216264  -0.99974601  0.00634069  1.        ],[-0.01175948  0.13301325  0.78653069]
19,[ 0.02433824 -0.99967799  0.00718033  1.        ],[-0.01274148  0.12053645  0.78622136]
20,[ 0.02706782 -0.99960137  0.0080273   1.        ],[-0.01365328  0.10812407  0.78593208]
21,[ 0.02978819 -0.99951683  0.00887523  1.        ],[-0.01448438  0.09575972  0.78566515]
22,[ 0.03247503 -0.99942529  0.00971904  1.        ],[-0.01522657  0.08342555  0.78542226]
23,[ 0.03510714 -0.99932782  0.01055468  1.        ],[-0.01587404  0.07110292  0.78520454]
24,[ 0.03766715 -0.99922555  0.01137904  1.        ],[-0.01642353  0.05877312  0.78501267]
25,[ 0.04014226 -0.99911961  0.01218999  1.        ],[-0.01687439  0.046418    0.78484687]
26,[ 0.04252507 -0.999011    0.01298639  1.        ],[-0.01722854  0.0340206   0.78470689]
27,[ 0.04481426 -0.99890045  0.01376824  1.        ],[-0.01749034  0.02156531  0.78459209]
28,[ 0.04701501 -0.9987884   0.01453677  1.        ],[-0.01766645  0.00903595  0.7845013 ]
29,[ 0.04914003 -0.99867478  0.01529488  1.        ],[-0.01776426 -0.00357581  0.78444067]
30,[ 0.05120506 -0.99855959  0.01602465  1.        ],[-0.0178354  -0.01627529  0.78440941]
31,[ 0.05335982 -0.99843526  0.01672589  1.        ],[-0.01789899 -0.02906264  0.7843832 ]
32,[ 0.05567594 -0.99829602  0.0174714   1.        ],[-0.01795348 -0.04193437  0.784357  ]
33,[ 0.05816965 -0.99813927  0.01828344  1.        ],[-0.01799861 -0.05488655  0.78433117]
34,[ 0.06086449 -0.99796194  0.01916985  1.        ],[-0.01803412 -0.06791565  0.78430731]
35,[ 0.06378847 -0.99776029  0.02013559  1.        ],[-0.01805963 -0.08101795  0.7842872 ]
36,[ 0.06697481 -0.99752971  0.02118613  1.        ],[-0.01807474 -0.09418937  0.78427241]
37,[ 0.07046344 -0.99726442  0.02232869  1.        ],[-0.01807892 -0.10742534  0.78426431]
38,[ 0.07430252 -0.99695709  0.02357311  1.        ],[-0.01807108 -0.12071933  0.78426396]
39,[ 0.07854831 -0.99659848  0.02493244  1.        ],[-0.01805026 -0.13406775  0.7842724 ]
40,[ 0.08327261 -0.99617642  0.02642356  1.        ],[-0.01801373 -0.14746255  0.78429057]
41,[ 0.08855562 -0.99567571  0.02806761  1.        ],[-0.01795737 -0.1608947   0.78431941]
42,[ 0.09449213 -0.99507675  0.02989142  1.        ],[-0.01787549 -0.17435443  0.78435998]
43,[ 0.10119564 -0.99435405  0.03192892  1.        ],[-0.01776046 -0.18783131  0.78441361]
44,[ 0.10880373 -0.99347397  0.03422319  1.        ],[-0.01760241 -0.2013142   0.78448201]
45,[ 0.11748584 -0.99239139  0.03682937  1.        ],[-0.01738876 -0.21479132  0.78456747]
46,[ 0.12745513 -0.99104472  0.03981905  1.        ],[-0.01710383 -0.22825008  0.78467306]
47,[ 0.13898684 -0.98934771  0.04328709  1.        ],[-0.01672817 -0.24167705  0.78480288]
48,[ 0.1524483  -0.98717592  0.04736272  1.        ],[-0.01623783 -0.25505761  0.78496242]
