step,action,eef_pos
0,[ 3.01167228e-04  2.49905151e-01 -6.87929594e-03  1.00000000e+00],[-0.00160356 -0.34877383  0.79840296]
1,[ 5.73663016e-04  2.49981268e-01 -3.00609956e-03  1.00000000e+00],[-0.00237955 -0.34726933  0.79480603]
2,[ 8.53140809e-04  2.49992606e-01 -1.72310984e-03  1.00000000e+00],[-0.00273519 -0.34585023  0.79438932]
3,[ 9.82653636e-04  2.49993095e-01 -1.57692048e-03  1.00000000e+00],[-0.0029165  -0.34420478  0.79457879]
4,[ 0.00105027  0.24999236 -0.00164888  1.        ],[-0.00297726 -0.34222367  0.79484897]
5,[ 0.00107522  0.24999155 -0.00175117  1.        ],[-0.00294433 -0.33993924  0.79509696]
6,[ 0.00106684  0.2499909  -0.00184682  1.        ],[-0.00285633 -0.33739552  0.79529721]
7,[ 0.00103878  0.24999042 -0.00192648  1.        ],[-0.00274372 -0.33463419  0.79544544]
8,[ 0.00100185  0.24999009 -0.00198837  1.        ],[-0.00262984 -0.33169967  0.7955441 ]
9,[ 9.64403441e-04  2.49989873e-01 -2.03310787e-03  1.00000000e+00],[-0.00253066 -0.32863373  0.79559838]
10,[ 9.32226240e-04  2.49989756e-01 -2.06228814e-03  1.00000000e+00],[-0.00245585 -0.32547302  0.79561463]
11,[ 9.08899940e-04  2.49989712e-01 -2.07795235e-03  1.00000000e+00],[-0.00241005 -0.32224814  0.79559953]
12,[ 8.96227623e-04  2.49989721e-01 -2.08230413e-03  1.00000000e+00],[-0.00239422 -0.31898354  0.79555953]
13,[ 8.94684587e-04  2.49989767e-01 -2.07751975e-03  1.00000000e+00],[-0.0024068  -0.31569794  0.79550054]
14,[ 9.03826901e-04  2.49989832e-01 -2.06561929e-03  1.00000000e+00],[-0.00244472 -0.31240502  0.79542767]
15,[ 9.22629781e-04  2.49989906e-01 -2.04838916e-03  1.00000000e+00],[-0.00250408 -0.30911418  0.79534522]
16,[ 9.49752389e-04  2.49989975e-01 -2.02734515e-03  1.00000000e+00],[-0.00258076 -0.30583144  0.79525663]
17,[ 9.83734844e-04  2.49990035e-01 -2.00372524e-03  1.00000000e+00],[-0.00267074 -0.30256014  0.79516458]
18,[ 0.00102314  0.24999008 -0.0019785   1.        ],[-0.00277036 -0.29930169  0.79507103]
19,[ 0.00106663  0.2499901  -0.00195242  1.        ],[-0.00287645 -0.2960561   0.79497741]
20,[ 0.00111304  0.2499901  -0.001926    1.        ],[-0.00298637 -0.29282253  0.79488466]
21,[ 0.00116138  0.24999009 -0.00189962  1.        ],[-0.00309801 -0.28959962  0.79479335]
22,[ 0.00121087  0.24999005 -0.0018735   1.        ],[-0.00320978 -0.28638577  0.79470378]
23,[ 0.00126089  0.24998999 -0.00184778  1.        ],[-0.00332051 -0.28317937  0.79461608]
24,[ 0.00131099  0.24998992 -0.0018225   1.        ],[-0.0034294  -0.27997891  0.79453019]
25,[ 0.00136086  0.24998983 -0.00179768  1.        ],[-0.00353597 -0.27678303  0.79444603]
26,[ 0.00141031  0.24998973 -0.00177328  1.        ],[-0.00363996 -0.27359063  0.79436342]
27,[ 0.00145921  0.24998962 -0.00174924  1.        ],[-0.00374128 -0.2704008   0.79428218]
28,[ 0.00150754  0.2499895  -0.0017255   1.        ],[-0.00383999 -0.26721287  0.79420214]
29,[ 0.00155531  0.24998937 -0.00170199  1.        ],[-0.0039362  -0.26402632  0.79412312]
30,[ 0.00160255  0.24998923 -0.00167865  1.        ],[-0.0040301  -0.26084082  0.79404496]
31,[ 0.00164933  0.24998908 -0.00165542  1.        ],[-0.00412187 -0.25765615  0.79396752]
32,[ 0.00169573  0.24998892 -0.00163223  1.        ],[-0.00421171 -0.25447221  0.7938907 ]
33,[ 0.00174182  0.24998875 -0.00160906  1.        ],[-0.00429981 -0.25128894  0.7938144 ]
34,[ 0.00178766  0.24998858 -0.00158585  1.        ],[-0.00438633 -0.24810637  0.79373854]
35,[ 0.00183334  0.24998839 -0.00156259  1.        ],[-0.0044714  -0.24492453  0.79366308]
36,[ 0.00187889  0.2499882  -0.00153923  1.        ],[-0.00455516 -0.24174347  0.79358796]
37,[ 0.00192437  0.249988   -0.00151577  1.        ],[-0.00463767 -0.23856327  0.79351316]
38,[ 0.00196982  0.24998779 -0.00149219  1.        ],[-0.00471901 -0.23538398  0.79343867]
39,[ 0.00201525  0.24998756 -0.00146848  1.        ],[-0.00479921 -0.23220566  0.79336447]
40,[ 0.00206068  0.24998733 -0.00144463  1.        ],[-0.00487828 -0.22902836  0.79329056]
41,[ 0.00210613  0.24998709 -0.00142065  1.        ],[-0.00495623 -0.22585211  0.79321696]
42,[ 0.00215158  0.24998684 -0.00139653  1.        ],[-0.00503303 -0.22267695  0.79314366]
43,[ 0.00219703  0.24998658 -0.00137228  1.        ],[-0.00510867 -0.21950287  0.79307068]
44,[ 0.00224248  0.24998631 -0.00134789  1.        ],[-0.00518309 -0.21632989  0.79299804]
45,[ 0.00228789  0.24998603 -0.00132338  1.        ],[-0.00525626 -0.213158    0.79292576]
46,[ 0.00233325  0.24998574 -0.00129874  1.        ],[-0.00532811 -0.20998719  0.79285384]
47,[ 0.00237854  0.24998544 -0.00127399  1.        ],[-0.00539859 -0.20681745  0.79278232]
48,[ 0.00242372  0.24998513 -0.00124913  1.        ],[-0.00546764 -0.20364873  0.79271121]
49,[ 0.00246876  0.24998481 -0.00122417  1.        ],[-0.00553519 -0.20048102  0.79264053]
50,[ 0.00251364  0.24998449 -0.00119912  1.        ],[-0.00560118 -0.19731429  0.7925703 ]
51,[ 0.00255832  0.24998415 -0.00117398  1.        ],[-0.00566554 -0.19414848  0.79250055]
52,[ 0.00260277  0.24998381 -0.00114876  1.        ],[-0.00572821 -0.19098357  0.79243129]
53,[ 0.00264695  0.24998346 -0.00112348  1.        ],[-0.00578913 -0.18781952  0.79236255]
54,[ 0.00269084  0.24998311 -0.00109813  1.        ],[-0.00584823 -0.18465627  0.79229434]
55,[ 0.00273438  0.24998274 -0.00107274  1.        ],[-0.00590545 -0.18149378  0.79222668]
56,[ 0.00277756  0.24998238 -0.00104729  1.        ],[-0.00596073 -0.17833201  0.79215959]
57,[ 0.00282034  0.249982   -0.00102182  1.        ],[-0.00601401 -0.17517091  0.79209309]
58,[ 2.86267366e-03  2.49981624e-01 -9.96310865e-04  1.00000000e+00],[-0.00606525 -0.17201041  0.79202719]
59,[ 2.90453739e-03  2.49981242e-01 -9.70783420e-04  1.00000000e+00],[-0.00611438 -0.16885048  0.79196191]
60,[ 2.94589501e-03  2.49980856e-01 -9.45242077e-04  1.00000000e+00],[-0.00616137 -0.16569106  0.79189726]
61,[ 2.98671335e-03  2.49980467e-01 -9.19693816e-04  1.00000000e+00],[-0.00620615 -0.1625321   0.79183326]
62,[ 3.02695982e-03  2.49980075e-01 -8.94145318e-04  1.00000000e+00],[-0.00624869 -0.15937353  0.79176992]
63,[ 3.06660248e-03  2.49979682e-01 -8.68602947e-04  1.00000000e+00],[-0.00628895 -0.1562153   0.79170725]
64,[ 3.10561014e-03  2.49979288e-01 -8.43072716e-04  1.00000000e+00],[-0.00632689 -0.15305736  0.79164526]
65,[ 3.14395247e-03  2.49978893e-01 -8.17560276e-04  1.00000000e+00],[-0.00636247 -0.14989965  0.79158396]
66,[ 3.18160001e-03  2.49978499e-01 -7.92070888e-04  1.00000000e+00],[-0.00639567 -0.14674211  0.79152336]
67,[ 3.21852432e-03  2.49978106e-01 -7.66609408e-04  1.00000000e+00],[-0.00642645 -0.14358468  0.79146347]
68,[ 3.25469800e-03  2.49977714e-01 -7.41180267e-04  1.00000000e+00],[-0.00645479 -0.1404273   0.79140429]
69,[ 3.29009481e-03  2.49977325e-01 -7.15787455e-04  1.00000000e+00],[-0.00648068 -0.13726992  0.79134584]
70,[ 3.32468970e-03  2.49976938e-01 -6.90434493e-04  1.00000000e+00],[-0.0065041  -0.13411247  0.7912881 ]
71,[ 3.35845887e-03  2.49976556e-01 -6.65124470e-04  1.00000000e+00],[-0.00652502 -0.13095489  0.79123109]
72,[ 3.39137980e-03  2.49976177e-01 -6.39860005e-04  1.00000000e+00],[-0.00654346 -0.12779714  0.79117481]
73,[ 3.42343137e-03  2.49975803e-01 -6.14643198e-04  1.00000000e+00],[-0.00655939 -0.12463914  0.79111926]
74,[ 3.45459384e-03  2.49975435e-01 -5.89475688e-04  1.00000000e+00],[-0.00657281 -0.12148085  0.79106444]
75,[ 3.48484888e-03  2.49975073e-01 -5.64358622e-04  1.00000000e+00],[-0.00658374 -0.11832221  0.79101035]
76,[ 3.51417958e-03  2.49974718e-01 -5.39292670e-04  1.00000000e+00],[-0.00659217 -0.11516317  0.79095699]
77,[ 3.54257050e-03  2.49974370e-01 -5.14278023e-04  1.00000000e+00],[-0.00659811 -0.11200367  0.79090435]
